District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Mau,893611.0,296586.0,489739.0,700458.0,1190197.0,1129593.0,345.2,176374.0,595713.0,952607.0,84.33,52.74
Mirzapur,699678.0,150954.0,382292.0,468340.0,850632.0,749274.0,318.66,28268.0,501743.0,668058.0,89.16,66.96
Moradabad,429002.0,551181.0,429892.0,550291.0,980183.0,778852.0,302.71,72029.0,766999.0,732825.0,94.09,98.48
Muzaffarnagar,471021.0,385823.0,360484.0,496360.0,856844.0,775971.0,296.35,44247.0,728933.0,640498.0,82.54,93.94
Pratapgarh,1247478.0,55985.0,642056.0,661407.0,1303463.0,1215023.0,600.65,65286.0,860045.0,1109928.0,91.35,70.78
Prayagraj,1906628.0,631419.0,1235310.0,1302737.0,2538047.0,2434432.0,942.17,139600.0,2138562.0,2077367.0,85.33,87.85
Rae Bareli,682721.0,100289.0,393396.0,389614.0,783010.0,739115.0,436.79,29503.0,627907.0,700205.0,94.74,84.95
Rampur,421051.0,243820.0,306082.0,358789.0,664871.0,578238.0,216.6,35641.0,560500.0,540555.0,93.48,96.93
Saharanpur,654630.0,566475.0,544391.0,676714.0,1221105.0,1124345.0,275.12,105042.0,972060.0,940645.0,83.66,86.46
Sambhal,391229.0,242114.0,273647.0,359696.0,633343.0,560012.0,159.16,50119.0,496745.0,420490.0,75.09,88.7
Shravasti,252444.0,4396.0,124123.0,132717.0,256840.0,245284.0,119.21,6267.0,98435.0,223288.0,91.03,40.13
Siddharth Nagar,817500.0,24079.0,336761.0,504818.0,841579.0,744628.0,216.8,115207.0,596001.0,569831.0,76.53,80.04
Sitapur,1191593.0,246082.0,659155.0,778520.0,1437675.0,1329465.0,398.83,111979.0,618861.0,1094249.0,82.31,46.55
Sonbhadra,506293.0,34812.0,257004.0,284101.0,541105.0,484010.0,203.39,24690.0,336614.0,433092.0,89.48,69.55
Sultanpur,1085136.0,109241.0,565994.0,628383.0,1194377.0,1146573.0,602.79,49682.0,1014203.0,1049779.0,91.56,88.46
Unnao,703846.0,141389.0,373938.0,471297.0,845235.0,776465.0,372.81,83901.0,668201.0,660433.0,85.06,86.06
