District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,MSME (PS) Target No.,MSME (PS) Target Amt,MSME (PS) Achieved No.,MSME (PS) Achieved Amt,MSME (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Dima Hasao,30,"25,055","37,334.69",166,286.11,0.77,"4,087","5,950.66",52,61.48,1.03,"2,063","6,256.80",333,737.82,11.79,"1,100","2,481.37",3,3.00,0.12,"28,218","46,072.86",502,"1,026.93",2.23
Goalpara,72,"67,655","68,386.06","3,533","4,313.70",6.31,"49,951","47,506.87","2,502","2,596.93",5.47,"4,600","14,883.99",860,"9,233.54",62.04,"5,355","12,892.80","1,825",794.48,6.16,"77,610","96,162.85","6,218","14,341.72",14.91
Golaghat,122,"33,212","43,337.84","8,848","10,503.99",24.24,"18,383","21,128.00","4,276","3,588.69",16.99,"8,378","34,121.10","1,563","11,585.01",33.95,"3,943","13,032.80","2,515","1,220.92",9.37,"45,533","90,491.74","12,926","23,309.92",25.76
Hailakandi,45,"14,854","16,029.76","1,266","1,253.34",7.82,"10,800","10,359.37",682,478.14,4.62,"4,499","15,951.20",684,"7,970.61",49.97,"2,494","6,452.60",778,434.99,6.74,"21,847","38,433.56","2,728","9,658.94",25.13
Jorhat,134,"62,758","1,09,083.23","7,171","12,290.15",11.27,"38,643","71,085.78","2,871","2,136.94",3.01,"2,346","33,169.80","1,792","43,518.82",131.20,"5,095","13,275.48","2,022","1,544.92",11.64,"70,199","1,55,528.51","10,985","57,353.89",36.88
Kamrup Metro,175,"37,967","73,328.25","12,187","10,646.79",14.52,"21,720","45,355.11","4,700","4,940.63",10.89,"13,351","59,399.55","1,904","26,177.92",44.07,"5,110","13,111.72","3,740","2,400.38",18.31,"56,428","1,45,839.52","17,831","39,225.09",26.90
Karbi Anglong,65,"73,723","79,540.65","4,010","3,321.27",4.18,"53,983","53,769.23","2,658","1,488.84",2.77,"1,615","9,286.40",797,"2,957.99",31.85,"5,663","19,168.37",312,"1,257.25",6.56,"81,001","1,07,995.42","5,119","7,536.51",6.98
Karimganj,89,"16,033","14,399.15","1,505","2,144.62",14.89,"10,047","9,704.92",628,682.89,7.04,"6,859","31,029.43",948,"9,327.41",30.06,"2,985","6,895.14","2,513","1,257.54",18.24,"25,877","52,323.72","4,966","12,729.57",24.33
Kokrajhar,53,"19,118","20,738.00","4,203","5,249.06",25.31,"9,904","8,854.00","2,552","3,731.61",42.15,"4,363","19,147.00",643,"5,348.49",27.93,"4,253","11,594.00","1,978","1,132.86",9.77,"27,734","51,479.00","6,824","11,730.41",22.79
Lakhimpur,93,"57,555","65,326.19","8,020","7,020.79",10.75,"42,485","46,194.76","4,936","3,973.61",8.60,"4,909","30,792.00","1,450","15,564.27",50.55,"4,274","12,060.21","1,844","1,105.09",9.16,"66,738","1,08,178.40","11,314","23,690.15",21.90
Majuli,16,"18,712","31,186.92",959,"1,103.70",3.54,"16,178","25,447.76",602,769.40,3.02,290,"1,779.10",50,252.53,14.19,947,"3,356.46",24,109.93,3.28,"19,949","36,322.48","1,033","1,466.16",4.04
Morigaon,67,"67,800","53,453.61","5,368","3,987.98",7.46,"50,419","26,365.53","3,640","2,785.23",10.56,"6,152","32,970.09",545,"8,625.53",26.16,"18,030","21,598.53",941,577.49,2.67,"91,982","1,08,022.23","6,854","13,191.00",12.21
Nagaon,210,"1,28,927","1,33,374.82","15,344","13,261.62",9.94,"85,907","86,876.95","7,223","6,382.06",7.35,"18,448","59,600.89","2,320","33,278.65",55.84,"24,462","22,468.27","3,424","2,055.39",9.15,"1,71,837","2,15,443.98","21,088","48,595.66",22.56
Nalbari,87,"15,204","29,626.00","6,768","7,261.68",24.51,"10,525","13,895.00","2,475","3,221.19",23.18,"9,846","31,487.00","1,040","11,845.58",37.62,"2,470","14,057.00","1,040",785.11,5.59,"27,520","75,170.00","8,848","19,892.37",26.46
Sivasagar,105,"38,603","47,521.71","7,033","5,848.62",12.31,"25,375","26,979.99","2,625","2,133.82",7.91,"6,162","38,808.00","1,637","22,669.48",58.41,"2,612","9,240.06","1,484","1,080.87",11.70,"47,377","95,569.77","10,154","29,598.97",30.97
Sonitpur,185,"43,866","63,749.29","10,937","12,512.89",19.63,"29,570","35,996.67","4,667","4,760.66",13.23,"20,377","69,686.68","2,418","37,258.61",53.47,"8,248","28,009.47","3,712","2,724.23",9.73,"72,491","1,61,445.44","17,067","52,495.73",32.52
South Salmara,12,"4,064","16,988.75",223,291.49,1.72,621,"11,528.82",154,150.55,1.31,"1,784","2,710.00",98,909.08,33.55,"2,217","5,793.14",17,52.50,0.91,"8,065","25,491.89",338,"1,253.07",4.92
Tinsukia,149,"39,490","41,553.59","7,520","17,585.98",42.32,"33,090","25,287.70","4,001","4,653.35",18.40,"13,270","89,320.00","2,963","57,665.81",64.56,"8,821","18,925.20","1,770","1,328.97",7.02,"61,581","1,49,798.79","12,253","76,580.76",51.12
Udalguri,49,"49,746","54,059.00","2,991","2,864.92",5.30,"35,476","36,176.00","2,030","1,484.57",4.10,915,"14,554.00",248,"2,314.06",15.90,"4,468","10,436.00",829,561.72,5.38,"55,129","79,049.00","4,068","5,740.70",7.26
West Karbi Anglong,22,"39,220","41,986.70","1,515","1,379.40",3.29,"28,204","29,296.69","1,191",695.25,2.37,149,270.55,54,135.84,50.21,"5,101","9,285.41",0,0,0,"44,470","51,542.66","1,569","1,515.24",2.94
