District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Kokrajhar,53,34908,29133.09,11523,6637.81,22.78,8663,21166.36,3677,3876.71,18.32,20550,17373.26,2831,968.87,5.58,64121,67672.71,18031,11483.39,16.97
Lakhimpur,93,101408,66119.04,28845,17166.13,25.96,36134,68427.17,6072,7923.19,11.58,25224,43469.40,4186,2533.84,5.83,162766,178015.61,39103,27623.16,15.52
Majuli,16,8513,6491.63,2670,1742.96,26.85,3274,6505.80,582,588.25,9.04,1466,10840.38,591,146.58,1.35,13253,23837.81,3843,2477.79,10.39
Morigaon,67,66630,48389.95,18091,12871.32,26.60,14889,29283.68,3287,4075.26,13.92,16607,33455.16,2021,1457.06,4.36,98126,111128.79,23399,18403.64,16.56
Nagaon,210,196957,125290.58,73572,37548.47,29.97,40464,120190.59,8841,12276.98,10.21,69751,88483.64,11195,6029.97,6.81,307172,333964.81,93608,55855.42,16.72
Nalbari,87,75118,43503.38,28147,11394.95,26.19,17937,38941.48,5537,5825.60,14.96,24138,31959.64,7218,2773.42,8.68,117193,114404.50,40902,19993.97,17.48
Sivasagar,105,70038,41482.52,17072,8861.80,21.36,22641,78559.22,4784,5198.30,6.62,22942,33549.06,3331,1377.14,4.10,115621,153590.80,25187,15437.24,10.05
Sonitpur,185,119301,96195.87,31518,18547.04,19.28,40257,121330.53,9618,11094.90,9.14,50433,73601.46,10348,4708.71,6.40,209991,291127.86,51484,34350.65,11.80
South Salmara,12,3369,2580.51,1959,871.45,33.77,1789,4552.69,1021,1351.22,29.68,596,3342.48,225,294.55,8.81,5754,10475.68,3205,2517.22,24.03
Tinsukia,149,82466,81869.31,23156,16386.27,20.02,28554,137285.12,5280,8236.70,6.00,26355,38545.36,3706,1379.57,3.58,137375,257699.79,32142,26002.54,10.09
Udalguri,49,51137,36021.08,28258,16492.99,45.79,13774,18274.74,5692,6743.01,36.90,10463,20059.81,3295,1540.08,7.68,75374,74355.63,37245,24776.08,33.32
West Karbi Anglong,22,14815,9038.38,2871,1169.54,12.94,1680,1065.51,592,144.53,13.56,597,6002.16,24,29.99,0.50,17092,16106.05,3487,1344.06,8.35
