District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Amt.%
Morigaon,70,"8,811","1,987.18","2,150",494.67,"17,215","17,328.90","2,676","3,414.74","1,957","8,779.24",240,"1,339.55","27,983","28,095.32","5,066","5,248.96",18.68
Nagaon,156,"32,035","6,740.75","8,420","1,274.38","45,081","41,535.80","4,180","4,825.20","4,616","20,932.13",528,"2,753.01","81,732","69,208.68","13,128","8,852.59",12.79
Nalbari,85,"16,371","3,327.40","3,736",537.15,"18,619","17,525.95","2,015","1,882.76","1,198","7,174.50",97,508.83,"36,188","28,027.85","5,848","2,928.74",10.45
Sivasagar,104,"14,016","2,919.57","2,822",400.13,"23,019","21,243.59","1,851","2,008.81","2,273","10,824.38",164,768.72,"39,308","34,987.54","4,837","3,177.66",9.08
Sonitpur,135,"24,087","5,020.48","6,354",820.84,"31,892","27,998.51","2,546","2,658.12","2,549","13,782.87",242,"1,217.17","58,528","46,801.86","9,142","4,696.13",10.03
South Salmara,16,366,107.72,146,41.44,"1,170","1,776.60",363,326.29,178,976.30,15,72.23,"1,714","2,860.62",524,439.96,15.38
Tamulpur,21,"1,482",349.15,205,51.30,"4,491","4,266.43",271,402.42,146,847.20,4,24.02,"6,119","5,462.78",480,477.74,8.75
Tinsukia,151,"20,237","4,374.40","4,603",541.88,"22,946","25,520.29","2,616","3,097.33","3,319","19,758.33",390,"2,258.79","46,502","49,653.02","7,609","5,898.00",11.88
Udalguri,56,"9,014","2,479.19",985,282.67,"7,844","8,224.04","1,549","1,958.71",467,"2,607.01",38,177.75,"17,325","13,310.24","2,572","2,419.13",18.17
West Karbi Anglong,21,895,225.67,233,33.61,577,760.75,22,25.42,72,481.02,3,13.12,"1,544","1,467.44",258,72.15,4.92
