District,Total Branch,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA NO,SUI NPA AMT
Kamrup Metro,179,"15,176","44,883.35",517,"1,464.46",391,303.94,428,"1,216.10",28,27.08,"1,388","3,039.97",578,776.51,"13,374","39,041.18",903,693.82,126,"1,542.68",8,106.27
Karbi Anglong,62,"7,250","26,198.35",52,61.64,69,31.41,74,194.34,-,-,452,634.02,217,171.22,"8,025","27,943.74",187,50.43,56,979.02,7,81.24
Kokrajhar,59,"6,682","18,037.97",364,470.30,99,123.93,87,171.58,7,6.91,"1,608","2,328.76","1,129","1,264.07","7,152","18,513.73",327,187.93,34,728.84,2,11.04
Lakhimpur,91,"11,901","31,317.07",291,511.49,140,77.65,471,811.77,152,65.41,"1,153","3,543.71",505,827.74,"13,056","33,428.93",667,219.72,52,664.05,9,67.10
Majuli,16,"2,292","5,660.69",59,92.90,52,62.97,25,22.88,13,6.67,176,415.01,40,67.27,"2,466","6,056.94",116,85.92,11,115.11,-,-
Morigaon,70,"7,796","19,831.82",142,330.54,290,197.56,634,717.99,363,222.18,695,"1,390.11",451,650.97,"9,490","21,346.51","1,567",720.72,39,498.80,13,77.72
Nagaon,156,"18,493","50,100.32",516,941.66,304,260.96,833,2166.53,31,23.55,"1,304","4,533.92",572,938.80,"19,609","51,522.65",574,469.21,117,"1,653.15",18,154.54
Nalbari,85,"8,850","27,851.68",206,523.93,159,135.08,237,654.92,13,10.00,834,"2,197.52",384,706.84,"10,326","29,729.72",533,303.46,46,601.45,6,95.69
Sivasagar,104,"6,843","18,585.37",156,240.23,76,44.57,252,540.53,26,26.94,737,"2,475.30",255,468.30,"7,465","19,701.39",134,98.60,72,"1,144.06",7,67.66
Sonitpur,135,"10,506","30,311.95",271,538.79,285,124.11,470,"1,230.84",8,8.42,"1,174","2,916.91",404,591.10,"11,066","29,822.02",882,337.73,109,"1,656.07",15,128.44
South Salmara,16,"1,166","2,706.75",30,39.32,149,46.14,4,9.43,-,-,328,409.67,260,262.75,"1,302","3,078.31",159,52.52,2,67.63,-,-
Tamulpur,21,"3,611","11,077.37",82,214.91,15,19.17,46,151.36,0,0,209,365.20,107,145.76,"2,915","8,577.64",54,33.05,3,139.28,0,0
Tinsukia,151,"9,338","30,926.53",173,360.93,192,124.26,"1,697","4,965.79",74,44.57,"1,352","3,904.96",503,914.59,"9,198","29,405.37",398,209.97,118,"2,182.92",10,88.35
Udalguri,56,"8,425","22,041.73",289,515.62,110,159.75,84,205.13,4,3.05,"1,239","2,101.11","1,135","1,791.67","6,575","17,458.31",468,320.68,14,315.41,4,103.00
West Karbi Anglong,21,"2,783","8,755.41",39,59.81,53,34.19,67,250.88,0,0,25,89.28,3,3.18,"3,198","9,168.85",266,74.92,8,101.65,0,0
