District,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Golaghat,126,9990,10131.17,8,13.55,2,0.3,706,2500.34,4,9,1539,5443.09,16,43.92,17005,21999.44,172,388.62,1357,11063.50,30799,51592.93
Hailakandi,48,4337,2927.43,0,0,5,3.46,366,423.21,17,11.6,428,965.49,15,8.79,3283,4668.73,34,1056.76,951,1199.25,9436,11264.72
Hojai,65,5601,6176.18,1,2.73,0,0,956,1867.07,1,3.97,423,972.34,12,10.76,5174,7591.54,19,46.9,974,2746.70,13161,19418.19
Jorhat,143,9293,8453.72,30,73.82,0,0,563,1777.23,19,17.45,688,2269.43,61,31.64,15998,18992.03,51,593.04,1629,29433.62,28332,61641.98
Kamrup Metro,179,11801,16976.22,35,69.67,2,0.98,1722,4151.52,17,2.35,1112,3852.68,59,114.1,31639,34711.20,102,418.22,2973,12257.72,49462,72554.66
Karbi Anglong,62,5364,3413.62,13,22.03,0,0,362,682.16,2,10,855,2049.83,58,133.64,4326,9290.09,9,13.03,394,1074.02,11383,16688.42
Kokrajhar,59,5371,10366.14,48,100.96,7,22.32,758,1192.50,3,6.5,604,994.83,84,103.95,10891,17455.26,29,137.58,1361,3903.96,19156,34284.00
Lakhimpur,91,14210,14998.91,1,2.88,14,27.9,1352,4800.11,12,31.1,1258,3368.68,24,53.68,9808,15394.45,95,435.84,1263,6816.67,28037,45930.22
Majuli,16,1362,2279.30,-,-,0,0,-,-,0,0,81,301.81,8,5.74,1746,2370.69,17,18,241,951.56,3455,5927.10
Morigaon,70,10008,9749.02,2,3.61,0,0,639,2914.19,1,1.6,939,1378.82,133,140.79,7238,10569.58,47,143.91,713,2431.50,19720,27333.02
Nagaon,156,16141,18131.75,28,59.51,0,0,2864,8935.96,13,18.76,1065,3337.84,134,181.79,21202,30914.26,39,184.52,1858,6335.21,43344,68099.60
Nalbari,85,6279,9641.43,12,26.99,0,0,1549,4167.10,12,4.21,1008,3197.68,206,113.51,8837,14708.89,40,173.86,1485,7541.22,19428,39574.89
Sivasagar,104,6228,7522.98,5,10.09,0,0,1258,2487.05,4,0.1,725,1393.91,12,32.51,12052,13516.12,163,553.63,1349,9195.66,21796,34712.05
Sonitpur,135,5766,7977.54,14,30.14,0,0,1684,4975.25,2,0,813,2103.09,40,57.94,16341,21743.94,28,163.93,2434,14426.23,27122,51478.06
South Salmara,16,288,591.41,-,-,0,0,-,-,0,0,4,5.54,0,0,369,1239.71,1,27.21,185,770.28,847,2634.15
Tamulpur,21,882,2539.07,0,0,0,0,25,20.69,1,2,158,448.81,10,17.37,2405,4764.92,0,0,314,1224.46,3795,9017.32
Tinsukia,151,9849,11249.35,24,25.83,10,26.72,1227,3079.94,15,8.1,748,2412.36,33,55.36,9237,13976.04,33,862.08,1962,27120.53,23138,58816.31
Udalguri,56,4478,4801.92,0,0,0,0,206,273.87,0,0,335,803.76,12,15.14,5912,11469.39,2,4.1,651,1796.53,11596,19164.71
West Karbi Anglong,21,2475,1141.47,0,0,0,0,0,0,0,0,277,983.80,0,0,734,2782.37,0,0,7,19.67,3493,4927.31
