District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Majuli,16,11699,10382.41,2518,1529.76,14.73,2364,5792.56,438,443.21,7.65,1290,3560.14,524,19.38,0.54,15353,19735.11,3480,1992.35,10.10
Morigaon,70,60959,56114.98,20493,10653.38,18.98,12468,31928.79,4273,5662.48,17.73,9116,20076.79,572,192.14,0.96,82543,108120.56,25338,16508.00,15.27
Nagaon,156,140431,125305.93,50194,22573.92,18.02,31931,158176.65,8559,10364.90,6.55,25467,84439.02,925,703.98,0.83,197829,367921.60,59678,33642.80,9.14
Nalbari,85,58035,58012.74,18145,8439.84,14.55,14218,59060.26,4040,4571.84,7.74,14391,31070.23,1325,551.83,1.78,86644,148143.23,23510,13563.51,9.16
Sivasagar,104,55447,58359.05,12508,6170.48,10.57,17528,99471.99,3822,5978.77,6.01,14155,35188.09,1295,668.50,1.90,87130,193019.13,17625,12817.75,6.64
Sonitpur,135,66564,77309.22,18863,9645.00,12.48,22367,135572.59,5891,8809.61,6.50,23078,52561.61,2584,1757.55,3.34,112009,265443.42,27338,20212.16,7.61
South Salmara,16,3495,4120.43,1719,687.75,16.69,1987,5820.17,920,1211.11,20.81,789,3342.63,213,316.62,9.47,6271,13283.23,2852,2215.48,16.68
Tamulpur,21,11863,14805.66,3645,2000.15,13.51,3766,7134.76,873,763.68,10.70,1880,4750.57,161,133.33,2.81,17509,26690.99,4679,2897.16,10.85
Tinsukia,151,69171,106306.72,19193,13372.44,12.58,25671,193279.22,6225,10404.03,5.38,17522,38483.45,1763,447.69,1.16,112364,338069.39,27181,24224.16,7.17
Udalguri,56,55430,48072.88,26115,15546.34,32.34,10386,27112.75,4597,5886.01,21.71,9740,21680.90,2821,1387.66,6.40,75556,96866.53,33533,22820.01,23.56
West Karbi Anglong,21,15018,15106.84,3292,1306.89,8.65,1898,2157.22,352,105.60,4.90,790,5717.51,19,45.54,0.80,17706,22981.57,3663,1458.03,6.34
