district,Total Branc h,Agri (PS) Target No.,Agri (PS) Target Amount,Agri (PS) Achieved No.,Agri (PS) Achieved Amount,Agri(PS) Achv% Amount,Crop Loan Target No.,Crop Loan Target Amount,Crop Loan Achieved No.,Crop Loan Achieved Amount,Crop Loan Achv% Amount,MSME (PS) Target No.,MSME (PS) Target Amount,MSME (PS) Achieved No.,MSME (PS) Achieved Amount,MSME (PS) Achv% Amount,Other PS Target No.,Other PS Target Amount,Other PS Achieved No.,Other PS Achieved Amount,Other PS Achv% Amount,Total (PS) Target No.,Total (PS) Target Amount,Total (PS) Achieved No.,Total (PS) Achieved Amount,Total(PS) Achv% Amount
Golaghat,126,"46,670","54,158.00","30,799","51,592.93",95.26,"25,000","26,860.00","9,990","10,131.17",37.72,"1,555","40,036.00","6,349","47,855.30",119.53,"5,903","17,354.00","11,341","9,587.78",55.25,"54,128","111,548.00","48,489","109,036.01",97.75
Hailakandi,48,"16,596","18,212.00","9,436","11,264.72",61.85,"11,633","11,199.00","4,337","2,927.43",26.14,"7,433","20,924.00","3,009","15,797.77",75.50,"10,919","18,985.70","7,394","4,474.11",23.57,"34,948","58,121.70","19,839","31,536.60",54.26
Hojai,65,"21,457","26,244.60","13,161","19,418.19",73.99,"16,270","19,269.33","5,601","6,176.18",32.05,"4,633","27,836.72","4,647","40,967.71",147.17,"2,798","6,468.00","7,137","5,576.48",86.22,"28,888","60,549.32","24,945","65,962.38",108.94
Jorhat,143,"119,055","109,258.00","28,332","61,641.98",56.42,"89,003","74,064.00","9,293","8,453.72",11.41,"19,648","132,325.00","7,271","113,101.88",85.47,"6,152","12,017.00","11,012","12,817.63",106.66,"144,855","253,600.00","46,615","187,561.49",73.96
Kamrup,179,"109,272","74,574.35","49,462","72,554.66",97.29,"73,592","37,292.92","11,801","16,976.22",45.52,"49,902","81,968.99","8,684","95,839.41",116.92,"5,764","19,563.36","19,504","22,098.49",112.96,"164,938","176,106.70","77,650","190,492.56",108.17
Kamrup Metro,471,"21,417","86,315.00","22,306","121,636.77",140.92,"6,686","10,281.00","4,996","14,456.21",140.61,"112,332","1,750,748.00","31,273","1,354,338.94",77.36,"9,357","71,494.90","18,362","32,956.77",46.10,"143,106","1,908,557.90","71,941","1,508,932.48",79.06
Karbi Anglong,62,"75,148","81,002.79","11,383","16,688.42",20.60,"58,504","55,476.20","5,364","3,413.62",6.15,"3,049","13,857.18","4,552","19,753.39",142.55,"4,526","15,943.09","2,612","2,961.67",18.58,"82,723","110,803.06","18,547","39,403.48",35.56
Kokrajhar,59,"18,312","30,200.00","19,156","34,284.00",113.52,"9,839","13,454.00","5,371","10,366.14",77.05,"5,709","27,500.00","3,763","25,672.27",93.35,"4,267","9,700.00","8,772","8,964.84",92.42,"28,288","67,400.00","31,691","68,921.11",102.26
Lakhimpur,91,"38,031","46,895.16","28,037","45,930.22",97.94,"29,474","33,220.36","14,210","14,998.91",45.15,"13,183","99,247.00","6,725","57,434.60",57.87,"4,056","10,393.28","7,174","9,870.54",94.97,"55,270","156,535.44","41,936","113,235.36",72.34
Majuli,16,"34,969","29,092.00","3,455","5,927.10",20.37,"29,349","25,060.00","1,362","2,279.30",9.10,745,"2,428.00",751,"3,963.35",163.24,594,"2,045.00",414,"1,736.30",84.90,"36,308","33,565.00","4,620","11,626.75",34.64
Morigaon,70,"90,894","71,357.54","19,720","27,333.02",38.30,"67,211","33,870.00","10,008","9,749.02",28.78,"2,507","27,037.38","4,265","21,274.77",78.69,"5,749","18,400.68","5,566","4,644.77",25.24,"99,150","116,795.60","29,551","53,252.56",45.59
Nagaon,156,"104,276","109,686.03","43,344","68,099.60",62.09,"73,070","70,739.17","16,141","18,131.75",25.63,"24,480","124,338.58","13,092","119,915.83",96.44,"11,186","20,541.84","16,750","14,388.64",70.05,"139,942","254,566.45","73,186","202,404.07",79.51
Nalbari,85,"18,886","41,050.00","19,428","39,574.89",96.41,"10,780","16,160.00","6,279","9,641.43",59.66,"10,469","38,815.00","4,950","44,488.84",114.62,"1,715","9,274.00","8,910","9,685.71",104.44,"31,070","89,139.00","33,288","93,749.44",105.17
Sivasagar,104,"58,879","53,783.66","21,796","34,712.05",64.54,"27,250","17,708.10","6,228","7,522.98",42.48,"21,454","109,516.93","6,089","67,301.61",61.45,"19,658","39,787.83","7,517","8,377.38",21.06,"99,991","203,088.42","35,402","110,391.04",54.36
Sonitpur,135,"22,384","43,505.00","27,122","51,478.06",118.33,"4,705","4,885.00","5,766","7,977.54",163.31,"5,380","81,967.00","8,297","103,922.16",126.79,"5,665","33,010.00","13,057","18,820.09",57.01,"33,429","158,482.00","48,476","174,220.31",109.93
South Salmara,16,"3,601","3,120.00",847,"2,634.15",84.43,501,500.00,288,591.41,118.28,"3,973","5,000.00",621,"3,988.52",79.77,"1,694","3,630.00",270,"1,003.50",27.64,"9,268","11,750.00","1,738","7,626.17",64.90
Sribhumi,95,"19,230","17,996.00","16,710","19,108.07",106.18,"13,174","12,296.00","4,320","4,448.65",36.18,"9,413","42,856.00","4,364","47,392.06",110.58,"3,943","8,438.12","16,056","9,644.72",114.30,"32,586","69,290.12","37,130","76,144.85",109.89
Tamulpur,21,"47,735","21,912.00","3,795","9,017.32",41.15,"17,620","12,868.00",882,"2,539.07",19.73,"2,546","3,536.00","1,150","4,399.73",124.43,"5,586","9,252.00",921,"1,683.99",18.20,"55,867","34,700.00","5,866","15,101.04",43.52
Tinsukia,151,"54,142","63,073.00","23,138","58,816.31",93.25,"45,237","34,194.37","9,849","11,249.35",32.90,"17,616","136,040.00","10,853","162,792.47",119.67,"24,108","15,857.00","8,408","8,859.92",55.87,"95,866","214,970.00","42,399","230,468.70",107.21
Udalguri,56,"47,650","36,252.00","11,596","19,164.71",52.87,"28,625","22,491.00","4,478","4,801.92",21.35,"1,966","21,001.00","2,753","16,870.58",80.33,"4,979","6,817.00","3,679","4,340.14",63.67,"54,595","64,070.00","18,028","40,375.43",63.02
West Karbi Anglong,21,"33,591","34,666.54","3,493","4,927.31",14.21,"24,502","22,126.07","2,475","1,141.47",5.16,132,532.15,918,"1,296.39",243.61,"2,878","7,938.43",282,482.72,6.08,"36,601","43,137.12","4,693","6,706.42",15.55
