district,Total Branch,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Nagaon,156,"12,95,17,159","20,25,355.96","3,397","8,719.57","30,649","2,004.38","15,43,425","25,37,826.17","11,78,533","62,028.56","4,30,056","11,844.64"
Nalbari,85,"5,37,45,842","7,92,517.50",757,"7,251.63","17,547","1,106.69","5,42,289","10,11,917.97","5,35,333","31,284.90","2,40,172","6,122.55"
Sivasagar,104,"8,26,07,949","10,13,631.42",546,"1,665.93","64,525","1,767.75","8,68,273","7,09,031.49","12,16,275","46,862.58","4,94,814","12,408.11"
Sonitpur,135,"10,26,75,189","14,75,615.50",654,"3,043.58","61,311","2,755.15","11,51,952","30,76,062.74","12,22,632","68,537.74","7,92,810","15,981.59"
South Salmara,16,"1,37,85,904","3,21,237.27",850,"15,238.55","2,427",821.96,"1,10,490","7,48,233.77","27,078","1,975.37","8,353",404.15
Sribhumi,95,"7,79,50,882","14,13,347.49",505,18.99,"33,697","2,033.82","9,11,306","20,84,959.49","6,65,336","38,937.87","1,43,142","4,348.23"
Tamulpur,21,"2,15,57,042","2,77,963.00",301,"2,137.34","1,581",382.57,"1,04,436","1,83,485.40","79,284","3,501.72","75,002","1,843.92"
Tinsukia,151,"9,48,86,986","13,84,434.83","3,831","2,502.58","27,089","2,301.70","11,04,082","21,60,496.35","15,20,628","87,934.07","4,00,347","9,031.89"
Udalguri,56,"5,21,59,927","6,72,743.05","1,459","3,593.40","10,107","1,073.70","3,89,976","8,42,125.41","2,23,831","14,922.61","1,34,415","3,221.78"
West Karbi Anglong,21,"1,94,53,616","1,91,963.46",804,9.52,0,0,"1,26,248","5,401.12","71,430","2,777.99","29,197",884.45
