district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Productio n A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisatio n No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Hojai,58,"1,053",419.52,0,0,381,514.17,"2,310",463.89,94,103.60,98,115.42,0,0,0,0,"1,455","1,771.27","5,391","3,387.87"
Jorhat,133,"3,304","4,207.22",8,12.41,"1,011",917.37,"4,259",877.14,174,303.79,71,76.42,1,0.47,2,4.91,"3,526","7,890.61","12,356","14,290.34"
Kamrup,178,"12,795","10,504.64",6,3.42,"1,119","1,065.14","18,394","3,997.05",736,"1,331.06",196,282.77,2,7.25,4,459167.73,"7,973","12,464.54","41,225","4,88,823.60"
Kamrup Metro,432,998,"5,591.52",0,0,"5,301","2,978.68","3,147",995.30,"1,264","1,611.74","3,095","1,039.55",12,465.79,8,61.98,"9,093","30,058.02","22,918","42,802.58"
Karbi Anglong,65,"2,745","2,929.77",0,0,409,207.30,"1,399",328.40,48,71.46,34,34.57,0,0,0,0,737,"1,469.48","5,372","5,040.98"
Karimganj,91,"1,239","2,925.23",4,1.75,499,714.64,463,159.30,101,159.79,278,428.44,0,0,0,0,"1,497","2,192.66","4,081","6,581.81"
Kokrajhar,55,509,"2,977.80",0,0,510,457.64,693,93.24,207,256.11,36,263.44,0,0,1,8.17,"1,308","2,263.77","3,264","6,320.17"
Lakhimpur,91,675,"2,621.31",19,10.2,475,"2,94,757.12","9,297","1,810.47",287,581.69,134,213.60,1,3.04,3,3.19,"3,599","3,535.17","14,490","3,03,535.79"
Majuli,16,34,22.38,0,0,8,15.83,26,39.36,7,12.45,5,4.90,0,0,0,0,125,140.99,205,235.91
Morigaon,67,"1,361","3,157.22",0,0,991,"1,389.53","4,392","1,472.00",282,325.19,283,610.37,1,14.03,1,5.26,"3,172","4,093.64","10,483","11,067.24"
Nagaon,154,"7,721","8,087.69",0,0,"2,062","1,645.49","19,499","4,468.98",292,356.11,142,427.84,0,0,20,22.01,"8,759","6,067.40","38,495","21,075.52"
Nalbari,85,"3,878","7,234.18",14,8.53,861,862.56,"13,516","3,168.32",516,401.15,164,164.73,1,1.49,3,5.35,"3,794","5,771.97","22,747","17,618.28"
Sivasagar,101,"1,138","6,113.85",16,5.08,"8,573","3,082.31","5,358","1,046.62","1,071","1,362.64",45,27.65,0,0,2,6.04,"4,500","4,980.19","20,703","16,624.38"
Sonitpur,132,"5,148","6,804.58",2,1.3,355,481.96,"8,743","2,009.42",462,647.03,83,146.02,0,0,3,14.79,"3,611","6,450.95","18,407","16,556.05"
South Salmara,13,0,0,0,0,1,3.02,1,0.90,2,6.92,0,0,0,0,0,0,46,129.75,50,140.59
Tinsukia,145,"6,683","8,428.28",83,33.03,"1,111","1,742.86","10,893","1,847.43",401,772.78,79,72.03,0,0,6,66.3,"3,228","12,729.30","22,484","25,692.01"
Udalguri,49,"3,920","8,562.98",2,0.86,123,203.95,75,50.54,198,237.29,63,56.15,1,0.2,2,2.28,"1,485","2,477.09","5,869","11,591.34"
West Karbi Anglong,22,4,5.53,0,0,70,34.34,0,0,1,3.86,6,1.43,0,0,0,0,29,103.35,110,148.51
