District,Total Branch,No. Of New Crop kcc issued during quarter,New Crop KCC Amount disbursed during quarter (Rs. in Lakhs),No. of Crop KCC Renewed During the quarter,Crops KCC Renewed Amount During the quarter (Rs. in Lakhs),Out of total no. of Active Crops KCC (Since Inception),Crops Kcc Total Active Amount(Rs. in Lakhs),Crops KCC NPA No at the end of current quarter,Crops KCC NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs),No. of New KCC for animal husbandary issued during quarter,KCC for Animal Husbandry Amount disbursed during quarter (Rs. in Lakhs),No Renewal KCC for animal husbandary as on end of current quarter,KCC for animal husbandary Outstanding Renewal amount. as on end of current quarter (Rs. in Lakhs),KCC for Animal Husbandry Total no. of Active KCC for animal husbandary (Since Inception),KCC for Animal Husbandry Total Active Amount(Rs. in Lakhs),KCC for Animal Husbandry NPA No at the end of current quarter,KCC for Animal Husbandry NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs),No. of New KCC for fishries issued during quarter,KCC for Fishries New KCC Amount disbursed during quarter (Rs. in Lakhs),Total no. of KCC for fishries as on end of current quarter,KCC for Fishries No. of KCC Renewed During the quarter Amount (Rs. in Lakhs),KCC for Fishries Total no. of Active KCC for fishries (Since Inception),KCC for Fishries Total Active Amount(Rs. in Lakhs),KCC for Fisheries NPA No at the end of current quarter,KCC for Fisheries NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs)
Hailakandi,47,262,225.14,1986,1530.37,11449,5893.77,7692,3283.87,37,49.7,52,66.21,140,149.49,85,106.83,0,0,11,13.62,38,35.11,10,4.43
Hojai,66,222,336.33,834,741.74,16704,11484.78,7768,4177.09,19,14.94,4,8.96,299,204.56,42,26.01,0,0,0,0,117,84.3,10,9.6
Jorhat,145,599,532.87,"2,148","1,449.33","33,872",18749.28,18209,8160.33,64,32.78,73,68.08,560,562.74,23,16.72,0,3.11,2,3.51,192,170.98,16,6.31
Kamrup Metro,181,511,755.59,"2,957","2,327.84","47,000","37,316",29746,17550.7,26,22.74,75,136.72,460,687.03,41,46.48,0,4.48,5,10.61,116,305.22,14,12.42
Karbi Anglong,62,154,282.91,892,850.37,25289,16637.16,7761,3500.06,10,11.2,0,0,177,149.41,38,23.12,0,8.15,0,0,59,76.86,9,14.9
Kokrajhar,60,315,761.16,2974,3052.95,19522,20948.33,10586,6609.57,41,37.56,1,1.55,62,51.8,12,12.41,0,1.95,1,0.66,29,17.87,11,7.31
Lakhimpur,91,590,524.19,2261,2073.37,43015,34334.35,24392,14893.71,26,34.65,53,203.79,589,1219.82,63,77.17,0,4,3,2.82,62,66.74,10,9.96
Majuli,16,95,54.89,311,175.54,5278,2819.87,1548,739.63,2,0.01,0,0,20,11.49,10,5.12,0,0.06,0,0,95,28.7,19,13.07
Morigaon,70,378,390.25,2215,1410.99,30298,20829.88,13828,7417.64,14,26.25,67,50.28,831,486.06,117,94.71,0,10.74,8,11.11,704,565.66,29,104.57
Nagaon,156,1157,1297,2042,1957.85,60485,43452.73,34920,17409.45,28,21.84,55,87.62,2552,2086.99,221,163.64,0,117.8,32,134.57,1728,2004.55,24,55.98
Nalbari,85,346,505.46,1778,1463.09,20124,16075.15,11363,5816.82,13,17.95,62,58.01,463,406.54,18,12.1,0,9.77,4,8.64,80,156.01,16,17.49
Sivasagar,106,371,626.79,"1,545","1,164.33","20,954","13,244",8060,3660.2,43,46.64,20,9.72,319,293.21,29,20.06,0,0,1,0.03,244,214.93,22,15.91
Sonitpur,134,346,722.47,2229,1844.31,19368,18249.51,9545,6193.89,18,20.31,38,34.05,301,258.23,23,34.35,0,0.08,30,39.42,249,181.32,8,8.7
South Salmara,16,6,3.65,2,1.39,1847,837.28,1392,406.95,0,0,0,0,2,3.07,2,5.23,0,0,0,0,20,27.13,11,13.21
Tamulpur,21,71,330.16,39,58.79,3861,4165.37,2135,1121.4,2,0.04,0,0,2,0.78,0,0,0,2.92,0,0,7,9.9,0,0
Tinsukia,151,662,1013.42,4244,5202.88,33616,30978.05,15476,10946.16,23,27.87,137,210.16,511,791.3,63,66.28,0,3.93,39,22.22,134,276.05,11,11.73
Udalguri,56,166,189.92,671,572.79,21385,17110.83,20479,12906.25,4,0,0,0,15,13.41,8,14.51,0,0,0,0,18,63.77,6,14.58
West Karbi Anglong,21,153,158.22,430,394.6,8303,4631.08,2582,1000.45,1,0.73,0,0,14,9.29,1,0.45,0,0,5,0,8,1.74,0,0
