district,Total Branch,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Morigaon,70,"7,901","20,161.32",130,218.64,304,215.20,619,714.17,362,222.18,680,"1,367.24",451,657.45,"9,574","21,432.96","1,561",732.28,50,712.24,13,67.27
Nagaon,156,"18,570","50,987.02",524,767.55,343,311.16,853,2433.27,30,23.02,"1,311","4,638.74",593,"1,041.84","19,613","52,201.43",595,494.49,118,"1,658.34",19,155.40
Nalbari,85,"8,809","28,037.03",137,297.51,166,132.55,225,551.34,13,10.00,802,"2,160.93",386,685.15,"9,524","28,168.67",523,302.55,50,772.51,10,151.60
Sivasagar,106,"6,801","18,769.99",201,282.38,99,97.64,243,552.33,26,26.58,706,"2,424.35",252,487.04,"7,471","19,868.76",153,150.46,74,"1,210.62",8,81.99
Sonitpur,134,"10,393","30,911.87",282,361.75,289,123.33,456,"1,271.93",9,10.79,"1,163","2,997.83",407,621.58,"11,071","30,520.30",880,351.77,122,"1,796.97",14,124.38
South Salmara,16,"1,193","2,732.92",28,31.66,149,51.47,4,9.40,-,-,322,410.68,263,265.24,"1,333","3,094.38",159,57.85,3,75.61,-,-
Tamulpur,21,"3,851","11,404.52",42,57.89,21,26.29,51,133.91,0,0,205,364.50,109,154.19,"3,540","10,073.22",59,40.23,4,147.80,1,8.53
Tinsukia,151,"9,316","30,730.23",276,473.07,207,150.78,"1,612","4,626.92",73,46.75,"1,364","3,999.13",522,975.89,"9,238","29,345.20",369,202.02,125,"2,257.23",9,77.41
Udalguri,56,"7,979","21,238.08",269,453.10,122,179.49,75,164.08,5,3.82,"1,180","2,003.95","1,082","1,694.26","6,096","16,820.94",460,328.53,19,460.98,4,105.49
West Karbi Anglong,21,"2,794","8,645.22",38,49.82,55,45.79,67,247.95,0,0,26,97.62,4,7.26,"3,185","9,089.04",263,84.80,8,98.74,0,0
