district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resourc e A/C Nos,Water Resourc e Amount,Farm mechanizati on A/C Nos,Farm mechanizatio n Amount,Plantation & horticulture A/C Nos,Plantation & ho r tic u lt u re A m o u n t,Animal Husbandr y A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastru cture Ac,Agri. Infrastructur e Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Dhubri,90,"1,131","1,996.52",11,29.55,0,0,38,128.34,0,0,75,130.10,7,7.07,"2,280","2,483.74",0,0,831,"2,504.58","4,373","7,279.90"
Dibrugarh,187,"7,382","4,481.84",10,26.95,0,0,179,694.88,5,93.02,289,"1,071.59",5,3.19,"3,630","3,533.74",2,6.2,"1,090","14,087.59","12,592","23,999.00"
Dima Hasao,33,25,56.21,1,2.99,0,0,-,-,2,0.95,39,80.04,0,0,65,207.86,0,0,37,119.90,169,467.95
Goalpara,71,"1,262","2,686.77",-,-,0,0,48,201.08,4,8.4,97,426.23,6,10.8,"1,327","2,005.45",0,0,301,"1,809.39","3,045","7,148.12"
Golaghat,126,"1,826","2,060.88",4,17.11,1,2.98,112,395.01,5,12.42,236,825.88,2,1.77,"2,982","3,903.98",2,140.01,850,"5,528.05","6,020","12,888.09"
Hailakandi,47,408,374.32,0,0,0,0,4,24.34,0,0,51,77.51,0,0.69,609,757.26,1,531.94,413,586.30,"1,486","2,352.36"
Hojai,66,728,"1,036.00",1,3.00,0,0,42,197.75,4,13.83,121,203.43,0,0.54,"1,334","2,055.76",2,4.01,315,961.39,"2,547","4,475.71"
Jorhat,145,"1,736","1,957.92",14,44.47,0,0,72,269.04,3,6.35,69,233.84,9,10.5,"3,025","4,101.77",2,45.41,634,"14,561.90","5,564","21,231.20"
Kamrup,181,"2,104","3,190.33",8,19.19,0,0,133,677.92,2,3.47,171,461.98,12,29.45,"6,428","7,016.77",7,38,886,"2,478.15","9,751","13,915.26"
Kamrup Metro,473,929,"2,101.43",75,189.66,55,99.48,"2,029","1,846.15",36,60.42,725,550.68,388,175.34,"2,346","3,623.99",15,1457.87,569,"44,857.56","7,167","54,962.58"
Karbi Anglong,62,639,558.56,-,-,0,0,17,61.39,1,2,173,501.99,17,16.34,621,"1,112.50",1,3.9,71,167.74,"1,540","2,424.42"
Kokrajhar,60,"1,358","2,255.40",4,8.90,0,0,10,41.55,7,30,114,183.87,25,36.44,"2,313","2,458.82",3,18,635,"1,552.74","4,469","6,585.72"
Lakhimpur,91,"4,017","2,899.56",-,-,0,0,186,942.41,7,17.66,205,672.42,6,13.48,"1,821","2,877.67",2,3,714,"2,299.50","6,958","9,725.70"
Majuli,16,216,352.57,-,-,0,0,-,-,1,6,25,129.81,4,1.62,465,364.00,0,0,83,259.63,794,"1,113.63"
Morigaon,70,"1,115","1,130.52",-,-,0,0,117,571.62,0,0,412,240.23,35,24.72,"1,250","1,869.32",1,40,212,821.74,"3,142","4,698.15"
Nagaon,156,"6,167","3,725.73",4,9.48,2,3.36,333,1508.82,0,0,236,695.63,44,57.59,"4,894","6,750.16",2,61,993,"3,683.42","12,675","16,495.19"
Nalbari,85,"1,144","1,976.38",2,4.80,0,0,81,386.65,5,2.71,196,634.11,48,25.22,"1,900","3,195.28",1,8,424,"1,819.34","3,801","8,052.49"
Sivasagar,106,"1,293","1,496.63",1,2.13,0,0,110,326.73,2,1.72,101,217.25,3,8.5,"2,212","2,155.81",3,13.61,701,"2,809.56","4,426","7,031.94"
Sonitpur,134,"1,255","1,844.14",2,4.94,0,0,226,947.31,3,6.66,127,358.37,6,2.41,"3,766","4,556.94",2,10.93,697,"6,717.21","6,084","14,448.91"
South Salmara,16,37,121.33,-,-,0,0,-,-,0,0,-,-,0,0,26,76.00,0,0,100,102.89,163,300.22
Sribhumi,95,273,563.34,14,36.51,0,0,11,3.08,0,0,67,167.03,38,123.79,"1,779","1,491.48",0,0,467,793.12,"2,649","3,178.35"
Tamulpur,21,164,565.04,1,2.72,0,0,48,209.67,0,0,18,60,10,8.05,504,"1,215.14",0,0,116,210.29,861,"2,270.91"
Tinsukia,151,"3,136","3,554.76",5,12.47,0,0,131,508.90,8,4.5,110,361.03,4,16.47,"1,769","2,366.75",2,388.35,828,"16,365.71","5,993","23,578.94"
Udalguri,56,"1,047","1,100.01",0,0,0,0,7,29.25,0,0,38,93.26,9,1.29,"1,301","2,672.88",0,0,584,"1,318.98","2,986","5,215.67"
West Karbi Anglong,21,280,237.92,0,0,0,0,0,0,0,0,45,186.08,0,0,71,266.40,0,0,18,42.59,414,732.99
