District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Dhubri,90,51508,50652.21,22921,11134.53,21.98,14306,55497.40,4488,3988.65,7.19,18379,28596.97,1120,513.20,1.79,84193,134746.58,28529,15636.38,11.60
Dibrugarh,187,92313,135103.63,29708,18184.14,13.46,27752,204069.13,7785,14339.00,7.03,20163,59727.99,982,1149.41,1.92,140228,398900.75,38475,33672.55,8.44
Dima Hasao,33,3576,5423.98,612,247.20,4.56,4475,8950.46,735,663.51,7.41,480,3751.50,13,28.63,0.76,8531,18125.94,1360,939.34,5.18
Goalpara,71,38649,46044.31,11021,5932.70,12.88,11825,44711.43,3018,3726.21,8.33,14397,20484.71,1347,573.37,2.80,64871,111240.45,15386,10232.28,9.20
Golaghat,126,84342,96979.33,27708,13866.66,14.30,17080,69810.42,4081,5298.90,7.59,18086,31258.40,273,317.43,1.02,119508,198048.15,32062,19482.99,9.84
Hailakandi,47,25644,20786.60,10358,4876.86,23.46,7251,20263.92,2058,2139.57,10.56,9109,9373.35,183,328.59,3.51,42004,50423.87,12599,7345.02,14.57
Hojai,66,33841,36688.79,9755,5133.04,13.99,11063,52658.28,3153,4161.58,7.90,9841,12894.64,457,229.03,1.78,54745,102241.71,13365,9523.65,9.31
Jorhat,145,68687,99462.65,22513,11324.96,11.39,19477,163481.62,4511,20516.98,12.55,18435,68861.48,480,991.97,1.44,106599,331805.75,27504,32833.91,9.90
Kamrup Metro,181,117926,117993.12,34906,19011.41,16.11,22901,123481.30,5364,7109.47,5.76,30427,62777.25,842,724.10,1.15,171254,304251.67,41112,26844.98,8.82
Karbi Anglong,62,42225,48638.89,9384,4986.59,10.25,10437,26630.08,2085,1737.26,6.52,6326,23487.00,528,276.86,1.18,58988,98755.97,11997,7000.71,7.09
Kokrajhar,60,44216,48008.26,12017,7090.02,14.77,10077,37203.29,3382,4326.16,11.63,11673,19706.41,1119,211.02,1.07,65966,104917.96,16518,11627.20,11.08
Lakhimpur,91,83758,81718.18,32535,17745.98,21.72,20576,76431.41,5984,5838.50,7.64,13623,44716.93,1338,837.05,1.87,117957,202866.52,39857,24421.53,12.04
Majuli,16,11237,9865.68,2433,1568.03,15.89,2354,5716.08,397,442.27,7.74,1482,7262.97,347,20.09,0.28,15073,22844.73,3177,2030.39,8.89
Morigaon,70,55979,52332.12,19991,10566.81,20.19,12063,32381.97,4181,5205.94,16.08,8873,15825.73,574,284.43,1.80,76915,100539.82,24746,16057.18,15.97
Nagaon,156,120446,118622.97,46570,22464.91,18.94,31686,163289.17,8458,11067.93,6.78,24374,54896.05,478,864.16,1.57,176506,336808.19,55506,34397.00,10.21
Nalbari,85,51805,56808.75,17386,8560.78,15.07,13531,58633.96,3797,4644.44,7.92,13496,35643.60,643,554.69,1.56,78832,151086.31,21826,13759.91,9.11
Sivasagar,106,50110,55633.03,12505,5787.85,10.40,16482,99340.91,3839,5313.97,5.35,12592,32314.04,827,643.09,1.99,79184,187287.98,17171,11744.91,6.27
Sonitpur,134,61083,72162.81,17458,9520.17,13.19,21546,139435.83,5623,9265.91,6.65,21427,58091.79,1666,1812.35,3.12,104056,269690.43,24747,20598.43,7.64
South Salmara,16,3318,3602.75,1706,685.83,19.04,2049,6196.41,935,1260.60,20.34,1391,4337.44,211,314.09,7.24,6758,14136.60,2852,2260.52,15.99
Tamulpur,21,11865,16264.27,3613,2030.73,12.49,3949,8397.27,900,842.09,10.03,1868,5355.01,156,121.75,2.27,17682,30016.55,4669,2994.57,9.98
Tinsukia,151,59367,105763.99,18617,14795.27,13.99,24310,195614.65,5705,9176.27,4.69,14266,37882.49,640,523.10,1.38,97943,339261.13,24962,24494.64,7.22
Udalguri,56,46465,42412.59,25607,15568.11,36.71,10380,27369.61,3945,5525.49,20.19,9657,23322.66,2820,1372.88,5.89,66502,93104.86,32372,22466.48,24.13
West Karbi Anglong,21,14114,14892.76,3311,1323.48,8.89,1809,2182.68,350,148.71,6.81,984,6044.40,19,41.74,0.69,16907,23119.84,3680,1513.93,6.55
