Sl No.,Bank Name,Agri (PS) Target No.,Agri (PS) Target Amount,Agri (PS) Achieved No.,Agri (PS) Achieved Amount,Agri(PS) Achv% Amount,Crop Loan Target No.,Crop Loan Target Amount,Crop Loan Achieved No.,Crop Loan Achieved Amount,Crop Loan Achv% Amount,MSME (PS) Target No.,MSME (PS) Target Amount,MSME (PS) Achieved No.,MSME (PS) Achieved Amount,MSME (PS) Achv% Amount,Other PS Target No.,Other PS Target Amount,Other PS Achieved No.,Other PS Achieved Amount,Other PS Achv% Amount,Total (PS) Target No.,Total (PS) Target Amount,Total (PS) Achieved No.,Total (PS) Achieved Amount,Total(PS) Achv% Amount
7,IDFC,132,119,0,0,0,100,50,0,0,0,60,750,61,263.72,35.16,13,125,0,0,0,205,994,61,263.72,26.53
8,INDUS,1042,861,0,0,0,820,535,0,0,0,879,3260,36,1098.06,33.68,96,451,0,0,0,2017,4572,36,1098.06,24.02
9,KMB,148,124,0,0,0,120,60,0,0,0,45,600,0,0,0,14,121,0,0,0,207,845,0,0,0
10,SIB,234,291.2,15,61.06,20.97,164,142,15,61.06,43,93,1141,0,0,0,26,287.75,0,0,0,353,1719.95,15,61.06,3.55
11,YES,136,124,0,0,0,120,60,0,0,0,55,750,2,118,15.73,15,123,0,0,0,206,997,2,118,11.84
Priv,Total,18950,17420.68,2382,1777.24,10.2,12811,10224,165,187.4,1.83,10526,64446.84,858,33689.98,52.28,3172,8436.74,780,406.86,4.82,32648,90304.26,4020,35874.08,39.73
1,ESAF,212,198,2,8.64,4.36,170,110,0,0,0,71,660,0,0,0,18,195,0,0,0,301,1053,2,8.64,0.82
2,JSF,147,120,0,0,0,120,60,0,0,0,45,580,0,0,0,13,221,0,0,0,205,921,0,0,0
3,SSFB,3202,2991.68,0,0,0,2429,2078.4,0,0,0,636,2242.84,32,85.48,3.81,265,794.8,0,0,0,4103,6029.32,32,85.48,1.42
4,UJJIVAN,143,117,12,16,13.68,120,60,0,0,0,35,520,718,555.08,106.75,12,101,110,148.2,146.73,190,738,840,719.28,97.46
Small FB,Total,3704,3426.68,14,24.64,0.72,2839,2308.4,0,0,0,787,4002.84,750,640.56,16,308,1311.8,110,148.2,11.3,4799,8741.32,874,813.4,9.31
1,MLRB,26023,24804.14,9905,10212.15,41.17,17029,14740.5,8665,7341.48,49.8,13181,30170.04,1343,3693.61,12.24,3942,9180.53,210,1431.02,15.59,38804,47676.71,11458,15336.78,32.17
RRB,Total,26023,24804.14,9905,10212.15,41.17,17029,14740.5,8665,7341.48,49.8,13181,30170.04,1343,3693.61,12.24,3942,9180.53,210,1431.02,15.59,38804,47676.71,11458,15336.78,32.17
1,JUCB,127,149,0,0,0,100,100,0,0,0,415,1200,190,859.8,71.65,20,97,33,738,760.82,562,1446,223,1597.8,110.5
2,MCAB,17394,15976.21,1305,1195.55,7.48,11938,9780,756,727.6,7.44,10487,18682.76,1175,2161.8,11.57,2355,5336.46,126,1112.11,20.84,30236,39995.43,2606,4469.46,11.17
3,SCUB,636,496,1,2,0.4,490,250,1,2,0.8,565,2696,592,457.38,16.97,78,595,33,206.17,34.65,1279,3787,626,665.55,17.57
4,TCUB,484,462,0,0,0,300,300,0,0,0,495,445,0,0,0,105,60,0,0,0,1084,967,0,0,0
Grand,Total,123341,112630.86,33126,31724.16,28.17,86456,69316,27432,21550.63,31.09,69742,248147,12167,163328.67,65.82,15732,45051.69,2934,8528.26,18.93,208815,405829.55,48227,203581.09,50.16
