District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Golaghat,127,73491,46936.43,7417,6391.86,8827,7704.61,18,1.37,8651,21431.92,40620,15120.9,4266,6808.44,1084,6.06,7532,7006.42,151906,111408.01
Hailakandi,47,20042,11994.39,3367,2898.77,1375,980.18,5,0.88,3189,5053.01,10701,4220.43,15559,15696.64,150,1.27,1855,2096.76,56243,42942.33
Hojai,60,25735,18016.14,5001,4774.64,2884,2409.57,15,1.07,3922,6859.1,12546,5552.2,12472,17638.39,280,2.73,4537,3333.1,67392,58586.94
Jorhat,139,54106,30236,7432,6695.08,10503,9130.94,56,6.42,6696,17108.99,40784,15224.05,3184,8587.75,1226,12.15,5096,5436.31,129083,92437.69
Kamrup Metro,179,85169,59229.62,8975,6587.02,7666,6560.53,45,3.06,12185,25728.35,45936,16561.99,22215,28641.61,533,1.64,8189,7379.33,190913,150693.15
Karbi Anglong,68,18714,15815.46,635,1152.99,8003,14898.41,9,0.85,7456,19679.27,11926,5063.79,1557,2410.63,179,0.29,2954,1300.3,51433,60321.99
Karimganj,95,31231,19210.28,9110,5452.17,1927,1301.91,39,3.39,4277,6626.38,24211,9260.78,15474,21104.65,380,2.07,3038,2746.15,89687,65707.78
Kokrajhar,59,23396,22072.24,2382,2119.25,12279,18200.31,5,0.43,4474,8270.22,19535,7554.68,10395,9655.23,126,1.24,4947,6247.62,77539,74121.22
Lakhimpur,94,75764,56529.33,6703,6682.85,14504,18979.19,12,0.72,9173,17455.71,26991,13692.73,10759,13517.8,139,1.73,10402,8244.66,154447,135104.72
Majuli,17,9160,9901.59,531,584.69,2423,2267.99,4,0.49,1107,2329.99,785,364.4,28,111.7,92,0.16,1076,1211.9,15206,16772.91
Morigaon,68,48964,78459.83,6013,4721.83,9406,7216.93,85,9.05,6556,10883.79,18436,6823.28,17227,20781.2,1930,5.25,4376,2768.64,112993,131669.8
Nagaon,157,99666,63694.98,11864,9155.78,7547,5904.1,73,5.3,12994,28057.28,54680,22271.28,48359,56245.84,1735,8.24,10147,11090.43,247065,196433.23
Nalbari,89,49992,32354.99,3429,3121.32,2165,2554.07,28,2.21,9423,19907.82,23841,7268.76,10440,11912.5,465,1.92,3925,4143.7,103708,81267.29
Sivasagar,106,52727,27135.34,4344,4418.12,3439,3571.39,60,4.25,4473,8979.11,30682,11759.32,5136,11133.61,1192,12.93,4942,4792.64,106995,71806.71
Sonitpur,135,48626,33909.24,6037,5852.29,7167,8358.2,26,4.66,9181,18703.35,34046,14662.74,10147,18231.03,1033,7.06,11681,13134.69,127944,112863.26
South Salmara,16,2403,1353.73,22,63.65,34,37.01,7,0.67,899,1890.39,213,96.74,2415,5717.93,17,0.06,472,733.65,6482,9893.83
Tamulpur,22,6647,6210.44,655,727,2124,3229.01,0,0,2300,5511.71,3170,1182.77,362,828.61,14,0.02,859,349.22,16131,18038.78
Tinsukia,155,52909,44982.91,3396,3677.65,4539,7222.93,90,7.74,7477,18345.5,30270,15747.73,1982,8404.11,1424,5.07,4496,5776.75,106583,104170.39
Udalguri,52,36630,25059.94,1409,1593.19,20345,24222.18,1,0.11,5139,10273.81,11159,4707.55,7057,10253.37,68,1.22,5234,5804.25,87042,81915.62
West Karbi Anglong,22,4117,3808.11,132,195.76,2110,3786.82,0,0,2947,6222.68,3208,1207.62,241,488.87,6,0.12,32,56.93,12793,15766.91
