district,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,CLF TL A/C,CLF TL Amt,CLF WC A/C,CLF WC Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Dhubri,91,836,6987.33,449,5129.83,50,4813.29,40,4205.29,10,1076.27,3,1454.87,1,7.06,1,1.45,0,0,0,0,0,0,1390,23675.39
Dibrugarh,191,1696,15868.1,1360,14358.56,97,8419.69,154,14961.72,43,3453.61,10,2524.76,17,155.49,13,39.24,0,0,2,349.98,11,1379.91,3403,61511.06
Dima Hasao,32,256,607.32,164,515.96,1,0.2,4,93.14,1,23,0,0,1,0.27,0,0,1,0.02,0,0,0,0,428,1239.91
Goalpara,73,473,3162.84,403,3051.12,22,1287.86,36,3764.13,2,24.4,8,1679.12,0,0,4,5.77,2,5.08,2,3,0,0,952,12983.32
Golaghat,127,776,4930.32,570,5537.59,42,2721.44,79,6314.9,3,216.3,1,8.5,13,132.79,1,0.25,0,0,0,0,0,0,1485,19862.09
Hailakandi,47,405,1089.35,367,2390.57,9,639.61,13,650.83,0,0,0,0,7,16.63,3,19.7,0,0,3,4.5,0,0,807,4811.19
Hojai,60,674,5131.55,409,4482.27,42,2228.8,48,3277.84,3,282.42,2,170,1,9.58,0,0,0,0,0,0,0,0,1179,15582.46
Jorhat,139,1002,11917.43,832,12199.8,68,4722.43,144,14054.46,19,2994.1,5,2646.94,1,0.41,0,0,3,63.68,0,0,0,0,2074,48599.25
Kamrup,179,1127,7761.5,847,13501.47,66,2577.28,145,16874.06,10,358.39,11,2525.79,107,278.9,7,16.14,2,0.25,0,0,0,0,2322,43893.78
Kamrup Metro,471,4447,100142.46,3879,122778.01,729,89495.36,1346,180759.26,302,86984.08,280,99908.13,17,140.99,23,174.29,4,9.61,0,0,25,6163.02,11052,686555.21
Karbi Anglong,68,637,2409.17,263,1882.74,9,260.13,12,1306.69,1,1.79,1,190,26,97.55,3,2.55,1,0,0,0,0,0,953,6150.62
Karimganj,95,514,2640.13,437,7091.97,48,2885.79,65,6565.33,1,26.58,6,1471.6,2,3.86,10,21.95,0,0,0,0,0,0,1083,20707.21
Kokrajhar,59,496,2769.61,341,2986.51,22,790.66,26,1923.39,1,0.06,1,50,1,3.34,3,4.67,4,400.45,0,0,2,60,897,8988.69
Lakhimpur,94,867,3612.65,674,6635.06,34,2540.73,72,7281.82,6,1393.88,8,1673.34,8,95.22,3,8.39,0,0,0,0,0,0,1672,23241.09
Majuli,17,68,334.34,31,252.42,7,106.52,4,111.73,1,3.3,0,0,3,3.5,0,0,1,0.02,0,0,0,0,115,811.83
Morigaon,68,391,2045.66,321,5377.42,26,612.24,42,3417.95,4,47.1,6,2097.28,0,0,0,0,0,0,0,0,0,0,790,13597.65
Nagaon,157,1082,10542.22,812,9703.34,85,5884.03,101,9908.4,22,2903.7,5,1940.26,25,157.19,10,33.79,1,0.01,0,0,0,0,2143,41072.94
Nalbari,89,751,4464.8,498,5483.21,26,1539.74,53,5234.5,2,39,4,1265.15,17,88.77,10,26.63,0,0,0,0,0,0,1361,18141.8
Sivasagar,106,767,5464.8,712,8657.14,48,2330.55,133,9431.68,6,67.38,3,973.11,3,5.7,0,0,6,12.21,0,0,0,0,1678,26942.57
Sonitpur,135,1150,8141.47,776,9077.96,72,7927.44,88,9735.17,17,1328.98,8,1401.74,7,8.23,8,29.54,2,4.76,0,0,0,0,2128,37655.29
South Salmara,16,114,991.17,31,215.12,8,212.17,1,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,1425.23
Tamulpur,22,105,395.28,60,429.1,4,227.03,1,5.65,0,0,1,26.99,1,0,0,0,0,0,0,0,1,25,173,1109.05
Tinsukia,155,1521,18797.88,1422,18934.46,137,8256.24,197,17901.92,12,2437.38,13,2873.08,13,68.54,9,40.73,64,81.8,1,25,19,2533.62,3408,71950.65
Udalguri,52,415,1687.35,235,1744.27,3,95.9,5,240.54,0,0,0,0,0,0,3,4.75,0,0,0,0,2,100,663,3872.81
West Karbi Anglong,22,89,187.75,44,87.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,275.47
