Date,Period,Year,Quarter,FY,District,CY_Sanction_No,CY_Sanction_Amt,CY_Disbursed_No,CY_Disbursed_Amt,OS_No,OS_Amt,NPA_No,NPA_Amt,NPA_Pct
2023-12-31,Dec 2023,2023,4,FY 2023-24,SOUTH GARO HILLS,25,131.06,17,51.8,205,515.53,135,209.83,40.7
2023-12-31,Dec 2023,2023,4,FY 2023-24,SOUTH WEST GARO HILLS,56,272.99,39,145.74,254,662.97,115,236.4,35.66
2023-12-31,Dec 2023,2023,4,FY 2023-24,SOUTH WEST KHASI HILLS,28,116.39,27,57.88,137,353.76,29,42.06,11.89
2023-12-31,Dec 2023,2023,4,FY 2023-24,WEST GARO HILLS,249,1190.62,174,738.15,842,2916.32,283,695.64,23.85
2023-12-31,Dec 2023,2023,4,FY 2023-24,WEST JAINTIA HILLS,207,1019.86,230,987.32,512,1855.33,99,164.24,8.85
2023-12-31,Dec 2023,2023,4,FY 2023-24,WEST KHASI HILLS,38,185.27,29,58.61,243,538.53,140,168.81,31.35
2024-06-30,Jun 2024,2024,2,FY 2024-25,EAST GARO HILLS,44,145.33,57,135.18,224,612.58,109,200.94,32.8
2024-06-30,Jun 2024,2024,2,FY 2024-25,EAST JAINTIA HILLS,29,199.84,35,180.85,125,536.67,11,13.35,2.49
2024-06-30,Jun 2024,2024,2,FY 2024-25,EAST KHASI HILLS,152,873.88,161,834.89,1552,7088.25,520,1203.36,16.98
2024-06-30,Jun 2024,2024,2,FY 2024-25,EASTERN WEST KHASI HILLS,7,73.44,7,40.26,107,366.41,24,30.14,8.23
2024-06-30,Jun 2024,2024,2,FY 2024-25,NORTH GARO HILLS,6,33.88,42,109.16,237,638.42,105,153.48,24.04
2024-06-30,Jun 2024,2024,2,FY 2024-25,RI BHOI,59,195.23,79,182.14,521,1547.99,156,238.0,15.37
2024-06-30,Jun 2024,2024,2,FY 2024-25,SOUTH GARO HILLS,18,148.05,36,120.78,216,613.39,127,194.47,31.7
2024-06-30,Jun 2024,2024,2,FY 2024-25,SOUTH WEST GARO HILLS,7,36.76,31,87.2,264,703.11,118,234.34,33.33
2024-06-30,Jun 2024,2024,2,FY 2024-25,SOUTH WEST KHASI HILLS,6,18.92,14,30.21,141,399.11,25,40.23,10.08
2024-06-30,Jun 2024,2024,2,FY 2024-25,WEST GARO HILLS,125,618.99,133,631.98,851,3151.76,316,850.5,26.98
2024-06-30,Jun 2024,2024,2,FY 2024-25,WEST JAINTIA HILLS,75,355.16,116,460.81,640,2471.88,91,148.82,6.02
2024-06-30,Jun 2024,2024,2,FY 2024-25,WEST KHASI HILLS,11,66.98,23,47.11,231,568.2,122,163.96,28.86
2024-09-30,Sep 2024,2024,3,FY 2024-25,EAST GARO HILLS,64,244.82,92,234.82,224,646.29,102,174.2,26.95
2024-09-30,Sep 2024,2024,3,FY 2024-25,EAST JAINTIA HILLS,43,276.86,61,316.53,136,627.26,12,20.25,3.23
2024-09-30,Sep 2024,2024,3,FY 2024-25,EAST KHASI HILLS,306,2223.7,339,1826.52,1659,9929.84,540,1243.2,15.68
2024-09-30,Sep 2024,2024,3,FY 2024-25,EASTERN WEST KHASI HILLS,16,163.59,17,107.59,114,428.21,18,21.4,5.0
2024-09-30,Sep 2024,2024,3,FY 2024-25,NORTH GARO HILLS,24,93.45,73,181.77,223,604.16,93,141.1,23.35
2024-09-30,Sep 2024,2024,3,FY 2024-25,RI BHOI,96,362.28,161,365.77,543,1683.05,151,212.79,12.64
2024-09-30,Sep 2024,2024,3,FY 2024-25,SOUTH GARO HILLS,24,199.3,61,268.19,219,682.41,128,200.08,29.22
2024-09-30,Sep 2024,2024,3,FY 2024-25,SOUTH WEST GARO HILLS,15,87.79,49,181.3,261,719.43,122,263.56,36.63
2024-09-30,Sep 2024,2024,3,FY 2024-25,SOUTH WEST KHASI HILLS,12,36.3,23,39.66,143,412.11,26,34.7,8.42
2024-09-30,Sep 2024,2024,3,FY 2024-25,WEST GARO HILLS,205,1117.57,283,1360.07,884,3466.5,291,781.49,22.54
2024-09-30,Sep 2024,2024,3,FY 2024-25,WEST JAINTIA HILLS,134,672.47,235,904.52,689,2756.35,105,229.24,8.32
2024-09-30,Sep 2024,2024,3,FY 2024-25,WEST KHASI HILLS,16,116.71,37,80.73,232,592.53,130,188.28,31.78
2024-12-31,Dec 2024,2024,4,FY 2024-25,EAST GARO HILLS,75,245.36,95,273.9,207,604.68,107,171.27,28.32
2024-12-31,Dec 2024,2024,4,FY 2024-25,EAST JAINTIA HILLS,54,322.16,71,383.79,145,675.05,13,23.7,3.51
2024-12-31,Dec 2024,2024,4,FY 2024-25,EAST KHASI HILLS,396,2724.06,454,2578.38,1741,8536.91,561,1407.5,16.49
2024-12-31,Dec 2024,2024,4,FY 2024-25,EASTERN WEST KHASI HILLS,19,191.57,20,134.97,115,449.83,21,30.11,6.69
2024-12-31,Dec 2024,2024,4,FY 2024-25,NORTH GARO HILLS,31,99.91,113,318.87,251,714.48,101,165.68,23.19
2024-12-31,Dec 2024,2024,4,FY 2024-25,RI BHOI,149,518.24,212,565.68,573,1826.21,165,230.43,12.62
2024-12-31,Dec 2024,2024,4,FY 2024-25,SOUTH GARO HILLS,27,199.21,72,346.27,225,748.58,129,200.8,26.82
2024-12-31,Dec 2024,2024,4,FY 2024-25,SOUTH WEST GARO HILLS,19,97.27,89,326.24,264,766.71,145,313.64,40.91
2024-12-31,Dec 2024,2024,4,FY 2024-25,SOUTH WEST KHASI HILLS,20,69.29,35,70.0,146,410.99,27,36.47,8.87
2024-12-31,Dec 2024,2024,4,FY 2024-25,WEST GARO HILLS,235,1274.9,400,2037.19,942,3877.79,301,813.68,20.98
2024-12-31,Dec 2024,2024,4,FY 2024-25,WEST JAINTIA HILLS,178,810.0,279,1070.57,723,2778.24,105,225.95,8.13
2024-12-31,Dec 2024,2024,4,FY 2024-25,WEST KHASI HILLS,25,158.75,39,111.62,235,622.9,127,176.04,28.26
2025-06-30,Jun 2025,2025,2,FY 2025-26,EAST GARO HILLS,17,34.13,3,0.82,195,619.21,103,167.9,27.12
2025-06-30,Jun 2025,2025,2,FY 2025-26,EAST JAINTIA HILLS,4,17.26,5,19.57,146,716.9,11,26.37,3.68
2025-06-30,Jun 2025,2025,2,FY 2025-26,EAST KHASI HILLS,57,383.82,59,236.61,1807,9261.42,539,1520.09,16.41
2025-06-30,Jun 2025,2025,2,FY 2025-26,EASTERN WEST KHASI HILLS,6,49.67,6,21.98,134,561.35,22,25.33,4.51
2025-06-30,Jun 2025,2025,2,FY 2025-26,NORTH GARO HILLS,5,38.63,5,15.49,251,796.09,103,172.25,21.64
2025-06-30,Jun 2025,2025,2,FY 2025-26,RI BHOI,42,155.76,40,70.64,600,2081.02,146,221.45,10.64
2025-06-30,Jun 2025,2025,2,FY 2025-26,SOUTH GARO HILLS,1,1.87,2,1.79,225,790.16,129,196.57,24.88
2025-06-30,Jun 2025,2025,2,FY 2025-26,SOUTH WEST GARO HILLS,4,18.69,4,16.11,254,767.39,145,302.94,39.48
2025-06-30,Jun 2025,2025,2,FY 2025-26,SOUTH WEST KHASI HILLS,4,48.88,6,32.52,158,489.2,37,49.07,10.03
2025-06-30,Jun 2025,2025,2,FY 2025-26,WEST GARO HILLS,54,189.42,16,67.68,938,4034.15,298,844.11,20.92
2025-06-30,Jun 2025,2025,2,FY 2025-26,WEST JAINTIA HILLS,14,47.29,19,45.4,784,2997.07,123,297.88,9.94
2025-06-30,Jun 2025,2025,2,FY 2025-26,WEST KHASI HILLS,10,43.57,8,18.17,229,669.64,106,155.14,23.17
2025-09-30,Sep 2025,2025,3,FY 2025-26,EAST GARO HILLS,64,244.82,92,234.82,224,646.29,102,174.2,26.95
2025-09-30,Sep 2025,2025,3,FY 2025-26,EAST JAINTIA HILLS,43,276.86,61,316.53,136,627.26,12,20.25,3.23
2025-09-30,Sep 2025,2025,3,FY 2025-26,EAST KHASI HILLS,306,2223.7,339,1826.52,1659,7929.84,540,1243.2,15.68
2025-09-30,Sep 2025,2025,3,FY 2025-26,EASTERN WEST KHASI HILLS,16,163.59,17,107.59,114,428.21,18,21.4,5.0
2025-09-30,Sep 2025,2025,3,FY 2025-26,NORTH GARO HILLS,24,93.45,73,181.77,223,604.16,93,141.1,23.35
2025-09-30,Sep 2025,2025,3,FY 2025-26,RI BHOI,96,362.28,161,365.77,543,1683.05,151,212.79,12.64
2025-09-30,Sep 2025,2025,3,FY 2025-26,SOUTH GARO HILLS,24,199.3,61,268.19,219,682.41,128,200.08,29.32
2025-09-30,Sep 2025,2025,3,FY 2025-26,SOUTH WEST GARO HILLS,15,87.79,49,181.3,261,719.43,122,263.56,36.63
2025-09-30,Sep 2025,2025,3,FY 2025-26,SOUTH WEST KHASI HILLS,12,36.3,23,39.66,143,412.11,26,34.7,8.42
2025-09-30,Sep 2025,2025,3,FY 2025-26,WEST GARO HILLS,205,1117.57,283,1360.07,884,3466.5,291,781.49,22.54
2025-09-30,Sep 2025,2025,3,FY 2025-26,WEST JAINTIA HILLS,134,672.47,235,904.52,689,2756.35,105,229.24,8.32
2025-09-30,Sep 2025,2025,3,FY 2025-26,WEST KHASI HILLS,16,116.71,37,80.73,232,592.53,130,188.28,31.78
