lgd,state,district,rwi_mean,rwi_spread,nl_2023,nl_2012,elev_mean,elev_range,nfhs4_ins,nfhs5_ins,irrig_pct,rbi_total,rbi_bc,rbi_branch,rbi_rural,cap_total,nrlm_shg,pmgsy_roads,cdr_latest,deposit_latest,advance_latest,pmjdy_total,pmjdy_zerobal,pmjdy_rural,pmjdy_rupay,pmjdy_female,kcc_total,digi_cov_pct
20,Himachal Pradesh,Kullu,-0.063,2.746,0.1281,0.0857,3316.2,5466.0,19.8,26.8,6.1,,,,,549.0,3224.0,,45.70360722735291,1114109.15,509188.07,115121.0,11547.0,105956.0,67522.0,62851.0,40098.0,
21,Himachal Pradesh,Lahul and Spiti,-0.201,1.53,0.006,0.0013,4840.9,4298.0,21.3,31.2,85.4,,,,,,217.0,,25.572277480318434,118688.49,30351.35,4755.0,520.0,4755.0,2292.0,1267.0,4834.0,
22,Himachal Pradesh,Mandi,-0.047,2.23,0.2407,0.1221,1544.1,3537.0,37.2,41.3,15.0,1722.0,1324.0,201.0,1470.0,124.0,8106.0,1.0,30.974482365262883,2479956.73,768153.76,288466.0,26086.0,270802.0,163599.0,159939.0,86558.0,
23,Himachal Pradesh,Shimla,-0.055,2.45,0.2025,0.0869,2381.5,5007.0,28.7,37.1,5.7,1617.0,970.0,297.0,1209.0,239.0,5458.0,3.0,46.884710361203496,4471126.16,2096274.55,196314.0,22943.0,147402.0,132664.0,111166.0,94441.0,
24,Himachal Pradesh,Sirmaur,-0.061,2.059,0.37,0.2261,1191.1,3216.0,22.6,26.2,32.6,1468.0,1232.0,116.0,1161.0,70.0,3882.0,3.0,76.68878259136046,968775.53,742942.16,153586.0,14729.0,133567.0,98230.0,83856.0,32927.0,
25,Himachal Pradesh,Solan,0.044,2.246,1.3202,0.7804,1012.2,1984.0,29.3,41.9,31.2,2207.0,1637.0,235.0,1551.0,163.0,2273.0,1.0,83.5490203743714,2083752.14,1740954.5,196980.0,24442.0,158317.0,150141.0,92428.0,34327.0,
26,Himachal Pradesh,Una,-0.003,2.308,0.7952,0.4034,533.6,818.0,10.7,22.6,28.9,1232.0,959.0,125.0,1045.0,69.0,2688.0,39.0,31.027866829299523,1657754.44,514365.84,145753.0,18438.0,128729.0,99467.0,81680.0,36500.0,
27,Punjab,Amritsar,0.354,2.601,3.3525,2.1714,229.6,136.0,19.7,26.2,99.9,4437.0,3127.0,567.0,1914.0,1057.0,1509.0,201.0,,,,,,,,,,
28,Punjab,Bathinda,0.292,2.086,2.5239,1.5886,210.1,59.0,17.8,20.1,99.6,3108.0,2389.0,337.0,1495.0,342.0,3591.0,39.0,,,,,,,,,,
29,Punjab,Faridkot,0.416,1.869,1.4866,0.8558,203.2,112.0,25.0,20.4,100.0,1237.0,971.0,133.0,783.0,73.0,1241.0,76.0,,,,,,,,,,
30,Punjab,Fatehgarh Sahib,0.391,1.617,2.3672,1.0782,268.7,65.0,40.0,35.1,100.0,1462.0,1150.0,160.0,736.0,105.0,1553.0,152.0,,,,,,,,,,
31,Punjab,Ferozepur,0.276,2.259,1.5557,0.9024,191.2,136.0,,,98.3,,,,,,,41.0,,,,,,,,,,
32,Punjab,Gurdaspur,0.318,2.257,1.7573,1.1141,282.9,750.0,,,96.8,2978.0,2343.0,301.0,2049.0,199.0,4356.0,231.0,,,,,,,,,,
33,Punjab,Hoshiarpur,0.175,2.614,1.1079,0.4629,321.3,511.0,16.0,27.7,86.9,2508.0,1665.0,401.0,1763.0,274.0,1913.0,266.0,,,,,,,,,,
34,Punjab,Jalandhar,0.495,2.474,3.0766,1.6567,233.4,135.0,16.4,25.9,99.9,5121.0,3462.0,775.0,1857.0,2065.0,2154.0,250.0,,,,,,,,,,
35,Punjab,Kapurthala,0.348,2.112,1.9977,0.9328,223.5,109.0,24.9,20.7,99.6,1177.0,641.0,274.0,657.0,184.0,1017.0,164.0,,,,,,,,,,
36,Punjab,Ludhiana,0.505,2.39,3.5488,1.7763,246.8,95.0,24.0,25.2,99.7,9563.0,7185.0,954.0,4511.0,1470.0,2282.0,166.0,,,,,,,,,,
37,Punjab,Mansa,0.279,2.0,1.1684,0.7733,217.9,88.0,22.6,18.4,95.4,1424.0,1170.0,132.0,859.0,79.0,2208.0,90.0,,,,,,,,,,
38,Punjab,Moga,0.352,2.312,1.6917,0.9137,219.6,86.0,18.5,23.7,99.6,2347.0,1921.0,224.0,1249.0,113.0,1788.0,11.0,,,,,,,,,,
39,Punjab,Sri Muktsar Sahib,0.351,2.073,1.2635,0.8811,196.2,71.0,,,100.0,,,,,140.0,,115.0,,,,,,,,,,
40,Punjab,Shahid Bhagat Singh Nagar,0.31,2.251,1.7769,0.5771,274.9,281.0,28.3,23.3,100.0,897.0,573.0,178.0,578.0,83.0,1483.0,151.0,,,,,,,,,,
41,Punjab,Patiala,0.31,2.29,2.3996,1.227,251.3,90.0,14.5,33.8,98.6,3292.0,2287.0,455.0,1715.0,548.0,5153.0,168.0,,,,,,,,,,
42,Punjab,Rupnagar,0.212,2.145,1.8718,0.8572,310.9,778.0,41.8,37.8,90.3,1494.0,1136.0,159.0,979.0,29.0,1810.0,203.0,,,,,,,,,,
43,Punjab,Sangrur,0.235,2.352,1.698,0.798,236.7,92.0,15.3,18.7,99.9,2280.0,1787.0,261.0,1233.0,210.0,3521.0,157.0,,,,,,,,,,
44,Chandigarh,Chandigarh,1.034,1.305,25.0035,18.1173,339.5,159.0,21.3,32.2,77.7,1911.0,744.0,413.0,207.0,1028.0,,,,,,,,,,,,
45,Uttarakhand,Almora,-0.062,1.895,0.205,0.1737,1428.7,2254.0,16.1,66.0,7.1,997.0,751.0,130.0,804.0,35.0,6388.0,127.0,27.0,803200.0,216400.0,120912.0,,,,61669.0,34538.0,
46,Uttarakhand,Bageshwar,-0.166,1.995,0.1189,0.0861,2288.5,6122.0,34.2,71.9,23.1,348.0,255.0,50.0,348.0,14.0,2969.0,69.0,24.0,245900.0,59500.0,50595.0,,,,23076.0,12020.0,
47,Uttarakhand,Chamoli,-0.186,2.383,0.1144,0.0955,3637.4,7091.0,18.8,71.1,5.6,726.0,573.0,80.0,579.0,7.0,5775.0,108.0,28.0,498500.0,137700.0,77925.0,,,,39091.0,21218.0,
48,Uttarakhand,Champawat,-0.147,1.977,0.1993,0.1794,1146.4,2013.0,15.4,65.7,7.6,412.0,290.0,62.0,360.0,0.0,2406.0,56.0,35.0,289800.0,102900.0,63548.0,,,,26657.0,14295.0,
49,Uttarakhand,Dehradun,0.109,2.455,2.2623,1.1571,1076.1,2772.0,31.2,67.3,39.4,3876.0,2236.0,646.0,1418.0,,4015.0,42.0,39.0,8889600.0,3497400.0,485765.0,,,,244103.0,40869.0,
50,Uttarakhand,Haridwar,0.092,2.319,2.6658,1.9142,303.4,660.0,6.4,46.6,91.5,4847.0,4093.0,301.0,2966.0,338.0,5622.0,46.0,60.0,2897900.0,1750400.0,858285.0,,,,349457.0,116619.0,
51,Uttarakhand,Nainital,-0.075,2.446,0.7275,0.3965,859.5,2424.0,13.4,60.8,21.9,1712.0,1158.0,252.0,961.0,290.0,5180.0,72.0,56.0,2383700.0,1336000.0,288975.0,,,,129600.0,58387.0,
52,Uttarakhand,Pauri Garhwal,-0.128,2.82,0.2464,0.1504,1172.9,2845.0,15.9,62.7,8.6,,,,,63.0,7195.0,105.0,27.0,1152900.0,311700.0,138980.0,,,,62764.0,32924.0,
53,Uttarakhand,Pithoragarh,-0.223,1.942,0.0855,0.0876,3310.4,6343.0,20.9,72.8,10.9,897.0,721.0,95.0,715.0,13.0,5114.0,39.0,33.0,567800.0,198000.0,88322.0,,,,35203.0,33139.0,
54,Uttarakhand,Rudra Prayag,-0.082,2.455,0.3178,0.23,2506.1,6272.0,29.9,76.6,10.7,469.0,384.0,48.0,469.0,0.0,2453.0,88.0,28.0,288200.0,80700.0,50715.0,,,,22112.0,14212.0,
55,Uttarakhand,Tehri Garhwal,-0.05,2.483,0.4438,0.4364,1876.5,6069.0,37.4,71.2,8.6,822.0,617.0,113.0,686.0,10.0,,111.0,34.0,721700.0,244300.0,134090.0,,,,64031.0,42565.0,
56,Uttarakhand,Udam Singh Nagar,0.101,2.013,2.7985,1.8982,224.1,353.0,,,95.3,,,,,,7890.0,31.0,100.0,2085600.0,2090900.0,817540.0,,,,387959.0,145492.0,
57,Uttarakhand,Uttar Kashi,-0.231,2.363,0.0727,0.0514,3602.7,6380.0,32.3,80.3,16.0,476.0,370.0,56.0,424.0,3.0,5155.0,30.0,50.0,288600.0,144700.0,90870.0,,,,48251.0,36011.0,
58,Haryana,Ambala,0.408,2.031,3.1568,1.6684,282.3,156.0,16.7,19.0,96.0,2139.0,1491.0,302.0,1132.0,280.0,3383.0,1.0,72.64,3252459.6277,2362591.8313,406958.0,,191881.0,264327.0,226627.0,90054.0,
59,Haryana,Bhiwani,0.03,2.536,1.0392,0.6947,230.5,340.0,0.0,28.2,53.4,2095.0,1778.0,171.0,1281.0,1820.0,4479.0,1.0,98.57,1234138.3163,1216491.8313,408590.0,,203030.0,268208.0,225708.0,161721.0,
60,Haryana,Faridabad,0.679,2.003,9.9896,7.4531,206.5,168.0,18.8,32.8,98.9,4282.0,3175.0,401.0,1821.0,1331.0,1303.0,,69.06,8197437.5622,5661270.9065,1024776.0,,143619.0,775903.0,464488.0,30157.0,
61,Haryana,Fatehabad,0.282,2.161,1.3155,0.7951,216.4,85.0,3.1,29.4,94.5,2373.0,2065.0,172.0,1413.0,281.0,3934.0,1.0,120.63,876642.3202,1057500.1546,445618.0,,220745.0,298424.0,241058.0,157239.0,
62,Haryana,Gurugram,0.585,2.321,11.0405,6.2414,232.8,175.0,,,97.4,6926.0,4178.0,1038.0,2469.0,1687.0,1047.0,2.0,87.59,35839861.3782,31392862.9917,1120839.0,,203138.0,854638.0,335470.0,37113.0,
63,Haryana,Hisar,0.09,2.813,1.5174,0.7784,215.7,85.0,10.3,27.9,86.4,2662.0,2149.0,237.0,1127.0,64.0,3161.0,3.0,112.37,2583077.6045,2902624.7814,640938.0,,311882.0,460377.0,343229.0,221366.0,
64,Haryana,Jhajjar,0.361,2.123,2.5517,1.4488,217.9,102.0,13.4,27.0,80.9,1847.0,1469.0,193.0,1293.0,91.0,2714.0,1.0,99.78,1899342.3202,1895191.8313,270126.0,,130739.0,185783.0,131756.0,92080.0,
65,Haryana,Jind,0.239,2.21,1.4945,0.949,227.9,71.0,9.5,23.7,99.0,2419.0,2059.0,188.0,1409.0,36.0,2570.0,3.0,98.36,1339482.2463,1317535.8038,443718.0,,157037.0,343200.0,253101.0,144395.0,
66,Haryana,Kaithal,0.343,2.309,1.5211,1.1644,238.1,67.0,13.9,29.1,99.8,1815.0,1487.0,186.0,1028.0,173.0,3271.0,16.0,121.77,1061767.4715,1292916.092,515909.0,,162038.0,373935.0,287141.0,124966.0,
67,Haryana,Karnal,0.383,2.165,2.5716,1.6123,245.8,80.0,11.4,24.6,100.0,2670.0,1928.0,360.0,1304.0,324.0,5314.0,,127.2,2730626.0592,3473438.7523,648900.0,,311179.0,438989.0,363331.0,159358.0,
68,Haryana,Kurukshetra,0.492,2.198,2.3667,1.3916,255.4,63.0,8.1,19.2,100.0,1694.0,1194.0,249.0,912.0,505.0,2958.0,92.0,84.22,1924312.2466,1620579.1432,404338.0,,203019.0,276146.0,225728.0,98303.0,
69,Haryana,Mahendragarh,0.127,2.011,1.4085,0.8764,297.3,416.0,10.4,25.6,80.6,1799.0,1535.0,140.0,1255.0,83.0,1843.0,1.0,74.67,1073555.2693,801628.3012,254228.0,,167540.0,176490.0,137208.0,113349.0,
70,Haryana,Panchkula,0.136,2.26,3.1665,1.6944,502.2,1326.0,11.9,19.9,53.8,1093.0,479.0,264.0,399.0,226.0,1684.0,1.0,73.87,5721446.3673,4226181.8891,214421.0,,91500.0,131715.0,106971.0,19964.0,
71,Haryana,Panipat,0.373,2.545,4.4345,3.5234,232.2,122.0,9.5,26.5,100.0,3411.0,2829.0,279.0,1812.0,53.0,1714.0,2.0,160.12,1994754.407,3194087.1902,655296.0,,191993.0,427363.0,325308.0,66744.0,
72,Haryana,Rewari,0.358,1.962,2.6775,1.5816,250.0,272.0,18.1,25.3,91.1,1831.0,1434.0,196.0,1253.0,165.0,2380.0,3.0,59.24,1929558.9692,1143000.1434,273440.0,,142927.0,172568.0,131245.0,112893.0,
73,Haryana,Rohtak,0.265,2.229,2.3176,1.5588,220.8,140.0,9.9,24.8,88.3,1966.0,1425.0,244.0,1061.0,318.0,1652.0,1.0,76.74,2875585.5917,2206591.8313,276809.0,,97065.0,194112.0,145280.0,89776.0,
74,Haryana,Sirsa,0.127,2.407,1.1483,0.6846,199.8,117.0,8.4,26.6,88.1,3334.0,2907.0,224.0,2145.0,201.0,2185.0,,114.22,1340544.9968,1531187.1497,596041.0,,302745.0,420060.0,328434.0,239603.0,
75,Haryana,Sonipat,0.334,2.422,3.097,1.7123,223.4,113.0,9.4,22.4,96.3,3200.0,2514.0,335.0,1794.0,308.0,2175.0,4.0,82.52,3030157.6282,2500527.2384,455058.0,,236957.0,309532.0,229377.0,103269.0,
76,Haryana,Yamunanagar,0.353,2.063,2.0499,1.0754,302.6,464.0,11.0,20.6,92.6,2640.0,2178.0,238.0,1856.0,199.0,4451.0,3.0,96.31,2017628.4335,1943100.0,534466.0,,242813.0,368747.0,300548.0,85115.0,
77,Delhi,Central,1.256,0.912,54.0296,58.5687,222.1,74.0,0.0,22.6,,,,,,428.0,,,75.57,27477869.35,20765238.01,,,,,,,
78,Delhi,East,1.045,1.392,43.3933,48.8542,206.2,77.0,0.0,30.7,,,,,,0.0,,,42.73,8123603.72,3470904.51,,,,,,,
79,Delhi,New Delhi,1.102,0.56,58.6136,59.9594,222.3,78.0,0.0,25.2,,2014.0,695.0,375.0,20.0,6991.0,,,206.09,58024154.22,119582687.74,,,,,,,
80,Delhi,North,0.916,1.803,33.83,33.9699,214.0,70.0,0.0,19.4,98.7,,,,,177.0,,,48.0,5929961.88,2846666.76,,,,,,,
81,Delhi,North East,1.012,1.57,27.1726,32.74,208.6,46.0,0.0,28.2,93.7,,,,,0.0,,,54.31,1210952.49,657706.37,,,,,,,
82,Delhi,North West,0.9,2.075,21.3578,21.4644,214.9,82.0,0.0,18.1,94.9,,,,,1209.0,,,50.03,10305750.15,5156387.66,,,,,,,
83,Delhi,South,0.944,1.882,26.8658,27.5877,244.0,143.0,0.0,24.5,96.7,,,,,621.0,,,26.39,22240515.78,5870307.14,,,,,,,
84,Delhi,South West,0.95,1.55,24.4736,19.5474,222.0,113.0,0.0,28.7,76.3,,,,,10.0,,,31.31,13245333.73,4147713.49,,,,,,,
85,Delhi,West,1.129,1.142,36.5797,37.3454,216.1,76.0,0.0,21.0,99.4,,,,,1092.0,,,45.13,15480588.1,6986191.99,,,,,,,
86,Rajasthan,Ajmer,-0.105,2.589,1.1584,0.6044,416.5,582.0,14.7,88.7,26.0,4227.0,3433.0,340.0,2429.0,561.0,7383.0,234.0,74.62,3848770.0,2871988.0,1313623.0,106344.0,754066.0,1096505.0,,,
87,Rajasthan,Alwar,-0.005,2.649,1.5416,1.1768,323.1,592.0,10.6,80.8,64.6,4985.0,4450.0,232.0,3990.0,309.0,9620.0,554.0,86.04,2060285.0,1772737.0,1815392.0,163544.0,1405123.0,1362306.0,,,
88,Rajasthan,Banswara,-0.077,2.019,0.6586,0.38,253.2,500.0,12.5,84.2,35.5,3339.0,3040.0,155.0,2765.0,91.0,15372.0,723.0,86.43,857228.0,740864.0,1401372.0,105410.0,1142668.0,1117357.0,,,
89,Rajasthan,Baran,-0.248,2.374,0.7174,0.5403,320.4,355.0,13.4,89.5,62.1,2301.0,2060.0,133.0,1750.0,48.0,8423.0,408.0,107.58,675032.0,726231.0,646340.0,43344.0,491974.0,452027.0,,,
90,Rajasthan,Barmer,-0.34,2.671,0.2912,0.1267,154.6,976.0,8.9,97.8,7.1,4517.0,4300.0,99.0,3823.0,43.0,10717.0,1089.0,339.77,768378.0,2610745.0,1651949.0,94955.0,1597156.0,1239868.0,,,
91,Rajasthan,Bharatpur,-0.173,2.141,1.2134,0.8938,202.1,305.0,13.2,84.8,51.5,3020.0,2700.0,135.0,2301.0,130.0,7707.0,421.0,71.09,1300199.0,924356.0,1542701.0,131272.0,1184827.0,1132564.0,,,
92,Rajasthan,Bhilwara,-0.153,2.687,0.8376,0.4063,430.2,544.0,22.6,89.1,37.0,5151.0,4531.0,278.0,3630.0,372.0,12613.0,637.0,154.3,2186021.0,3372951.0,1646169.0,83642.0,1340841.0,1321089.0,,,
93,Rajasthan,Bikaner,-0.353,3.172,0.3065,0.169,210.8,263.0,7.9,87.4,10.5,3915.0,3209.0,370.0,2571.0,441.0,5243.0,269.0,109.23,2625540.0,2867837.0,1097281.0,79967.0,820596.0,776583.0,,,
94,Rajasthan,Bundi,-0.267,2.434,0.6521,0.4008,292.8,368.0,8.7,87.7,62.2,2428.0,2185.0,138.0,1776.0,40.0,6731.0,237.0,107.38,719726.0,772815.0,611530.0,37746.0,491828.0,470664.0,,,
95,Rajasthan,Chittorgarh,-0.193,2.048,0.9808,0.627,442.7,351.0,6.6,90.6,36.0,3630.0,3232.0,204.0,2801.0,129.0,8282.0,276.0,105.92,1405458.0,1488663.0,853711.0,51965.0,707458.0,674829.0,,,
96,Rajasthan,Churu,-0.298,2.942,0.3577,0.2286,267.4,309.0,18.6,81.9,3.0,2958.0,2614.0,228.0,2081.0,127.0,7892.0,361.0,107.95,1326690.0,1432141.0,1136259.0,68311.0,788709.0,835591.0,,,
97,Rajasthan,Dausa,0.013,2.114,1.5941,1.2548,298.7,383.0,34.0,91.2,63.3,2954.0,2614.0,164.0,2264.0,98.0,7350.0,431.0,84.16,977186.0,822419.0,995612.0,78525.0,834748.0,762310.0,,,
98,Rajasthan,Dholpur,-0.193,2.505,0.6746,0.4597,200.0,248.0,32.5,89.0,54.8,2320.0,2176.0,69.0,1682.0,32.0,6012.0,251.0,93.86,489749.0,459672.0,861288.0,85935.0,498148.0,580179.0,,,
99,Rajasthan,Dungarpur,-0.115,2.069,0.5818,0.2264,236.5,445.0,9.6,97.5,24.9,2403.0,2177.0,127.0,2004.0,50.0,12109.0,541.0,62.09,819763.0,508997.0,954470.0,38899.0,912093.0,803473.0,,,
100,Rajasthan,Ganganagar,-0.017,3.15,0.5353,0.2564,168.7,137.0,12.9,85.3,71.5,4117.0,3486.0,354.0,2783.0,334.0,,248.0,144.32,1937983.0,2796938.0,924513.0,89104.0,738712.0,652690.0,,,
101,Rajasthan,Hanumangarh,-0.139,2.828,0.4017,0.1728,193.3,124.0,7.0,89.0,42.7,3629.0,3188.0,256.0,2736.0,142.0,6153.0,109.0,186.19,1122949.0,2090827.0,929169.0,85735.0,742150.0,658729.0,,,
102,Rajasthan,Jaipur,0.123,3.06,2.377,1.6306,391.2,523.0,28.9,81.5,49.0,14027.0,10434.0,1392.0,5102.0,3867.0,9419.0,779.0,101.55,23944819.0,24316814.0,3187120.0,250485.0,1731925.0,2525766.0,,,
103,Rajasthan,Jaisalmer,-0.389,2.183,0.111,0.0443,165.5,359.0,31.0,93.7,21.2,1511.0,1319.0,79.0,1123.0,37.0,3056.0,196.0,145.68,407690.0,593926.0,322357.0,21927.0,300230.0,229355.0,,,
104,Rajasthan,Jalore,-0.103,2.498,0.2863,0.1231,132.1,986.0,9.3,96.6,42.9,2950.0,2656.0,168.0,1977.0,77.0,4220.0,244.0,87.82,837357.0,735373.0,1113627.0,74825.0,1032896.0,659765.0,,,
105,Rajasthan,Jhalawar,-0.267,2.008,0.73,0.5862,365.9,306.0,11.6,93.6,47.4,3725.0,3477.0,135.0,2470.0,56.0,9286.0,465.0,130.08,672222.0,874452.0,897199.0,71227.0,698086.0,665557.0,,,
106,Rajasthan,Jhunjhunu,-0.02,2.403,0.9407,0.765,353.6,788.0,23.6,86.1,40.7,3155.0,2603.0,276.0,2100.0,109.0,5335.0,417.0,81.82,2018717.0,1651760.0,1007155.0,55406.0,764860.0,788859.0,,,
107,Rajasthan,Jodhpur,-0.156,2.827,0.7265,0.4028,253.7,323.0,17.6,87.5,8.2,5226.0,4062.0,474.0,3180.0,1019.0,10051.0,324.0,84.98,6222146.0,5287452.0,1703194.0,121329.0,1221111.0,1172039.0,,,
108,Rajasthan,Karauli,-0.2,2.458,0.7439,0.6065,276.4,398.0,24.9,86.4,44.8,1856.0,1636.0,107.0,1438.0,45.0,8570.0,241.0,117.18,658613.0,771751.0,905923.0,59252.0,701797.0,757191.0,,,
109,Rajasthan,Kota,-0.138,2.564,1.6542,1.2309,287.5,351.0,23.6,80.9,74.0,3909.0,3166.0,320.0,2055.0,520.0,6276.0,184.0,77.48,3683675.0,2854240.0,831795.0,59916.0,374069.0,621305.0,,,
110,Rajasthan,Nagaur,-0.107,2.77,0.5484,0.331,344.0,540.0,29.2,90.0,18.8,3965.0,3642.0,157.0,3093.0,948.0,7207.0,748.0,135.73,776829.0,1054423.0,1890532.0,122312.0,1513871.0,1240907.0,,,
111,Rajasthan,Pali,-0.198,2.684,0.5468,0.2253,294.3,996.0,32.8,96.2,29.9,3395.0,2951.0,223.0,2394.0,153.0,7859.0,356.0,74.38,1447794.0,1076841.0,1214423.0,74596.0,955493.0,777120.0,,,
112,Rajasthan,Rajsamand,-0.133,2.393,1.0899,0.5777,631.7,910.0,8.8,93.2,32.2,2773.0,2487.0,142.0,2150.0,73.0,7971.0,361.0,71.01,942687.0,669368.0,704695.0,46639.0,630890.0,549863.0,,,
113,Rajasthan,Sawai Madhopur,-0.215,2.276,0.6402,0.5283,263.7,388.0,31.6,80.5,51.1,2259.0,1971.0,159.0,1674.0,77.0,6065.0,304.0,82.35,927136.0,763492.0,713959.0,43325.0,463850.0,574081.0,,,
114,Rajasthan,Sikar,0.019,2.41,0.9629,0.7205,426.0,743.0,17.4,82.4,38.7,4261.0,3584.0,351.0,2964.0,202.0,5839.0,306.0,109.12,2277101.0,2484680.0,1363291.0,97862.0,1027933.0,1019597.0,,,
115,Rajasthan,Sirohi,-0.219,2.291,0.6208,0.2584,356.4,1523.0,22.1,92.0,52.2,1668.0,1423.0,127.0,1018.0,97.0,4312.0,195.0,55.4,940689.0,521137.0,602143.0,36452.0,539214.0,392458.0,,,
116,Rajasthan,Tonk,-0.256,2.803,0.4438,0.2791,304.1,400.0,23.8,84.5,35.0,2944.0,2622.0,186.0,2165.0,99.0,6736.0,299.0,106.61,954406.0,1017447.0,781233.0,47873.0,559712.0,629458.0,,,
117,Rajasthan,Udaipur,-0.232,2.684,0.7285,0.3701,510.8,1158.0,24.3,94.3,22.8,5044.0,4149.0,383.0,3782.0,785.0,19368.0,879.0,81.75,5092690.0,4163217.0,1752703.0,197474.0,1577930.0,1180348.0,,,
118,Uttar Pradesh,Agra,0.058,2.743,2.454,2.1665,165.2,209.0,5.0,9.4,92.5,8050.0,6723.0,542.0,3714.0,1099.0,14050.0,327.0,70.0,60989.6,42695.66,1607838.0,147050.0,679014.0,1104516.0,906684.0,,
