period,district,amount,amount_rs_in_lakhs,amount_rs_inlakhs,amount_rsin_lakhs,amountof_subsidy_rsin_lakhs,disbursed_upto_31_03_18_no,disbursement,disbursement_no,disbursement_no_of_cases,no_of_cases,no_of_cases_sponsored,no_ofcases_sponsored,pending_disbursement_no,pending_with_bank_for,pending_with_bank_for_disbursement,pending_with_bank_for_disbursement_no,pending_with_bank_for_disbursement_no_of_cases,pending_with_bank_for_no,pending_with_bank_for_nod_i_sb,pending_with_bank_no,pending_with_no,pending_withbank_fordisburseme_nt_no_of_cases,pending_withbank_fordisbursement_no_of_cases,pendingwith_bankfor_disbursement_no_of_cases,pendingwithbank_fordisbursement_no_of_cases,project_cost,project_cost_involved,project_cost_involved_in_sanctioned_cases,s_u_b_s_idy_released_no,sanction_ed,sanctioned,sanctioned_but_pending_for_disbursement_no,sanctioned_caes_project_cost_in,sanctioned_caes_project_cost_involved,sanctioned_cases_project_cost,sanctioned_cases_total_project_cost_involved,sanctioned_no,sponsored_no,subsidy,subsidy_involved,subsidy_involved_in_sanctioned_cases,subsidy_involved_in_sanctioned_cases_r_s_in_lakhs,subsidy_involved_in_sanctioned_cases_rs_in_lakhs,subsidy_involved_in_sanctioned_cases_rs_inlakhs,subsidy_involvedin_sanctioned_cases_rs_inlakhs,subsidy_released,subsidy_released_nedo,subsidy_released_no,subsidy_released_no_of_cases,subsidyreleased_no_of_cases,svoulbvesdidy_involv,total_project_cost_involved_in_sanctioned,total_project_cost_involved_in_sanctioned_cases,total_project_cost_involved_in_sanctioned_cases_rs_in_lakhs,totalproject_cost_involvedin_sanctioned_cases_rsin_lakhs,urseammeonutnt
December 2018,Kalimpong,,,,,,,19.0,,,103.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89,,,,19.0,,,,,,,85.26,,,
December 2018,Kolkata,,,,,,,268.0,,,886.0,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.58,,,,387.0,,,,,,,1731.23,,,
December 2018,Malda,,,,,,,1016.0,,,2943.0,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367.96,,,,1105.0,,,,,,,4559.89,,,
December 2018,Murshidabad,,,,,,,895.0,,,4781.0,,,,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2263.78,,,,1245.0,,,,,,,7624.42,,,
December 2018,Nadia,,,,,,,607.0,,,5403.0,,,,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879.49,,,,821.0,,,,,,,4600.28,,,
December 2018,Paschim Bardhaman,,,,,,,72.0,,,984.0,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.02,,,,100.0,,,,,,,866.4,,,
December 2018,Paschim Medinipur,,,,,,,1377.0,,,7207.0,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2221.3,,,,1426.0,,,,,,,7203.18,,,
December 2018,Purba Bardhaman,,,,,,,404.0,,,6113.0,,,,1650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2276.35,,,,2054.0,,,,,,,8102.87,,,
December 2018,Purba Medinipur,,,,,,,492.0,,,2793.0,,,,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270.15,,,,1157.0,,,,,,,4300.95,,,
December 2018,Purulia,,,,,,,479.0,,,3272.0,,,,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.78,,,,730.0,,,,,,,2086.68,,,
December 2018,Uttar Dinajpur,,,,,,,688.0,,,2110.0,,,,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.99,,,,1304.0,,,,,,,2750.61,,,
December 2019,Alipurduar,0.0,,,,,,,0.0,,,641.0,,,,,,,,,,,,,,,,,,,,291.0,,1020.06,,,,,,,,,,,,,,0.0,,,,306.02,,,,,
December 2019,Bankura,0.0,,,,,,,0.0,,,1872.0,,,,,,,,,,,,,,,,,,,,729.0,,1906.75,,,,,,,,,,,,,,0.0,,,,548.76,,,,,
December 2019,Birbhum,0.0,,,,,,,0.0,,,992.0,,,,,,,,,,,,,,,,,,,,590.0,,1143.34,,,,,,,,,,,,,,0.0,,,,342.93,,,,,
December 2019,Cooch Behar,0.0,,,,,,,0.0,,,1120.0,,,,,,,,,,,,,,,,,,,,638.0,,1369.31,,,,,,,,,,,,,,0.0,,,,408.4,,,,,
December 2019,Dakshin Dinajpur,0.0,,,,,,,0.0,,,75.0,,,,,,,,,,,,,,,,,,,,208.0,,444.48,,,,,,,,,,,,,,0.0,,,,213.91,,,,,
December 2019,Darjeeling,0.0,,,,,,,0.0,,,543.0,,,,,,,,,,,,,,,,,,,,117.0,,464.34,,,,,,,,,,,,,,0.0,,,,139.3,,,,,
December 2019,Hooghly,0.0,,,,,,,0.0,,,1902.0,,,,,,,,,,,,,,,,,,,,572.0,,1908.15,,,,,,,,,,,,,,0.0,,,,595.7,,,,,
December 2019,Howrah,0.0,,,,,,,0.0,,,1099.0,,,,,,,,,,,,,,,,,,,,446.0,,928.87,,,,,,,,,,,,,,0.0,,,,301.36,,,,,
December 2019,Jalpaiguri,0.0,,,,,,,0.0,,,815.0,,,,,,,,,,,,,,,,,,,,432.0,,1079.53,,,,,,,,,,,,,,0.0,,,,346.48,,,,,
December 2019,Jhargram,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,
December 2019,Kalimpong,0.0,,,,,,,0.0,,,80.0,,,,,,,,,,,,,,,,,,,,32.0,,161.65,,,,,,,,,,,,,,0.0,,,,54.68,,,,,
December 2019,Kolkata,0.0,,,,,,,0.0,,,260.0,,,,,,,,,,,,,,,,,,,,230.0,,988.69,,,,,,,,,,,,,,0.0,,,,283.79,,,,,
December 2019,Malda,0.0,,,,,,,0.0,,,567.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,
December 2019,Murshidabad,0.0,,,,,,,0.0,,,3585.0,,,,,,,,,,,,,,,,,,,,1358.0,,3655.01,,,,,,,,,,,,,,0.0,,,,1106.5,,,,,
