period,district,disb_am,disb_amt,disbursement_amt,kishor_no_of_a_cs,kishore_no,kishore_no_of_a_cs,kishore_sanction_no,sanc_amt,sanctioned_amt,shishu_no,shishu_no_of_a_cs,sishu_sanction_no,tarun_no,tarun_no_of_a_cs,tarun_plus_no_of_a_cs,tarun_sanctio_n_no,total,total_amount_rs_in_crore_no_of_a_cs,total_no,total_no_of_a_cs
December 2021,Dakshin Dinajpur,,271.79,,,8900.0,,,279.7,,61100.0,,,446.0,,,,,,70446.0,
December 2021,Howrah,,668.85,,,20295.0,,,698.03,,110051.0,,,1308.0,,,,,,131654.0,
December 2021,Jalpaiguri,,543.99,,,17793.0,,,578.28,,114385.0,,,1522.0,,,,,,133700.0,
December 2021,Jhargram,,80.63,,,2268.0,,,87.41,,10291.0,,,311.0,,,,,,12870.0,
December 2021,Kalimpong,,5.65,,,276.0,,,5.78,,134.0,,,21.0,,,,,,431.0,
December 2021,Kolkata,,725.34,,,17836.0,,,766.9,,88678.0,,,3607.0,,,,,,110121.0,
December 2021,Malda,,579.75,,,14659.0,,,597.86,,135197.0,,,876.0,,,,,,150732.0,
December 2021,Murshidabad,,1301.12,,,41994.0,,,1360.51,,302003.0,,,2158.0,,,,,,346155.0,
December 2021,Nadia,,744.98,,,21435.0,,,775.65,,142389.0,,,2203.0,,,,,,166027.0,
December 2021,North 24 Parganas,,1106.42,,,35963.0,,,1174.92,,198413.0,,,3261.0,,,,,,237637.0,
December 2021,Paschim Medinipur,,611.23,,,17443.0,,,671.28,,70574.0,,,2777.0,,,,,,90794.0,
December 2021,Purba Bardhaman,,753.28,,,21472.0,,,767.51,,88330.0,,,1957.0,,,,,,111759.0,
December 2021,Purba Medinipur,,716.46,,,22259.0,,,823.05,,96211.0,,,2759.0,,,,,,121229.0,
December 2021,South 24 Parganas,,687.41,,,21232.0,,,720.5,,146901.0,,,2212.0,,,,,,170345.0,
December 2021,Uttar Dinajpur,,276.99,,,6632.0,,,288.6,,67197.0,,,574.0,,,,,,74403.0,
December 2022,Alipurduar,,316.75,,,8294.0,,,318.59,,63730.0,,,878.0,,,,,,72902.0,
December 2022,Bankura,,397.62,,,7174.0,,,402.91,,40043.0,,,1857.0,,,,,,49074.0,
December 2022,Birbhum,,759.76,,,19280.0,,,769.35,,60806.0,,,2135.0,,,,,,82221.0,
December 2022,Cooch Behar,,357.44,,,7189.0,,,364.95,,38036.0,,,2155.0,,,,,,47380.0,
December 2022,Dakshin Dinajpur,,350.54,,,12066.0,,,353.2,,61043.0,,,750.0,,,,,,73859.0,
December 2022,Hooghly,,917.57,,,21687.0,,,936.35,,98398.0,,,3703.0,,,,,,123788.0,
December 2022,Howrah,,794.23,,,19772.0,,,806.89,,71247.0,,,2467.0,,,,,,93486.0,
December 2022,Jalpaiguri,,728.01,,,21124.0,,,741.27,,107257.0,,,2718.0,,,,,,131099.0,
December 2022,Jhargram,,143.01,,,3547.0,,,144.23,,11782.0,,,751.0,,,,,,16080.0,
December 2022,Kalimpong,,8.72,,,160.0,,,9.57,,371.0,,,58.0,,,,,,589.0,
December 2022,Kolkata,,1359.59,,,25783.0,,,1392.51,,105220.0,,,6238.0,,,,,,137241.0,
December 2022,Malda,,678.28,,,18473.0,,,685.32,,102639.0,,,1812.0,,,,,,122924.0,
December 2022,Murshidabad,,1458.96,,,40931.0,,,1473.81,,220636.0,,,4203.0,,,,,,265770.0,
December 2022,Nadia,,875.78,,,19003.0,,,894.39,,119699.0,,,3246.0,,,,,,141948.0,
December 2022,North 24 Parganas,,1530.37,,,36361.0,,,1565.87,,167442.0,,,6267.0,,,,,,210070.0,
December 2022,Paschim Medinipur,,1071.05,,,20283.0,,,1079.56,,93599.0,,,6279.0,,,,,,120161.0,
December 2022,Purba Bardhaman,,718.59,,,17443.0,,,732.81,,79221.0,,,2175.0,,,,,,98839.0,
December 2022,Purba Medinipur,,1157.0,,,23497.0,,,1167.43,,100384.0,,,6499.0,,,,,,130380.0,
December 2022,South 24 Parganas,,1001.31,,,26401.0,,,1014.51,,117578.0,,,3503.0,,,,,,147482.0,
December 2022,Uttar Dinajpur,,429.02,,,10152.0,,,435.56,,67115.0,,,1373.0,,,,,,78640.0,
December 2023,Alipurduar,,,222.21,,,6915.0,,,222.9,,27295.0,,,829.0,,,,,,35039.0
December 2023,Bankura,,,428.56,,,8354.0,,,434.33,,43692.0,,,2047.0,,,,,,54093.0
December 2023,Birbhum,,,925.1,,,27391.0,,,930.0,,72241.0,,,2549.0,,,,,,102181.0
December 2023,Cooch Behar,,,369.83,,,6428.0,,,380.1,,31520.0,,,2323.0,,,,,,40271.0
December 2023,Dakshin Dinajpur,,,304.88,,,9936.0,,,306.97,,40005.0,,,775.0,,,,,,50716.0
December 2023,Howrah,,,1037.64,,,32824.0,,,1047.37,,103644.0,,,2657.0,,,,,,139125.0
December 2023,Jalpaiguri,,,581.04,,,16130.0,,,595.24,,58476.0,,,2648.0,,,,,,77254.0
December 2023,Jhargram,,,204.58,,,6199.0,,,205.46,,22530.0,,,842.0,,,,,,29571.0
December 2023,Kalimpong,,,12.02,,,305.0,,,12.37,,550.0,,,82.0,,,,,,937.0
December 2023,Kolkata,,,1738.76,,,51823.0,,,1765.24,,109097.0,,,8847.0,,,,,,169767.0
December 2023,Malda,,,795.55,,,28487.0,,,800.81,,93995.0,,,2352.0,,,,,,124834.0
December 2023,Murshidabad,,,1967.92,,,86364.0,,,1977.57,,244053.0,,,4897.0,,,,,,335314.0
December 2023,Nadia,,,1135.42,,,32872.0,,,1146.15,,151664.0,,,3516.0,,,,,,188052.0
December 2023,North 24 Parganas,,,1983.99,,,57113.0,,,2010.7,,236751.0,,,7118.0,,,,,,300982.0
December 2023,Paschim Medinipur,,,1248.1,,,29944.0,,,1259.73,,121794.0,,,6386.0,,,,,,158124.0
December 2023,Purba Bardhaman,,,764.28,,,18585.0,,,769.96,,94034.0,,,2697.0,,,,,,115316.0
December 2023,Purba Medinipur,,,1384.57,,,42889.0,,,1395.09,,137392.0,,,5758.0,,,,,,186039.0
December 2023,South 24 Parganas,,,1142.89,,,28490.0,,,1154.95,,135055.0,,,4039.0,,,,,,167584.0
December 2023,Uttar Dinajpur,,,409.21,,,11629.0,,,412.82,,43142.0,,,1636.0,,,,,,56407.0
December 2024,Alipurduar,,,460.55,28398.0,,,,,461.33,,27562.0,,,1228.0,0.0,,,,,57188.0
December 2024,Bankura,,,536.64,23183.0,,,,,541.04,,40107.0,,,2000.0,0.0,,,,,65290.0
December 2024,Birbhum,,,1275.43,59247.0,,,,,1279.57,,66898.0,,,3054.0,1.0,,,,,129200.0
December 2024,Cooch Behar,,,790.41,45794.0,,,,,797.0,,38687.0,,,1953.0,1.0,,,,,86435.0
December 2024,Dakshin Dinajpur,,,381.38,21802.0,,,,,384.14,,18950.0,,,1032.0,0.0,,,,,41784.0
December 2024,Howrah,,,1748.2,94224.0,,,,,1756.1,,107106.0,,,3141.0,2.0,,,,,204473.0
December 2024,Jalpaiguri,,,827.97,44988.0,,,,,836.79,,42785.0,,,2582.0,1.0,,,,,90356.0
December 2024,Jhargram,,,165.19,5413.0,,,,,166.1,,11468.0,,,790.0,0.0,,,,,17671.0
December 2024,Kalimpong,,,39.27,1756.0,,,,,40.22,,1354.0,,,120.0,0.0,,,,,3230.0
December 2024,Kolkata,,,2503.23,97123.0,,,,,2531.73,,119057.0,,,10758.0,12.0,,,,,226950.0
December 2024,Malda,,,1092.3,74550.0,,,,,1098.21,,53791.0,,,2352.0,0.0,,,,,130693.0
December 2024,Murshidabad,,,2792.37,196770.0,,,,,2805.9,,174815.0,,,5362.0,0.0,,,,,376947.0
December 2024,Nadia,,,1631.88,91318.0,,,,,1644.06,,106590.0,,,4065.0,0.0,,,,,201973.0
December 2024,North 24 Parganas,,,2891.74,152154.0,,,,,2918.9,,189530.0,,,8277.0,1.0,,,,,349962.0
December 2024,Paschim Medinipur,,,1079.23,42270.0,,,,,1086.88,,60793.0,,,5014.0,3.0,,,,,108080.0
December 2024,Purba Bardhaman,,,1359.45,55360.0,,,,,1364.27,,71777.0,,,4468.0,1.0,,,,,131606.0
December 2024,Purba Medinipur,,,1363.3,64298.0,,,,,1377.29,,62636.0,,,5919.0,3.0,,,,,132856.0
December 2024,South 24 Parganas,,,1735.84,90858.0,,,,,1746.23,,131073.0,,,4413.0,1.0,,,,,226345.0
December 2024,Uttar Dinajpur,,,894.82,53357.0,,,,,898.14,,42299.0,,,2265.0,0.0,,,,,97921.0
June 2018,Alipurduar,,23.63,,,,105.0,,,23.64,,8709.0,,,4.0,,,,,,8818.0
June 2018,Bankura,,60.67,,,,1182.0,,,68.28,,12534.0,,,197.0,,,,,,13913.0
June 2018,Birbhum,,99.32,,,,2370.0,,,105.61,,18690.0,,,185.0,,,,,,21245.0
June 2018,Cooch Behar,,61.83,,,,906.0,,,64.89,,13954.0,,,111.0,,,,,,14971.0
June 2018,Dakshin Dinajpur,,37.17,,,,523.0,,,41.46,,12332.0,,,53.0,,,,,,12908.0
June 2018,Howrah,,156.14,,,,2066.0,,,165.14,,39448.0,,,260.0,,,,,,41774.0
June 2018,Jalpaiguri,,111.73,,,,1254.0,,,124.29,,34997.0,,,191.0,,,,,,36442.0
June 2018,Kolkata,,278.73,,,,2668.0,,,298.9,,62026.0,,,1036.0,,,,,,65730.0
June 2018,Malda,,95.23,,,,1225.0,,,102.13,,27096.0,,,156.0,,,,,,28477.0
June 2018,Murshidabad,,196.2,,,,1895.0,,,214.26,,69305.0,,,208.0,,,,,,71408.0
June 2018,Nadia,,168.35,,,,1575.0,,,185.01,,53196.0,,,278.0,,,,,,55049.0
June 2018,North 24 Parganas,,263.05,,,,3411.0,,,285.06,,72359.0,,,524.0,,,,,,76294.0
June 2018,Paschim Medinipur,,115.37,,,,2340.0,,,130.57,,23548.0,,,339.0,,,,,,26227.0
June 2018,Purba Bardhaman,,271.26,,,,3437.0,,,291.4,,65529.0,,,593.0,,,,,,69559.0
June 2018,Purba Medinipur,,110.02,,,,2102.0,,,117.75,,19315.0,,,294.0,,,,,,21711.0
June 2018,South 24 Parganas,,198.26,,,,2476.0,,,214.36,,60230.0,,,304.0,,,,,,63010.0
June 2018,Uttar Dinajpur,,47.47,,,,717.0,,,52.35,,12301.0,,,102.0,,,,,,13120.0
June 2019,Alipurduar,,,29.71,,,321.0,,,29.92,,9502.0,,,3.0,,,,,,9826.0
June 2019,Bankura,,,54.39,,,928.0,,,60.38,,12342.0,,,171.0,,,,,,13441.0
June 2019,Birbhum,,,102.97,,,2625.0,,,110.46,,14852.0,,,948.0,,,,,,18425.0
June 2019,Cooch Behar,,,59.67,,,766.0,,,63.32,,19407.0,,,118.0,,,,,,20291.0
June 2019,Hooghly,,,175.18,,,2705.0,,,192.48,,33878.0,,,598.0,,,,,,37181.0
June 2019,Howrah,,,156.62,,,2335.0,,,167.0,,34588.0,,,274.0,,,,,,37197.0
June 2019,Jalpaiguri,,,121.62,,,1353.0,,,130.47,,38660.0,,,231.0,,,,,,40244.0
June 2019,Kolkata,,,243.16,,,3365.0,,,260.51,,47253.0,,,923.0,,,,,,51541.0
June 2019,Malda,,,100.88,,,1400.0,,,105.53,,25477.0,,,2502.0,,,,,,29379.0
June 2019,Murshidabad,,,161.03,,,2006.0,,,172.06,,49656.0,,,2182.0,,,,,,53844.0
June 2019,Nadia,,,159.1,,,1677.0,,,170.74,,44698.0,,,1688.0,,,,,,48063.0
June 2019,Paschim Medinipur,,,106.16,,,1682.0,,,115.14,,22059.0,,,303.0,,,,,,24044.0
June 2019,Purba Bardhaman,,,257.62,,,4166.0,,,280.57,,50604.0,,,1122.0,,,,,,55892.0
June 2019,Uttar Dinajpur,,,53.57,,,702.0,,,58.11,,14719.0,,,957.0,,,,,,16378.0
June 2021,Alipurduar,,66.06,,,2706.0,,,67.04,,13568.0,,,45.0,,,,,,16319.0,
June 2021,Bankura,,60.07,,,2018.0,,,69.58,,8272.0,,,255.0,,,,,,10545.0,
June 2021,Birbhum,,208.22,,,9770.0,,,219.78,,22247.0,,,276.0,,,,,,32293.0,
June 2021,Cooch Behar,,60.44,,,3431.0,,,61.89,,10630.0,,,150.0,,,,,,14211.0,
June 2021,Dakshin Dinajpur,,76.12,,,2285.0,,,78.68,,17926.0,,,82.0,,,,,,20293.0,
June 2021,Howrah,,271.31,,,9960.0,,,285.99,,51452.0,,,329.0,,,,,,61741.0,
June 2021,Jalpaiguri,,115.95,,,4122.0,,,122.71,,28488.0,,,263.0,,,,,,32873.0,
June 2021,Jhargram,,20.64,,,314.0,,,21.17,,4583.0,,,43.0,,,,,,4940.0,
June 2021,Kalimpong,,3.14,,,227.0,,,3.18,,62.0,,,6.0,,,,,,295.0,
June 2021,Kolkata,,177.1,,,6965.0,,,198.19,,19825.0,,,719.0,,,,,,27509.0,
June 2021,Malda,,152.03,,,5104.0,,,155.69,,33563.0,,,197.0,,,,,,38864.0,
June 2021,Murshidabad,,343.5,,,15929.0,,,354.2,,68648.0,,,305.0,,,,,,84882.0,
June 2021,Nadia,,281.65,,,9591.0,,,291.59,,53913.0,,,498.0,,,,,,64002.0,
June 2021,North 24 Parganas,,307.1,,,14564.0,,,338.12,,51457.0,,,626.0,,,,,,66647.0,
June 2021,Paschim Medinipur,,145.91,,,5449.0,,,158.1,,18436.0,,,387.0,,,,,,24272.0,
June 2021,Purba Bardhaman,,245.86,,,9660.0,,,262.11,,30434.0,,,476.0,,,,,,40570.0,
June 2021,Purba Medinipur,,212.51,,,7507.0,,,221.35,,32974.0,,,349.0,,,,,,40830.0,
June 2021,South 24 Parganas,,208.78,,,9774.0,,,220.23,,39820.0,,,338.0,,,,,,49932.0,
June 2021,Uttar Dinajpur,,79.11,,,2585.0,,,81.25,,19192.0,,,166.0,,,,,,21943.0,
June 2022,Alipurduar,,75.2,,,2722.0,,,77.77,,19956.0,,,145.0,,,,,,22823.0,
June 2022,Bankura,,116.03,,,2749.0,,,125.08,,11818.0,,,477.0,,,,,,15044.0,
June 2022,Birbhum,,189.02,,,5616.0,,,204.98,,17960.0,,,563.0,,,,,,24139.0,
June 2022,Cooch Behar,,72.08,,,2151.0,,,80.95,,14492.0,,,317.0,,,,,,16960.0,
June 2022,Dakshin Dinajpur,,117.26,,,4759.0,,,121.46,,21667.0,,,226.0,,,,,,26652.0,
June 2022,Hooghly,,254.94,,,6761.0,,,273.94,,27589.0,,,1023.0,,,,,,35373.0,
June 2022,Howrah,,186.93,,,5177.0,,,205.02,,19905.0,,,632.0,,,,,,25714.0,
June 2022,Jalpaiguri,,200.13,,,7328.0,,,218.04,,39443.0,,,669.0,,,,,,47440.0,
June 2022,Jhargram,,38.25,,,1357.0,,,40.25,,3671.0,,,116.0,,,,,,5144.0,
June 2022,Kalimpong,,2.26,,,36.0,,,2.27,,126.0,,,14.0,,,,,,176.0,
June 2022,Kolkata,,323.55,,,5732.0,,,341.69,,26699.0,,,1739.0,,,,,,34170.0,
June 2022,Malda,,202.51,,,6132.0,,,213.24,,33751.0,,,417.0,,,,,,40300.0,
June 2022,Murshidabad,,399.08,,,13700.0,,,416.04,,70018.0,,,884.0,,,,,,84602.0,
June 2022,Nadia,,237.83,,,6186.0,,,254.69,,32640.0,,,779.0,,,,,,39605.0,
June 2022,North 24 Parganas,,377.39,,,11318.0,,,423.76,,43601.0,,,1394.0,,,,,,56313.0,
June 2022,Paschim Medinipur,,259.89,,,6951.0,,,280.07,,25164.0,,,1063.0,,,,,,33178.0,
June 2022,Purba Bardhaman,,219.14,,,6357.0,,,232.56,,21903.0,,,772.0,,,,,,29032.0,
June 2022,Purba Medinipur,,301.79,,,8676.0,,,335.13,,29450.0,,,1276.0,,,,,,39402.0,
June 2022,South 24 Parganas,,259.63,,,7340.0,,,272.81,,31146.0,,,806.0,,,,,,39292.0,
June 2022,Uttar Dinajpur,,119.26,,,3390.0,,,125.77,,20906.0,,,334.0,,,,,,24630.0,
June 2023,Alipurduar,,,52.34,,,1019.0,,,52.42,,6193.0,,,247.0,,,,,,7459.0
June 2023,Bankura,,,136.93,,,2119.0,,,142.88,,12285.0,,,705.0,,,,,,15109.0
June 2023,Birbhum,,,219.32,,,5605.0,,,224.09,,19185.0,,,633.0,,,,,,25423.0
June 2023,Cooch Behar,,,107.05,,,1859.0,,,116.09,,8954.0,,,697.0,,,,,,11510.0
June 2023,Dakshin Dinajpur,,,110.31,,,2706.0,,,112.65,,16865.0,,,282.0,,,,,,19853.0
June 2023,Howrah,,,273.41,,,7878.0,,,283.29,,27181.0,,,735.0,,,,,,35794.0
June 2023,Jalpaiguri,,,185.03,,,4652.0,,,201.32,,19491.0,,,920.0,,,,,,25063.0
June 2023,Jhargram,,,51.55,,,1226.0,,,51.62,,4744.0,,,286.0,,,,,,6256.0
June 2023,Kalimpong,,,4.25,,,108.0,,,4.41,,199.0,,,28.0,,,,,,335.0
June 2023,Kolkata,,,486.42,,,9704.0,,,517.6,,32822.0,,,2664.0,,,,,,45190.0
June 2023,Malda,,,219.54,,,6140.0,,,224.37,,24820.0,,,769.0,,,,,,31729.0
June 2023,Murshidabad,,,513.07,,,16791.0,,,520.96,,66052.0,,,1461.0,,,,,,84304.0
June 2023,Nadia,,,325.71,,,7676.0,,,337.9,,43675.0,,,1120.0,,,,,,52471.0
June 2023,North 24 Parganas,,,567.68,,,13344.0,,,603.14,,63681.0,,,2281.0,,,,,,79306.0
June 2023,Paschim Medinipur,,,379.29,,,7152.0,,,385.97,,31887.0,,,2333.0,,,,,,41372.0
June 2023,Purba Bardhaman,,,227.73,,,4362.0,,,230.58,,25727.0,,,972.0,,,,,,31061.0
June 2023,Purba Medinipur,,,399.92,,,9344.0,,,406.55,,36128.0,,,1999.0,,,,,,47471.0
June 2023,South 24 Parganas,,,338.71,,,7885.0,,,350.38,,40587.0,,,1314.0,,,,,,49786.0
June 2023,Uttar Dinajpur,,,140.98,,,2738.0,,,145.67,,16932.0,,,617.0,,,,,,20287.0
June 2024,Alipurduar,,,61.34,,,1746.0,,,61.72,,5216.0,,,320.0,,,,,,7282.0
June 2024,Bankura,,,128.4,,,3227.0,,,131.69,,9868.0,,,635.0,,,,,,13730.0
June 2024,Birbhum,,,278.58,,,9182.0,,,282.18,,13829.0,,,878.0,,,,,,23889.0
June 2024,Cooch Behar,,,84.35,,,1758.0,,,88.77,,4606.0,,,538.0,,,,,,6902.0
June 2024,Dakshin Dinajpur,,,69.9,,,2686.0,,,71.61,,5058.0,,,296.0,,,,,,8040.0
June 2024,Howrah,,,312.21,,,10265.0,,,323.63,,26205.0,,,964.0,,,,,,37434.0
June 2024,Jalpaiguri,,,143.32,,,4705.0,,,148.73,,7159.0,,,825.0,,,,,,12689.0
June 2024,Jhargram,,,45.61,,,1437.0,,,46.16,,3686.0,,,220.0,,,,,,5343.0
June 2024,Kalimpong,,,6.56,,,105.0,,,6.73,,220.0,,,44.0,,,,,,369.0
June 2024,Kolkata,,,631.76,,,19246.0,,,661.02,,23007.0,,,2900.0,,,,,,45153.0
June 2024,Malda,,,160.6,,,6622.0,,,163.15,,13805.0,,,652.0,,,,,,21079.0
June 2024,Murshidabad,,,548.63,,,30526.0,,,563.08,,45047.0,,,1695.0,,,,,,77268.0
June 2024,Nadia,,,295.64,,,11026.0,,,307.01,,25473.0,,,1268.0,,,,,,37767.0
June 2024,North 24 Parganas,,,524.81,,,18297.0,,,568.44,,43153.0,,,2478.0,,,,,,63928.0
June 2024,Paschim Medinipur,,,278.71,,,6002.0,,,288.98,,16377.0,,,1822.0,,,,,,24201.0
June 2024,Purba Bardhaman,,,208.14,,,6530.0,,,209.61,,16717.0,,,914.0,,,,,,24161.0
June 2024,Purba Medinipur,,,321.32,,,10653.0,,,330.7,,17707.0,,,1907.0,,,,,,30267.0
June 2024,South 24 Parganas,,,302.75,,,8706.0,,,316.07,,25525.0,,,1309.0,,,,,,35540.0
June 2024,Uttar Dinajpur,,,103.45,,,2970.0,,,106.75,,6487.0,,,560.0,,,,,,10017.0
June 2025,Alipurduar,,,126.67,7495.0,,,,,126.88,,5443.0,,,269.0,1.0,,,,,13208.0
June 2025,Bankura,,,119.36,3845.0,,,,,120.07,,5947.0,,,542.0,6.0,,,,,10340.0
June 2025,Birbhum,,,213.23,10571.0,,,,,215.91,,11384.0,,,571.0,3.0,,,,,22529.0
June 2025,Cooch Behar,,,230.13,12655.0,,,,,232.18,,7384.0,,,640.0,6.0,,,,,20685.0
June 2025,Dakshin Dinajpur,,,99.54,5282.0,,,,,100.42,,4451.0,,,257.0,1.0,,,,,9991.0
June 2025,Howrah,,,364.44,20544.0,,,,,369.03,,12522.0,,,785.0,25.0,,,,,33876.0
June 2025,Jalpaiguri,,,215.1,10338.0,,,,,218.07,,8802.0,,,746.0,5.0,,,,,19891.0
June 2025,Jhargram,,,38.49,1007.0,,,,,38.69,,1267.0,,,240.0,1.0,,,,,2515.0
June 2025,Kalimpong,,,16.13,597.0,,,,,16.37,,248.0,,,63.0,0.0,,,,,908.0
