period,district,1_year_above_no,1_year_and_above,1_year_and_above_62,1_year_and_above_no,6_month_to_below1_year_no,6_months_to_1_year,6_months_to_1_year_20,6_months_to_1_year_no,above_60_day_below_6_months,above_60_day_below_6_months_no,above_60_days_below_6_months,above_60_days_below_6_months_118,above_60_days_to_below_6_months_no,amt,amt_in_cr,below_60_days_no,pending_above_1_year_no,pending_above_60_days_no,pending_below_60_days,pending_below_60_days_23,pending_below_60_days_no,pending_below_60_dyas_23,pending_from_6_month_to_1_year_no,sr_no_1,toatal_pending_no,total_pending,total_pending_as_on_31_03_2019_223,total_pending_as_on_31_03_2020,total_pending_as_on_31_06_2019,total_pending_as_on_31_12_2018_223,total_pending_as_on_31_12_2019,total_pending_no
December 2021,Kalimpong,,0.0,,,,0.0,,,2.0,,,,,,,,,,0.0,,,,,,,2.0,,,,,,
December 2021,Kolkata,,30.0,,,,33.0,,,59.0,,,,,,,,,,9.0,,,,,,,131.0,,,,,,
December 2021,Malda,,45.0,,,,7.0,,,5.0,,,,,,,,,,2.0,,,,,,,59.0,,,,,,
December 2021,Murshidabad,,78.0,,,,6.0,,,16.0,,,,,,,,,,1.0,,,,,,,101.0,,,,,,
December 2021,Nadia,,42.0,,,,10.0,,,12.0,,,,,,,,,,1.0,,,,,,,65.0,,,,,,
December 2021,Paschim Bardhaman,,73.0,,,,26.0,,,16.0,,,,,,,,,,7.0,,,,,,,122.0,,,,,,
December 2021,Paschim Medinipur,,54.0,,,,5.0,,,5.0,,,,,,,,,,1.0,,,,,,,65.0,,,,,,
December 2021,Purba Bardhaman,,76.0,,,,25.0,,,20.0,,,,,,,,,,11.0,,,,,,,132.0,,,,,,
December 2021,Purba Medinipur,,49.0,,,,9.0,,,14.0,,,,,,,,,,1.0,,,,,,,73.0,,,,,,
December 2021,Purulia,,16.0,,,,2.0,,,8.0,,,,,,,,,,2.0,,,,,,,28.0,,,,,,
December 2021,Uttar Dinajpur,,21.0,,,,3.0,,,0.0,,,,,,,,,,0.0,,,,,,,24.0,,,,,,
December 2022,Alipurduar,,,,0.0,,,,0.0,,1.0,,,,3.28,,,,,,,2.0,,,,,,,,,,,3.0
December 2022,Bankura,,,,21.0,,,,10.0,,2.0,,,,13.63,,,,,,,2.0,,,,,,,,,,,35.0
December 2022,Birbhum,,,,47.0,,,,19.0,,11.0,,,,34.31,,,,,,,9.0,,,,,,,,,,,86.0
December 2022,Cooch Behar,,,,16.0,,,,8.0,,9.0,,,,24.04,,,,,,,7.0,,,,,,,,,,,40.0
December 2022,Dakshin Dinajpur,,,,43.0,,,,7.0,,2.0,,,,4.91,,,,,,,2.0,,,,,,,,,,,54.0
December 2022,Darjeeling,,,,11.0,,,,10.0,,12.0,,,,62.42,,,,,,,11.0,,,,,,,,,,,44.0
December 2022,Hooghly,,,,121.0,,,,54.0,,80.0,,,,127.64,,,,,,,23.0,,,,,,,,,,,278.0
December 2022,Howrah,,,,126.0,,,,51.0,,39.0,,,,256.36,,,,,,,14.0,,,,,,,,,,,230.0
December 2022,Jalpaiguri,,,,14.0,,,,4.0,,15.0,,,,41.6,,,,,,,8.0,,,,,,,,,,,41.0
December 2022,Jhargram,,,,0.0,,,,2.0,,0.0,,,,0.19,,,,,,,0.0,,,,,,,,,,,2.0
December 2022,Kalimpong,,,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0
December 2022,Kolkata,,,,183.0,,,,24.0,,30.0,,,,371.72,,,,,,,16.0,,,,,,,,,,,253.0
December 2022,Malda,,,,56.0,,,,8.0,,3.0,,,,82.75,,,,,,,4.0,,,,,,,,,,,71.0
December 2022,Murshidabad,,,,64.0,,,,5.0,,12.0,,,,37.37,,,,,,,25.0,,,,,,,,,,,106.0
December 2022,Nadia,,,,70.0,,,,21.0,,14.0,,,,22.73,,,,,,,1.0,,,,,,,,,,,106.0
December 2022,Paschim Bardhaman,,,,77.0,,,,16.0,,22.0,,,,92.52,,,,,,,11.0,,,,,,,,,,,126.0
December 2022,Paschim Medinipur,,,,107.0,,,,10.0,,11.0,,,,52.16,,,,,,,18.0,,,,,,,,,,,146.0
December 2022,Purba Bardhaman,,,,60.0,,,,18.0,,44.0,,,,73.46,,,,,,,7.0,,,,,,,,,,,129.0
December 2022,Purba Medinipur,,,,55.0,,,,14.0,,9.0,,,,51.71,,,,,,,20.0,,,,,,,,,,,98.0
December 2022,Purulia,,,,2.0,,,,6.0,,3.0,,,,5.94,,,,,,,0.0,,,,,,,,,,,11.0
December 2022,Uttar Dinajpur,,,,32.0,,,,12.0,,11.0,,,,16.94,,,,,,,6.0,,,,,,,,,,,61.0
December 2023,Alipurduar,,,,0.0,,,,4.0,,0.0,,,,40.25,,,,,,,0.0,,,,,,,,,,,4.0
December 2023,Bankura,,,,21.0,,,,6.0,,2.0,,,,11.92,,,,,,,0.0,,,,,,,,,,,29.0
December 2023,Birbhum,,,,62.0,,,,21.0,,11.0,,,,28.85,,,,,,,2.0,,,,,,,,,,,96.0
December 2023,Cooch Behar,,,,16.0,,,,9.0,,3.0,,,,3.8,,,,,,,4.0,,,,,,,,,,,32.0
December 2023,Dakshin Dinajpur,,,,23.0,,,,15.0,,21.0,,,,6.02,,,,,,,1.0,,,,,,,,,,,60.0
December 2023,Darjeeling,,,,20.0,,,,14.0,,2.0,,,,17.57,,,,,,,11.0,,,,,,,,,,,47.0
December 2023,Hooghly,,,,130.0,,,,77.0,,26.0,,,,95.19,,,,,,,17.0,,,,,,,,,,,250.0
December 2023,Howrah,,,,118.0,,,,90.0,,34.0,,,,178.77,,,,,,,23.0,,,,,,,,,,,265.0
December 2023,Jalpaiguri,,,,16.0,,,,17.0,,2.0,,,,16.87,,,,,,,5.0,,,,,,,,,,,40.0
December 2023,Jhargram,,,,9.0,,,,0.0,,1.0,,,,1.26,,,,,,,0.0,,,,,,,,,,,10.0
December 2023,Kalimpong,,,,1.0,,,,0.0,,0.0,,,,0.02,,,,,,,0.0,,,,,,,,,,,1.0
December 2023,Kolkata,,,,223.0,,,,119.0,,24.0,,,,233.61,,,,,,,25.0,,,,,,,,,,,391.0
December 2023,Malda,,,,40.0,,,,6.0,,0.0,,,,48.01,,,,,,,0.0,,,,,,,,,,,46.0
December 2023,Murshidabad,,,,80.0,,,,22.0,,3.0,,,,30.42,,,,,,,0.0,,,,,,,,,,,105.0
December 2023,Nadia,,,,55.0,,,,51.0,,5.0,,,,58.05,,,,,,,15.0,,,,,,,,,,,126.0
December 2023,Paschim Bardhaman,,,,52.0,,,,29.0,,10.0,,,,70.28,,,,,,,19.0,,,,,,,,,,,110.0
December 2023,Paschim Medinipur,,,,73.0,,,,27.0,,16.0,,,,58.72,,,,,,,3.0,,,,,,,,,,,119.0
December 2023,Purba Bardhaman,,,,169.0,,,,29.0,,17.0,,,,59.64,,,,,,,17.0,,,,,,,,,,,232.0
December 2023,Purba Medinipur,,,,50.0,,,,32.0,,2.0,,,,25.84,,,,,,,2.0,,,,,,,,,,,86.0
December 2023,Purulia,,,,9.0,,,,3.0,,0.0,,,,6.82,,,,,,,0.0,,,,,,,,,,,12.0
December 2023,Uttar Dinajpur,,,,39.0,,,,11.0,,4.0,,,,12.05,,,,,,,0.0,,,,,,,,,,,54.0
December 2024,Alipurduar,,,,,,,,,,,,,,41.42,,,2.0,2.0,,,4.0,,4.0,,,,,,,,,12.0
December 2024,Bankura,,,,,,,,,,,,,,25.05,,,24.0,3.0,,,7.0,,9.0,,,,,,,,,43.0
December 2024,Birbhum,,,,,,,,,,,,,,17.92,,,50.0,26.0,,,8.0,,53.0,,,,,,,,,137.0
December 2024,Cooch Behar,,,,,,,,,,,,,,29.17,,,12.0,15.0,,,0.0,,46.0,,,,,,,,,73.0
December 2024,Dakshin Dinajpur,,,,,,,,,,,,,,6.92,,,37.0,18.0,,,0.0,,9.0,,,,,,,,,64.0
December 2024,Darjeeling,,,,,,,,,,,,,,82.58,,,28.0,23.0,,,6.0,,27.0,,,,,,,,,84.0
December 2024,Hooghly,,,,,,,,,,,,,,109.23,,,139.0,71.0,,,34.0,,84.0,,,,,,,,,328.0
December 2024,Howrah,,,,,,,,,,,,,,135.85,,,145.0,47.0,,,40.0,,88.0,,,,,,,,,320.0
December 2024,Jalpaiguri,,,,,,,,,,,,,,23.79,,,15.0,18.0,,,9.0,,24.0,,,,,,,,,66.0
December 2024,Jhargram,,,,,,,,,,,,,,4.43,,,11.0,7.0,,,3.0,,6.0,,,,,,,,,27.0
December 2024,Kalimpong,,,,,,,,,,,,,,1.14,,,3.0,0.0,,,2.0,,0.0,,,,,,,,,5.0
December 2024,Kolkata,,,,,,,,,,,,,,192.97,,,90.0,26.0,,,29.0,,155.0,,,,,,,,,300.0
December 2024,Malda,,,,,,,,,,,,,,49.07,,,52.0,10.0,,,18.0,,23.0,,,,,,,,,103.0
December 2024,Murshidabad,,,,,,,,,,,,,,48.32,,,64.0,26.0,,,17.0,,30.0,,,,,,,,,137.0
December 2024,Nadia,,,,,,,,,,,,,,51.25,,,75.0,27.0,,,32.0,,44.0,,,,,,,,,178.0
December 2024,Paschim Bardhaman,,,,,,,,,,,,,,155.58,,,65.0,12.0,,,21.0,,36.0,,,,,,,,,134.0
December 2024,Paschim Medinipur,,,,,,,,,,,,,,59.21,,,82.0,23.0,,,5.0,,62.0,,,,,,,,,172.0
December 2024,Purba Bardhaman,,,,,,,,,,,,,,105.14,,,211.0,62.0,,,40.0,,58.0,,,,,,,,,371.0
December 2024,Purba Medinipur,,,,,,,,,,,,,,177.74,,,109.0,30.0,,,10.0,,35.0,,,,,,,,,184.0
December 2024,Purulia,,,,,,,,,,,,,,12.98,,,20.0,5.0,,,0.0,,5.0,,,,,,,,,30.0
December 2024,Uttar Dinajpur,,,,,,,,,,,,,,12.05,,,40.0,5.0,,,0.0,,8.0,,,,,,,,,53.0
June 2019,Alipurduar,,12.0,,,,0.0,,,,,3.0,,,,,,,,2.0,,,,,,,,,,17.0,,,
June 2019,Bankura,,17.0,,,,4.0,,,,,5.0,,,,,,,,7.0,,,,,,,,,,33.0,,,
June 2019,Birbhum,,11.0,,,,2.0,,,,,12.0,,,,,,,,7.0,,,,,,,,,,32.0,,,
June 2019,Cooch Behar,,55.0,,,,3.0,,,,,1.0,,,,,,,,0.0,,,,,,,,,,59.0,,,
June 2019,Dakshin Dinajpur,,77.0,,,,3.0,,,,,0.0,,,,,,,,2.0,,,,,,,,,,82.0,,,
June 2019,Darjeeling,,10.0,,,,1.0,,,,,6.0,,,,,,,,2.0,,,,,,,,,,19.0,,,
June 2019,Hooghly,,88.0,,,,16.0,,,,,69.0,,,,,,,,4.0,,,,,,,,,,177.0,,,
June 2019,Howrah,,77.0,,,,12.0,,,,,77.0,,,,,,,,9.0,,,,,,,,,,175.0,,,
June 2019,Jalpaiguri,,19.0,,,,6.0,,,,,6.0,,,,,,,,1.0,,,,,,,,,,32.0,,,
June 2019,Jhargram,,3.0,,,,0.0,,,,,1.0,,,,,,,,3.0,,,,,,,,,,7.0,,,
June 2019,Kalimpong,,0.0,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,
June 2019,Kolkata,,229.0,,,,65.0,,,,,160.0,,,,,,,,31.0,,,,,,,,,,485.0,,,
June 2019,Malda,,42.0,,,,27.0,,,,,7.0,,,,,,,,18.0,,,,,,,,,,94.0,,,
June 2019,Murshidabad,,126.0,,,,76.0,,,,,2.0,,,,,,,,31.0,,,,,,,,,,235.0,,,
June 2019,Nadia,,34.0,,,,37.0,,,,,7.0,,,,,,,,4.0,,,,,,,,,,82.0,,,
June 2019,Paschim Bardhaman,,38.0,,,,19.0,,,,,31.0,,,,,,,,3.0,,,,,,,,,,91.0,,,
June 2019,Paschim Medinipur,,15.0,,,,25.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,43.0,,,
June 2019,Purba Bardhaman,,29.0,,,,14.0,,,,,12.0,,,,,,,,8.0,,,,,,,,,,63.0,,,
June 2019,Purba Medinipur,,94.0,,,,9.0,,,,,5.0,,,,,,,,0.0,,,,,,,,,,108.0,,,
June 2019,Purulia,,9.0,,,,5.0,,,,,5.0,,,,,,,,0.0,,,,,,,,,,19.0,,,
June 2019,Uttar Dinajpur,,14.0,,,,1.0,,,,,7.0,,,,,,,,9.0,,,,,,,,,,31.0,,,
June 2021,Alipurduar,,0.0,,,,0.0,,,2.0,,,,,,,,,,0.0,,,,,,,2.0,,,,,,
June 2021,Bankura,,8.0,,,,17.0,,,4.0,,,,,,,,,,0.0,,,,,,,29.0,,,,,,
June 2021,Birbhum,,29.0,,,,25.0,,,0.0,,,,,,,,,,0.0,,,,,,,54.0,,,,,,
June 2021,Cooch Behar,,38.0,,,,7.0,,,2.0,,,,,,,,,,1.0,,,,,,,48.0,,,,,,
June 2021,Dakshin Dinajpur,,46.0,,,,11.0,,,2.0,,,,,,,,,,0.0,,,,,,,59.0,,,,,,
June 2021,Darjeeling,,24.0,,,,12.0,,,4.0,,,,,,,,,,0.0,,,,,,,40.0,,,,,,
June 2021,Hooghly,,67.0,,,,35.0,,,105.0,,,,,,,,,,3.0,,,,,,,210.0,,,,,,
June 2021,Howrah,,126.0,,,,78.0,,,17.0,,,,,,,,,,3.0,,,,,,,224.0,,,,,,
June 2021,Jalpaiguri,,23.0,,,,3.0,,,1.0,,,,,,,,,,0.0,,,,,,,27.0,,,,,,
June 2021,Jhargram,,1.0,,,,2.0,,,0.0,,,,,,,,,,0.0,,,,,,,3.0,,,,,,
June 2021,Kalimpong,,0.0,,,,0.0,,,0.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
June 2021,Kolkata,,50.0,,,,367.0,,,0.0,,,,,,,,,,9.0,,,,,,,426.0,,,,,,
June 2021,Malda,,34.0,,,,16.0,,,14.0,,,,,,,,,,0.0,,,,,,,64.0,,,,,,
June 2021,Murshidabad,,76.0,,,,19.0,,,8.0,,,,,,,,,,9.0,,,,,,,112.0,,,,,,
June 2021,Nadia,,39.0,,,,4.0,,,12.0,,,,,,,,,,1.0,,,,,,,56.0,,,,,,
June 2021,Paschim Bardhaman,,33.0,,,,39.0,,,10.0,,,,,,,,,,6.0,,,,,,,88.0,,,,,,
June 2021,Paschim Medinipur,,34.0,,,,11.0,,,44.0,,,,,,,,,,1.0,,,,,,,90.0,,,,,,
June 2021,Purba Bardhaman,,47.0,,,,10.0,,,9.0,,,,,,,,,,13.0,,,,,,,79.0,,,,,,
June 2021,Purba Medinipur,,19.0,,,,28.0,,,21.0,,,,,,,,,,0.0,,,,,,,68.0,,,,,,
June 2021,Purulia,,8.0,,,,9.0,,,3.0,,,,,,,,,,2.0,,,,,,,22.0,,,,,,
June 2021,Uttar Dinajpur,,28.0,,,,3.0,,,11.0,,,,,,,,,,0.0,,,,,,,42.0,,,,,,
June 2022,Alipurduar,,0.0,,,,0.0,,,1.0,,,,,,,,,,0.0,,,,,,,1.0,,,,,,
June 2022,Bankura,,33.0,,,,10.0,,,2.0,,,,,,,,,,1.0,,,,,,,46.0,,,,,,
June 2022,Birbhum,,30.0,,,,22.0,,,13.0,,,,,,,,,,7.0,,,,,,,72.0,,,,,,
June 2022,Cooch Behar,,13.0,,,,16.0,,,0.0,,,,,,,,,,1.0,,,,,,,30.0,,,,,,
June 2022,Dakshin Dinajpur,,47.0,,,,5.0,,,4.0,,,,,,,,,,0.0,,,,,,,56.0,,,,,,
June 2022,Darjeeling,,15.0,,,,11.0,,,14.0,,,,,,,,,,1.0,,,,,,,41.0,,,,,,
June 2022,Hooghly,,125.0,,,,47.0,,,79.0,,,,,,,,,,7.0,,,,,,,255.0,,,,,,
June 2022,Howrah,,129.0,,,,52.0,,,37.0,,,,,,,,,,16.0,,,,,,,232.0,,,,,,
June 2022,Jalpaiguri,,15.0,,,,14.0,,,3.0,,,,,,,,,,2.0,,,,,,,34.0,,,,,,
June 2022,Jhargram,,1.0,,,,2.0,,,0.0,,,,,,,,,,0.0,,,,,,,3.0,,,,,,
June 2022,Kalimpong,,0.0,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,
June 2022,Kolkata,,20.0,,,,378.0,,,3.0,,,,,,,,,,2.0,,,,,,,403.0,,,,,,
June 2022,Malda,,45.0,,,,19.0,,,0.0,,,,,,,,,,0.0,,,,,,,64.0,,,,,,
June 2022,Murshidabad,,77.0,,,,14.0,,,1.0,,,,,,,,,,9.0,,,,,,,100.0,,,,,,
June 2022,Nadia,,46.0,,,,4.0,,,9.0,,,,,,,,,,1.0,,,,,,,60.0,,,,,,
June 2022,Paschim Bardhaman,,56.0,,,,41.0,,,8.0,,,,,,,,,,11.0,,,,,,,124.0,,,,,,
June 2022,Paschim Medinipur,,55.0,,,,20.0,,,4.0,,,,,,,,,,4.0,,,,,,,69.0,,,,,,
June 2022,Purba Bardhaman,,96.0,,,,35.0,,,15.0,,,,,,,,,,11.0,,,,,,,153.0,,,,,,
June 2022,Purba Medinipur,,30.0,,,,29.0,,,1.0,,,,,,,,,,5.0,,,,,,,65.0,,,,,,
June 2022,Purulia,,8.0,,,,11.0,,,3.0,,,,,,,,,,2.0,,,,,,,24.0,,,,,,
June 2022,Uttar Dinajpur,,33.0,,,,5.0,,,0.0,,,,,,,,,,0.0,,,,,,,38.0,,,,,,
June 2023,Alipurduar,,,,0.0,,,,4.0,,0.0,,,,40.25,,,,,,,0.0,,,,,,,,,,,4.0
June 2023,Bankura,,,,21.0,,,,6.0,,2.0,,,,11.92,,,,,,,0.0,,,,,,,,,,,29.0
June 2023,Birbhum,,,,62.0,,,,21.0,,11.0,,,,28.85,,,,,,,2.0,,,,,,,,,,,96.0
June 2023,Cooch Behar,,,,16.0,,,,9.0,,3.0,,,,3.8,,,,,,,4.0,,,,,,,,,,,32.0
June 2023,Dakshin Dinajpur,,,,23.0,,,,15.0,,21.0,,,,6.02,,,,,,,1.0,,,,,,,,,,,60.0
June 2023,Darjeeling,,,,20.0,,,,14.0,,2.0,,,,17.57,,,,,,,11.0,,,,,,,,,,,47.0
June 2023,Hooghly,,,,130.0,,,,77.0,,26.0,,,,95.19,,,,,,,17.0,,,,,,,,,,,250.0
June 2023,Howrah,,,,118.0,,,,90.0,,34.0,,,,178.77,,,,,,,23.0,,,,,,,,,,,265.0
