period,district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
December 2022,Purulia,5479.37,3684.63,2935.87,69.55,1257.59,7878.1
December 2022,Uttar Dinajpur,3619.91,3491.53,1160.42,62.24,1164.45,5816.39
December 2023,Alipurduar,2284.9,1660.87,606.2,82.89,489.61,2756.68
December 2023,Bankura,6936.62,5143.54,5237.72,60.07,1166.53,11547.79
December 2023,Birbhum,3171.98,5461.11,4338.51,28.4,1370.78,11170.4
December 2023,Cooch Behar,3673.39,5135.99,2543.12,41.37,1199.43,8878.53
December 2023,Dakshin Dinajpur,4081.0,5050.39,5247.47,36.18,980.66,11278.53
December 2023,Darjeeling,4919.31,1124.66,2651.72,103.64,970.37,4746.75
December 2023,Hooghly,9248.5,5615.1,5559.22,72.1,1653.14,12827.45
December 2023,Howrah,11242.69,2505.51,12081.9,71.41,1155.69,15743.1
December 2023,Jalpaiguri,4984.71,3002.85,3703.47,64.32,1043.0,7749.32
December 2023,Jhargram,2111.22,2847.49,2622.84,33.64,804.66,6274.99
December 2023,Kalimpong,326.22,350.84,409.34,37.26,115.45,875.63
December 2023,Kolkata,50077.58,696.83,19914.39,172.68,8389.78,29000.99
December 2023,Malda,8686.6,6875.22,3582.04,61.92,3571.07,14028.33
December 2023,Murshidabad,10618.46,9042.7,8852.53,50.95,2946.98,20842.21
December 2023,Nadia,10302.27,6977.92,8469.2,58.99,2018.56,17465.68
December 2023,Paschim Bardhaman,5329.97,369.69,8648.52,55.59,570.34,9588.55
December 2023,Paschim Medinipur,9902.68,10955.53,6939.96,49.33,2176.92,20072.41
December 2023,Purba Bardhaman,6806.25,9112.52,6846.23,38.22,1851.04,17809.79
December 2023,Purba Medinipur,8815.93,7333.65,6391.59,55.83,2066.3,15791.55
December 2023,Purulia,5705.48,3884.17,3740.0,62.21,1547.48,9171.64
December 2023,Uttar Dinajpur,4312.52,3953.97,1472.78,63.81,1331.87,6758.62
December 2024,Alipurduar,1868.62,1762.16,649.8,60.27,688.36,3100.32
December 2024,Bankura,4476.64,5333.79,4912.61,38.64,1339.79,11586.18
December 2024,Birbhum,5981.12,6045.0,4107.35,51.55,1449.72,11602.07
December 2024,Cooch Behar,4375.29,5227.38,2565.0,44.53,2032.71,9825.09
December 2024,Dakshin Dinajpur,2338.05,5353.97,4564.01,21.34,1038.87,10956.85
December 2024,Darjeeling,7708.32,1160.81,3450.0,136.48,1037.12,5647.92
December 2024,Hooghly,10024.56,5777.09,5615.4,76.51,1709.69,13102.18
December 2024,Howrah,10586.48,2706.6,16000.0,53.22,1185.31,19891.91
December 2024,Jalpaiguri,4786.28,3178.76,3109.1,63.85,1208.8,7496.66
December 2024,Jhargram,1898.94,3044.78,2432.48,29.84,886.68,6363.93
December 2024,Kalimpong,365.83,359.72,364.02,43.5,117.19,840.93
December 2024,Kolkata,93407.41,696.83,25000.0,290.51,6456.58,32153.4
December 2024,Malda,5757.94,7000.12,3652.32,39.84,3799.51,14451.95
December 2024,Murshidabad,7545.54,10367.53,8398.15,34.18,3308.59,22074.27
December 2024,Nadia,6065.76,7571.87,9075.37,32.31,2124.11,18771.35
December 2024,Paschim Bardhaman,8574.89,415.69,7739.57,97.76,615.94,8771.2
December 2024,Paschim Medinipur,6528.72,11472.58,7082.4,30.86,2600.91,21155.89
December 2024,Purba Bardhaman,10200.68,9670.7,6437.55,56.41,1974.6,18082.85
December 2024,Purba Medinipur,9655.29,8403.42,5902.98,57.41,2512.79,16819.19
December 2024,Purulia,2781.88,4620.62,3949.51,26.65,1869.27,10439.4
December 2024,Uttar Dinajpur,3859.37,4510.81,1395.13,52.77,1407.29,7313.22
June 2021,Alipurduar,297.31,1292.61,516.55,14.03,310.05,2119.21
June 2021,Bankura,1912.39,4432.3,3723.11,21.07,921.43,9076.84
June 2021,Birbhum,1490.01,4634.15,3723.15,15.34,1356.1,9713.4
June 2021,Cooch Behar,517.3,3725.89,2135.52,7.59,953.34,6814.75
June 2021,Dakshin Dinajpur,1731.67,3862.15,3804.44,20.45,799.64,8466.23
June 2021,Darjeeling,1516.4,997.02,1905.14,39.64,922.99,3825.15
June 2021,Hooghly,1856.29,4611.24,4333.84,17.63,1581.11,10526.19
June 2021,Howrah,3855.38,2141.08,11440.81,26.3,1079.36,14661.25
June 2021,Jalpaiguri,1063.36,2303.21,2490.94,18.36,998.51,5792.66
June 2021,Jhargram,950.32,2117.51,1774.4,20.51,741.29,4633.2
June 2021,Kalimpong,26.25,297.35,325.45,3.6,106.79,729.59
June 2021,Kolkata,4022.71,614.55,13792.23,18.66,7156.76,21563.54
June 2021,Malda,1781.06,5751.32,2407.38,16.03,2949.97,11108.67
June 2021,Murshidabad,2792.46,7606.64,5388.68,18.84,1827.15,14822.47
June 2021,Nadia,2891.0,6393.07,6232.77,20.18,1699.48,14325.32
June 2021,Paschim Bardhaman,1316.04,306.48,5049.93,22.72,434.81,5791.22
June 2021,Purba Bardhaman,1931.73,8142.25,4038.52,14.16,1457.78,13638.55
June 2021,Purba Medinipur,3046.17,5567.84,5109.98,24.04,1995.45,12673.27
June 2021,Purulia,1383.19,3438.91,2881.61,18.64,1100.24,7420.76
June 2021,Uttar Dinajpur,750.92,2929.71,954.75,15.48,967.27,4851.73
June 2022,Alipurduar,255.76,1418.66,496.08,11.0,410.81,2325.55
June 2022,Bankura,2301.33,4744.7,3995.41,23.48,1059.96,9800.07
June 2022,Birbhum,1392.42,5254.45,3582.59,13.64,1370.78,10207.82
June 2022,Cooch Behar,1316.86,4281.89,2075.0,17.56,1143.33,7500.21
June 2022,Dakshin Dinajpur,2314.96,4524.73,3936.37,24.77,883.75,9344.86
June 2022,Darjeeling,1217.68,1088.05,1953.44,30.49,951.65,3993.14
June 2022,Hooghly,3152.75,5368.85,4567.2,27.27,1625.11,11561.16
June 2022,Howrah,6299.02,2574.37,11397.5,41.32,1271.14,15243.01
June 2022,Jalpaiguri,726.53,2430.51,2558.81,12.46,843.85,5833.16
June 2022,Jhargram,1072.35,2786.93,1899.24,19.54,801.52,5487.69
June 2022,Kalimpong,41.03,319.69,315.43,5.53,106.81,741.93
June 2022,Kolkata,9781.87,665.06,14546.63,43.01,7534.17,22745.86
June 2022,Malda,2586.39,6237.69,2644.32,21.33,3246.19,12128.2
June 2022,Murshidabad,4064.34,8128.64,6246.25,24.24,2390.38,16765.26
June 2022,Nadia,3901.28,6542.09,6103.12,26.87,1871.57,14516.78
June 2022,Paschim Bardhaman,1774.6,325.2,5951.01,26.18,503.51,6779.72
June 2022,Paschim Medinipur,3865.37,9930.06,5213.74,22.47,2056.59,17200.39
June 2022,Purba Bardhaman,2745.81,8627.61,4655.94,18.38,1654.18,14937.73
June 2022,Purba Medinipur,3546.12,6073.74,5273.22,26.45,2059.59,13406.56
June 2022,Purulia,1594.02,3684.63,2935.87,20.23,1257.59,7878.1
June 2022,Uttar Dinajpur,1386.9,3491.53,1160.42,23.84,1164.45,5816.39
June 2023,Alipurduar,834.35,1660.87,606.2,30.27,489.61,2756.68
June 2023,Bankura,2862.67,5143.54,5237.72,24.79,1166.53,11547.79
June 2023,Birbhum,1636.52,5461.11,4338.51,14.65,1370.78,11170.4
June 2023,Cooch Behar,1674.13,5135.99,2543.12,18.86,1199.43,8878.53
June 2023,Dakshin Dinajpur,2162.01,5050.39,5247.47,19.17,980.66,11278.53
June 2023,Darjeeling,1965.87,1124.66,2651.72,41.42,970.37,4746.75
June 2023,Hooghly,2768.99,5615.1,5559.22,21.59,1653.14,12827.45
June 2023,Howrah,4404.72,2505.51,12081.9,27.98,1155.69,15743.1
June 2023,Jalpaiguri,1500.04,3002.85,3703.47,19.36,1043.0,7749.32
June 2023,Jhargram,1031.05,2847.49,2622.84,16.43,804.66,6274.99
June 2023,Kalimpong,115.21,350.84,409.34,13.16,115.45,875.63
June 2023,Kolkata,21315.9,696.83,19914.39,73.5,8389.78,29000.99
June 2023,Malda,3603.9,6875.22,3582.04,25.69,3571.07,14028.33
June 2023,Murshidabad,7502.63,9042.7,8852.53,36.0,2946.98,20842.21
June 2023,Nadia,4005.76,6977.92,8469.2,22.94,2018.56,17465.68
June 2023,Paschim Bardhaman,2267.42,369.69,8648.52,23.65,570.34,9588.55
June 2023,Paschim Medinipur,5177.13,10955.53,6939.96,25.79,2176.92,20072.41
June 2023,Purba Bardhaman,3682.2,9112.52,6846.23,20.68,1851.04,17809.79
June 2023,Purba Medinipur,5435.72,7333.65,6391.59,34.42,2066.3,15791.55
June 2023,Purulia,1921.63,3884.17,3740.0,20.95,1547.48,9171.64
June 2023,Uttar Dinajpur,1487.39,3953.97,1472.78,22.01,1331.87,6758.62
June 2024,Alipurduar,738.49,1762.16,649.8,23.82,688.36,3100.32
June 2024,Bankura,1539.78,5333.79,4912.61,13.29,1339.79,11586.18
June 2024,Birbhum,2310.38,6045.0,4107.35,19.91,1449.72,11602.07
June 2024,Cooch Behar,1833.69,5227.38,2565.0,18.66,2032.71,9825.09
June 2024,Dakshin Dinajpur,1007.05,5353.97,4564.01,9.19,1038.87,10956.85
June 2024,Darjeeling,3952.48,1160.81,3450.0,69.98,1037.12,5647.92
June 2024,Hooghly,3702.19,5777.09,5615.4,28.26,1709.69,13102.18
June 2024,Howrah,4678.39,2706.6,16000.0,23.52,1185.31,19891.91
June 2024,Jalpaiguri,2246.72,3178.76,3109.1,29.97,1208.8,7496.66
June 2024,Jhargram,538.26,3044.78,2432.48,8.46,886.68,6363.93
June 2024,Kalimpong,139.98,359.72,364.02,16.65,117.19,840.93
June 2024,Kolkata,49438.45,696.83,25000.0,153.76,6456.58,32153.4
June 2024,Malda,2814.49,7000.12,3652.32,19.47,3799.51,14451.95
June 2024,Murshidabad,2982.09,10367.53,8398.15,13.51,3308.59,22074.27
June 2024,Nadia,2636.81,7571.87,9075.37,14.05,2124.11,18771.35
June 2024,Paschim Bardhaman,3475.07,415.69,7739.57,39.62,615.94,8771.2
June 2024,Purba Bardhaman,3225.39,9670.7,6437.55,17.84,1974.6,18082.85
June 2024,Purba Medinipur,3780.3,8403.42,5902.98,22.48,2512.79,16819.19
June 2024,Purulia,991.21,4620.62,3949.51,9.49,1869.27,10439.4
June 2024,Uttar Dinajpur,2285.72,4510.81,1395.13,31.25,1407.29,7313.22
June 2025,Alipurduar,897.74,2017.0,1322.0,23.86,423.0,3762.0
June 2025,Bankura,1647.25,3405.0,2463.0,25.57,575.0,6443.0
June 2025,Birbhum,2169.03,3823.0,4437.0,21.72,1725.0,9985.0
June 2025,Cooch Behar,1942.8,5143.0,2630.0,22.59,828.0,8601.0
June 2025,Dakshin Dinajpur,1040.86,1736.0,1394.0,29.07,451.0,3581.0
June 2025,Darjeeling,4704.11,2501.0,7602.0,43.03,829.0,10932.0
June 2025,Hooghly,4264.85,8555.0,7212.0,24.35,1751.0,17518.0
June 2025,Howrah,5786.75,2514.0,11336.0,35.13,2624.0,16474.0
June 2025,Jalpaiguri,2365.29,3388.0,4203.0,27.91,884.0,8475.0
June 2025,Jhargram,398.73,1059.0,631.0,20.65,241.0,1931.0
June 2025,Kalimpong,132.86,484.0,329.0,14.3,116.0,929.0
June 2025,Kolkata,57711.78,13684.0,96729.0,48.42,8781.0,119194.0
June 2025,Malda,2265.28,3464.0,4096.0,26.09,1124.0,8684.0
June 2025,Murshidabad,3149.97,5431.0,6635.0,22.43,1977.0,14043.0
June 2025,Nadia,2259.57,5508.0,4730.0,18.85,1752.0,11990.0
June 2025,Paschim Bardhaman,4567.1,1848.0,10021.0,34.8,1254.0,13123.0
June 2025,Paschim Medinipur,2803.94,7296.0,6173.0,19.18,1150.0,14619.0
June 2025,Purba Bardhaman,4331.44,9330.0,4801.0,28.01,1333.0,15464.0
June 2025,Purba Medinipur,3875.99,8482.0,7177.0,22.27,1742.0,17401.0
June 2025,Purulia,947.29,1321.0,2145.0,24.48,403.0,3869.0
June 2025,Uttar Dinajpur,2326.64,3033.0,2572.0,35.63,925.0,6530.0
March 2021,Alipurduar,1308.18,1096.48,564.9,65.47,336.8,1998.18
March 2021,Bankura,6855.45,4102.28,3112.53,83.79,967.02,8181.82
March 2021,Birbhum,7738.67,4299.73,3823.71,81.59,1361.85,9485.3
March 2021,Cooch Behar,4129.71,3176.72,2450.74,62.21,1010.4,6637.86
March 2021,Dakshin Dinajpur,5676.27,3323.59,2619.88,85.2,718.97,6662.44
March 2021,Darjeeling,3394.65,887.42,1621.29,101.8,826.02,3334.73
March 2021,Hooghly,7482.96,4305.55,4070.4,75.33,1557.68,9933.64
March 2021,Howrah,10991.76,2014.6,9796.76,85.77,1004.2,12815.56
March 2021,Jalpaiguri,4203.82,2008.79,2281.45,81.88,843.87,5134.11
March 2021,Jhargram,3044.46,1819.76,1521.29,77.22,601.68,3942.73
March 2021,Kalimpong,413.45,273.38,289.97,61.81,105.56,668.91
March 2021,Kolkata,12731.08,574.94,12397.75,64.94,6632.44,19605.13
March 2021,Malda,6629.66,4064.28,2549.35,68.69,3038.16,9651.79
March 2021,Murshidabad,11892.52,6885.55,5224.48,86.45,1646.58,13756.61
March 2021,Nadia,10694.72,5641.2,5018.05,88.0,1494.06,12153.31
March 2021,Paschim Bardhaman,4706.81,248.41,4278.41,95.15,419.71,4946.53
March 2021,Purba Bardhaman,7586.55,7681.73,3149.4,62.15,1376.68,12207.81
March 2021,Purba Medinipur,9784.59,4710.25,4702.85,86.12,1949.1,11362.2
March 2021,Purulia,5363.13,2639.87,2786.9,82.44,1078.48,6505.25
March 2021,Uttar Dinajpur,2937.61,2588.93,747.16,69.03,919.51,4255.6
March 2022,Alipurduar,1192.98,1292.61,516.55,56.29,310.05,2119.21
March 2022,Bankura,8058.46,4432.3,3723.11,88.78,921.43,9076.84
March 2022,Birbhum,8626.33,4634.15,3723.15,88.81,1356.1,9713.4
March 2022,Cooch Behar,5113.26,3725.89,2135.52,75.03,953.34,6814.75
March 2022,Dakshin Dinajpur,7274.23,3862.15,3804.44,85.92,799.64,8466.23
March 2022,Darjeeling,3584.66,997.02,1905.14,93.71,922.99,3825.15
March 2022,Hooghly,4954.29,4611.24,4333.84,47.07,1581.11,10526.19
March 2022,Howrah,14707.71,2141.08,11440.81,100.32,1079.36,14661.25
March 2022,Jalpaiguri,4450.59,2303.21,2490.94,76.83,998.51,5792.66
March 2022,Jhargram,3767.7,2117.51,1774.4,81.32,741.29,4633.2
March 2022,Kalimpong,494.98,297.35,325.45,67.84,106.79,729.59
March 2022,Kolkata,21278.56,614.55,13792.23,98.68,7156.76,21563.54
March 2022,Malda,9036.03,5751.32,2407.38,81.34,2949.97,11108.67
March 2022,Murshidabad,13771.23,7606.64,5388.68,92.91,1827.15,14822.47
March 2022,Nadia,13059.22,6393.07,6232.77,91.16,1699.48,14325.32
March 2022,Paschim Bardhaman,6318.17,306.48,5049.93,109.1,434.81,5791.22
March 2022,Paschim Medinipur,14067.7,8432.24,5371.25,89.44,1925.64,15729.13
March 2022,Purba Bardhaman,12089.64,8142.25,4038.52,88.64,1457.78,13638.55
March 2022,Purba Medinipur,12821.76,5567.84,5109.98,101.17,1995.45,12673.27
March 2022,Purulia,6771.34,3438.91,2881.61,91.25,1100.24,7420.76
March 2022,Uttar Dinajpur,4166.66,2929.71,954.75,85.88,967.27,4851.73
March 2023,Alipurduar,2928.2,1418.66,496.08,125.91,410.81,2325.55
March 2023,Bankura,8638.79,4744.7,3995.41,88.15,1059.96,9800.07
March 2023,Birbhum,5156.44,5254.45,3582.59,50.51,1370.78,10207.82
March 2023,Cooch Behar,7188.5,4281.89,2075.0,95.84,1143.33,7500.21
March 2023,Dakshin Dinajpur,9250.68,4524.73,3936.37,98.99,883.75,9344.86
March 2023,Darjeeling,4880.52,1088.05,1953.44,122.22,951.65,3993.14
March 2023,Hooghly,14120.04,5368.85,4567.2,122.13,1625.11,11561.16
March 2023,Howrah,15387.28,2574.37,11397.5,100.95,1271.14,15243.01
March 2023,Jalpaiguri,3976.76,2430.51,2558.81,68.17,843.85,5833.16
March 2023,Jhargram,4091.65,2786.93,1899.24,74.56,801.52,5487.69
March 2023,Kalimpong,175.25,319.69,315.43,23.62,106.81,741.93
March 2023,Kolkata,24801.76,665.06,14546.63,109.04,7534.17,22745.86
March 2023,Malda,9523.67,6237.69,2644.32,78.53,3246.19,12128.2
March 2023,Murshidabad,16843.37,8128.64,6246.25,100.47,2390.38,16765.26
March 2023,Nadia,15633.55,6542.09,6103.12,107.69,1871.57,14516.78
March 2023,Paschim Bardhaman,7159.43,325.2,5951.01,105.6,503.51,6779.72
March 2023,Paschim Medinipur,14884.76,9930.06,5213.74,86.54,2056.59,17200.39
March 2023,Purba Bardhaman,11915.77,8627.61,4655.94,79.77,1654.18,14937.73
March 2023,Purba Medinipur,12185.02,6073.74,5273.22,90.89,2059.59,13406.56
March 2023,Purulia,7403.53,3684.63,2935.87,93.98,1257.59,7878.1
March 2023,Uttar Dinajpur,4952.7,3491.53,1160.42,85.15,1164.45,5816.39
March 2024,Alipurduar,3041.88,1660.87,606.2,110.35,489.61,2756.68
March 2024,Bankura,7320.05,5143.54,5237.72,63.39,1166.53,11547.79
March 2024,Birbhum,7108.13,5461.11,4338.51,63.63,1370.78,11170.4
March 2024,Cooch Behar,5638.68,5135.99,2543.12,63.51,1199.43,8878.53
March 2024,Dakshin Dinajpur,5135.46,5050.39,5247.47,45.53,980.66,11278.53
March 2024,Darjeeling,7672.22,1124.66,2651.72,161.63,970.37,4746.75
March 2024,Hooghly,14471.05,5615.1,5559.22,112.81,1653.14,12827.45
March 2024,Howrah,14119.23,2505.51,12081.9,89.69,1155.69,15743.1
March 2024,Jalpaiguri,5863.65,3002.85,3703.47,75.67,1043.0,7749.32
March 2024,Jhargram,2691.17,2847.49,2622.84,42.89,804.66,6274.99
March 2024,Kalimpong,749.59,350.84,409.34,85.61,115.45,875.63
March 2024,Kolkata,60634.7,696.83,19914.39,209.08,8389.78,29000.99
March 2024,Malda,9930.34,6875.22,3582.04,70.79,3571.07,14028.33
March 2024,Murshidabad,12308.94,9042.7,8852.53,59.06,2946.98,20842.21
March 2024,Nadia,11332.3,6977.92,8469.2,64.88,2018.56,17465.68
March 2024,Paschim Bardhaman,9682.46,369.69,8648.52,100.98,570.34,9588.55
March 2024,Paschim Medinipur,10451.15,10955.53,6939.96,52.07,2176.92,20072.41
March 2024,Purba Bardhaman,11908.36,9112.52,6846.23,66.86,1851.04,17809.79
March 2024,Purba Medinipur,11764.19,7333.65,6391.59,74.5,2066.3,15791.55
March 2024,Purulia,6825.63,3884.17,3740.0,74.42,1547.48,9171.64
March 2024,Uttar Dinajpur,5696.86,3953.97,1472.78,84.29,1331.87,6758.62
March 2025,Alipurduar,2693.18,1762.16,649.8,86.87,688.36,3100.32
March 2025,Bankura,5418.15,5333.79,4912.61,46.76,1339.79,11586.18
March 2025,Birbhum,8633.81,6045.0,4107.35,74.42,1449.72,11602.07
March 2025,Cooch Behar,6255.47,5227.38,2565.0,63.67,2032.71,9825.09
March 2025,Dakshin Dinajpur,3536.61,5353.97,4564.01,32.28,1038.87,10956.85
March 2025,Darjeeling,10096.97,1160.81,3450.0,178.77,1037.12,5647.92
March 2025,Hooghly,15191.62,5777.09,5615.4,115.95,1709.69,13102.18
March 2025,Howrah,14092.8,2706.6,16000.0,70.85,1185.31,19891.91
March 2025,Jalpaiguri,6127.6,3178.76,3109.1,81.74,1208.8,7496.66
March 2025,Jhargram,2544.37,3044.78,2432.48,39.98,886.68,6363.93
March 2025,Kalimpong,559.29,359.72,364.02,66.51,117.19,840.93
March 2025,Kolkata,111388.74,696.83,25000.0,346.43,6456.58,32153.4
March 2025,Malda,8074.68,7000.12,3652.32,55.87,3799.51,14451.95
March 2025,Murshidabad,10669.68,10367.53,8398.15,48.34,3308.59,22074.27
March 2025,Nadia,8401.66,7571.87,9075.37,44.76,2124.11,18771.35
March 2025,Paschim Bardhaman,10852.79,415.69,7739.57,123.73,615.94,8771.2
March 2025,Paschim Medinipur,9430.0,11472.58,7082.4,44.57,2600.91,21155.89
March 2025,Purba Bardhaman,13263.74,9670.7,6437.55,73.35,1974.6,18082.85
March 2025,Purba Medinipur,13103.84,8403.42,5902.98,77.91,2512.79,16819.19
March 2025,Purulia,3977.6,4620.62,3949.51,38.1,1869.27,10439.4
March 2025,Uttar Dinajpur,4966.65,4510.81,1395.13,67.91,1407.29,7313.22
September 2021,Alipurduar,399.19,1292.61,516.55,18.84,310.05,2119.21
September 2021,Bankura,3669.07,4432.3,3723.11,40.42,921.43,9076.84
September 2021,Birbhum,2060.62,4634.15,3723.15,21.21,1356.1,9713.4
September 2021,Cooch Behar,1316.0,3725.89,2135.52,19.31,953.34,6814.75
September 2021,Dakshin Dinajpur,3471.58,3862.15,3804.44,41.01,799.64,8466.23
September 2021,Darjeeling,2078.04,997.02,1905.14,54.33,922.99,3825.15
September 2021,Hooghly,2271.7,4611.24,4333.84,21.58,1581.11,10526.19
September 2021,Howrah,7266.37,2141.08,11440.81,49.56,1079.36,14661.25
September 2021,Jalpaiguri,2311.9,2303.21,2490.94,39.91,998.51,5792.66
September 2021,Jhargram,1645.64,2117.51,1774.4,35.52,741.29,4633.2
September 2021,Kalimpong,128.17,297.35,325.45,17.57,106.79,729.59
September 2021,Kolkata,8942.1,614.55,13792.23,41.47,7156.76,21563.54
September 2021,Malda,4035.21,5751.32,2407.38,36.32,2949.97,11108.67
September 2021,Murshidabad,6188.61,7606.64,5388.68,41.75,1827.15,14822.47
September 2021,Nadia,4390.77,6393.07,6232.77,30.65,1699.48,14325.32
September 2021,Paschim Bardhaman,2821.92,306.48,5049.93,48.73,434.81,5791.22
September 2021,Purba Bardhaman,2884.41,8142.25,4038.52,21.15,1457.78,13638.55
September 2021,Purba Medinipur,4140.44,5567.84,5109.98,32.67,1995.45,12673.27
September 2021,Purulia,2418.81,3438.91,2881.61,32.6,1100.24,7420.76
September 2021,Uttar Dinajpur,2730.36,2929.71,954.75,56.28,967.27,4851.73
September 2022,Alipurduar,1306.39,1418.66,496.08,56.18,410.81,2325.55
September 2022,Bankura,3507.49,4744.7,3995.41,35.79,1059.96,9800.07
September 2022,Birbhum,2626.98,5254.45,3582.59,25.74,1370.78,10207.82
September 2022,Cooch Behar,3629.26,4281.89,2075.0,48.39,1143.33,7500.21
September 2022,Dakshin Dinajpur,3857.19,4524.73,3936.37,41.28,883.75,9344.86
September 2022,Darjeeling,1856.8,1088.05,1953.44,46.5,951.65,3993.14
September 2022,Hooghly,6136.65,5368.85,4567.2,53.08,1625.11,11561.16
September 2022,Howrah,9949.31,2574.37,11397.5,65.27,1271.14,15243.01
September 2022,Jalpaiguri,2041.02,2430.51,2558.81,34.99,843.85,5833.16
September 2022,Jhargram,1782.78,2786.93,1899.24,32.49,801.52,5487.69
September 2022,Kalimpong,95.08,319.69,315.43,12.82,106.81,741.93
September 2022,Kolkata,13797.64,665.06,14546.63,60.66,7534.17,22745.86
September 2022,Malda,4579.07,6237.69,2644.32,37.76,3246.19,12128.2
