period,district,31_03_2020,31_03_2021,31_03_2022,31_03_2023,31_03_2024,31_03_2025,advance,cd_ratio,cd_ratio_as_on_dec_2016,cd_ratio_as_on_dec_2017,cd_ratio_as_on_dec_2018,cd_ratio_as_on_dec_2019,cd_ratio_as_on_dec_2019_deposit,cd_ratio_as_on_dec_2020_deposit,cd_ratio_as_on_dec_2021,cd_ratio_as_on_december_2021_deposit,cd_ratio_as_on_december_2022,cd_ratio_as_on_december_2022_deposit,cd_ratio_as_on_december_2023,cd_ratio_as_on_december_2023_deposit,cd_ratio_as_on_december_2024,cd_ratio_as_on_december_2024_deposit,cd_ratio_as_on_june_2017,cd_ratio_as_on_june_2018,cd_ratio_as_on_june_2019_deposit,cd_ratio_as_on_june_2020,cd_ratio_as_on_june_2021,cd_ratio_as_on_june_2021_deposit,cd_ratio_as_on_june_2022,cd_ratio_as_on_june_2022_deposit,cd_ratio_as_on_june_2023,cd_ratio_as_on_june_2023_deposit,cd_ratio_as_on_june_2024,cd_ratio_as_on_june_2024_deposit,cd_ratio_as_on_june_2025,cd_ratio_as_on_june_2025_deposit,cd_ratio_as_on_march_2017,cd_ratio_as_on_march_2018,cd_ratio_as_on_march_2019,cd_ratio_as_on_march_2019_deposit,cd_ratio_as_on_march_2020,cd_ratio_as_on_march_2020_deposit,cd_ratio_as_on_march_2021,cd_ratio_as_on_march_2021_deposit,cd_ratio_as_on_march_2022,cd_ratio_as_on_march_2022_deposit,cd_ratio_as_on_march_2023,cd_ratio_as_on_march_2023_deposit,cd_ratio_as_on_march_2024,cd_ratio_as_on_march_2024_deposit,cd_ratio_as_on_march_2025,cd_ratio_as_on_march_2025_deposit,cd_ratio_as_on_sept_2017,cd_ratio_as_on_sept_2018,cd_ratio_as_on_sept_2019,cd_ratio_as_on_sept_2019_deposit,cd_ratio_as_on_sept_2020_deposit,cd_ratio_as_on_sept_2021,cd_ratio_as_on_september_2021_deposit,cd_ratio_as_on_september_2022_deposit,cd_ratio_as_on_september_2024,cd_ratio_as_on_september_2025,cd_ratio_as_on_september_2025_deposit,cd_ratio_dec_2018_amount_in_rs_crore,cd_ratio_december_2015_amount_in_rs_crore,cd_ratio_december_2016_amount_in_rs_crore,cd_ratio_december_2017_amount_in_rs_crore,cd_ratio_june_2016_amount_in_rs_crore,cd_ratio_june_2017_amount_in_rs_crore,cd_ratio_june_2018_amount_in_rs_crore,cd_ratio_march_2016_amount_in_rs_crore,cd_ratio_march_2017_amount_in_rs_crore,cd_ratio_march_2018_amount_in_rs_crore,cd_ratio_sept_2018_amount_in_rs_crore,cd_ratio_september_2016_amount_in_rs_crore,cd_ratio_september_2017_amount_in_rs_crore,variation_over_june_2015,variation_over_june_2016
December 2021,Cooch Behar,,,,,,,7159.14,75.51,,,,,,,,9480.52,,,,,,,,,,,,,,,,,,,,,,,,,,,77.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Dakshin Dinajpur,,,,,,,2979.4,61.29,,,,,,,,4861.54,,,,,,,,,,,,,,,,,,,,,,,,,,,62.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Darjeeling,,,,,,,15382.02,57.26,,,,,,,,26862.09,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Hooghly,,,,,,,16692.98,34.45,,,,,,,,48460.52,,,,,,,,,,,,,,,,,,,,,,,,,,,27.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Howrah,,,,,,,21000.64,44.8,,,,,,,,46881.03,,,,,,,,,,,,,,,,,,,,,,,,,,,41.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Jalpaiguri,,,,,,,6090.19,59.19,,,,,,,,10288.82,,,,,,,,,,,,,,,,,,,,,,,,,,,59.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Jhargram,,,,,,,1720.05,40.02,,,,,,,,4298.44,,,,,,,,,,,,,,,,,,,,,,,,,,,40.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Kalimpong,,,,,,,724.95,40.47,,,,,,,,1791.15,,,,,,,,,,,,,,,,,,,,,,,,,,,40.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Kolkata,,,,,,,233883.38,59.17,,,,,,,,395262.4,,,,,,,,,,,,,,,,,,,,,,,,,,,64.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Malda,,,,,,,7180.44,56.73,,,,,,,,12656.42,,,,,,,,,,,,,,,,,,,,,,,,,,,55.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Murshidabad,,,,,,,9892.78,42.85,,,,,,,,23086.7,,,,,,,,,,,,,,,,,,,,,,,,,,,42.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Nadia,,,,,,,15912.0,50.16,,,,,,,,31725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,50.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Paschim Bardhaman,,,,,,,17300.94,42.48,,,,,,,,40724.36,,,,,,,,,,,,,,,,,,,,,,,,,,,41.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Paschim Medinipur,,,,,,,11884.1,45.55,,,,,,,,26087.68,,,,,,,,,,,,,,,,,,,,,,,,,,,43.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Purba Bardhaman,,,,,,,14011.45,49.31,,,,,,,,28412.16,,,,,,,,,,,,,,,,,,,,,,,,,,,45.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Purba Medinipur,,,,,,,13304.48,45.69,,,,,,,,29122.05,,,,,,,,,,,,,,,,,,,,,,,,,,,42.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Purulia,,,,,,,3992.0,48.02,,,,,,,,8313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,54.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Uttar Dinajpur,,,,,,,4982.09,59.92,,,,,,,,8314.67,,,,,,,,,,,,,,,,,,,,,,,,,,,60.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Alipurduar,41.66,48.18,47.64,,,,4298.51,62.15,,,,,,,49.1,,,6915.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Bankura,43.16,45.01,49.25,,,,9009.0,51.82,,,,,,,46.13,,,17384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Birbhum,40.26,41.09,49.99,,,,8891.47,48.31,,,,,,,44.35,,,18403.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Cooch Behar,69.95,77.36,79.49,,,,7878.89,75.6,,,,,,,75.51,,,10422.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Dakshin Dinajpur,57.44,62.21,61.85,,,,3312.91,62.67,,,,,,,61.29,,,5286.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Darjeeling,60.29,64.4,57.59,,,,13908.32,62.08,,,,,,,57.26,,,22402.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Hooghly,29.22,27.08,36.26,,,,22387.62,41.31,,,,,,,34.45,,,54190.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Howrah,41.6,41.86,46.26,,,,24292.56,47.79,,,,,,,44.8,,,50834.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Jalpaiguri,51.86,59.09,63.33,,,,5829.93,60.27,,,,,,,59.19,,,9673.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Jhargram,40.05,40.03,40.92,,,,1905.63,41.22,,,,,,,40.02,,,4622.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Kalimpong,39.26,40.04,44.6,,,,892.03,46.97,,,,,,,40.47,,,1899.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Kolkata,74.8,64.06,61.61,,,,259891.96,64.15,,,,,,,59.17,,,405132.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Malda,53.55,55.83,57.31,,,,7975.37,59.45,,,,,,,56.73,,,13414.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Murshidabad,53.75,42.62,44.02,,,,13677.71,49.02,,,,,,,42.85,,,27904.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Nadia,49.16,50.02,50.25,,,,15301.01,49.8,,,,,,,50.16,,,30726.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Paschim Bardhaman,40.29,41.59,42.58,,,,19589.21,41.1,,,,,,,42.48,,,47662.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Paschim Medinipur,47.3,43.37,46.95,,,,13177.6,47.47,,,,,,,45.55,,,27757.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Purba Bardhaman,44.01,45.58,51.28,,,,16661.48,51.48,,,,,,,49.31,,,32364.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Purba Medinipur,43.62,42.65,45.83,,,,14481.83,47.37,,,,,,,45.69,,,30572.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Purulia,43.94,54.58,48.61,,,,4769.93,48.72,,,,,,,48.02,,,9789.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Uttar Dinajpur,59.81,60.63,60.6,,,,5332.21,60.99,,,,,,,59.92,,,8742.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Alipurduar,,48.18,47.64,63.23,,,5012.19,66.59,,,,,,,,,62.15,,66.59,7527.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Bankura,,45.01,49.25,52.4,,,10648.5,54.59,,,,,,,,,51.82,,54.59,19506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Birbhum,,41.09,49.99,47.59,,,10441.58,50.54,,,,,,,,,48.31,,50.54,20659.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Cooch Behar,,77.36,79.49,79.37,,,31993.25,79.84,,,,,,,,,75.6,,79.84,40070.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Dakshin Dinajpur,,62.21,61.85,62.23,,,3749.5,61.85,,,,,,,,,62.67,,61.85,6062.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Darjeeling,,64.4,57.59,65.19,,,16335.34,66.35,,,,,,,,,62.08,,66.35,24620.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Hooghly,,27.08,36.26,41.9,,,24964.69,45.31,,,,,,,,,41.31,,45.31,55097.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Howrah,,41.86,46.26,49.33,,,26318.86,48.38,,,,,,,,,47.79,,48.38,54395.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Jalpaiguri,,59.09,63.33,68.7,,,11402.43,80.1,,,,,,,,,60.27,,80.1,14235.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Jhargram,,40.03,40.92,42.19,,,2200.56,46.93,,,,,,,,,41.22,,46.93,4689.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Kalimpong,,40.04,44.6,50.54,,,1055.31,50.74,,,,,,,,,46.97,,50.74,2079.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Kolkata,,64.06,61.61,64.15,,,360220.63,96.29,,,,,,,,,64.15,,96.29,374118.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Malda,,55.83,57.31,60.43,,,8565.35,57.81,,,,,,,,,59.45,,57.81,14816.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Murshidabad,,42.62,44.02,52.27,,,16726.17,56.59,,,,,,,,,49.02,,56.59,29558.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Nadia,,50.02,50.25,50.02,,,15160.0,50.28,,,,,,,,,49.8,,50.28,30150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Paschim Bardhaman,,41.59,42.58,46.31,,,24756.41,51.04,,,,,,,,,41.1,,51.04,48503.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Paschim Medinipur,,43.37,46.95,49.32,,,16110.87,50.18,,,,,,,,,47.47,,50.18,32106.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purba Bardhaman,,45.58,51.28,51.89,,,17900.98,53.09,,,,,,,,,51.48,,53.09,33715.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purba Medinipur,,42.65,45.83,47.39,,,17271.47,49.07,,,,,,,,,47.37,,49.07,35199.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purulia,,54.58,48.61,48.84,,,6361.45,49.28,,,,,,,,,48.72,,49.28,12907.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Uttar Dinajpur,,60.63,60.6,61.17,,,6246.29,65.23,,,,,,,,,60.99,,65.23,9575.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Alipurduar,,,,,,,5495.1,62.33,,,,,,,,,,,66.59,,62.33,8816.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Bankura,,,,,,,11778.9,54.69,,,,,,,,,,,54.59,,54.69,21537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Birbhum,,,,,,,11372.16,51.29,,,,,,,,,,,50.54,,51.29,22171.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Cooch Behar,,,,,,,13558.6,80.13,,,,,,,,,,,79.84,,80.13,16921.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Dakshin Dinajpur,,,,,,,4264.71,68.17,,,,,,,,,,,61.85,,68.17,6256.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Darjeeling,,,,,,,18766.79,68.52,,,,,,,,,,,66.35,,68.52,27388.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Hooghly,,,,,,,27031.13,45.27,,,,,,,,,,,45.31,,45.27,59712.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Howrah,,,,,,,28125.95,49.66,,,,,,,,,,,48.38,,49.66,56634.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Jalpaiguri,,,,,,,10172.48,76.6,,,,,,,,,,,80.1,,76.6,13279.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Jhargram,,,,,,,2462.96,46.84,,,,,,,,,,,46.93,,46.84,5258.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Kalimpong,,,,,,,1091.64,50.94,,,,,,,,,,,50.74,,50.94,2142.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Kolkata,,,,,,,413201.48,98.05,,,,,,,,,,,96.29,,98.05,421430.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Malda,,,,,,,10061.57,60.23,,,,,,,,,,,57.81,,60.23,16704.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Murshidabad,,,,,,,17861.59,59.19,,,,,,,,,,,56.59,,59.19,30175.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Nadia,,,,,,,17864.0,51.78,,,,,,,,,,,50.28,,51.78,34501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Paschim Bardhaman,,,,,,,27721.57,52.51,,,,,,,,,,,51.04,,52.51,52794.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Paschim Medinipur,,,,,,,17602.35,50.61,,,,,,,,,,,50.18,,50.61,34778.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Purba Bardhaman,,,,,,,20646.22,53.66,,,,,,,,,,,53.09,,53.66,38476.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Purba Medinipur,,,,,,,20681.31,53.58,,,,,,,,,,,49.07,,53.58,38599.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Purulia,,,,,,,6229.6,49.83,,,,,,,,,,,49.28,,49.83,12502.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2024,Uttar Dinajpur,,,,,,,6505.91,69.53,,,,,,,,,,,65.23,,69.53,9356.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2016,Alipurduar,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3253.48,,,,,,,,,12.0,
June 2016,Bankura,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8623.97,,,,,,,,,7.0,
June 2016,Birbhum,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9029.14,,,,,,,,,4.0,
June 2016,Cooch Behar,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4901.91,,,,,,,,,11.0,
June 2016,Dakshin Dinajpur,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2576.43,,,,,,,,,1.0,
June 2016,Darjeeling,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11694.66,,,,,,,,,3.0,
June 2016,Hooghly,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28827.0,,,,,,,,,4.0,
June 2016,Howrah,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23973.34,,,,,,,,,-39.0,
June 2016,Jalpaiguri,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10471.21,,,,,,,,,32.0,
June 2016,Kolkata,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252089.54,,,,,,,,,1.0,
June 2016,Malda,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6477.66,,,,,,,,,0.0,
June 2016,Murshidabad,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9786.6,,,,,,,,,4.0,
June 2016,Nadia,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17116.84,,,,,,,,,-9.0,
June 2016,Paschim Medinipur,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18010.31,,,,,,,,,1.0,
June 2016,Purba Bardhaman,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45664.94,,,,,,,,,4.0,
June 2016,Purba Medinipur,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15165.41,,,,,,,,,-1.0,
June 2016,Purulia,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6607.28,,,,,,,,,-2.0,
June 2016,Uttar Dinajpur,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680.2,,,,,,,,,3.0,
June 2017,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3758.24,,,,,,,,,
June 2017,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9623.34,,,,,,,,,
June 2017,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11293.16,,,,,,,,,
June 2017,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5796.16,,,,,,,,,
June 2017,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3063.61,,,,,,,,,
June 2017,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15461.82,,,,,,,,,
June 2017,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35241.55,,,,,,,,,
June 2017,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26065.49,,,,,,,,,
June 2017,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6471.19,,,,,,,,,
June 2017,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276594.74,,,,,,,,,
June 2017,Malda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7904.34,,,,,,,,,
June 2017,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11565.9,,,,,,,,,
June 2017,Nadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20130.95,,,,,,,,,
June 2017,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17526.07,,,,,,,,,
June 2017,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54470.11,,,,,,,,,
June 2017,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19093.11,,,,,,,,,
June 2017,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7242.5,,,,,,,,,
June 2017,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4309.98,,,,,,,,,
June 2018,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4202.96,,,,,,,,
