period,district,31_03_2022,31_03_2023,31_03_2024,31_03_2025,amount,disbursement_during_fy_during_fy_2022_23,during_fy_2021_22,during_fy_2022_23,during_fy_2023_24,during_fy_2024_25,kcc_disbursement_during_01_04_2019_to_30_06_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_31_03_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_31_12_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_30_09_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_31_03_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_31_12_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_30_06_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_30_09_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_31_03_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_31_12_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_30_06_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_30_09_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_31_03_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_31_12_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_30_06_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_31_03_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_31_12_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_30_06_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_31_03_2025_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_31_12_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2025_to_30_06_2025_fresh_renewal_no,kcc_disbursement_during_01_04_2025_to_30_09_2025_fresh_renewal_no,kcc_disbursement_during_fy_2018_19_no,kcc_disbursement_during_fy_2020_21,kcc_disbursement_during_fy_2021_22,kcc_outstanding_31_03_2021,kcc_outstanding_31_03_2022,kcc_outstanding_as_on_30_06_2020_no,kcc_outstanding_as_on_30_06_2021_no,kcc_outstanding_as_on_30_06_2022_no,kcc_outstanding_as_on_30_06_2023_no,kcc_outstanding_as_on_30_06_2024_no,kcc_outstanding_as_on_30_06_2025_no,kcc_outstanding_as_on_30_09_2021_no,kcc_outstanding_as_on_30_09_2022_no,kcc_outstanding_as_on_30_09_2025_no,kcc_outstanding_as_on_31_03_2021_no,kcc_outstanding_as_on_31_03_2022_no,kcc_outstanding_as_on_31_03_2023_no,kcc_outstanding_as_on_31_03_2024_no,kcc_outstanding_as_on_31_03_2025_no,kcc_outstanding_as_on_31_12_2020_no,kcc_outstanding_as_on_31_12_2021_no,kcc_outstanding_as_on_31_12_2022_no,kcc_outstanding_as_on_31_12_2023_no,kcc_outstanding_as_on_31_12_2024_no,of_achievement_no,outstanding_as_on_31_03_2023,target_no
December 2019,Purba Bardhaman,,,,,718.9,,,,,,,,162363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.13,,270000.0
December 2019,Purba Medinipur,,,,,1000.88,,,,,,,,380308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.14,,290000.0
December 2019,Purulia,,,,,47.91,,,,,,,,18421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.28,,150000.0
December 2019,Uttar Dinajpur,,,,,94.42,,,,,,,,18985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.26,,110000.0
December 2020,Alipurduar,,,,,256.04,,,,,,,,,,,20394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45534.0,,,,,50.99,,40000.0
December 2020,Bankura,,,,,549.63,,,,,,,,,,,91231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165223.0,,,,,39.67,,230000.0
December 2020,Birbhum,,,,,832.27,,,,,,,,,,,163665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250178.0,,,,,77.57,,211000.0
December 2020,Cooch Behar,,,,,486.21,,,,,,,,,,,85099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104248.0,,,,,42.55,,200000.0
December 2020,Dakshin Dinajpur,,,,,719.74,,,,,,,,,,,45225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181210.0,,,,,37.69,,120000.0
December 2020,Darjeeling,,,,,94.85,,,,,,,,,,,5781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18731.0,,,,,28.91,,20000.0
December 2020,Hooghly,,,,,1004.64,,,,,,,,,,,200884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283501.0,,,,,89.28,,225000.0
December 2020,Howrah,,,,,133.23,,,,,,,,,,,37719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40326.0,,,,,37.72,,100000.0
December 2020,Jalpaiguri,,,,,765.69,,,,,,,,,,,27284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88311.0,,,,,54.57,,50000.0
December 2020,Jhargram,,,,,295.85,,,,,,,,,,,21200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67805.0,,,,,28.27,,75000.0
December 2020,Kalimpong,,,,,40.91,,,,,,,,,,,3390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10938.0,,,,,48.43,,7000.0
December 2020,Kolkata,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0
December 2020,Malda,,,,,451.68,,,,,,,,,,,46538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110480.0,,,,,20.68,,225000.0
December 2020,Murshidabad,,,,,320.45,,,,,,,,,,,63435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71402.0,,,,,20.46,,310000.0
December 2020,Nadia,,,,,715.39,,,,,,,,,,,69806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159858.0,,,,,26.85,,260000.0
December 2020,Paschim Bardhaman,,,,,60.57,,,,,,,,,,,7822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19550.0,,,,,31.29,,25000.0
December 2020,Paschim Medinipur,,,,,1495.19,,,,,,,,,,,101479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348050.0,,,,,20.92,,485000.0
December 2020,Purba Bardhaman,,,,,1970.46,,,,,,,,,,,134643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394722.0,,,,,46.43,,290000.0
December 2020,Purba Medinipur,,,,,1608.89,,,,,,,,,,,497472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440532.0,,,,,67.68,,735000.0
December 2020,Purulia,,,,,335.35,,,,,,,,,,,23321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95599.0,,,,,20.82,,112000.0
December 2020,Uttar Dinajpur,,,,,1011.21,,,,,,,,,,,40007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284312.0,,,,,20.52,,195000.0
December 2021,Alipurduar,,,,,140.85,,,,,,,,,,,,,,,21678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26625.0,,,,56.31,,38500.0
December 2021,Bankura,,,,,773.91,,,,,,,,,,,,,,,122947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167181.0,,,,62.09,,198000.0
December 2021,Birbhum,,,,,965.8,,,,,,,,,,,,,,,198308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227024.0,,,,82.63,,240000.0
December 2021,Cooch Behar,,,,,980.65,,,,,,,,,,,,,,,129606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192050.0,,,,68.21,,190000.0
December 2021,Dakshin Dinajpur,,,,,842.47,,,,,,,,,,,,,,,65258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199906.0,,,,56.75,,115000.0
December 2021,Darjeeling,,,,,90.18,,,,,,,,,,,,,,,9385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20543.0,,,,50.73,,18500.0
December 2021,Hooghly,,,,,1454.63,,,,,,,,,,,,,,,209791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314601.0,,,,53.11,,395000.0
December 2021,Howrah,,,,,352.06,,,,,,,,,,,,,,,38759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76185.0,,,,40.8,,95000.0
December 2021,Jalpaiguri,,,,,475.18,,,,,,,,,,,,,,,23887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93224.0,,,,59.72,,40000.0
December 2021,Jhargram,,,,,489.07,,,,,,,,,,,,,,,36293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110462.0,,,,65.99,,55000.0
December 2021,Kalimpong,,,,,58.83,,,,,,,,,,,,,,,7555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10093.0,,,,75.55,,10000.0
December 2021,Kolkata,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
December 2021,Malda,,,,,869.13,,,,,,,,,,,,,,,66043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243437.0,,,,60.04,,110000.0
December 2021,Murshidabad,,,,,680.97,,,,,,,,,,,,,,,66293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148603.0,,,,69.78,,95000.0
December 2021,Nadia,,,,,971.71,,,,,,,,,,,,,,,59412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185742.0,,,,54.01,,110000.0
December 2021,Paschim Bardhaman,,,,,96.38,,,,,,,,,,,,,,,12351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16862.0,,,,49.4,,25000.0
December 2021,Paschim Medinipur,,,,,790.4,,,,,,,,,,,,,,,101722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152132.0,,,,41.52,,245000.0
December 2021,Purba Bardhaman,,,,,2982.38,,,,,,,,,,,,,,,133935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591499.0,,,,47.83,,280000.0
December 2021,Purba Medinipur,,,,,2873.71,,,,,,,,,,,,,,,461594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595520.0,,,,61.55,,750000.0
December 2021,Purulia,,,,,535.38,,,,,,,,,,,,,,,31316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99016.0,,,,89.47,,35000.0
December 2021,Uttar Dinajpur,,,,,1397.32,,,,,,,,,,,,,,,41750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315219.0,,,,75.91,,55000.0
December 2022,Alipurduar,47003.0,,,,461.22,,24782.0,,,,,,,,,,,,,,,,,27899.0,,,,,,,,,,28580.0,,45666.0,,,,,,,,,,,,,,,,,,64495.0,,,72.46,,38500.0
December 2022,Bankura,165474.0,,,,939.41,,151205.0,,,,,,,,,,,,,,,,,142013.0,,,,,,,,,,148212.0,,168322.0,,,,,,,,,,,,,,,,,,174470.0,,,71.72,,198000.0
December 2022,Birbhum,228706.0,,,,792.36,,201149.0,,,,,,,,,,,,,,,,,80909.0,,,,,,,,,,179452.0,,245964.0,,,,,,,,,,,,,,,,,,245133.0,,,33.71,,240000.0
December 2022,Cooch Behar,200143.0,,,,1447.01,,158373.0,,,,,,,,,,,,,,,,,128374.0,,,,,,,,,,143251.0,,193749.0,,,,,,,,,,,,,,,,,,172268.0,,,67.57,,190000.0
December 2022,Dakshin Dinajpur,110792.0,,,,572.8,,77537.0,,,,,,,,,,,,,,,,,76023.0,,,,,,,,,,85121.0,,100122.0,,,,,,,,,,,,,,,,,,107975.0,,,66.11,,115000.0
December 2022,Darjeeling,26325.0,,,,120.95,,17604.0,,,,,,,,,,,,,,,,,9486.0,,,,,,,,,,13504.0,,23090.0,,,,,,,,,,,,,,,,,,24515.0,,,51.28,,18500.0
December 2022,Hooghly,321789.0,,,,1432.91,,266969.0,,,,,,,,,,,,,,,,,231365.0,,,,,,,,,,290045.0,,306179.0,,,,,,,,,,,,,,,,,,340054.0,,,58.57,,395000.0
December 2022,Howrah,75783.0,,,,526.24,,41642.0,,,,,,,,,,,,,,,,,35096.0,,,,,,,,,,70222.0,,43711.0,,,,,,,,,,,,,,,,,,86560.0,,,36.94,,95000.0
December 2022,Jalpaiguri,80373.0,,,,861.94,,25647.0,,,,,,,,,,,,,,,,,39352.0,,,,,,,,,,30801.0,,94099.0,,,,,,,,,,,,,,,,,,96921.0,,,98.38,,40000.0
December 2022,Jhargram,80955.0,,,,304.13,,38419.0,,,,,,,,,,,,,,,,,28037.0,,,,,,,,,,42840.0,,73757.0,,,,,,,,,,,,,,,,,,72680.0,,,50.98,,55000.0
December 2022,Kalimpong,11031.0,,,,49.59,,9041.0,,,,,,,,,,,,,,,,,1992.0,,,,,,,,,,8229.0,,10609.0,,,,,,,,,,,,,,,,,,8612.0,,,19.92,,10000.0
December 2022,Kolkata,0.0,,,,21.01,,0.0,,,,,,,,,,,,,,,,,926.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,437.0,,,,,0.0
December 2022,Malda,126930.0,,,,644.79,,171364.0,,,,,,,,,,,,,,,,,56366.0,,,,,,,,,,79801.0,,128983.0,,,,,,,,,,,,,,,,,,144930.0,,,51.24,,110000.0
December 2022,Murshidabad,126729.0,,,,966.37,,73973.0,,,,,,,,,,,,,,,,,56015.0,,,,,,,,,,71458.0,,98425.0,,,,,,,,,,,,,,,,,,162201.0,,,58.96,,95000.0
December 2022,Nadia,197820.0,,,,1447.03,,64240.0,,,,,,,,,,,,,,,,,78977.0,,,,,,,,,,76225.0,,171272.0,,,,,,,,,,,,,,,,,,214849.0,,,71.8,,110000.0
December 2022,Paschim Bardhaman,14501.0,,,,234.25,,14792.0,,,,,,,,,,,,,,,,,11987.0,,,,,,,,,,19534.0,,23491.0,,,,,,,,,,,,,,,,,,14717.0,,,47.95,,25000.0
December 2022,Paschim Medinipur,370792.0,,,,2161.32,,267316.0,,,,,,,,,,,,,,,,,219082.0,,,,,,,,,,183846.0,,318897.0,,,,,,,,,,,,,,,,,,395844.0,,,89.42,,245000.0
December 2022,Purba Bardhaman,557957.0,,,,2579.91,,289429.0,,,,,,,,,,,,,,,,,239194.0,,,,,,,,,,210211.0,,459093.0,,,,,,,,,,,,,,,,,,473948.0,,,85.43,,280000.0
December 2022,Purba Medinipur,557064.0,,,,1674.87,,560331.0,,,,,,,,,,,,,,,,,434385.0,,,,,,,,,,561806.0,,513433.0,,,,,,,,,,,,,,,,,,606479.0,,,57.92,,750000.0
December 2022,Purulia,108514.0,,,,306.47,,51254.0,,,,,,,,,,,,,,,,,25584.0,,,,,,,,,,26712.0,,94289.0,,,,,,,,,,,,,,,,,,116373.0,,,73.1,,35000.0
December 2022,Uttar Dinajpur,289343.0,,,,1048.13,,47316.0,,,,,,,,,,,,,,,,,39019.0,,,,,,,,,,41454.0,,284312.0,,,,,,,,,,,,,,,,,,296072.0,,,70.94,,55000.0
December 2023,Alipurduar,47003.0,94402.0,,,221.51,,24782.0,31573.0,,,,,,,,,,,,,,,,,,,25455.0,,,,,,,28580.0,,45666.0,,,,,,,,,,,,,,,,,,,43536.0,,66.12,,38500.0
December 2023,Bankura,165474.0,174432.0,,,669.63,,151205.0,169126.0,,,,,,,,,,,,,,,,,,,110856.0,,,,,,,148212.0,,168322.0,,,,,,,,,,,,,,,,,,,174272.0,,55.99,,198000.0
December 2023,Birbhum,228706.0,245080.0,,,851.89,,201149.0,89665.0,,,,,,,,,,,,,,,,,,,61692.0,,,,,,,179452.0,,245964.0,,,,,,,,,,,,,,,,,,,249763.0,,25.71,,240000.0
December 2023,Cooch Behar,200143.0,162231.0,,,1170.77,,158373.0,154180.0,,,,,,,,,,,,,,,,,,,49020.0,,,,,,,143251.0,,193749.0,,,,,,,,,,,,,,,,,,,176212.0,,25.8,,190000.0
December 2023,Dakshin Dinajpur,110792.0,107952.0,,,432.76,,77537.0,84311.0,,,,,,,,,,,,,,,,,,,38605.0,,,,,,,85121.0,,100122.0,,,,,,,,,,,,,,,,,,,110416.0,,33.57,,115000.0
December 2023,Darjeeling,26325.0,24510.0,,,125.53,,17604.0,11395.0,,,,,,,,,,,,,,,,,,,10228.0,,,,,,,13504.0,,23090.0,,,,,,,,,,,,,,,,,,,26399.0,,55.29,,18500.0
December 2023,Hooghly,321789.0,329980.0,,,1626.88,,266969.0,304544.0,,,,,,,,,,,,,,,,,,,171920.0,,,,,,,290045.0,,306179.0,,,,,,,,,,,,,,,,,,,332767.0,,43.52,,395000.0
December 2023,Howrah,75783.0,86541.0,,,599.57,,41642.0,39460.0,,,,,,,,,,,,,,,,,,,51079.0,,,,,,,70222.0,,43711.0,,,,,,,,,,,,,,,,,,,82715.0,,53.77,,95000.0
December 2023,Jalpaiguri,80373.0,96900.0,,,467.26,,25647.0,44124.0,,,,,,,,,,,,,,,,,,,26787.0,,,,,,,30801.0,,94099.0,,,,,,,,,,,,,,,,,,,58205.0,,66.97,,40000.0
December 2023,Jhargram,80955.0,72664.0,,,104.26,,38419.0,31725.0,,,,,,,,,,,,,,,,,,,39736.0,,,,,,,42840.0,,73757.0,,,,,,,,,,,,,,,,,,,61518.0,,72.25,,55000.0
December 2023,Kalimpong,11031.0,8610.0,,,76.11,,9041.0,3183.0,,,,,,,,,,,,,,,,,,,1389.0,,,,,,,8229.0,,10609.0,,,,,,,,,,,,,,,,,,,11168.0,,13.89,,10000.0
December 2023,Kolkata,0.0,437.0,,,32.15,,0.0,1015.0,,,,,,,,,,,,,,,,,,,364.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,967.0,,,,0.0
December 2023,Malda,126930.0,144897.0,,,705.05,,171364.0,62769.0,,,,,,,,,,,,,,,,,,,115094.0,,,,,,,79801.0,,128983.0,,,,,,,,,,,,,,,,,,,157491.0,,104.63,,110000.0
December 2023,Murshidabad,126729.0,162166.0,,,1004.78,,73973.0,62385.0,,,,,,,,,,,,,,,,,,,55005.0,,,,,,,71458.0,,98425.0,,,,,,,,,,,,,,,,,,,163084.0,,57.9,,95000.0
December 2023,Nadia,197820.0,214802.0,,,2302.0,,64240.0,87548.0,,,,,,,,,,,,,,,,,,,55802.0,,,,,,,76225.0,,171272.0,,,,,,,,,,,,,,,,,,,242111.0,,50.73,,110000.0
December 2023,Paschim Bardhaman,14501.0,14714.0,,,180.93,,14792.0,14136.0,,,,,,,,,,,,,,,,,,,6485.0,,,,,,,19534.0,,23491.0,,,,,,,,,,,,,,,,,,,18340.0,,25.94,,25000.0
December 2023,Paschim Medinipur,370792.0,380758.0,,,2041.21,,267316.0,291083.0,,,,,,,,,,,,,,,,,,,206756.0,,,,,,,183846.0,,318897.0,,,,,,,,,,,,,,,,,,,387608.0,,84.39,,245000.0
December 2023,Purba Bardhaman,557957.0,458845.0,,,2299.4,,289429.0,313123.0,,,,,,,,,,,,,,,,,,,127135.0,,,,,,,210211.0,,459093.0,,,,,,,,,,,,,,,,,,,398483.0,,45.41,,280000.0
December 2023,Purba Medinipur,557064.0,593003.0,,,1444.14,,560331.0,547833.0,,,,,,,,,,,,,,,,,,,399444.0,,,,,,,561806.0,,513433.0,,,,,,,,,,,,,,,,,,,428977.0,,53.26,,750000.0
December 2023,Purulia,108514.0,116348.0,,,327.41,,51254.0,29036.0,,,,,,,,,,,,,,,,,,,30071.0,,,,,,,26712.0,,94289.0,,,,,,,,,,,,,,,,,,,121434.0,,85.92,,35000.0
December 2023,Uttar Dinajpur,289343.0,246008.0,,,647.08,,47316.0,43759.0,,,,,,,,,,,,,,,,,,,26384.0,,,,,,,41454.0,,284312.0,,,,,,,,,,,,,,,,,,,241991.0,,47.97,,55000.0
December 2024,Alipurduar,,,,,574.15,,,,,,,,,,,,,,,,,,,,,,,,,36236.0,,,,,,,,,,,,,,,,,,,,,,,,,,73169.0,94.12,,38500.0
December 2024,Bankura,,,,,938.31,,,,,,,,,,,,,,,,,,,,,,,,,86163.0,,,,,,,,,,,,,,,,,,,,,,,,,,214798.0,43.52,,198000.0
December 2024,Birbhum,,,,,1057.05,,,,,,,,,,,,,,,,,,,,,,,,,97104.0,,,,,,,,,,,,,,,,,,,,,,,,,,251476.0,40.46,,240000.0
December 2024,Cooch Behar,,,,,1768.6,,,,,,,,,,,,,,,,,,,,,,,,,70207.0,,,,,,,,,,,,,,,,,,,,,,,,,,171914.0,36.95,,190000.0
December 2024,Dakshin Dinajpur,,,,,580.87,,,,,,,,,,,,,,,,,,,,,,,,,53997.0,,,,,,,,,,,,,,,,,,,,,,,,,,144693.0,46.95,,115000.0
December 2024,Darjeeling,,,,,270.05,,,,,,,,,,,,,,,,,,,,,,,,,29705.0,,,,,,,,,,,,,,,,,,,,,,,,,,28572.0,160.57,,18500.0
December 2024,Hooghly,,,,,1971.25,,,,,,,,,,,,,,,,,,,,,,,,,274223.0,,,,,,,,,,,,,,,,,,,,,,,,,,358966.0,69.42,,395000.0
December 2024,Howrah,,,,,562.72,,,,,,,,,,,,,,,,,,,,,,,,,55927.0,,,,,,,,,,,,,,,,,,,,,,,,,,75060.0,58.87,,95000.0
December 2024,Jalpaiguri,,,,,842.32,,,,,,,,,,,,,,,,,,,,,,,,,41676.0,,,,,,,,,,,,,,,,,,,,,,,,,,76546.0,104.19,,40000.0
December 2024,Jhargram,,,,,345.73,,,,,,,,,,,,,,,,,,,,,,,,,67138.0,,,,,,,,,,,,,,,,,,,,,,,,,,103198.0,122.07,,55000.0
