period,district,achievement,no_of_eligible_operative_ca_a_c,no_of_eligible_operative_sb_a_c,no_of_operative_ca_a_c_covered_with_at_least_one_digital_mode,no_of_operative_sb_a_c_covered_with_at_least_one_digital_mode
June 2024,Kolkata,81.73,535633.0,8874778.0,437763.0,8380452.0
June 2024,Malda,85.25,,4995176.0,57651.0,4791854.0
June 2024,Murshidabad,86.78,,6321545.0,86415.0,5960220.0
June 2024,Paschim Bardhaman,85.19,151979.0,3934659.0,129478.0,3327225.0
June 2024,Paschim Medinipur,84.35,,5209820.0,69200.0,4694725.0
June 2024,Purba Bardhaman,85.39,,4710644.0,76266.0,4271245.0
June 2024,Purba Medinipur,75.07,146521.0,6537759.0,109998.0,5214321.0
June 2024,Purulia,78.54,,2796693.0,19226.0,2615224.0
June 2024,Uttar Dinajpur,86.1,,3876106.0,45551.0,3636051.0
June 2025,Alipurduar,96.1,,2070219.0,,
June 2025,Bankura,91.27,,3913731.0,,
June 2025,Birbhum,95.16,,4072236.0,,
June 2025,Cooch Behar,97.74,,3213643.0,,
June 2025,Dakshin Dinajpur,94.51,,2091883.0,,
June 2025,Darjeeling,90.18,,2274010.0,,
June 2025,Hooghly,88.93,146109.0,7214941.0,129935.0,
June 2025,Jalpaiguri,92.81,,3060499.0,,
June 2025,Jhargram,89.21,,1043864.0,,
June 2025,Kalimpong,73.18,5674.0,382462.0,4152.0,
June 2025,Kolkata,88.69,550945.0,9121090.0,488658.0,
June 2025,Malda,92.62,,4936480.0,,
June 2025,Murshidabad,92.97,112428.0,7694348.0,104522.0,
June 2025,Paschim Bardhaman,90.86,,3289330.0,,
June 2025,Paschim Medinipur,90.46,,5567847.0,,
June 2025,Purba Bardhaman,91.34,,5035992.0,,
June 2025,Purba Medinipur,84.64,132740.0,4000821.0,112345.0,
June 2025,Purulia,90.22,,3084548.0,,
June 2025,Uttar Dinajpur,93.75,,3667812.0,,
March 2024,Alipurduar,84.17,,,,
March 2024,Bankura,79.06,,,,
March 2024,Birbhum,80.72,,,,
March 2024,Cooch Behar,78.75,,,,
March 2024,Dakshin Dinajpur,76.03,,,,
March 2024,Darjeeling,81.15,,,,
March 2024,Hooghly,78.24,102309.0,,,
March 2024,Jalpaiguri,79.89,,,,
March 2024,Jhargram,59.19,,921793.0,7044.0,798403.0
March 2024,Kalimpong,68.08,4367.0,343555.0,2973.0,250848.0
March 2024,Kolkata,79.08,500854.0,,396095.0,
March 2024,Malda,78.44,,,,
March 2024,Murshidabad,81.46,102011.0,,,
March 2024,Paschim Bardhaman,84.45,152610.0,,128878.0,
March 2024,Paschim Medinipur,75.46,,,,
March 2024,Purba Bardhaman,80.81,,,,
March 2024,Purba Medinipur,73.53,146735.0,,107899.0,
March 2024,Purulia,75.32,,,,
March 2024,Uttar Dinajpur,82.79,,,,
March 2025,Alipurduar,94.99,,2088611.0,,
March 2025,Bankura,87.03,,3963691.0,,
March 2025,Birbhum,94.38,,4162953.0,,
March 2025,Cooch Behar,95.51,,3217035.0,,
March 2025,Dakshin Dinajpur,96.22,,2113402.0,,
March 2025,Darjeeling,87.26,,2305461.0,,
March 2025,Hooghly,86.89,148454.0,7295664.0,128998.0,
March 2025,Jalpaiguri,89.92,,3071111.0,,
March 2025,Jhargram,85.23,,1053562.0,,
March 2025,Kalimpong,74.45,5952.0,386775.0,4431.0,
March 2025,Kolkata,87.02,540406.0,9184792.0,470253.0,
March 2025,Malda,89.02,,4998935.0,,
March 2025,Murshidabad,91.11,108315.0,7775844.0,,
March 2025,Paschim Bardhaman,88.95,,3356554.0,,
March 2025,Paschim Medinipur,88.94,,5618200.0,,
March 2025,Purba Bardhaman,88.91,,5147850.0,,
March 2025,Purba Medinipur,78.13,142589.0,4981230.0,111407.0,
March 2025,Purulia,86.69,,3118464.0,,
March 2025,Uttar Dinajpur,91.5,,3619793.0,,
September 2025,Alipurduar,89.73,,2455481.0,,
September 2025,Bankura,87.5,,3896740.0,,
September 2025,Birbhum,95.3,,4066081.0,,
September 2025,Cooch Behar,96.67,,3934455.0,,
September 2025,Dakshin Dinajpur,95.21,,2105721.0,,
September 2025,Darjeeling,89.75,,2279786.0,,
September 2025,Hooghly,89.39,145965.0,7191686.0,130480.0,
September 2025,Jalpaiguri,93.73,,3067648.0,,
September 2025,Jhargram,87.0,,1039383.0,,
September 2025,Kalimpong,72.93,5715.0,383573.0,4168.0,
September 2025,Kolkata,89.23,550250.0,9123768.0,491012.0,
September 2025,Malda,92.39,,4962178.0,,
September 2025,Murshidabad,93.54,112312.0,7687847.0,105059.0,
September 2025,Paschim Bardhaman,91.13,,3286369.0,,
September 2025,Paschim Medinipur,91.29,,5515746.0,,
September 2025,Purba Bardhaman,91.9,,4997549.0,,
September 2025,Purba Medinipur,83.21,112520.0,3980819.0,,
September 2025,Purulia,90.78,,3066946.0,,
September 2025,Uttar Dinajpur,94.2,,3638771.0,,
