period,district,cumulative_amount_of_loan_disbursed_under_jlg_as_on_30_06_2017,cumulative_amount_of_loan_disbursed_under_jlg_as_on_30_09_2016,cumulative_amount_of_loan_disbursed_under_jlg_as_on_30_09_2017,cumulative_amount_of_loan_disbursed_under_jlg_as_on_31_03_2017,cumulative_amount_of_loan_disbursed_under_jlg_as_on_31_03_2018,cumulative_amount_of_loan_disbursed_under_jlg_as_on_31_12_2016,cumulative_amount_of_loan_disbursed_under_jlg_as_on_31_12_2017,cumulative_no_of_j_l_g_s_c_r_e_d_i_t_l_i_n_ked_as_on_30_09_2017,cumulative_no_of_jlgs_credit_l_i_n_k_e_d_a_s_o_n_31_03_2018,cumulative_no_of_jlgs_credit_linked_as_on_30_06_2017,cumulative_no_of_jlgs_credit_linked_as_on_30_09_2016,cumulative_no_of_jlgs_credit_linked_as_on_31_03_2017,cumulative_no_of_jlgs_credit_linked_as_on_31_12_2016,cumulative_no_of_jlgs_credit_linked_as_on_31_12_2017,loan_disbursed_under_jlg_during_f_y_2016_17_april_to_december,loan_disbursed_under_jlg_during_f_y_2016_17_april_to_march,loan_disbursed_under_jlg_during_f_y_2016_17_april_to_september,loan_disbursed_under_jlg_during_f_y_2017_18_april_to_june,loan_disbursed_under_jlg_during_f_y_2_0_1_7_1_8_april_to_december,loan_disbursed_under_jlg_during_f_y_2_0_1_7_1_8_april_to_march,loan_disbursed_under_jlg_during_f_y_2_0_1_7_1_8_april_to_september,no_of_jlgs_credit_linked_during_f_y_2016_17_april_to_december,no_of_jlgs_credit_linked_during_f_y_2016_17_april_to_march,no_of_jlgs_credit_linked_during_f_y_2016_17_april_to_september,no_of_jlgs_credit_linked_during_f_y_2017_18_april_to_december,no_of_jlgs_credit_linked_during_f_y_2017_18_april_to_june,no_of_jlgs_credit_linked_during_f_y_2017_18_april_to_march,no_of_jlgs_credit_linked_during_f_y_2017_18_april_to_september,no_of_jlgs_target_2016_17,no_of_jlgs_target_2017_18
December 2017,Purulia,,,,,,,2119.89,,,,,,,2232.0,,,,,30.91,,,,,,140.0,,,,,4000.0
December 2017,Uttar Dinajpur,,,,,,,3865.72,,,,,,,2622.0,,,,,38.77,,,,,,74.0,,,,,3200.0
June 2017,Bankura,745.65,,,,,,,,,938.0,,,,,,,,40.25,,,,,,,,66.0,,,7200.0,
June 2017,Birbhum,1845.77,,,,,,,,,1565.0,,,,,,,,48.51,,,,,,,,56.0,,,6000.0,
June 2017,Cooch Behar,4012.22,,,,,,,,,4651.0,,,,,,,,46.85,,,,,,,,104.0,,,2400.0,
June 2017,Dakshin Dinajpur,895.56,,,,,,,,,825.0,,,,,,,,44.11,,,,,,,,41.0,,,1600.0,
June 2017,Darjeeling,850.56,,,,,,,,,616.0,,,,,,,,36.89,,,,,,,,48.0,,,800.0,
June 2017,Hooghly,606.85,,,,,,,,,3826.0,,,,,,,,60.89,,,,,,,,180.0,,,4000.0,
June 2017,Howrah,1285.74,,,,,,,,,1866.0,,,,,,,,90.52,,,,,,,,114.0,,,1600.0,
June 2017,Jalpaiguri,3055.64,,,,,,,,,3206.0,,,,,,,,30.25,,,,,,,,55.0,,,2000.0,
June 2017,Malda,580.59,,,,,,,,,1291.0,,,,,,,,3.51,,,,,,,,85.0,,,5600.0,
June 2017,Murshidabad,6984.55,,,,,,,,,13319.0,,,,,,,,144.92,,,,,,,,220.0,,,7200.0,
June 2017,Nadia,5899.77,,,,,,,,,5748.0,,,,,,,,144.18,,,,,,,,220.0,,,2000.0,
June 2017,Purba Bardhaman,4652.88,,,,,,,,,3657.0,,,,,,,,36.77,,,,,,,,67.0,,,8800.0,
June 2017,Purba Medinipur,3845.12,,,,,,,,,4821.0,,,,,,,,202.77,,,,,,,,324.0,,,6400.0,
June 2017,Purulia,2174.58,,,,,,,,,2160.0,,,,,,,,30.68,,,,,,,,56.0,,,4000.0,
June 2017,Uttar Dinajpur,3856.23,,,,,,,,,2632.0,,,,,,,,20.58,,,,,,,,36.0,,,3200.0,
March 2017,Bankura,,,,312.76,,,,,,,,878.0,,,,106.45,,,,,,,194.0,,,,,,7200.0,
March 2017,Birbhum,,,,1419.63,,,,,,,,1534.0,,,,171.32,,,,,,,182.0,,,,,,6000.0,
March 2017,Cooch Behar,,,,3861.05,,,,,,,,4561.0,,,,116.34,,,,,,,462.0,,,,,,2400.0,
March 2017,Dakshin Dinajpur,,,,462.51,,,,,,,,788.0,,,,162.32,,,,,,,166.0,,,,,,1600.0,
March 2017,Darjeeling,,,,409.46,,,,,,,,574.0,,,,127.23,,,,,,,153.0,,,,,,800.0,
March 2017,Hooghly,,,,506.37,,,,,,,,3654.0,,,,267.55,,,,,,,706.0,,,,,,4000.0,
March 2017,Howrah,,,,1011.08,,,,,,,,1784.0,,,,334.61,,,,,,,431.0,,,,,,1600.0,
March 2017,Jalpaiguri,,,,2871.44,,,,,,,,3156.0,,,,114.58,,,,,,,207.0,,,,,,2000.0,
March 2017,Malda,,,,524.18,,,,,,,,1218.0,,,,18.62,,,,,,,362.0,,,,,,5600.0,
March 2017,Murshidabad,,,,6584.12,,,,,,,,13119.0,,,,392.22,,,,,,,822.0,,,,,,7200.0,
March 2017,Nadia,,,,5419.34,,,,,,,,5532.0,,,,638.73,,,,,,,841.0,,,,,,2000.0,
March 2017,Purba Bardhaman,,,,4160.35,,,,,,,,3602.0,,,,138.46,,,,,,,212.0,,,,,,8800.0,
March 2017,Purba Medinipur,,,,3462.55,,,,,,,,4501.0,,,,912.68,,,,,,,1258.0,,,,,,6400.0,
March 2017,Purulia,,,,2084.36,,,,,,,,2107.0,,,,101.24,,,,,,,140.0,,,,,,4000.0,
March 2017,Uttar Dinajpur,,,,3024.56,,,,,,,,2601.0,,,,44.69,,,,,,,98.0,,,,,,3200.0,
March 2018,Bankura,,,,,822.15,,,,1006.0,,,,,,,,,,,125.84,,,,,,,162.0,,,7200.0
March 2018,Birbhum,,,,,2085.11,,,,1636.0,,,,,,,,,,,302.65,,,,,,,152.0,,,6000.0
March 2018,Cooch Behar,,,,,4081.55,,,,4826.0,,,,,,,,,,,120.51,,,,,,,305.0,,,2400.0
March 2018,Dakshin Dinajpur,,,,,972.25,,,,874.0,,,,,,,,,,,138.22,,,,,,,121.0,,,1600.0
March 2018,Darjeeling,,,,,916.85,,,,672.0,,,,,,,,,,,110.54,,,,,,,128.0,,,800.0
March 2018,Hooghly,,,,,712.41,,,,4132.0,,,,,,,,,,,172.55,,,,,,,545.0,,,4000.0
March 2018,Howrah,,,,,1464.85,,,,2021.0,,,,,,,,,,,281.21,,,,,,,308.0,,,1600.0
March 2018,Jalpaiguri,,,,,3107.16,,,,3168.0,,,,,,,,,,,91.44,,,,,,,148.0,,,2000.0
March 2018,Malda,,,,,585.2,,,,1408.0,,,,,,,,,,,10.08,,,,,,,244.0,,,5600.0
March 2018,Murshidabad,,,,,7270.18,,,,13765.0,,,,,,,,,,,432.11,,,,,,,754.0,,,7200.0
March 2018,Nadia,,,,,6165.77,,,,6224.0,,,,,,,,,,,410.84,,,,,,,741.0,,,2000.0
March 2018,Purba Bardhaman,,,,,4716.54,,,,3706.0,,,,,,,,,,,106.42,,,,,,,148.0,,,8800.0
March 2018,Purba Medinipur,,,,,4268.52,,,,5408.0,,,,,,,,,,,632.16,,,,,,,956.0,,,6400.0
March 2018,Purulia,,,,,2120.47,,,,2252.0,,,,,,,,,,,36.84,,,,,,,172.0,,,4000.0
March 2018,Uttar Dinajpur,,,,,3866.41,,,,2626.0,,,,,,,,,,,44.85,,,,,,,80.0,,,3200.0
September 2016,Bankura,,238.49,,,,,,,,,809.0,,,,,,64.58,,,,,,,124.0,,,,,7200.0,
September 2016,Birbhum,,1142.12,,,,,,,,,1485.0,,,,,,112.23,,,,,,,114.0,,,,,6000.0,
September 2016,Cooch Behar,,3241.14,,,,,,,,,4421.0,,,,,,78.16,,,,,,,324.0,,,,,2400.0,
September 2016,Dakshin Dinajpur,,342.74,,,,,,,,,740.0,,,,,,105.22,,,,,,,106.0,,,,,1600.0,
September 2016,Darjeeling,,301.01,,,,,,,,,535.0,,,,,,81.12,,,,,,,84.0,,,,,800.0,
September 2016,Hooghly,,367.93,,,,,,,,,3425.0,,,,,,184.56,,,,,,,444.0,,,,,4000.0,
September 2016,Howrah,,742.31,,,,,,,,,1685.0,,,,,,239.11,,,,,,,267.0,,,,,1600.0,
September 2016,Jalpaiguri,,2157.54,,,,,,,,,3082.0,,,,,,84.66,,,,,,,124.0,,,,,2000.0,
September 2016,Malda,,389.16,,,,,,,,,1106.0,,,,,,11.78,,,,,,,21.0,,,,,5600.0,
September 2016,Murshidabad,,5039.6,,,,,,,,,12866.0,,,,,,242.81,,,,,,,557.0,,,,,7200.0,
September 2016,Nadia,,4235.87,,,,,,,,,5421.0,,,,,,404.12,,,,,,,644.0,,,,,2000.0,
September 2016,Purba Bardhaman,,3081.37,,,,,,,,,3550.0,,,,,,98.56,,,,,,,128.0,,,,,8800.0,
September 2016,Purba Medinipur,,2559.03,,,,,,,,,4209.0,,,,,,603.07,,,,,,,704.0,,,,,6400.0,
September 2016,Purulia,,1745.12,,,,,,,,,2021.0,,,,,,71.24,,,,,,,84.0,,,,,4000.0,
September 2016,Uttar Dinajpur,,2368.7,,,,,,,,,2560.0,,,,,,31.89,,,,,,,49.0,,,,,3200.0,
September 2017,Bankura,,,771.84,,,,,954.0,,,,,,,,,,,,,70.56,,,,,,,89.0,,7200.0
September 2017,Birbhum,,,1871.16,,,,,1591.0,,,,,,,,,,,,,83.22,,,,,,,90.0,,6000.0
September 2017,Cooch Behar,,,4030.98,,,,,4717.0,,,,,,,,,,,,,68.19,,,,,,,174.0,,2400.0
September 2017,Dakshin Dinajpur,,,918.42,,,,,841.0,,,,,,,,,,,,,71.56,,,,,,,62.0,,1600.0
September 2017,Darjeeling,,,866.47,,,,,632.0,,,,,,,,,,,,,58.26,,,,,,,71.0,,800.0
September 2017,Hooghly,,,640.73,,,,,3926.0,,,,,,,,,,,,,100.84,,,,,,,301.0,,4000.0
September 2017,Howrah,,,1340.62,,,,,1904.0,,,,,,,,,,,,,150.49,,,,,,,160.0,,1600.0
September 2017,Jalpaiguri,,,3071.42,,,,,3230.0,,,,,,,,,,,,,50.26,,,,,,,84.0,,2000.0
September 2017,Malda,,,580.67,,,,,1338.0,,,,,,,,,,,,,5.28,,,,,,,153.0,,5600.0
September 2017,Murshidabad,,,7060.48,,,,,13487.0,,,,,,,,,,,,,228.57,,,,,,,417.0,,7200.0
September 2017,Nadia,,,5974.16,,,,,5924.0,,,,,,,,,,,,,216.95,,,,,,,404.0,,2000.0
September 2017,Purba Bardhaman,,,4674.52,,,,,3662.0,,,,,,,,,,,,,60.85,,,,,,,81.0,,8800.0
September 2017,Purba Medinipur,,,3988.21,,,,,5072.0,,,,,,,,,,,,,350.04,,,,,,,582.0,,6400.0
September 2017,Purulia,,,2106.28,,,,,2194.0,,,,,,,,,,,,,20.02,,,,,,,94.0,,4000.0
September 2017,Uttar Dinajpur,,,3855.07,,,,,2607.0,,,,,,,,,,,,,25.61,,,,,,,52.0,,3200.0
