period,district,2020_21,2021_22,2022_23,2023_24,2024_25,31_03_2021,31_03_2022,31_03_2023,31_03_2024,31_03_2025,a_chievement_as_on_dec_19_disbursement_no,achievement_as_on_dec_19_sanction_no,achievement_disbursement_no,achievement_sanction_no,amount,amt,amt_in_cr,average,average_disb_rs_in_lakh,average_disbursement,average_disbursement_amount,average_disbursement_amount_in_lakh,average_disbursement_in_lakh,average_ticket_size_31_03_2021,average_ticket_size_31_03_2022,average_ticket_size_31_03_2023,average_ticket_size_of_outstanding_31_03_2020,disbursed_no,disbursement_during_fy_2020_21,disbursement_during_the_fy_2019_20,disbursement_during_the_fy_2022_23,disbursement_no,no,of_achievement,of_achievement_disbursement_no,of_achievement_no,of_disbursement_against_slbc_target_no,outstanding_as_on_31_03_2020,outstanding_as_on_31_03_2021,outstanding_as_on_31_03_2022,outstanding_as_on_31_03_2023,outstanding_no,pending_no,pending_shg_no,sanction_no,sanctioned_no,target_2020_21_no,target_2021_22,target_2023_24_no,target_for_2019_20_disbursement_no,target_for_2020_21_no,target_fy_2025_26_no,target_no,total_app_submitted,total_application_submitted,total_disbursed_no,total_disbursement,total_disbursement_no,total_outsanding_no,total_outstanding,total_outstanding_no,total_sanction_no,total_sanctioned,total_sanctioned_no
December 2020,Purba Bardhaman,,,,,,,,,,,,,,,,54.0,,,1.67,,,,,,,,,,,,,28659.0,,,,87.0,,,,,,,,,,21360.0,33038.0,,,,,,,,,,,,,,,,,
December 2020,Purba Medinipur,,,,,,,,,,,,,,,,62.0,,,1.52,,,,,,,,,,,,,51564.0,,,,122.0,,,,,,,,,,25357.0,42328.0,,,,,,,,,,,,,,,,,
December 2020,Purulia,,,,,,,,,,,,,,,,31.0,,,0.76,,,,,,,,,,,,,18851.0,,,,92.0,,,,,,,,,,11170.0,20472.0,,,,,,,,,,,,,,,,,
December 2020,South 24 Parganas,,,,,,,,,,,,,,,,44.0,,,1.09,,,,,,,,,,,,,37327.0,,,,88.0,,,,,,,,,,27140.0,42602.0,,,,,,,,,,,,,,,,,
December 2020,Uttar Dinajpur,,,,,,,,,,,,,,,,62.0,,,1.19,,,,,,,,,,,,,18347.0,,,,130.0,,,,,,,,,,6677.0,14110.0,,,,,,,,,,,,,,,,,
December 2022,Alipurduar,15591.0,14566.0,,,,1.51,1.76,,,,,,,,,,,,,,,,,,,,1.5,,,12048.0,,,,,,,,16948.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Bankura,42737.0,32729.0,,,,1.56,1.86,,,,,,,,,,,,,,,,,,,,1.68,,,30674.0,,,,,,,,35269.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Birbhum,54531.0,48236.0,,,,1.58,1.66,,,,,,,,,,,,,,,,,,,,1.57,,,42443.0,,,,,,,,46153.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Cooch Behar,38471.0,38990.0,,,,1.7,2.0,,,,,,,,,,,,,,,,,,,,1.49,,,28722.0,,,,,,,,42898.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Dakshin Dinajpur,20153.0,15772.0,,,,1.28,1.39,,,,,,,,,,,,,,,,,,,,1.33,,,14133.0,,,,,,,,18152.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Darjeeling,11953.0,66274.0,,,,1.84,4.14,,,,,,,,,,,,,,,,,,,,1.76,,,9725.0,,,,,,,,12615.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Hooghly,42873.0,32416.0,,,,1.46,1.58,,,,,,,,,,,,,,,,,,,,1.47,,,24550.0,,,,,,,,32501.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Howrah,34935.0,27599.0,,,,1.73,1.87,,,,,,,,,,,,,,,,,,,,1.53,,,23641.0,,,,,,,,27691.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Jalpaiguri,28469.0,23649.0,,,,1.56,1.85,,,,,,,,,,,,,,,,,,,,1.12,,,20537.0,,,,,,,,29092.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Jhargram,15538.0,10634.0,,,,1.3,1.57,,,,,,,,,,,,,,,,,,,,2.02,,,8832.0,,,,,,,,7316.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Kalimpong,2101.0,2309.0,,,,1.7,2.05,,,,,,,,,,,,,,,,,,,,1.31,,,1616.0,,,,,,,,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Kolkata,0.0,648.0,,,,0.0,0.51,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Malda,49660.0,35403.0,,,,1.41,1.52,,,,,,,,,,,,,,,,,,,,1.33,,,31830.0,,,,,,,,42840.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Murshidabad,68402.0,48466.0,,,,1.06,1.24,,,,,,,,,,,,,,,,,,,,1.3,,,42817.0,,,,,,,,57351.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Nadia,40868.0,28020.0,,,,1.19,1.41,,,,,,,,,,,,,,,,,,,,1.23,,,24582.0,,,,,,,,31889.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,North 24 Parganas,61009.0,42590.0,,,,1.19,1.41,,,,,,,,,,,,,,,,,,,,1.18,,,35782.0,,,,,,,,52493.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Paschim Medinipur,60176.0,38767.0,,,,1.44,1.7,,,,,,,,,,,,,,,,,,,,1.27,,,32369.0,,,,,,,,41218.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Purba Medinipur,79753.0,50598.0,,,,1.74,2.18,,,,,,,,,,,,,,,,,,,,1.65,,,43104.0,,,,,,,,51184.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Purulia,29318.0,17682.0,,,,1.4,1.7,,,,,,,,,,,,,,,,,,,,1.29,,,18155.0,,,,,,,,14175.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,South 24 Parganas,62017.0,23612.0,,,,1.27,1.89,,,,,,,,,,,,,,,,,,,,1.17,,,38677.0,,,,,,,,44907.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Uttar Dinajpur,29882.0,108.0,,,,1.4,1.76,,,,,,,,,,,,,,,,,,,,1.41,,,19175.0,,,,,,,,22967.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Alipurduar,,14566.0,18325.0,,,,1.76,2.23,,,,,,,,,,,,,,,,1.51,,,,,15591.0,,,,,,,,,,18406.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Bankura,,32729.0,38089.0,,,,1.86,1.7,,,,,,,,,,,,,,,,1.56,,,,,42737.0,,,,,,,,,,39896.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Birbhum,,48236.0,52963.0,,,,1.66,1.9,,,,,,,,,,,,,,,,1.58,,,,,54531.0,,,,,,,,,,55924.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Cooch Behar,,38990.0,47364.0,,,,2.0,2.52,,,,,,,,,,,,,,,,1.7,,,,,38471.0,,,,,,,,,,44489.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Dakshin Dinajpur,,15772.0,20403.0,,,,1.39,1.64,,,,,,,,,,,,,,,,1.28,,,,,20153.0,,,,,,,,,,20614.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Darjeeling,,66274.0,6020.0,,,,4.14,2.57,,,,,,,,,,,,,,,,1.84,,,,,11953.0,,,,,,,,,,13160.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Hooghly,,32416.0,38016.0,,,,1.58,1.98,,,,,,,,,,,,,,,,1.46,,,,,42873.0,,,,,,,,,,36841.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Howrah,,27599.0,29231.0,,,,1.87,2.07,,,,,,,,,,,,,,,,1.73,,,,,34935.0,,,,,,,,,,31980.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Jalpaiguri,,23649.0,40984.0,,,,1.85,2.35,,,,,,,,,,,,,,,,1.56,,,,,28469.0,,,,,,,,,,31020.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Jhargram,,10634.0,13204.0,,,,1.57,1.75,,,,,,,,,,,,,,,,1.3,,,,,15538.0,,,,,,,,,,13050.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Kalimpong,,2309.0,2753.0,,,,2.05,2.9,,,,,,,,,,,,,,,,1.7,,,,,2101.0,,,,,,,,,,2435.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Kolkata,,648.0,1005.0,,,,0.51,1.31,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Malda,,35403.0,46429.0,,,,1.52,1.72,,,,,,,,,,,,,,,,1.41,,,,,49660.0,,,,,,,,,,48014.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Murshidabad,,48466.0,67304.0,,,,1.24,1.53,,,,,,,,,,,,,,,,1.06,,,,,68402.0,,,,,,,,,,71424.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Nadia,,28020.0,41273.0,,,,1.41,1.57,,,,,,,,,,,,,,,,1.19,,,,,40868.0,,,,,,,,,,41543.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,North 24 Parganas,,42590.0,53514.0,,,,1.41,1.71,,,,,,,,,,,,,,,,1.19,,,,,61009.0,,,,,,,,,,55053.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Paschim Medinipur,,38767.0,48395.0,,,,1.7,2.06,,,,,,,,,,,,,,,,1.44,,,,,60176.0,,,,,,,,,,53169.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purba Medinipur,,50598.0,61830.0,,,,2.18,2.82,,,,,,,,,,,,,,,,1.74,,,,,79753.0,,,,,,,,,,67263.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purulia,,17682.0,25458.0,,,,1.7,1.28,,,,,,,,,,,,,,,,1.4,,,,,29318.0,,,,,,,,,,20326.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,South 24 Parganas,,23612.0,65841.0,,,,1.89,1.73,,,,,,,,,,,,,,,,1.27,,,,,62017.0,,,,,,,,,,59701.0,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Uttar Dinajpur,,108.0,29932.0,,,,1.76,1.72,,,,,,,,,,,,,,,,1.4,,,,,29882.0,,,,,,,,,,31960.0,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Alipurduar,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,34.33,,,,,,,,,,,,,,12235.0,,,,,,,,,4200.0,,,18881.0,,,2337.0,
June 2021,Bankura,,,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,19.45,,,,,,,,,,,,,,29110.0,,,,,,,,,5661.0,,,47609.0,,,3056.0,
June 2021,Birbhum,,,,,,,,,,,,,,,,,,,,0.022,,,,,,,,,,,,,,8.54,,,,,,,,,,,,,,50988.0,,,,,,,,,4352.0,,,56659.0,,,2046.0,
June 2021,Cooch Behar,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,37.76,,,,,,,,,,,,,,28810.0,,,,,,,,,10879.0,,,45331.0,,,2180.0,
June 2021,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,29.11,,,,,,,,,,,,,,14598.0,,,,,,,,,4250.0,,,21216.0,,,1311.0,
June 2021,Darjeeling,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,34.45,,,,,,,,,,,,,,3928.0,,,,,,,,,1353.0,,,4586.0,,,512.0,
June 2021,Hooghly,,,,,,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,36.35,,,,,,,,,,,,,,19739.0,,,,,,,,,7175.0,,,36913.0,,,2561.0,
June 2021,Howrah,,,,,,,,,,,,,,,,,,,,0.011,,,,,,,,,,,,,,22.07,,,,,,,,,,,,,,23863.0,,,,,,,,,5267.0,,,31717.0,,,2062.0,
June 2021,Jalpaiguri,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,36.81,,,,,,,,,,,,,,14989.0,,,,,,,,,5518.0,,,32253.0,,,1610.0,
June 2021,Jhargram,,,,,,,,,,,,,,,,,,,,0.014,,,,,,,,,,,,,,11.48,,,,,,,,,,,,,,9400.0,,,,,,,,,1079.0,,,15643.0,,,790.0,
June 2021,Kalimpong,,,,,,,,,,,,,,,,,,,,0.011,,,,,,,,,,,,,,40.43,,,,,,,,,,,,,,1880.0,,,,,,,,,760.0,,,2486.0,,,205.0,
June 2021,Malda,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,29.36,,,,,,,,,,,,,,28051.0,,,,,,,,,8235.0,,,51698.0,,,2905.0,
June 2021,Murshidabad,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,22.61,,,,,,,,,,,,,,31883.0,,,,,,,,,7208.0,,,74242.0,,,2601.0,
June 2021,Nadia,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,20.69,,,,,,,,,,,,,,24190.0,,,,,,,,,5004.0,,,44604.0,,,1847.0,
June 2021,North 24 Parganas,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,22.79,,,,,,,,,,,,,,38018.0,,,,,,,,,8665.0,,,56786.0,,,3679.0,
June 2021,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,,,,,7.87,,,,,,,,,,,,,,8257.0,,,,,,,,,650.0,,,8156.0,,,456.0,
June 2021,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,,,,,12.63,,,,,,,,,,,,,,29762.0,,,,,,,,,3758.0,,,55717.0,,,5877.0,
June 2021,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,0.018,,,,,,,,,,,,,,11.52,,,,,,,,,,,,,,37805.0,,,,,,,,,4357.0,,,46545.0,,,4026.0,
June 2021,Purba Medinipur,,,,,,,,,,,,,,,,,,,,0.019,,,,,,,,,,,,,,13.58,,,,,,,,,,,,,,43328.0,,,,,,,,,5886.0,,,70593.0,,,6214.0,
June 2021,Purulia,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,15.23,,,,,,,,,,,,,,20472.0,,,,,,,,,3117.0,,,33457.0,,,920.0,
June 2021,South 24 Parganas,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,33.69,,,,,,,,,,,,,,31893.0,,,,,,,,,10744.0,,,65174.0,,,2707.0,
June 2021,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,37.13,,,,,,,,,,,,,,13928.0,,,,,,,,,5171.0,,,32218.0,,,1283.0,
June 2024,Alipurduar,,,,,,,,2.23,2.7,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,20417.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Bankura,,,,,,,,1.7,1.85,,,,,,,,,,,,,,,,1.86,,,,,,,,,,,,,,,40098.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Birbhum,,,,,,,,1.9,2.11,,,,,,,,,,,,,,,,1.66,,,,,,,,,,,,,,,61911.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Cooch Behar,,,,,,,,2.52,3.1,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,50568.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Dakshin Dinajpur,,,,,,,,1.64,1.91,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,21755.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Darjeeling,,,,,,,,2.57,3.06,,,,,,,,,,,,,,,,4.14,,,,,,,,,,,,,,,16970.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Hooghly,,,,,,,,1.98,2.32,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,41732.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Howrah,,,,,,,,2.07,2.29,,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,,33601.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Jalpaiguri,,,,,,,,2.35,2.69,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,33659.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Jhargram,,,,,,,,1.75,2.14,,,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,14067.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Kalimpong,,,,,,,,2.9,3.59,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,3031.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Kolkata,,,,,,,,1.31,1.26,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,1679.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Malda,,,,,,,,1.72,1.98,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,52044.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Murshidabad,,,,,,,,1.53,1.77,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,75449.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Nadia,,,,,,,,1.57,1.89,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,42119.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,North 24 Parganas,,,,,,,,1.71,1.95,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,59040.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Paschim Medinipur,,,,,,,,2.06,2.58,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,55852.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Purba Medinipur,,,,,,,,2.82,3.35,,,,,,,,,,,,,,,,2.18,,,,,,,,,,,,,,,70518.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Purulia,,,,,,,,1.28,1.44,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,20854.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,South 24 Parganas,,,,,,,,1.73,2.04,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,60857.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Uttar Dinajpur,,,,,,,,1.72,2.08,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,33534.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Alipurduar,,,,18697.0,20652.0,,,,2.7,3.08,,,,,,,,,,,,,,,,2.23,,,,,18325.0,,,,,,,,,,21514.0,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Bankura,,,,44079.0,46851.0,,,,1.85,2.16,,,,,,,,,,,,,,,,1.7,,,,,38089.0,,,,,,,,,,52571.0,,,,,,,,,,,,,,,,,,,,,,,
