district,ancillary_ativities_food_and_agro_processing_t,a,pct,others_t,a,pct,total_ancillary_activities_t,a,pct,total_agri_t,a,pct,"micro,_small_and_medium_enterprises_micro_manufacturing_t",a,pct,micro_services_t,a,pct,small_manufacturing_t,a,pct
Keonjhar,49.75,25.83,51.91,1.35,162.60,12080.35,51.10,188.43,368.77,2275.20,1527.13,67.12,502.00,350.04,69.73,627.50,825.35,131.53,351.40,269.14,76.59
Khordha,756.19,824.77,109.07,964.40,1014.29,105.17,1720.59,1839.06,106.89,6133.85,6029.44,98.30,6369.00,2547.75,40.00,7961.25,4571.03,57.42,4458.30,3094.21,69.40
Koraput,134.02,107.48,80.19,12.66,61.85,488.40,146.69,169.33,115.44,2288.35,1213.19,53.02,602.42,404.89,67.21,753.03,554.00,73.57,421.70,193.50,45.89
Malkangiri,16.20,2.85,17.62,3.37,32.45,962.06,19.58,35.31,180.36,587.34,429.15,73.07,51.00,55.19,108.22,63.75,83.38,130.79,35.70,15.00,42.02
Mayurbhanj,116.18,22.24,19.14,85.86,225.43,262.55,202.04,247.67,122.58,2608.93,1869.66,71.66,390.74,261.11,66.82,488.43,705.78,144.50,273.52,184.33,67.39
Nabarangpur,1.09,28.54,2621.77,1.82,58.49,3211.19,2.91,87.03,2990.69,1190.73,859.34,72.17,105.15,150.52,143.14,131.44,199.04,151.43,73.61,58.75,79.82
Nayagarh,24.66,27.59,111.90,98.94,17.51,17.69,123.59,45.10,36.49,2126.03,1701.12,80.01,215.16,193.96,90.15,268.95,316.18,117.56,150.61,59.01,39.18
Nuapada,8.81,31.96,362.65,3.82,46.50,1218.37,12.63,78.47,621.25,748.49,775.09,103.55,97.52,66.18,67.86,121.90,163.09,133.79,68.26,20.52,30.06
Puri,114.74,30.86,26.90,79.25,31.53,39.79,193.99,62.39,32.16,2865.08,2898.31,101.16,518.53,355.15,68.49,648.16,659.40,101.73,362.97,145.22,40.01
Rayagada,47.12,31.36,66.55,9.38,29.57,315.24,56.50,60.93,107.83,1142.85,1181.59,103.39,228.54,214.39,93.81,285.68,295.75,103.53,159.98,103.15,64.47
Sambalpur,38.52,102.78,266.82,28.78,130.48,453.31,67.31,233.26,346.57,2573.34,1687.83,65.59,660.80,423.51,64.09,826.00,686.40,83.10,462.56,430.95,93.17
Subarnapur,44.11,23.55,53.38,44.79,51.07,114.03,88.90,74.62,83.93,1346.95,928.83,68.96,147.98,97.49,65.88,124.61,175.61,140.93,109.04,38.71,35.51
Sundargarh,116.52,117.08,100.48,42.33,107.98,255.07,158.85,225.06,141.68,3884.18,2172.52,55.93,1960.53,1086.24,55.41,2450.66,1490.18,60.81,1372.37,1303.26,94.96
