district,period,as_on_date,fy,acp_target_achievement__acp_agri_achievement,acp_target_achievement__acp_agri_pct,acp_target_achievement__acp_agri_target,acp_target_achievement__acp_msme_achievement,acp_target_achievement__acp_msme_pct,acp_target_achievement__acp_msme_target,acp_target_achievement__acp_other_psa_achievement,acp_target_achievement__acp_other_psa_pct,acp_target_achievement__acp_other_psa_target,acp_target_achievement__acp_total_achievement,acp_target_achievement__acp_total_pct,acp_target_achievement__acp_total_target,atm_network__atm_rural,atm_network__atm_rural_growth_abs,atm_network__atm_rural_growth_pct,atm_network__atm_rural_prev_fy,atm_network__atm_rural_prev_q,atm_network__atm_semi_urban,atm_network__atm_semi_urban_growth_abs,atm_network__atm_semi_urban_growth_pct,atm_network__atm_semi_urban_prev_fy,atm_network__atm_semi_urban_prev_q,atm_network__atm_total_growth_abs,atm_network__atm_total_growth_pct,atm_network__atm_total_prev_fy,atm_network__atm_total_prev_q,atm_network__atm_urban,atm_network__atm_urban_growth_abs,atm_network__atm_urban_growth_pct,atm_network__atm_urban_prev_fy,atm_network__atm_urban_prev_q,atm_network__total_atm,branch_network__branch_rural,branch_network__branch_rural_growth_abs,branch_network__branch_rural_growth_pct,branch_network__branch_rural_prev_fy,branch_network__branch_rural_prev_q,branch_network__branch_semi_urban,branch_network__branch_semi_urban_growth_abs,branch_network__branch_semi_urban_growth_pct,branch_network__branch_semi_urban_prev_fy,branch_network__branch_semi_urban_prev_q,branch_network__branch_total_growth_abs,branch_network__branch_total_growth_pct,branch_network__branch_total_prev_fy,branch_network__branch_total_prev_q,branch_network__branch_urban,branch_network__branch_urban_growth_abs,branch_network__branch_urban_growth_pct,branch_network__branch_urban_prev_fy,branch_network__branch_urban_prev_q,branch_network__total_branch,credit_deposit_ratio__advances_growth_abs,credit_deposit_ratio__advances_growth_pct,credit_deposit_ratio__advances_prev_fy,credit_deposit_ratio__advances_prev_quarter,credit_deposit_ratio__cd_ratio_benchmark,credit_deposit_ratio__cd_ratio_prev_fy,credit_deposit_ratio__cd_ratio_prev_quarter,credit_deposit_ratio__deposits_growth_abs,credit_deposit_ratio__deposits_growth_pct,credit_deposit_ratio__deposits_prev_fy,credit_deposit_ratio__deposits_prev_quarter,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit
Gariaband,March 2023,31-03-2023,2022-23,515.77,119.441,431.82,117.89,165.8787,71.07,21.24,27.5272,77.16,654.9,112.9041,580.05,23,9,64.2857,14,18,23,2,9.5238,21,23,10,27.7778,36,41,0,-1,-100,1,0,46,34,0,0,34,33,25,3,13.6364,22,23,3,5.3571,56,56,0,0,0,0,0,59,230.29,28.8342,798.67,948.57,40,46.1131,51.5135,189.88,10.9632,1731.98,1841.4,53.5398,1028.96,1921.86
Gaurela-Pendra-Marwahi,March 2023,31-03-2023,2022-23,153.1,36.3477,421.21,90.8,41.086,221,17.18,16.8266,102.1,261.08,35.0768,744.31,0,0,0,0,0,22,1,4.7619,21,22,1,4.5455,22,23,1,0,0,1,1,23,7,0,0,7,7,15,2,15.3846,13,15,2,10,20,22,0,0,0,0,0,22,119.13,29.0299,410.37,497.67,40,37.7977,41.9808,147.12,13.5507,1085.7,1185.47,42.9503,529.5,1232.82
Janjgir-Champa,March 2023,31-03-2023,2022-23,708.14,58.3946,1212.68,479.64,113.0853,424.14,103.99,53.6418,193.86,1291.77,70.5623,1830.68,35,-5,-12.5,40,45,74,-19,-20.4301,93,93,-28,-20.2899,138,140,1,-4,-80,5,2,110,57,-31,-35.2273,88,87,58,-14,-19.4444,72,77,-46,-28.2209,163,166,2,-1,-33.3333,3,2,117,-491.36,-15.2058,3231.4,3713.28,40,44.4079,46.7033,-1468.37,-20.1792,7276.64,7950.78,47.1748,2740.04,5808.27
Jashpur,March 2023,31-03-2023,2022-23,288.08,66.3259,434.34,242.11,328.552,73.69,62.45,125.0,49.96,592.64,106.2098,557.99,10,-1,-9.0909,11,9,46,1,2.2222,45,45,1,1.7544,57,56,2,1,100,1,2,58,42,2,5,40,41,43,3,7.5,40,42,6,7.5,80,84,1,1,,0,1,86,312.04,25.8217,1208.44,1425.4,40,39.4253,42.2635,382.55,12.4807,3065.14,3372.65,44.1014,1520.48,3447.69
Kabirdham,March 2023,31-03-2023,2022-23,975.58,111.7823,872.75,321.27,246.7322,130.21,136.42,211.34,64.55,1433.27,134.2629,1067.51,15,3,25,12,14,53,0,0,53,53,3,4.5455,66,68,1,0,0,1,1,69,41,4,10.8108,37,41,37,2,5.7143,35,36,6,8.1081,74,79,2,0,0,2,2,80,205.67,12.6251,1629.06,1859.33,40,68.5435,70.2214,427.65,17.9936,2376.68,2647.81,65.4249,1834.73,2804.33
Kanker,March 2023,31-03-2023,2022-23,611.95,132.8305,460.7,278.06,141.0756,197.1,49.72,39.2702,126.61,939.73,119.8009,784.41,24,3,14.2857,21,19,48,4,9.0909,44,50,7,10.6061,66,70,1,0,0,1,1,73,61,4,7.0175,57,60,38,6,18.75,32,34,10,11.1111,90,95,1,0,0,1,1,100,391.62,25.3582,1544.35,1889.57,40,48.4897,55.0092,347.11,10.8986,3184.9,3435.01,54.8121,1935.97,3532.01
Khairagarh-Chhuikhadan-Gandai,March 2023,31-03-2023,2022-23,501.31,_,0,48.8,_,0,66.26,_,0,616.37,_,0,7,7,_,0,0,14,14,_,0,0,23,_,0,0,2,2,_,0,0,23,20,20,_,0,0,14,14,_,0,0,36,_,0,0,2,2,_,0,0,36,598.29,_,0,0,40,0,0,1248.42,_,0,0,47.9238,598.29,1248.42
Kondagaon,March 2023,31-03-2023,2022-23,303.26,73.664,411.68,171.71,278.0278,61.76,35.12,77.7852,45.15,510.09,98.3609,518.59,5,2,66.6667,3,4,33,0,0,33,32,3,8.3333,36,36,1,1,_,0,0,39,27,-1,-3.5714,28,28,27,4,17.3913,23,26,3,5.7692,52,55,1,0,0,1,1,55,234.08,23.4432,998.5,1173.67,40,55.3354,60.1789,216.3,11.987,1804.45,1950.3,60.9962,1232.58,2020.75
Korba,March 2023,31-03-2023,2022-23,303.29,65.6543,461.95,1346.52,287.1963,468.85,136.19,107.4562,126.74,1786,168.8825,1057.54,21,1,5,20,18,21,4,23.5294,17,19,2,1.2048,166,165,126,-3,-2.3256,129,128,168,42,2,5,40,41,28,1,3.7037,27,27,-1,-0.7692,130,126,59,-4,-6.3492,63,58,129,1283.26,25.9038,4953.95,5722.28,40,48.1585,54.2689,314.47,3.057,10286.77,10544.3,58.8347,6237.21,10601.24
Korea,March 2023,31-03-2023,2022-23,116.52,40.8828,285.01,115.49,119.025,97.03,22.29,35.7957,62.27,254.3,57.2348,444.31,2,-11,-84.6154,13,10,38,-17,-30.9091,55,59,-27,-39.7059,68,71,1,1,,0,2,41,14,-26,-65,40,40,21,-25,-54.3478,46,47,-52,-59.0909,88,89,1,-1,-50,2,2,36,317.48,22.5622,1407.13,2688.97,40,26.2521,48.9066,-3330.97,-62.1442,5360.07,5498.17,84.9938,1724.61,2029.1
Mahasamund,March 2023,31-03-2023,2022-23,1562.7,122.4073,1276.64,319.54,168.6494,189.47,76.88,87.4133,87.95,1959.12,126.0646,1554.06,31,10,47.619,21,24,67,2,3.0769,65,67,11,12.6437,87,91,0,-1,-100,1,0,98,52,0,0,52,51,73,3,4.2857,70,72,3,2.439,123,124,1,0,0,1,1,126,615.02,23.8794,2575.53,3039.89,40,70.9354,73.3908,582.21,16.0353,3630.81,4142.06,75.7307,3190.55,4213.02
Manendragarh-Chirmiri-Bharatpur,March 2023,31-03-2023,2022-23,200.77,_,0,183.62,_,0,22.57,_,0,406.96,_,0,8,8,_,0,0,23,23,_,0,0,32,_,0,0,1,1,_,0,0,32,26,26,_,0,0,28,28,_,0,0,55,_,0,0,1,1,_,0,0,55,1037.24,_,0,0,40,0,0,3571.73,_,0,0,29.0403,1037.24,3571.73
Mohla-Manpur-Ambagarh Chowki,March 2023,31-03-2023,2022-23,155.44,_,0,39.07,_,0,35.17,_,0,229.68,_,0,15,15,_,0,0,1,1,_,0,0,16,_,0,0,0,0,0,0,0,16,28,28,_,0,0,1,1,_,0,0,30,_,0,0,1,1,_,0,0,30,251.61,_,0,0,40,0,0,946.39,_,0,0,26.5863,251.61,946.39
Mungeli,March 2023,31-03-2023,2022-23,554.45,107.6163,515.21,145.82,104.9442,138.95,40.79,30.1367,135.35,741.06,93.8633,789.51,6,1,20,5,6,27,1,3.8462,26,26,3,7.8947,38,39,8,1,14.2857,7,7,41,23,1,4.5455,22,23,28,3,12,25,28,4,8.3333,48,52,1,0,0,1,1,52,179.6,18.983,946.11,1095.7,40,53.5457,55.9942,215.35,12.1879,1766.92,1956.81,56.7889,1125.71,1982.27
Narayanpur,March 2023,31-03-2023,2022-23,37.48,94.9582,39.47,30.8,167.5734,18.38,13.38,161.9855,8.26,81.66,123.5214,66.11,1,1,_,0,1,20,3,17.6471,17,19,4,23.5294,17,20,0,0,0,0,0,21,7,-1,-12.5,8,7,13,1,8.3333,12,13,0,0,20,20,0,0,0,0,0,20,65.17,27.5899,236.21,281.99,40,37.1009,41.0436,78.44,12.3204,636.67,687.05,42.1446,301.38,715.11
Raigarh,March 2023,31-03-2023,2022-23,784.85,55.9377,1403.08,1636.75,233.6879,700.4,142.99,37.2807,383.55,2564.59,103.1186,2487.03,27,-11,-28.9474,38,32,39,-21,-35,60,64,-35,-18.1347,193,186,92,-3,-3.1579,95,90,158,65,-20,-23.5294,85,83,27,-11,-28.9474,38,41,-31,-17.8161,174,175,51,0,0,51,51,143,784.48,13.3291,5885.45,7142.21,40,60.6611,69.1977,-372.4,-3.8383,9702.18,10321.46,71.4908,6669.93,9329.78
Raipur,March 2023,31-03-2023,2022-23,4421.77,153.8681,2873.74,16960.1,317.3844,5343.71,1220.11,91.8744,1328.02,22601.98,236.7823,9545.47,77,3,4.0541,74,67,64,-9,-12.3288,73,66,10,1.3004,769,750,638,16,2.5723,622,617,779,103,0,0,103,101,67,7,11.6667,60,68,36,7.4227,485,504,351,29,9.0062,322,335,521,14312.87,21.2329,67408.91,76047.5,40,103.3456,107.8248,9408.34,14.4241,65226.7,70528.79,109.4952,81721.78,74635.04
Rajnandgaon,March 2023,31-03-2023,2022-23,1205.42,94.1727,1280.01,736.44,313.3521,235.02,254.16,105.9044,239.99,2196.02,125.1279,1755.02,19,-17,-47.2222,36,38,19,-24,-55.814,43,33,-28,-18.0645,155,162,89,13,17.1053,76,91,127,49,-46,-48.4211,95,95,22,-14,-38.8889,36,37,-59,-32.5967,181,186,51,1,2,50,54,122,-30.41,-0.8076,3765.55,4380.83,40,47.8294,48.9797,-1038.24,-13.1876,7872.87,8944.17,54.6502,3735.14,6834.63
Sakti,March 2023,31-03-2023,2022-23,423.97,_,0,253.7,_,0,67.28,_,0,744.95,_,0,16,16,_,0,0,22,22,_,0,0,39,_,0,0,1,1,_,0,0,39,32,32,_,0,0,21,21,_,0,0,53,_,0,0,0,0,0,0,0,53,1179.1,_,0,0,40,0,0,2436.84,_,0,0,48.3864,1179.1,2436.84
Sarangarh-Bilaigarh,March 2023,31-03-2023,2022-23,463.31,_,0,101.17,_,0,24.19,_,0,588.67,_,0,12,12,_,0,0,28,28,_,0,0,41,_,0,0,1,1,_,0,0,41,30,30,_,0,0,16,16,_,0,0,46,_,0,0,0,0,0,0,0,46,934.36,_,0,0,40,0,0,1850.77,_,0,0,50.4849,934.36,1850.77
Sukma,March 2023,31-03-2023,2022-23,49.59,60.9588,81.35,32.87,205.9524,15.96,7.14,116.0976,6.15,89.6,86.6035,103.46,6,3,100,3,3,10,2,25,8,10,5,45.4545,11,13,0,0,0,0,0,16,26,1,4,25,26,6,0,0,6,6,1,3.2258,31,32,0,0,0,0,0,32,78.12,24.4967,318.9,393.36,40,38.3344,45.0414,116.25,13.9742,831.89,873.33,41.8736,397.02,948.14
Surajpur,March 2023,31-03-2023,2022-23,394.63,75.5475,522.36,307.16,350.4392,87.65,44.55,54.9051,81.14,746.34,107.9852,691.15,13,1,8.3333,12,11,38,5,15.1515,33,35,8,17.7778,45,48,2,2,_,0,2,53,57,2,3.6364,55,57,25,-1,-3.8462,26,24,1,1.1905,84,84,3,0,0,3,3,85,251.36,20.1687,1246.29,1456.44,40,31.3291,35.4512,286.48,7.2015,3978.06,4108.3,35.1187,1497.65,4264.54
Surguja,March 2023,31-03-2023,2022-23,621.12,121.6976,510.38,908.43,422.5256,215,96.25,206.5008,46.61,1625.8,210.5986,771.99,23,6,35.2941,17,18,1,-8,-88.8889,9,1,6,6.0606,99,97,81,8,10.9589,73,78,105,57,2,3.6364,55,56,3,-8,-72.7273,11,3,4,4,100,102,44,10,29.4118,34,43,104,711.69,26.433,2692.43,3241.1,40,43.9547,47.7651,805.73,13.1538,6125.47,6785.5,49.113,3404.12,6931.2
Balod,June 2023,30-06-2023,2023-24,457.38,43.8166,1043.85,62.56,28.7963,217.25,10.41,12.7324,81.76,530.35,39.4941,1342.86,39,2,5.4054,37,31,48,2,4.3478,46,44,4,4.7619,84,76,1,0,0,1,1,88,69,0,0,69,69,37,1,2.7778,36,34,1,0.9434,106,104,1,0,0,1,1,107,304.14,17.9332,1695.96,1670.02,40,37.3896,39.654,71.78,1.5825,4535.91,4211.48,43.4079,2000.1,4607.69
Baloda Bazar,June 2023,30-06-2023,2023-24,646.2,52.6024,1228.46,170.98,46.9223,364.39,18.43,13.8707,132.87,835.61,48.4209,1725.72,21,1,5,20,16,71,-1,-1.3889,72,71,0,0,94,87,2,0,0,2,0,94,48,0,0,48,59,64,0,0,64,64,0,0,112,123,0,0,0,0,0,112,374.59,12.7593,2935.82,2858.44,40,58.2217,60.5984,-23.48,-0.4656,5042.48,4717.02,65.9576,3310.41,5019
Balrampur,June 2023,30-06-2023,2023-24,83.62,31.8431,262.6,40.97,34.1417,120,3.82,4.7395,80.6,128.41,27.7224,463.2,18,0,0,18,14,17,2,13.3333,15,12,2,5.8824,34,26,1,0,0,1,0,36,57,0,0,57,51,12,0,0,12,12,0,0,70,64,1,0,0,1,1,70,58.33,6.1064,955.22,837.61,40,40.1154,39.5388,-89.07,-3.7406,2381.18,2118.45,44.2191,1013.55,2292.11
Bastar,June 2023,30-06-2023,2023-24,219.42,31.0358,706.99,174.24,47.5325,366.57,11.38,12.3481,92.16,405.04,34.7459,1165.72,21,-1,-4.5455,22,16,3,-2,-40,5,5,-1,-0.9091,110,102,85,2,2.4096,83,81,109,72,0,0,72,68,4,0,0,4,3,1,0.8696,115,108,40,1,2.5641,39,37,116,262.26,8.033,3264.78,2786.1525,40,62.8901,58.0365,168.71,3.2499,5191.25,4800.69,65.8035,3527.04,5359.96
Bemetara,June 2023,30-06-2023,2023-24,514.82,32.0417,1606.72,67.91,36.7101,184.99,7.37,9.193,80.17,590.1,31.5245,1871.88,24,3,14.2857,21,20,31,1,3.3333,30,32,4,7.6923,52,53,1,0,0,1,1,56,52,0,0,52,51,26,0,0,26,26,0,0,79,78,1,0,0,1,1,79,257.08,15.0196,1711.63,1657.06,40,52.8566,56.0175,-2.39,-0.0738,3238.25,2958.11,60.8404,1968.71,3235.86
Bijapur,June 2023,30-06-2023,2023-24,41.41,38.8717,106.53,6.77,106.6142,6.35,0.57,4.9565,11.5,48.75,39.1944,124.38,8,0,0,8,8,11,0,0,11,10,0,0,19,19,0,0,0,0,1,19,37,1,2.7778,36,34,8,1,14.2857,7,8,2,4.6512,43,42,0,0,0,0,0,45,50.95,10.6434,478.7,406.46,40,49.2191,45.3173,-13.02,-1.3387,972.59,896.92,55.1966,529.65,959.57
Bilaspur,June 2023,30-06-2023,2023-24,515.17,37.7677,1364.05,1694.21,83.8718,2020,62.41,21.7245,287.28,2271.79,61.8792,3671.33,28,0,0,28,23,35,1,2.9412,34,28,3,0.9375,320,304,260,2,0.7752,258,253,323,69,-3,-4.1667,72,68,43,0,0,43,43,1,0.3953,253,245,142,4,2.8986,138,134,254,809.9,6.0397,13409.54,11453.83,40,51.1333,45.8183,579.3,2.209,26224.65,24998.37,53.0498,14219.44,26803.95
Dantewada,June 2023,30-06-2023,2023-24,16.65,19.2219,86.62,20.61,39.4223,52.28,3.54,34.9802,10.12,40.8,27.3789,149.02,6,0,0,6,6,44,1,2.3256,43,41,1,2.0408,49,48,0,0,0,0,1,50,22,0,0,22,21,21,0,0,21,21,0,0,43,42,0,0,0,0,0,43,285.84,9.2399,3093.55,1392.57,40,127.017,59.9641,-190.84,-7.8356,2435.54,2322.34,150.5497,3379.39,2244.7
Dhamtari,June 2023,30-06-2023,2023-24,531.23,36.7376,1446.01,152.63,47.4006,322,14.47,13.781,105,698.33,37.2838,1873.01,21,0,0,21,18,25,0,0,25,22,0,0,92,89,46,0,0,46,49,92,53,0,0,53,53,22,0,0,22,22,0,0,112,113,37,0,0,37,38,112,229.48,8.0058,2866.42,2582.93,40,60.6249,58.9536,-57.1,-1.2077,4728.12,4381.29,66.2789,3095.9,4671.02
Durg,June 2023,30-06-2023,2023-24,651.84,22.4442,2904.27,2332.38,232.3412,1003.86,79.18,42.6685,185.57,3063.4,74.8321,4093.7,51,2,4.0816,49,44,31,2,6.8966,29,29,1,0.2169,461,442,380,-3,-0.7833,383,369,462,76,0,0,76,75,40,0,0,40,37,0,0,296,283,180,0,0,180,171,296,794.78,4.988,15933.99,14192.72,40,53.4412,50.097,594.17,1.9928,29815.92,28330.5,55.0106,16728.77,30410.09
Gariaband,June 2023,30-06-2023,2023-24,219.99,46.7616,470.45,48.05,62.0561,77.43,2.33,2.7675,84.19,270.37,42.7753,632.07,23,0,0,23,16,24,1,4.3478,23,23,2,4.3478,46,39,1,1,0,0,0,48,34,0,0,34,33,25,0,0,25,24,0,0,59,57,0,0,0,0,0,59,97.17,9.4435,1028.96,785.21,40,53.5398,51.4969,-62.55,-3.2547,1921.86,1524.77,60.5671,1126.13,1859.31
Gaurela-Pendra-Marwahi,June 2023,30-06-2023,2023-24,57.92,10.9639,528.28,27.32,12.3637,220.97,1.0,0.9795,102.09,86.24,10.1299,851.34,0,0,0,0,0,22,0,0,22,21,0,0,23,23,1,0,0,1,2,23,8,1,14.2857,7,7,15,0,0,15,15,1,4.5455,22,22,0,0,0,0,0,23,49.96,9.4353,529.5,451.12,40,42.9503,39.9182,-15.46,-1.254,1232.82,1130.11,47.5997,579.46,1217.36
Janjgir-Champa,June 2023,30-06-2023,2023-24,290.11,29.3094,989.82,172.33,65.2765,264,21.03,22.6714,92.76,483.47,35.9035,1346.58,36,1,2.8571,35,37,79,5,6.7568,74,89,6,5.4545,110,129,1,0,0,1,3,116,58,1,1.7544,57,85,58,0,0,58,75,1,0.8547,117,162,2,0,0,2,2,118,310.3,11.3247,2740.04,3424.33,40,47.1748,46.8043,-48.03,-0.8269,5808.27,7316.28,52.9551,3050.34,5760.24
Jashpur,June 2023,30-06-2023,2023-24,83.09,9.3185,891.67,92.61,124.5093,74.38,11.19,18.6283,60.07,186.89,18.2133,1026.12,11,1,10,10,9,47,1,2.1739,46,43,2,3.4483,58,53,2,0,0,2,1,60,41,-1,-2.381,42,39,43,0,0,43,41,-1,-1.1628,86,81,1,0,0,1,1,85,103.8,6.8268,1520.48,1279.11,40,44.1014,42.3277,-25.33,-0.7347,3447.69,3021.92,47.4608,1624.28,3422.36
Kabirdham,June 2023,30-06-2023,2023-24,578.56,54.5446,1060.71,84.03,64.5144,130.25,37.12,32.9721,112.58,699.71,53.6777,1303.54,15,0,0,15,13,54,1,1.8868,53,49,1,1.4493,69,63,1,0,0,1,1,70,41,0,0,41,38,37,0,0,37,36,0,0,80,76,2,0,0,2,2,80,435.96,23.7615,1834.73,2036.36,40,65.4249,73.6387,-75.16,-2.6801,2804.33,2765.34,83.2008,2270.69,2729.17
Kanker,June 2023,30-06-2023,2023-24,291.81,42.4618,687.23,81.62,29.8439,273.49,7.29,3.3989,214.48,380.72,32.3962,1175.2,24,0,0,24,20,50,2,4.1667,48,47,2,2.7397,73,68,1,0,0,1,1,75,61,0,0,61,59,39,1,2.6316,38,33,1,1,100,93,1,0,0,1,1,101,187.68,9.6944,1935.97,1676.35,40,54.8121,50.9786,86.75,2.4561,3532.01,3288.34,58.6845,2123.65,3618.76
Khairagarh-Chhuikhadan-Gandai,June 2023,30-06-2023,2023-24,324.81,84.0519,386.44,14.77,64.2174,23,16.08,61.7749,26.03,355.66,81.6727,435.47,7,0,0,7,0,14,0,0,14,0,0,0,23,0,2,0,0,2,0,23,20,0,0,20,0,15,1,7.1429,14,0,1,2.7778,36,0,2,0,0,2,0,37,247.16,41.3111,598.29,0,40,47.9238,0,15.97,1.2792,1248.42,0,66.8662,845.45,1264.39
