District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Rampur,434869.0,249094.0,315903.0,368060.0,683963.0,594843.0,246.9,38409.0,572498.0,562437.0,94.55,96.24
Saharanpur,673380.0,578885.0,558863.0,693402.0,1252265.0,1173546.0,306.29,115472.0,992590.0,972097.0,82.83,84.58
Sambhal,398553.0,244804.0,278641.0,364716.0,643357.0,584104.0,168.71,49830.0,499798.0,431766.0,73.92,85.57
Shahjahanpur,1085748.0,344540.0,700198.0,730090.0,1430288.0,1340323.0,423.05,62419.0,1273591.0,1228428.0,91.65,95.02
Shravasti,259208.0,4414.0,127489.0,136133.0,263622.0,251760.0,127.23,6158.0,104047.0,228426.0,90.73,41.33
Siddharth Nagar,860644.0,29159.0,363936.0,525867.0,889803.0,808442.0,250.98,118731.0,620219.0,609479.0,75.39,76.72
Sitapur,1211305.0,252297.0,672146.0,791456.0,1463602.0,1394162.0,422.26,109528.0,675676.0,1119720.0,80.31,48.46
Sonbhadra,517916.0,35947.0,263777.0,290086.0,553863.0,497469.0,199.75,24950.0,346058.0,442792.0,89.01,69.56
Sultanpur,1105012.0,113782.0,577356.0,641438.0,1218794.0,1189825.0,621.14,46375.0,1031029.0,1076271.0,90.46,86.65
Unnao,720206.0,148083.0,385778.0,482511.0,868289.0,818189.0,394.32,85649.0,680731.0,682620.0,83.43,83.2
