district,period,acp_outstanding__a_c,acp_outstanding__amt,acp_target_achievement__ach,acp_target_achievement__achivemen,acp_target_achievement__achivemen_t,acp_target_achievement__achivement,acp_target_achievement__district_name,acp_target_achievement__t,acp_target_achievement__target,apy__aapb_achieved_in_current_fy,apy__achievement,apy__annual_target,apy__annual_target_achievem_ent_in_current_fy,apy__annual_target_achievement_in_current_fy,apy__annual_target_achievement_in_current_fy_2024_25,apy__apy_accounts_opened_in_current_fy,apy__apy_accounts_opened_in_current_fy_2024_25,apy__apy_accounts_opened_in_current_fy_2025_26,apy__coverage,apy__cumulative_apy_accounts_opened_since_inception,apy__district_name,apy__name_of_the_district,apy__no_of_branch_es,apy__no_of_branches,apy__no_of_branches_as_on_01_04_2023,atm_network__district_name,atm_network__rural,atm_network__semi_urban,atm_network__total,atm_network__urban,branch_network__district_name,branch_network__rural,branch_network__semi_urban,branch_network__total,branch_network__urban,cd_ratio__advances,cd_ratio__branch,cd_ratio__deposit,cd_ratio__deposits,cd_ratio__district_name,cd_ratio__rural,cd_ratio__semi_urban,cd_ratio__total,cd_ratio__urban,credit_deposit_ratio__cd_ratio,deaf__axis,deaf__cb,deaf__idbi,deaf__kotak,deaf__sbi,deaf__total,pmegp__102,pmegp__113,pmegp__1171_87,pmegp__1265_52,pmegp__131,pmegp__1327_71,pmegp__1343,pmegp__144,pmegp__1691_60,pmegp__1725_84,pmegp__18,pmegp__180,pmegp__192,pmegp__1940_01,pmegp__197,pmegp__1983_78,pmegp__2,pmegp__200,pmegp__2067_83,pmegp__208,pmegp__212_78,pmegp__217,pmegp__242,pmegp__251,pmegp__265,pmegp__2760_59,pmegp__280,pmegp__288_50,pmegp__3010_35,pmegp__313,pmegp__339_7,pmegp__367_99,pmegp__399,pmegp__415,pmegp__418,pmegp__431,pmegp__46,pmegp__471,pmegp__502,pmegp__515_21,pmegp__53,pmegp__558_19,pmegp__570_23,pmegp__583_79,pmegp__619_14,pmegp__6946_76,pmegp__790_46,pmegp__796_35,pmegp__80,pmegp__81,pmegp__827_26,pmegp__831_42,pmegp__872_22,pmegp__88_63,pmegp__961_93,pmegp__987_34,pmegp__bangalore,pmegp__dakshin_kannad,pmegp__m_m_subsidy,pmegp__no_of_proj,pmegp_outstanding__amt,pmegp_outstanding__no,pmfme__application_submitted_to_bank,pmfme__loan_disbursed,pmfme__loan_rejections,pmfme__loan_sanctions,pmfme__loans_under_process,pmfme__target_in_fy2023_24,pmfme__target_in_fy2024_25,pmfme__target_in_fy2025_26,pmfme__total_application,pmfme__total_application_received,pmfme__total_applications,pmfme__total_loan_disbursed,pmfme__total_loan_rejections,pmfme__total_loan_sanctions,pmfme__total_loan_under_process,pmmy_mudra__102459,pmmy_mudra__116785,pmmy_mudra__1298_44,pmmy_mudra__1303_18,pmmy_mudra__157894,pmmy_mudra__1_1,pmmy_mudra__258_72,pmmy_mudra__258_99,pmmy_mudra__268_15,pmmy_mudra__270_79,pmmy_mudra__3172,pmmy_mudra__321_14,pmmy_mudra__323_96,pmmy_mudra__357_28,pmmy_mudra__357_69,pmmy_mudra__37615,pmmy_mudra__3814,pmmy_mudra__447_58,pmmy_mudra__448_88,pmmy_mudra__51621,pmmy_mudra__620_02,pmmy_mudra__621_53,pmmy_mudra__75998,pmmy_mudra__974_45,pmmy_mudra__978_66,pmmy_mudra__account,pmmy_mudra__amount,pmmy_mudra__bagalkot,uncategorized__1,uncategorized__101,uncategorized__1660,uncategorized__1670,uncategorized__2,uncategorized__5010,uncategorized__5390,uncategorized__93,uncategorized__allotted_bank_based_on_urban_rural_branches,uncategorized__amt_in_lakhs,uncategorized__avg_of_pmjjby_opened_per_gp,uncategorized__avg_of_pmsby_opened_per_gp,uncategorized__bangalore,uncategorized__karnataka,uncategorized__ldm_opinoin_to_open_branch_yes_no,uncategorized__name_of_village,uncategorized__no,uncategorized__no_of_a_c,uncategorized__opened,uncategorized__pmjjby,uncategorized__pmsby,uncategorized__remarks_by_ldms,uncategorized__sourced,uncategorized__taluka_name,uncategorized__total_no_of_gp_updated_in_portal,uncategorized__total_no_of_gps,uncategorized__total_population,uncategorized__village_code
Bengaluru Urban,June 2024,,,,,,0.66,BENGALURU URBAN,,29.29,,11,171100,,,,,18267,,,,BENGALURU URBAN,,,2309,,BENGALURU URBAN,216,180,7004,6608,BENGALURU URBAN,159,101,2890,2630,,,,,,10796.6,14583.1,747138.35,721758.65,73.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,7,30,21,,260,,183,,1896,233,89,270,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,BENGALURU URBAN,,,,,,,,,,,,,,
Bidar,June 2024,,,,,,0,BIDAR,,0,,30,13790,,,,,4086,,,,BIDAR,,,162,,BIDAR,33,102,253,118,BIDAR,110,61,230,59,,,,,,2419.21,4125.61,10012.72,3467.9,103.52,,,,,,,,,,,195,,,,,,50,252,,,,,23,,,,,,70,74,,,,8.76,,,127.6,,,,,,,,,,4,,641.06,,,,856.85,,42,,,,,173.52,209.48,218.24,,BIDAR,,,,,,6,22,10,10,,250,,54,,579,129,167,147,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,BIDAR,,,,,,,,,,,,,,
Chikkaballapura,June 2024,,,,,,0,CHIKKABALLAPURA,,0,,23,12255,,,,,2802,,,,CHIKKABALLAPURA,,,154,,CHIKKABALLAPURA,55,174,233,4,CHIKKABALLAPURA,97,71,176,8,,,,,,2973.82,4774.48,8689.89,941.59,119.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,,250,,16,,189,33,28,35,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,CHIKKABALLAPURA,,,,,,,,,,,,,,
Chikkamagaluru,June 2024,,,,,,0.02,CHIKKAMAGALURU,,0.34,,10,20485,,,,,2129,,,,CHIKKAMAGALURU,,,272,,CHIKKAMAGALURU,82,55,219,82,CHIKKAMAGALURU,182,66,309,61,,,,,,4783.26,3296.82,12961.54,4881.46,89.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,2,,250,,24,,249,66,37,74,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,CHIKKAMAGALURU,,,,,,,,,,,,,,
Chitradurga,June 2024,,,,,,0.34,CHITRADURGA,,1.7,,27,17760,,,,,4837,,,,CHITRADURGA,,,225,,CHITRADURGA,40,80,222,102,CHITRADURGA,136,72,258,50,,,,,,3528.02,4515.79,11367.02,3323.21,110.39,,,,,,,,,,,120,,,,,,30,162,,,,,14,,,,,,54,57,,,,38.50,,,148.4,,,,,,,,,,4,,520.02,,,,689.05,,25,,,,,120.58,189.01,210.01,,CHITRADURGA,,,,,,1,2,7,4,,250,,34,,468,62,64,82,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,CHITRADURGA,,,,,,,,,,,,,,
Dakshina Kannada,June 2024,,,,,,0,DAKSHINA KANNADA,,0.13,,13,44260,,,,,5900,,,,DAKSHINA KANNADA,,,614,,DAKSHINA KANNADA,160,160,804,484,DAKSHINA KANNADA,267,132,656,257,,,,,,13777.48,6497.05,51843.1,31568.57,73.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,13,1,,250,,33,,448,178,50,196,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,DAKSHINA KANNADA,,,,,,,,,,,,,,
Dharwad,June 2024,,,,,,0.13,DHARWAD,,1,,37,27360,,,,,10235,,,,DHARWAD,,,352,,DHARWAD,30,38,493,425,DHARWAD,93,41,389,255,,,,,,3137.63,1699.92,31282.61,26445.06,85.17,,,,,,,,,,,67,,,,,,2,74,,,,,25,,,,,,62,63,,,,4.71,,,62.7,,,,,,,,,,2,,199.00,,,,232.75,,25,,,,,19.25,125.72,126.97,,DHARWAD,,,,,,11,1,26,6,,255,,60,,565,212,51,241,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,DHARWAD,,,,,,,,,,,,,,
Gadag,June 2024,,,,,,0.07,GADAG,,0.22,,57,12975,,,,,7384,,,,GADAG,,,162,,GADAG,15,51,131,65,GADAG,83,63,192,46,,,,,,2933.58,2586.84,7497.68,1977.26,95.94,,,,,,,,,,,57,,,,,,3,61,,,,,29,,,,,,47,48,,,,1.05,,,50.6,,,,,,,,,,1,,173.70,,,,201.00,,23,,,,,26.60,151.90,152.95,,GADAG,,,,,,2,6,13,8,,250,,40,,423,74,132,94,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,GADAG,,,,,,,,,,,,,,
Hassan,June 2024,,,,,,0.82,HASSAN,,4.41,,18,25665,,,,,4492,,,,HASSAN,,,342,,HASSAN,111,92,424,221,HASSAN,212,81,388,95,,,,,,6461.14,4355.76,18344.46,7527.56,110.18,,,,,,,,,,,110,,,,,,6,125,,,,,17,,,,,,95,97,,,,31.29,,,168.4,,,,,,,,,,9,,474.59,,,,568.09,,47,,,,,45.00,349.42,353.90,,HASSAN,,,,,,4,0,6,1,,250,,21,,480,176,64,194,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,HASSAN,,,,,,,,,,,,,,
Haveri,June 2024,,,,,,0.52,HAVERI,,0.84,,54,17005,,,,,9101,,,,HAVERI,,,217,,HAVERI,23,95,173,55,HAVERI,127,90,256,39,,,,,,5076.98,5468.3,13111.77,2566.49,146.97,,,,,,,,,,,102,,,,,,6,111,,,,,28,,,,,,50,51,,,,1.75,,,66.8,,,,,,,,,,1,,361.67,,,,396.62,,23,,,,,15.00,164.03,165.78,,HAVERI,,,,,,18,3,28,1,,250,,166,,833,183,88,203,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,HAVERI,,,,,,,,,,,,,,
Kalaburagi,June 2024,,,,,,0.17,KALABURAGI,,0.01,,23,19685,,,,,4579,,,,KALABURAGI,,,236,,KALABURAGI,29,82,369,258,KALABURAGI,121,74,315,120,,,,,,3319.79,3368.18,16139.73,9451.76,76.96,,,,,,,,,,,77,,,,,,5,85,,,,,19,,,,,,56,67,,,,19.65,,,54.6,,,,,,,,,,14,,217.20,,,,239.78,,23,,,,,13.75,84.98,98.18,,GULBARGA,,,,,,3,5,10,6,,250,,52,,505,65,79,87,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,KALABURAGI,,,,,,,,,,,,,,
Kodagu,June 2024,,,,,,0,KODAGU,,0,,10,13230,,,,,1301,,,,KODAGU,,,172,,KODAGU,62,67,144,15,KODAGU,129,59,191,3,,,,,,3942.16,3939.48,8035.34,153.7,69.29,,,,,,,,,,,38,,,,,,3,45,,,,,30,,,,,,38,38,,,,0.00,,,36.1,,,,,,,,,,0,,157.53,,,,185.73,,13,,,,,17.25,113.65,113.65,,KODAGU,,,,,,2,0,3,0,,250,,8,,115,50,2,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,KODAGU,,,,,,,,,,,,,,
Kolar,June 2024,,,,,,0.03,KOLAR,,0,,31,16055,,,,,5023,,,,KOLAR,,,201,,KOLAR,62,73,310,175,KOLAR,110,56,220,54,,,,,,4224.4,3170.69,11487.33,4092.24,110.35,,,,,,,,,,,156,,,,,,14,173,,,,,10,,,,,,51,52,,,,58.84,,,50.1,,,,,,,,,,8,,493.29,,,,559.95,,16,,,,,55.46,212.48,229.98,,KOLAR,,,,,,0,2,1,1,,250,,13,,148,48,12,52,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,KOLAR,,,,,,,,,,,,,,
Koppal,June 2024,,,,,,0.66,KOPPAL,,2.01,,26,13240,,,,,3379,,,,KOPPAL,,,169,,KOPPAL,25,95,158,38,KOPPAL,75,76,187,36,,,,,,2072.23,3515.32,7856.12,2268.57,101.28,,,,,,,,,,,136,,,,,,40,189,,,,,31,,,,,,58,58,,,,0.00,,,81.8,,,,,,,,,,0,,395.44,,,,602.58,,29,,,,,151.38,165.21,165.21,,KOPPAL,,,,,,2,15,6,5,,250,,52,,500,86,112,100,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,KOPPAL,,,,,,,,,,,,,,
Mandya,June 2024,,,,,,1.28,MANDYA,,2.09,,19,22130,,,,,4146,,,,MANDYA,,,304,,MANDYA,69,80,282,133,MANDYA,208,89,356,59,,,,,,6073.66,4485.27,15415.01,4856.08,129.53,,,,,,,,,,,91,,,,,,20,119,,,,,3,,,,,,84,85,,,,193.09,,,229.8,,,,,,,,,,26,,351.73,,,,479.94,,45,,,,,84.77,346.50,349.74,,MANDYA,,,,,,3,1,7,1,,260,,17,,345,179,36,186,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,MANDYA,,,,,,,,,,,,,,
Mysuru,June 2024,,,,,,3.68,MYSURU,,5.83,,15,41735,,,,,6431,,,,MYSURU,,,533,,MYSURU,73,109,838,656,MYSURU,195,102,607,310,,,,,,7023.83,5500.31,47526.26,35002.12,83.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,2,,250,,28,,334,51,39,60,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,MYSURU,,,,,,,,,,,,,,
Raichur,June 2024,,,,,,0.04,RAICHUR,,0.16,,23,19080,,,,,4377,,,,RAICHUR,,,244,,RAICHUR,12,110,225,103,RAICHUR,84,104,281,93,,,,,,1810.33,5954.03,14275.78,6511.42,126.61,,,,,,,,,,,82,,,,,,22,107,,,,,27,,,,,,51,51,,,,3.50,,,80.3,,,,,,,,,,1,,281.61,,,,352.73,,23,,,,,57.37,179.00,179.00,,RAICHUR,,,,,,5,1,7,5,,250,,19,,387,70,128,82,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,RAICHUR,,,,,,,,,,,,,,
Ramanagara,June 2024,,,,,,0.57,RAMANAGARA,,2.67,,12,13395,,,,,1548,,,,RAMANAGARA,,,172,,RAMANAGARA,163,112,279,4,RAMANAGARA,118,92,214,4,,,,,,9308.78,5599.64,15417.32,508.9,124.85,,,,,,,,,,,62,,,,,,1,64,,,,,9,,,,,,57,60,,,,72.80,,,134.5,,,,,,,,,,15,,296.17,,,,305.62,,32,,,,,2.50,240.10,247.24,,RAMANAGARA,,,,,,3,1,3,0,,250,,15,,226,56,41,61,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,RAMANAGARA,,,,,,,,,,,,,,
Shivamogga,June 2024,,,,,,0.52,SHIVAMOGGA,,1.12,,14,24270,,,,,3399,,,,SHIVAMOGGA,,,325,,SHIVAMOGGA,96,70,429,263,SHIVAMOGGA,161,60,357,136,,,,,,4957.92,3620.47,19339.6,10761.21,80.99,,,,,,,,,,,176,,,,,,15,215,,,,,4,,,,,,130,133,,,,182.96,,,322.7,,,,,,,,,,35,,648.79,,,,842.47,,76,,,,,48.34,448.23,454.72,,SHIMOGA,,,,,,14,2,23,1,,250,,33,,524,228,45,251,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,SHIVAMOGGA,,,,,,,,,,,,,,
Tumakuru,June 2024,,,,,,0.45,TUMAKURU,,1.45,,28,26565,,,,,7483,,,,TUMAKURU,,,326,,TUMAKURU,73,132,455,250,TUMAKURU,193,122,412,97,,,,,,6126.01,6203.36,21397.67,9068.3,104.33,,,,,,,,,,,140,,,,,,25,175,,,,,11,,,,,,63,63,,,,42.54,,,139.6,,,,,,,,,,10,,602.63,,,,772.13,,32,,,,,101.50,324.99,324.99,,TUMKUR,,,,,,6,2,14,1,,250,,39,,678,164,133,198,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,,,TUMAKURU,,,,,,,,,,,,,,
Udupi,June 2024,,,,,,0,UDUPI,,0.12,,16,30290,,,,,4812,,,,UDUPI,,,415,,UDUPI,175,112,491,204,UDUPI,244,91,441,106,,,,,,6902.31,4748.66,18635.75,6984.78,46.92,,,,,,,,,,,105,,,,,,21,149,,,,,8,,,,,,197,199,,,,92.50,,,283.3,,,,,,,,,,26,,395.39,,,,614.95,,67,,,,,110.78,770.61,776.69,,UDUPI,,,,,,13,1,29,1,,250,,43,,435,169,30,201,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,UDUPI,,,,,,,,,,,,,,
Uttara Kannada,June 2024,,,,,,0.06,UTTARA KANNADA,,0.19,,28,23385,,,,,6567,,,,UTTARA KANNADA,,,322,,UTTARA KANNADA,65,200,278,13,UTTARA KANNADA,154,161,337,22,,,,,,1778.03,5691.52,10218.23,2748.68,44.53,,,,,,,,,,,94,,,,,,31,138,,,,,20,,,,,,98,102,,,,18.90,,,88.3,,,,,,,,,,9,,332.98,,,,484.37,,38,,,,,115.52,297.86,303.24,,UTTARA KANNADA,,,,,,4,6,4,0,,250,,34,,284,120,17,128,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,UTTARA KANNADA,,,,,,,,,,,,,,
Vijayapura,June 2024,,,,,,0.23,VIJAYAPURA,,10.12,,45,20775,,,,,9321,,,,VIJAYAPURA,,,275,,VIJAYAPURA,30,90,287,167,VIJAYAPURA,133,100,328,95,,,,,,4557.8,5227.17,17138.19,7353.22,94.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,18,17,9,,255,,73,,1074,194,220,220,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,VIJAYAPURA,,,,,,,,,,,,,,
Yadgir,June 2024,,,,,,0.02,YADGIR,,0,,25,10640,,,,,2711,,,,YADGIR,,,127,,YADGIR,16,86,105,3,YADGIR,51,69,126,6,,,,,,1332.64,3860.3,5424.02,231.08,124.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,4,,250,,17,,279,43,63,50,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,YADGIR,,,,,,,,,,,,,,
Bagalkote,September 2024,845978,17640.32,6555.39,,,,BAGALKOTE,,12346.32,,,20940,,,61.48,,12873,,,,BAGALKOTE,,,,,BAGALKOTE,52,160,298,86,BAGALKOTE,134,152,349,63,17675.19,,15169.21,,BAGALKOTE,,,,,116.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,30,4,39,6,,250,,,,509,224,13,243,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,29,,,,,,,1587,2,3,,1696,,66,195,,
Ballari,September 2024,529350,16359.85,6548.46,,,,BALLARI,,12359.17,,,15085,,,81.28,,12261,,,,BALLARI,,,,,BALLARI,18,80,254,156,BALLARI,70,57,225,98,16419.06,,17093.31,,BALLARI,,,,,96.06,,,,,,,,170,196.07,266.07,,,,182,,1141.2,,,63,,,,21,,,,,,,,,,65,,,102,,76.5,389,,,,,,,455.38,,,,,571.91,,,203.98,,42,,,,,,,,BELLARY,,,,,24,3,9,4,11,,250,,,,300,52,56,53,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,80,,,,,,,984,7,3,,2250,,14,100,,
Bengaluru Rural,September 2024,510038,17688.79,6444.03,,,,BENGALURU RURAL,,10368.67,,,23035,,,26.26,,6050,,,,BENGALURU RURAL,,,,,BENGALURU RURAL,103,197,317,17,BENGALURU RURAL,120,132,256,4,17918.45,,17171.47,,BENGALURU RURAL,,,,,104.35,,,,,,,,39,352.52,385.91,,,,58,,755.54,,,52,,,,6,,,,,,,,,,62,,,68,,139.57,128,,,,,,,222.73,,,,,370,,,313.49,,24,,,,,,,,BANGALORE RURAL,,,,,8,6,0,7,1,,250,,,,319,66,33,71,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,14,,,,,,,257,7,1,,714,,23,101,,
Bengaluru Urban,September 2024,8670564,787857.49,384118.69,,,,BENGALURU URBAN,,691277.27,,,171100,,,22.47,,38442,,,,BENGALURU URBAN,,,,,BENGALURU URBAN,212,227,6907,6468,BENGALURU URBAN,151,131,2912,2630,781793.82,,1058868.13,,BENGALURU URBAN,,,,,73.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,56,24,81,48,,260,,,,2012,278,111,321,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,140,,,,,,,2514,1,2,,3330,,22,84,,
Bidar,September 2024,528787,10167.67,2749.63,,,,BIDAR,,5945.96,,,13790,,,83.41,,11502,,,,BIDAR,,,,,BIDAR,33,102,252,117,BIDAR,110,61,230,59,10193.26,,9595.97,,BIDAR,,,,,106.22,,,,,,,,288,206.23,271.38,,,,184,,1607.34,,,67,,,,23,,,,,,,,,,73,,,107,,75.92,501,,,,,,,953.1,,,,,560.4,,,187.46,,39,,,,,,,,BIDAR,,,,,65,9,37,13,15,,250,,,,618,133,185,150,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,41,,,,,,,1990,1,5,,2840,,56,185,,
Chikkaballapura,September 2024,437411,8890.9,3077.84,,,,CHIKKABALLAPURA,,5234.89,,,12255,,,52.39,,6421,,,,CHIKKABALLAPURA,,,,,CHIKKABALLAPURA,50,171,224,3,CHIKKABALLAPURA,99,72,180,9,8980.92,,7409.18,,CHIKKABALLAPURA,,,,,121.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,6,2,8,,250,,,,198,34,31,36,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,,,,,,,303,4,1,,556,,15,157,,
Chikkamagaluru,September 2024,520590,13258.99,5171.59,,,,CHIKKAMAGALURU,,8216.67,,,20485,,,30.31,,6210,,,,CHIKKAMAGALURU,,,,,CHIKKAMAGALURU,85,53,220,82,CHIKKAMAGALURU,181,66,307,60,13385.47,,14678.04,,CHIKKAMAGALURU,,,,,91.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7,1,13,4,,250,,,,264,70,38,80,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,,,,,,,538,6,1,,627,,30,226,,
Chitradurga,September 2024,664604,11804.54,4678.24,,,,CHITRADURGA,,7931.59,,,17760,,,72.80,,12929,,,,CHITRADURGA,,,,,CHITRADURGA,40,81,224,103,CHITRADURGA,136,72,258,50,11845.61,,10446.88,,CHITRADURGA,,,,,113.39,,,,,,,,117,246.78,272.29,,,,156,,1225.25,,,55,,,,14,,,,,,,,,,68,,,74,,49.14,310,,,,,,,502.41,,,,,592.61,,,261.24,,9,,,,,,,,CHITRADURGA,,,,,38,7,15,11,12,,250,,,,514,70,83,86,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,48,,,,,,,2491,5,6,,2491,,71,189,,
Dakshina Kannada,September 2024,1049154,52411.59,28478.67,,,,DAKSHINA KANNADA,,53532.47,,,44260,,,28.56,,12641,,,,DAKSHINA KANNADA,,,,,DAKSHINA KANNADA,164,161,805,480,DAKSHINA KANNADA,267,134,659,258,53606.06,,72628.66,,DAKSHINA KANNADA,,,,,73.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,15,4,29,4,,250,,,,473,189,51,212,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,76,,,,,,,1918,2,4,,2955,,58,223,,
Dharwad,September 2024,874398,32122.9,12750.11,,,,DHARWAD,,20067.98,,,27360,,,51.56,,14106,,,,DHARWAD,,,,,DHARWAD,30,36,487,421,DHARWAD,93,41,392,258,32195.43,,36847.32,,DHARWAD,,,,,87.38,,,,,,,,99,181.27,205.24,,,,102,,732.62,,,93,,,,25,,,,,,,,,,75,,,95,,45.3,278,,,,,,,281.11,,,,,249,,,227.22,,28,,,,,,,,DHARWAD,,,,,73,40,6,58,9,,255,,,,625,244,56,274,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,25,,,,,,,1154,2,3,,1474,,67,145,,
Gadag,September 2024,364548,7822.23,3088.52,,,,GADAG,,5704.96,,,12975,,,74.45,,9660,,,,GADAG,,,,,GADAG,14,54,131,63,GADAG,83,63,192,46,7824.98,,7720.06,,GADAG,,,,,101.36,,,,,,,,81,168.32,211.17,,,,57,,644.14,,,65,,,,29,,,,,,,,,,54,,,76,,51.9,198,,,,,,,258.47,,,,,188.67,,,188.36,,26,,,,,,,,GADAG,,,,,76,21,24,45,7,,250,,,,484,95,150,126,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,29,,,,,,,855,11,3,,958,,38,122,,
Hassan,September 2024,1033760,19071.16,7525.31,,,,HASSAN,,12976.07,,,25665,,,45.42,,11658,,,,HASSAN,,,,,HASSAN,112,91,425,222,HASSAN,215,81,391,95,19267.61,,16656.36,,HASSAN,,,,,115.68,,,,,,,,153,377.25,426.56,,,,119,,1543.25,,,106,,,,17,,,,,,,,,,93,,,110,,82.22,342,,,,,,,686.14,,,,,550.34,,,399.18,,28,,,,,,,,HASSAN,,,,,24,16,1,20,3,,250,,,,507,189,65,208,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,58,,,,,,,3889,0,11,,5586,,125,264,,
Haveri,September 2024,726295,13680.75,5381.88,,,,HAVERI,,8697.53,,,17005,,,68.26,,11607,,,,HAVERI,,,,,HAVERI,22,94,171,55,HAVERI,127,93,261,41,13740.5,,8827.43,,HAVERI,,,,,155.66,,,,,,,,112,218.45,250.33,,,,130,,938.04,,,76,,,,28,,,,,,,,,,71,,,89,,50.57,305,,,,,,,350.75,,,,,398.05,,,215.11,,25,,,,,,,,HAVERI,,,,,96,57,5,77,14,,250,,,,1022,222,91,252,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,0,,0,,0,223,,
Kalaburagi,September 2024,671919,16593.16,5440.96,,,,KALABURAGI,,8609.49,,,19685,,,61.50,,12107,,,,KALABURAGI,,,,,KALABURAGI,31,82,385,272,KALABURAGI,120,75,317,122,16610.34,,20458.01,,KALABURAGI,,,,,81.19,,,,,,,,21,65.8,131.87,,,,122,,502.05,,,47,,,,19,,,,,,,,,,32,,,79,,87.17,167,,,,,,,92.66,,,,,324.75,,,124.94,,57,,,,,,,,GULBARGA,,,,,41,9,13,19,9,,250,,,,568,71,88,96,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,1,0,,2400,,101,261,,
