District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Kasganj,16.0,2.81,14.0,2.49,,,,
Kaushambi,200.0,21275.27,21475.27,2.57,53.27,49.07,296.0,24.12
Kheri,27894.81,218484.8,246379.61,17.44,65.54,60.88,540.0,44.95
Kushi Nagar,100.0,133649.49,133749.49,5.79,55.9,52.87,591.0,49.23
Lalitpur,2396.47,51653.85,54050.32,8.91,39.18,29.82,200.0,17.17
Lucknow,1225.66,45636.04,46861.7,123.51,,,,
Maharajganj,73.0,257.37,46.0,8.09,,,,
Mahoba,2030.0,31463.88,33493.88,4.2,14.63,13.64,115.0,9.32
Mainpuri,1612.0,53821.56,55433.56,9.31,51.4,46.75,433.0,36.64
Mathura,8961.91,139861.53,148823.44,36.56,125.22,115.94,1538.0,128.3
Mau,625.97,51411.85,52037.82,10.53,84.79,81.63,540.0,45.07
Meerut,31020.0,226866.72,257886.72,83.24,175.94,155.63,2686.0,220.26
Mirzapur,329.0,1246.34,66.0,13.93,70.77,67.85,621.0,50.5
Moradabad,3840.0,118684.74,122524.74,39.09,185.8,170.35,2076.0,171.45
Muzaffarnagar,27170.0,164204.79,191374.79,28.99,116.33,105.5,1126.0,92.55
Pilibhit,53.0,8.63,51.0,8.3,46.55,43.5,446.0,35.69
Pratapgarh,1512.58,71710.41,73222.99,12.95,86.95,82.77,697.0,55.16
Prayagraj,400.0,68611.98,69011.98,49.07,246.26,234.57,2719.0,217.53
Rae Bareli,3445.87,81920.89,85366.76,16.9,109.66,105.02,931.0,77.21
Rampur,22487.5,130760.66,153248.16,9.42,116.16,113.98,718.0,59.67
Saharanpur,43617.94,209686.62,253304.56,28.11,172.22,160.0,1420.0,117.33
Sambhal,2938.0,100940.45,103878.45,3.07,65.9,63.7,477.0,39.83
Sant Kabeer Nagar,82.0,457.35,25.0,4.89,40.29,38.11,435.0,37.79
Shahjahanpur,7513.47,155937.01,163450.48,13.64,63.99,59.75,792.0,66.43
Shamli,22159.0,68.54,63.01,4968.0,55.27,49.8,152.0,12.59
Shravasti,100.0,36040.82,36140.82,1.05,13.29,12.13,99.0,7.98
Siddharth Nagar,100.0,72719.07,72819.07,4.86,38.48,36.09,518.0,44.63
Sitapur,250.0,179836.86,180086.86,5.44,65.51,62.08,668.0,55.37
Sonbhadra,2530.0,32879.75,35409.75,4.37,51.6,47.25,563.0,45.73
Sultanpur,100.0,23209.01,23309.01,17.97,96.13,87.62,898.0,77.05
Unnao,3100.58,60788.94,63889.52,11.73,108.53,99.31,706.0,58.88
Varanasi,100.0,31678.14,31778.14,68.34,299.62,289.86,3713.0,305.93
