district,period,branch_network__branch_rural,branch_network__branch_semi_urban,branch_network__branch_urban,branch_network__total_branch,credit_deposit_ratio__advances_rural,credit_deposit_ratio__advances_semi_urban,credit_deposit_ratio__advances_urban,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__deposits_rural,credit_deposit_ratio__deposits_semi_urban,credit_deposit_ratio__deposits_urban,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_branch,credit_deposit_ratio__total_deposit,non_priority_sector__agricuture,non_priority_sector__col_10,non_priority_sector__col_11,non_priority_sector__col_12,non_priority_sector__col_13,non_priority_sector__col_14,non_priority_sector__col_15,non_priority_sector__col_16,non_priority_sector__col_17,non_priority_sector__col_18,non_priority_sector__col_19,non_priority_sector__col_2,non_priority_sector__col_3,non_priority_sector__col_4,non_priority_sector__col_5,non_priority_sector__col_6,non_priority_sector__col_7,non_priority_sector__col_8,non_priority_sector__col_9,non_priority_sector__education,non_priority_sector__housing,non_priority_sector__others,non_priority_sector__personal_loan_under_nps,non_priority_sector__total_non_priority,priority_sector__agri_infra,priority_sector__agri_term,priority_sector__ancillary_activities,priority_sector__col_10,priority_sector__col_11,priority_sector__col_12,priority_sector__col_13,priority_sector__col_14,priority_sector__col_15,priority_sector__col_16,priority_sector__col_17,priority_sector__col_18,priority_sector__col_19,priority_sector__col_2,priority_sector__col_21,priority_sector__col_22,priority_sector__col_3,priority_sector__col_4,priority_sector__col_5,priority_sector__col_6,priority_sector__col_7,priority_sector__col_8,priority_sector__col_9,priority_sector__crop,priority_sector__education,priority_sector__export_credit,priority_sector__housing,priority_sector__msme,priority_sector__others,priority_sector__renewable_energy,priority_sector__social_infrastructure,priority_sector__sub_total,priority_sector__total_agriculture,priority_sector__total_priority_secotr
Medchal Malkajgiri,December 2016,,,,,,,,58.69,,,,23547.15,,40118.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagarkurnool,December 2016,,,,,,,,115.4,,,,1866.96,,1617.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nalgonda,December 2016,,,,,,,,138.85,,,,7453.94,,5368.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nirmal,December 2016,,,,,,,,84.6,,,,1190.47,,1407.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nizamabad,December 2016,,,,,,,,89.74,,,,6669.76,,7432.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peddapalli,December 2016,,,,,,,,49.3,,,,2016.05,,4089.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajanna Sircilla,December 2016,,,,,,,,53.07,,,,840.22,,1583.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranga Reddy,December 2016,,,,,,,,57.6,,,,30799.73,,53475.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sangareddy,December 2016,,,,,,,,68.09,,,,5925.3,,8702.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddipet,December 2016,,,,,,,,81.04,,,,2493.45,,3076.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryapet,December 2016,,,,,,,,134.67,,,,3466.35,,2573.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikarabad,December 2016,,,,,,,,97.71,,,,1759.5,,1800.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanaparthy,December 2016,,,,,,,,111.8,,,,1413.65,,1264.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warangal,December 2016,,,,,,,,71.05,,,,7484.38,,10534.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yadadri Bhuvanagiri,December 2016,,,,,,,,95.09,,,,1973.65,,2075.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adilabad,March 2017,,,,,,,,113.47,,,,2976.4,,2623.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhadradri Kothagudem,March 2017,,,,,,,,52.42,,,,2762.42,,5269.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,March 2017,,,,,,,,123.27,,,,263344.51,,213626.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagitial,March 2017,,,,,,,,64.62,,,,1913.58,,2961.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jangoan,March 2017,,,,,,,,128.79,,,,1371.79,,1065.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayashankar Bhupalapally,March 2017,,,,,,,,104.39,,,,1312.1,,1256.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jogulamba Gadwal,March 2017,,,,,,,,108.27,,,,1107.61,,1023.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamareddy,March 2017,,,,,,,,112.83,,,,2497.26,,2213.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karimnagar,March 2017,,,,,,,,75.62,,,,5079.97,,6717.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khammam,March 2017,,,,,,,,124.25,,,,7278.75,,5858.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubabad,March 2017,,,,,,,,123.06,,,,1468.56,,1193.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubnagar,March 2017,,,,,,,,111.92,,,,5108.84,,4564.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mancherial,March 2017,,,,,,,,54.2,,,,2225.54,,4106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medak,March 2017,,,,,,,,160.96,,,,3699.67,,2298.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medchal Malkajgiri,March 2017,,,,,,,,42.87,,,,17218.01,,40164.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagarkurnool,March 2017,,,,,,,,120.91,,,,1872.08,,1548.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nalgonda,March 2017,,,,,,,,133.86,,,,6765.51,,5054.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nirmal,March 2017,,,,,,,,99.25,,,,1868.56,,1882.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nizamabad,March 2017,,,,,,,,95.93,,,,6383.88,,6654.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peddapalli,March 2017,,,,,,,,48.39,,,,2199.94,,4545.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajanna Sircilla,March 2017,,,,,,,,56.39,,,,1052.07,,1865.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranga Reddy,March 2017,,,,,,,,55.43,,,,23932.13,,43177.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sangareddy,March 2017,,,,,,,,70.97,,,,6352.14,,8950.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddipet,March 2017,,,,,,,,97.7,,,,2831.81,,2898.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryapet,March 2017,,,,,,,,143.53,,,,3603.64,,2510.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikarabad,March 2017,,,,,,,,106.68,,,,1972.91,,1849.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanaparthy,March 2017,,,,,,,,110.51,,,,1328.81,,1202.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warangal,March 2017,,,,,,,,61.7,,,,8158.66,,13223.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yadadri Bhuvanagiri,March 2017,,,,,,,,100.67,,,,2041.18,,2027.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adilabad,June 2017,,,,,,,,125.49,,,,3682.51,,2934.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhadradri Kothagudem,June 2017,,,,,,,,73.42,,,,5040.9,,6865.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,June 2017,,,,,,,,136.29,,,,232089.85,,170289.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagitial,June 2017,,,,,,,,85.06,,,,3298.86,,3878.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jangoan,June 2017,,,,,,,,117.15,,,,2048.12,,1748.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayashankar Bhupalapally,June 2017,,,,,,,,100.38,,,,1957.22,,1949.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jogulamba Gadwal,June 2017,,,,,,,,98.93,,,,1627.03,,1644.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamareddy,June 2017,,,,,,,,100.05,,,,4009.89,,4007.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karimnagar,June 2017,,,,,,,,89.07,,,,7266.04,,8157.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khammam,June 2017,,,,,,,,109.52,,,,10066.53,,9191.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubabad,June 2017,,,,,,,,100.36,,,,2624.24,,2614.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubnagar,June 2017,,,,,,,,110.41,,,,7760.4,,7028.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mancherial,June 2017,,,,,,,,71.92,,,,3457.97,,4808.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medak,June 2017,,,,,,,,130.42,,,,5897.99,,4522.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medchal Malkajgiri,June 2017,,,,,,,,60.51,,,,23006.2,,38020.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagarkurnool,June 2017,,,,,,,,102.18,,,,2717.11,,2659.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nalgonda,June 2017,,,,,,,,120.26,,,,8682.18,,7219.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nirmal,June 2017,,,,,,,,97.57,,,,2886.3,,2958.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nizamabad,June 2017,,,,,,,,92.63,,,,10342.81,,11166.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peddapalli,June 2017,,,,,,,,70.94,,,,3934.33,,5545.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajanna Sircilla,June 2017,,,,,,,,70.9,,,,1549.63,,2185.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranga Reddy,June 2017,,,,,,,,81.19,,,,34979.61,,43082.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sangareddy,June 2017,,,,,,,,85.06,,,,8376.31,,9848.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddipet,June 2017,,,,,,,,119.23,,,,5221.93,,4379.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryapet,June 2017,,,,,,,,104.9,,,,5309.76,,5061.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikarabad,June 2017,,,,,,,,99.52,,,,3464.94,,3481.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanaparthy,June 2017,,,,,,,,100.84,,,,2534.99,,2513.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warangal,June 2017,,,,,,,,91.34,,,,8978.36,,9829.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yadadri Bhuvanagiri,June 2017,,,,,,,,94.18,,,,3074.53,,3264.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adilabad,September 2017,41,22,34,97,,,,123.1,,,,3734.63,,3033.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhadradri Kothagudem,September 2017,50,76,0,126,,,,80.21,,,,5640.54,,7032.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,September 2017,5,8,1054,1067,,,,145.15,,,,248145.17,,170956.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagitial,September 2017,66,34,14,114,,,,88.24,,,,3294.51,,3733.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jangoan,September 2017,31,20,0,51,,,,119.43,,,,2125.53,,1779.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayashankar Bhupalapally,September 2017,44,14,1,59,,,,103.01,,,,2045.08,,1985.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jogulamba Gadwal,September 2017,22,27,0,49,,,,101.46,,,,1662.89,,1638.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamareddy,September 2017,76,46,4,126,,,,103.61,,,,4217.73,,4070.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karimnagar,September 2017,72,37,75,184,,,,90.94,,,,7927.7,,8717.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khammam,September 2017,87,57,58,202,,,,112.01,,,,10360.92,,9249.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubabad,September 2017,23,37,1,61,,,,103.95,,,,2662.92,,2561.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahabubnagar,September 2017,75,46,60,181,,,,111.98,,,,8104.98,,7237.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mancherial,September 2017,39,51,12,102,,,,73.2,,,,3566.36,,4871.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medak,September 2017,51,44,2,97,,,,163.31,,,,4695.6,,2875.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medchal Malkajgiri,September 2017,57,70,363,490,,,,60.33,,,,24558.99,,40708.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagarkurnool,September 2017,47,30,0,77,,,,106.16,,,,2856.96,,2691.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nalgonda,September 2017,88,52,68,208,,,,122.07,,,,8976.69,,7354.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nirmal,September 2017,46,32,3,81,,,,101.4,,,,3022.43,,2980.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nizamabad,September 2017,153,55,64,272,,,,95.94,,,,10008.71,,10432.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peddapalli,September 2017,43,31,21,95,,,,71.36,,,,3911.22,,5481.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajanna Sircilla,September 2017,31,25,2,58,,,,73.57,,,,1596.75,,2170.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranga Reddy,September 2017,156,83,365,604,,,,78.98,,,,36479.87,,46190.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sangareddy,September 2017,84,87,36,207,,,,83.16,,,,8597.55,,10339.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddipet,September 2017,66,52,3,121,,,,95.16,,,,3968.94,,4170.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryapet,September 2017,63,53,26,142,,,,108.24,,,,5670.48,,5238.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikarabad,September 2017,55,35,2,92,,,,96.17,,,,3349.12,,3482.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanaparthy,September 2017,24,28,0,52,,,,101.29,,,,2596.01,,2563.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warangal,September 2017,27,14,144,185,,,,90.72,,,,9160.93,,10097.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yadadri Bhuvanagiri,September 2017,52,41,0,93,,,,100.39,,,,3442.22,,3428.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adilabad,December 2017,35,19,31,85,,,,151.78,,,,2887.25,,1902.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhadradri Kothagudem,December 2017,52,80,0,132,,,,70.96,,,,4551.26,,6414.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,December 2017,9,9,1020,1038,,,,142.3,,,,273265.77,,192031.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagitial,December 2017,74,38,18,130,,,,89.15,,,,4609.35,,5170.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jangoan,December 2017,43,31,0,74,,,,114.91,,,,2721.71,,2368.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayashankar Bhupalapally,December 2017,38,12,1,51,,,,123.97,,,,1238.67,,999.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jogulamba Gadwal,December 2017,22,24,0,46,,,,128.27,,,,1052.31,,820.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamareddy,December 2017,88,48,3,139,,,,115.86,,,,3562.21,,3074.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karimnagar,December 2017,78,42,83,203,,,,93.3,,,,7896.59,,8463.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
