district,allied_advance_fishery_t,a,pct,farm_credit_others_t,a,pct,total_farm_credit_t,a,pct,agriculture_infrastructure_storage_facilities_t,a,pct,"land_dev,_soil_conservation,_watershed_dev_t",a,pct,others_t,a,pct,total_agri_infra_t,a,pct
Kendrapara,201.55,11.43,5.67,0.00,14.43,,3010.33,739.08,24.55,44.63,5.63,12.62,10.03,2.70,26.96,3.75,0.52,13.76,58.41,8.85,15.16
Keonjhar,17.55,3.27,18.63,4.14,13.83,334.42,2166.77,405.43,18.71,88.31,14.22,16.10,1.02,0.48,47.14,55.66,0.02,0.04,145.00,14.72,10.15
Khordha,113.80,54.96,48.30,48.83,114.91,235.31,5006.64,1907.27,38.09,129.84,18.90,14.56,60.59,9.96,16.45,30.12,0.72,2.38,220.55,29.58,13.41
Koraput,45.81,2.52,5.50,29.25,27.05,92.48,1920.64,306.40,15.95,106.00,2.13,2.01,8.93,1.73,19.41,0.00,0.18,,114.93,4.04,3.51
Malkangiri,35.87,1.04,2.89,0.64,8.38,1313.81,588.42,126.34,21.47,57.72,6.02,10.43,11.36,0.72,6.30,0.00,0.00,,69.08,6.73,9.75
Mayurbhanj,68.88,6.86,9.95,26.08,18.15,69.57,2688.56,547.09,20.35,44.10,16.77,38.02,11.19,1.44,12.92,19.99,11.27,56.37,75.28,29.48,39.16
Nabarangpur,29.11,2.61,8.97,2.35,19.72,837.84,1231.57,209.85,17.04,44.53,4.85,10.89,6.30,0.46,7.34,1.55,21.12,1362.57,52.39,26.43,50.46
Nayagarh,14.12,10.47,74.14,2.64,25.25,955.13,2134.01,531.98,24.93,12.16,4.39,36.09,10.90,17.58,161.27,1.28,0.22,16.85,24.34,22.18,91.14
Nuapada,19.28,17.42,90.36,2.95,11.81,401.01,1000.33,257.23,25.71,52.06,0.41,0.79,6.59,0.28,4.24,2.30,0.10,4.53,60.95,0.80,1.30
Puri,203.26,48.47,23.85,1.49,25.85,1731.37,3846.28,608.36,15.82,34.92,13.63,39.04,392.63,28.59,7.28,91.17,7.95,8.72,518.71,50.18,9.67
Rayagada,19.71,25.19,127.79,5.91,14.47,244.96,1047.32,339.78,32.44,20.64,6.35,30.77,11.22,4.82,42.99,2.18,0.10,4.73,34.04,11.28,33.13
Sambalpur,56.37,16.94,30.05,165.96,24.51,14.77,2885.23,456.57,15.82,39.97,13.83,34.60,28.96,0.38,1.31,6.05,14.31,236.61,74.98,28.52,38.04
Subarnapur,24.38,3.24,13.27,11.30,7.22,63.85,1635.35,275.33,16.84,63.75,3.43,5.38,5.66,1.05,18.55,3.96,0.01,0.21,73.37,4.49,6.12
Sundargarh,35.25,5.39,15.29,57.10,16.36,28.65,3903.10,594.12,15.22,83.34,15.25,18.30,29.59,1.90,6.43,8.60,2.03,23.60,121.53,19.18,15.78
