district,crop_loan_t,a,pct,term_loan_water_resources_t,a,pct,farm_mechanisation_t,a,pct,plantation_and_horticulture_t,a,pct,forestry_and_wasteland_dev_t,a,pct,allied_advance_ah_dairy_t,a,pct,ah_poultry_t,a,pct,ah_sheep_goat_piggery_t,a,pct
Jharsuguda,755.15,149.06,19.74,26.90,0.21,0.77,240.31,7.16,2.98,34.62,2.19,6.31,3.20,1.11,34.63,35.00,4.51,12.89,25.00,6.06,24.25,47.02,4.81,10.23
Kalahandi,2363.00,350.88,14.85,18.08,1.85,10.22,130.35,53.77,41.25,266.43,11.69,4.39,6.67,2.51,37.69,40.26,9.02,22.40,34.71,8.51,24.53,10.45,14.20,135.83
Kandhamal,696.02,91.34,13.12,31.44,0.42,1.35,68.37,5.29,7.74,32.89,2.89,8.79,5.64,1.84,32.63,28.09,2.82,10.02,19.67,4.28,21.74,38.18,1.59,4.15
Kendrapara,2258.54,630.38,27.91,52.02,0.41,0.78,126.78,55.76,43.98,58.11,2.58,4.45,5.93,1.70,28.62,131.60,6.71,5.10,79.02,4.58,5.80,96.79,11.10,11.47
Keonjhar,1797.78,291.14,16.19,4.25,0.21,5.04,8.34,56.20,674.17,2.82,4.00,142.16,0.57,2.39,421.59,44.53,9.14,20.52,261.46,11.23,4.29,25.35,14.02,55.30
Khordha,3178.65,1302.15,40.97,75.16,3.48,4.63,281.38,238.19,84.65,753.02,50.59,6.72,15.46,22.45,145.25,267.69,30.10,11.24,182.43,48.38,26.52,90.21,42.06,46.62
Koraput,1257.67,228.58,18.17,47.44,0.35,0.73,116.40,29.01,24.93,206.47,3.30,1.60,6.43,3.87,60.14,78.88,3.07,3.89,119.20,6.81,5.71,13.09,1.85,14.14
Malkangiri,423.60,101.29,23.91,12.33,0.09,0.76,24.67,7.08,28.70,31.17,1.24,3.99,4.78,1.12,23.41,39.55,2.34,5.92,10.93,1.32,12.03,4.87,2.44,50.15
Mayurbhanj,1910.26,392.79,20.56,67.28,0.46,0.68,174.52,70.79,40.57,82.70,6.81,8.24,7.91,2.85,35.99,143.05,12.03,8.41,71.20,16.78,23.57,136.69,19.58,14.32
Nabarangpur,951.27,158.31,16.64,29.78,0.19,0.64,60.29,12.65,20.98,27.28,1.68,6.17,4.77,1.58,33.04,106.67,5.28,4.95,11.69,5.85,50.08,8.37,1.96,23.48
Nayagarh,1654.53,384.84,23.26,28.03,1.13,4.04,93.40,40.61,43.48,185.04,11.46,6.19,0.85,2.48,293.97,78.81,24.67,31.31,60.55,20.41,33.71,16.04,10.65,66.39
Nuapada,639.93,125.95,19.68,48.02,0.18,0.38,75.49,12.51,16.58,35.05,5.08,14.51,12.50,2.02,16.17,42.92,33.32,77.63,32.19,40.65,126.28,92.00,8.27,8.99
Puri,2971.19,327.16,11.01,107.05,2.85,2.66,182.34,45.40,24.90,289.45,18.26,6.31,0.28,4.13,1475.26,36.37,47.61,130.91,45.22,53.63,118.60,9.63,34.99,363.29
Rayagada,868.55,171.20,19.71,21.93,0.25,1.14,24.25,10.56,43.54,22.01,4.68,21.26,5.92,1.16,19.55,23.62,44.56,188.66,38.71,51.64,133.38,16.71,16.09,96.28
Sambalpur,1956.11,288.12,14.73,55.61,0.64,1.15,160.90,32.45,20.17,149.02,7.27,4.88,12.46,3.86,30.96,71.04,29.58,41.64,55.32,33.00,59.64,202.45,20.21,9.98
Subarnapur,1287.28,210.98,16.39,18.30,0.24,1.30,127.05,12.55,9.88,35.08,4.59,13.08,10.49,1.21,11.50,57.09,10.26,17.98,47.83,12.51,26.15,16.55,12.55,75.82
Sundargarh,2840.39,467.69,16.47,107.06,0.20,0.18,476.63,28.09,5.89,133.51,25.20,18.88,49.87,4.83,9.68,92.56,12.37,13.36,81.48,15.85,19.45,29.25,18.15,62.04
