District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Tot Msme (PS) NPA No.,Tot Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Karimganj,87,44917,34835.88,14588,10299.49,29.57,14931,33461.07,3128,3947.07,11.80,38021,25964.34,7360,3547.66,13.66,97869,94261.29,25076,17794.22,18.88
Kokrajhar,51,34696,33489.41,9266,5484.08,16.38,8734,18566.24,3636,3926.66,21.15,17840,17768.71,3023,1141.56,6.42,61270,69824.36,15925,10552.30,15.11
Lakhimpur,88,105216,66463.13,29668,16954.98,25.51,37184,58185.15,5355,7465.49,12.83,24138,44239.12,4477,3361.65,7.60,166538,168887.40,39500,27782.12,16.45
Majuli,15,8467,6527.17,2648,1712.13,26.23,3546,6303.40,556,574.85,9.12,1455,10627.70,642,945.42,8.90,13468,23458.27,3846,3232.40,13.78
Morigaon,67,67955,48437.66,18682,12855.32,26.54,15305,26532.56,3018,3806.94,14.35,16276,34352.02,2403,3479.42,10.13,99536,109322.24,24103,20141.68,18.42
Nagaon,153,168179,106886.30,63458,29587.86,27.68,27739,83991.14,6092,10831.17,12.90,54231,61412.86,11383,6534.32,10.64,250149,252290.30,80933,46953.35,18.61
Nalbari,85,76358,44364.84,28453,10815.91,24.38,18450,34448.86,5568,6199.16,18.00,25802,33460.34,8133,3496.95,10.45,120610,112274.04,42154,20512.02,18.27
Sivasagar,96,65796,38891.60,18944,9047.64,23.26,23413,73978.80,4633,5114.70,6.91,21848,34841.65,3214,1801.01,5.17,111057,147712.05,26791,15963.35,10.81
Sonitpur,131,80139,57074.07,21574,11934.51,20.91,27598,88438.92,6111,8483.53,9.59,39516,58466.39,9007,5209.35,8.91,147253,203979.38,36692,25627.39,12.56
South Salmara,11,3360,2273.14,1993,947.60,41.69,1585,3435.93,969,1305.23,37.99,559,3227.10,232,300.86,9.32,5504,8936.17,3194,2553.69,28.58
Tinsukia,149,85009,84813.48,25302,16278.00,19.19,29887,126392.80,4988,7255.73,5.74,26038,40850.61,4103,2363.32,5.79,140934,252056.89,34393,25897.05,10.27
Udalguri,49,52409,35217.01,26047,15272.04,43.37,13737,15463.34,5511,6476.04,41.88,9740,20405.04,3541,1736.88,8.51,75886,71085.39,35099,23484.96,33.04
West Karbi Anglong,21,14898,8099.41,2764,1074.85,13.27,1712,891.96,574,137.37,15.40,610,6118.96,29,38.21,0.62,17220,15110.33,3367,1250.43,8.28
