District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,MSME (PS) Target No.,MSME (PS) Target Amt,MSME (PS) Achieved No.,MSME (PS) Achieved Amt,MSME (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Golaghat,118,"27,202","28,267.00","22,294","33,247.17",117.62,"13,591","8,845.00","8,686","9,059.70",102.43,"6,137","26,323.00","5,355","24,117.05",91.62,"3,540","9,527.00","7,165","5,532.40",58.07,"36,879","64,117.00","34,814","62,896.62",98.10
Hailakandi,44,"16,988","16,326.42","4,084","5,647.23",34.59,"13,460","11,932.00","2,222","1,607.97",13.48,"1,594","5,713.20","1,492","10,141.86",177.52,510,"1,342.63","4,364","2,637.66",196.45,"19,092","23,382.25","9,940","18,426.75",78.81
Hojai,54,"8,641","9,896.45","10,060","8,072.85",81.57,"3,208","3,145.27","6,598","4,054.66",128.91,"4,190","12,656.00","3,016","17,337.00",136.99,"10,105","8,870.61","3,789","2,849.43",32.12,"22,936","31,423.06","16,865","28,259.28",89.93
Jorhat,135,"66,307","63,872.00","17,226","35,787.67",56.03,"40,164","37,996.00","6,555","5,458.44",14.37,"2,404","28,894.00","7,429","64,644.10",223.73,"5,238","16,645.00","6,516","7,129.30",42.83,"73,949","1,09,411.00","31,171","1,07,561.07",98.31
Kamrup Metro,168,"30,748","36,212.83","26,337","26,942.66",74.40,"20,147","17,985.05","8,186","8,523.30",47.39,"14,059","68,055.45","10,328","43,286.80",63.61,"6,627","18,084.73","12,123","10,328.43",57.11,"51,434","1,22,353.01","48,788","80,557.89",65.84
Karbi Anglong,64,"71,189","66,857.38","14,827","16,353.60",24.46,"52,000","45,134.31","9,116","5,838.07",12.93,"1,550","8,569.80","3,073","7,441.38",86.83,"1,810","14,254.16","2,045","6,140.71",43.08,"74,549","89,681.34","19,945","29,935.69",33.38
Karimganj,87,"18,580","18,741.10","6,100","6,717.17",35.84,"10,725","10,744.22","3,375","2,388.38",22.23,"4,953","17,364.00","2,883","14,456.66",83.26,897,"2,336.86","12,183","6,970.00",298.26,"24,430","38,441.96","21,166","28,143.83",73.21
Kokrajhar,51,"21,050","18,581.00","7,573","11,616.23",62.52,"11,041","8,145.00","4,852","6,205.92",76.19,"1,921","10,185.00","2,114","9,923.09",97.43,"4,074","12,340.00","6,390","3,750.41",30.39,"27,045","41,106.00","16,077","25,289.73",61.52
Lakhimpur,88,"36,770","32,065.00","20,859","18,628.80",58.10,"21,000","13,340.00","10,857","8,651.24",64.85,"6,650","20,845.00","9,047","26,741.71",128.29,"4,922","9,970.00","4,387","4,318.10",43.31,"48,342","62,880.00","34,293","49,688.61",79.02
Majuli,15,"10,620","8,771.50","2,002","4,554.84",51.93,"8,606","7,125.00","1,471","2,978.85",41.81,283,878.00,"1,081","1,944.97",221.52,745,"2,301.00",85,649.24,28.22,"11,648","11,950.50","3,168","7,149.05",59.82
Morigaon,67,"29,401","27,629.80","13,288","11,085.80",40.12,"24,220","12,289.90","7,726","4,509.42",36.69,"1,300","15,370.76","3,093","10,622.90",69.11,"2,413","5,705.63","3,422","2,743.92",48.09,"33,114","48,706.19","19,803","24,452.62",50.20
Nagaon,153,"47,451","46,599.28","30,058","29,022.40",62.28,"31,463","30,775.54","11,396","10,304.11",33.48,"14,514","41,023.26","5,013","40,637.75",99.06,"38,072","29,009.91","10,133","8,963.08",30.90,"1,00,037","1,16,632.45","45,204","78,623.23",67.41
Nalbari,85,"12,063","17,580.00","13,869","13,749.13",78.21,"5,570","5,570.00","3,485","4,184.01",75.12,"13,083","15,920.00","3,291","15,832.71",99.45,"2,816","7,679.00","3,654","4,002.77",52.13,"27,962","41,179.00","20,814","33,584.61",81.56
Sivasagar,96,"18,196","32,478.07","14,458","15,150.83",46.65,"11,122","13,816.46","4,590","4,398.26",31.83,"4,549","12,155.30","5,960","42,959.94",353.43,"1,910","7,375.14","5,855","5,120.56",69.43,"24,655","52,008.51","26,273","63,231.33",121.58
Sonitpur,131,"27,596","33,632.00","15,411","22,168.74",65.92,"17,740","16,085.03","5,445","5,829.22",36.24,"14,190","52,311.01","4,785","47,646.18",91.08,"4,790","18,806.99","7,967","7,981.36",42.44,"46,576","1,04,750.00","28,163","77,796.28",74.27
South Salmara,11,"1,930","1,958.06",566,"1,129.54",57.69,270,270.00,360,613.55,227.24,173,"1,218.72",275,"1,403.55",115.17,171,782.22,58,420.74,53.79,"2,274","3,959.00",899,"2,953.83",74.61
Tinsukia,149,"40,033","43,102.25","21,855","39,053.57",90.61,"18,471","14,114.95","10,116","13,794.71",97.73,"5,693","57,600.70","6,236","86,067.25",149.42,"6,391","12,653.38","5,923","5,591.35",44.19,"52,117","1,13,356.33","34,014","1,30,712.17",115.31
Udalguri,49,"6,253","10,352.19","6,516","8,943.84",86.40,"3,932","4,016.00","3,496","3,003.19",74.78,"1,085","3,377.37","1,927","5,012.29",148.41,"1,376","8,690.75","2,427","2,446.61",28.15,"8,714","22,420.31","10,870","16,402.74",73.16
West Karbi Anglong,21,"36,182","36,170.37","3,328","3,507.47",9.70,"25,946","25,233.39","2,109",869.17,3.44,148,569.16,310,457.24,80.34,"2,692","8,313.84",243,"1,484.90",17.86,"39,022","45,053.37","3,881","5,449.61",12.10
