District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Total Weaker Sec O/S No.,Total Weaker Sec O/S Amt
Kokrajhar,51,19636,14218.83,3385,2355.07,14851,17944.06,94,25.91,3486,3420.76,20960,7445.50,9214,6729.00,100,2.30,6158,5651.31,77884,57792.74
Lakhimpur,88,67641,46821.18,12724,10804.94,18047,20218.37,373,46.06,15753,10690.47,44809,17140.77,11418,11203.62,142,37.12,23295,21779.32,194202,138741.85
Majuli,15,5860,3386.86,633,588.07,2563,2221.84,12,9.01,1128,1705.74,960,476.06,609,347.18,73,3.89,1836,1919.77,13674,10658.42
Morigaon,67,49275,36194.21,10569,6523.79,12732,8097.39,302,51.52,7736,6347.58,31738,11449.61,21869,15270.69,1889,42.31,11122,8358.34,147232,92335.44
Nagaon,153,100909,61044.58,21972,14530.42,13756,9074.75,506,82.71,22202,14454.22,97060,33089.43,55121,48077.52,1804,65.89,31266,31687.13,344596,212106.65
Nalbari,85,41376,23787.16,6097,3894.99,3895,3563.60,124,35.75,17377,13228.47,44217,11971.23,12298,11280.54,492,11.74,7755,6573.38,133631,74346.86
Sivasagar,96,38434,21301.68,6789,5493.66,4696,4469.73,185,23.12,7580,4954.08,40578,13029.09,6572,10138.17,890,22.86,9721,8902.03,115445,68334.42
Sonitpur,131,47359,32546.30,12435,8579.50,11705,8891.51,204,22.81,12543,10977.40,57590,20463.33,10987,14040.59,922,17.71,26140,21805.47,179885,117344.62
South Salmara,11,2395,1197.80,26,72.36,30,34.33,3,0.43,582,609.60,257,115.67,2279,5327.04,7,0.04,198,274.31,5777,7631.58
Tinsukia,149,55833,44458.56,7123,8061.49,10284,11118.52,203,47.37,14420,8989.66,41094,14659.02,5633,10031.50,1367,39.16,8765,9243.49,144722,106648.77
Udalguri,49,38495,24683.09,2491,1821.36,24922,24279.08,34,26.57,3924,5177.15,12870,5424.89,7982,9943.32,52,2.25,4608,4672.80,95378,76030.51
West Karbi Anglong,21,3268,2300.32,123,167.18,2093,3449.83,0,0,2492,2071.59,3958,1404.13,222,427.84,13,0.33,24,16.67,12193,9837.89
