district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanizatio n A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastruc ture Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Kokrajhar,51,"4,852","6,205.92",2,1.67,0,0,305,239.93,5,13.28,127,151.56,18,20.09,"1,902","4,489.57",3,4.41,359,489.80,"7,573","11,616.23"
Lakhimpur,88,"10,857","8,651.24",1,0.54,0,0,"4,429","1,179.29",36,15.1,535,738.17,16,16.39,"4,051","6,856.02",4,2.2,930,"1,169.85","20,859","18,628.80"
Majuli,15,"1,471","2,978.85",0,0,0,0,0,0,0,0,148,586.35,6,3.10,373,980.04,0,0,4,6.50,"2,002","4,554.84"
Morigaon,67,"7,726","4,509.42",13,10.13,5,12.32,"1,547",594.21,0,0,170,286.92,112,135.46,"2,703","4,724.65",11,8.33,"1,001",804.36,"13,288","11,085.80"
Nagaon,153,"11,396","10,304.11",6,6.60,0,0,"7,952","1,975.75",11,3.32,549,847.90,58,36.67,"7,857","13,594.75",33,106.91,"2,196","2,146.39","30,058","29,022.40"
Nalbari,85,"3,485","4,184.01",59,38.77,0,0,"5,693","1,549.33",49,13.52,249,374.90,59,37.59,"3,185","5,030.07",1,1.2,"1,089","2,519.74","13,869","13,749.13"
Sivasagar,96,"4,590","4,398.26",104,64.32,0,0,"2,330",568.21,0,0,196,274.54,6,3.91,"5,637","7,337.65",30,85.44,"1,565","2,418.50","14,458","15,150.83"
Sonitpur,131,"5,445","5,829.22",107,78.03,0,0,"2,577",710.94,2,5.69,447,"1,024.89",25,19.69,"4,701","9,508.02",10,38.25,"2,097","4,954.01","15,411","22,168.74"
South Salmara,11,360,613.55,0,0,0,0,0,0,0,0,0,0,0,0,200,507.89,0,0,6,8.10,566,"1,129.54"
Tinsukia,149,"10,116","13,794.71",97,58.94,0,0,"5,465","1,374.96",5,5.5,329,"1,046.48",20,19.38,"4,290","7,298.82",87,391.57,"1,446","15,063.21","21,855","39,053.57"
Udalguri,49,"3,496","3,003.19",0,0,0,0,6,2.17,0,0,107,150.09,15,7.81,"2,191","4,938.61",2,13.2,699,828.77,"6,516","8,943.84"
West Karbi Anglong,21,"2,109",869.17,0,0,0,0,0,0,0,0,110,244.60,1,0.49,"1,099","2,388.96",0,0,9,4.25,"3,328","3,507.47"
