District,Shishu Outstanding No.,Amt.,"Out of which
under NPA No.",Amt.,Kishore Outstanding No.,Amt.,"Out of which
under NPA No.",Amt.,Tarun Outstanding No.,Amt.,"Out of which
under NPA No.",Amt.,Tarun Plus Outstanding No.,Amt.,"Out of which
under NPA No.",Amt.,Total PMMY Loans Outstanding No.,Amt.,"Out of which
under NPA No.",Amt.,% Age NPA No.,Amt.
Munger,24406,56.81,9758,20.98,35836,285.14,6177,44.52,2257,140.74,282,15.26,23,2.88,4,0.37,62522,485.57,16221,81.13,25.94,16.71
Muzaffarpur,322107,647.84,93556,180.72,205936,1338.85,32019,185.19,9752,523.78,1152,57.21,105,12.61,2,0.15,537900,2523.08,126729,423.27,23.56,16.78
Nalanda,41842,95.76,8736,21.26,51387,465.24,8193,90.94,4875,288.74,603,32.07,27,2.56,5,0.33,98131,852.3,17537,144.6,17.87,16.97
Nawada,29938,76.47,15857,34.65,48018,352.91,8610,55.79,3570,198.78,447,22.68,24,2.49,1,0.05,81550,630.65,24915,113.17,30.55,17.94
Pashchim Champaran,139397,309.24,24507,54.62,108937,638.03,10820,64.60,4255,237.46,435,22.54,68,8.15,1,0.12,252657,1192.88,35763,141.88,14.15,11.89
Patna,559242,1233.90,119710,266.69,252777,1913.31,32715,231.57,20329,1202.53,2737,140.43,122,14.15,6,0.46,832470,4363.89,155168,639.15,18.64,14.65
Purbi Champaran,118903,280.77,34075,70.25,141261,903.00,19418,109.32,7898,431.31,605,28.90,78,9.25,0,0.00,268140,1624.33,54098,208.47,20.18,12.83
Purnia,54578,133.64,17906,36.92,91648,636.45,10789,63.75,5690,304.04,565,24.23,52,6.18,0,0.00,151968,1080.31,29260,124.9,19.25,11.56
Rohtas,94999,201.21,32090,61.64,70562,498.51,14250,107.07,5480,331.23,841,46.90,37,4.34,5,0.75,171078,1035.29,47186,216.36,27.58,20.90
Saharsa,61898,127.75,21422,36.92,48240,330.79,7768,48.25,3902,189.48,286,14.10,41,5.14,0,0.00,114081,653.16,29476,99.27,25.84,15.20
Samastipur,185321,399.24,58323,107.47,184123,1127.66,27765,140.88,5785,348.67,451,23.87,52,6.06,5,0.32,375281,1881.63,86544,272.54,23.06,14.48
Saran,139322,326.70,31020,64.97,159217,956.33,18669,105.18,6514,364.25,552,29.27,79,8.85,0,0.00,305132,1656.13,50241,199.42,16.47,12.04
Sheikhpura,9428,21.82,2818,5.83,13747,126.45,1736,16.08,1127,69.91,121,6.67,7,0.46,2,0.13,24309,218.64,4677,28.71,19.24,13.13
Sheohar,13606,26.62,4301,7.26,9752,94.07,1758,16.30,828,47.17,87,5.22,11,1.07,0,0.00,24197,168.93,6146,28.78,25.40,17.04
Sitamarhi,98554,200.11,41283,72.11,76311,543.11,15993,90.86,5251,277.71,375,19.19,81,9.22,1,0.00,180197,1030.15,57652,182.16,31.99,17.68
Siwan,120549,254.99,24625,47.59,107317,678.82,12744,76.01,5294,305.22,468,27.15,98,10.91,0,0.00,233258,1249.94,37837,150.75,16.22,12.06
Supaul,39068,81.98,16886,31.61,35968,306.25,6540,40.95,3910,209.28,200,7.89,37,3.66,0,0.00,78983,601.17,23626,80.45,29.91,13.38
Vaishali,159679,335.92,40921,69.97,148745,932.87,20318,108.05,6672,358.81,587,29.74,112,12.19,0,0.00,315208,1639.79,61826,207.76,19.61,12.67
