district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,export_credit_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,social_infrastructure_target,achie,achie,renewable_energy_target,achie,achie,other_target,achie,achie,total_priority_sector_target,achie,achie
Kaimur (Bhabua),2780.00,13.89,13.89,1781.00,13.89,13.89,0.00,13.89,13.89,16.00,13.89,13.89,38.00,13.89,13.89,12.00,13.89,13.89,12.00,13.89,13.89,57.00,13.89,13.89,4696.00,13.89,13.89
Katihar,2382.00,25.89,25.89,3048.00,25.89,25.89,0.00,25.89,25.89,20.00,25.89,25.89,60.00,25.89,25.89,12.00,25.89,25.89,12.00,25.89,25.89,137.00,25.89,25.89,5671.00,25.89,25.89
Khagaria,1914.00,18.27,18.27,1349.00,18.27,18.27,0.00,18.27,18.27,15.00,18.27,18.27,31.00,18.27,18.27,12.00,18.27,18.27,12.00,18.27,18.27,69.00,18.27,18.27,3402.00,18.27,18.27
Kishanganj,1329.00,21.35,21.35,1568.00,21.35,21.35,0.00,21.35,21.35,15.00,21.35,21.35,35.00,21.35,21.35,12.00,21.35,21.35,12.00,21.35,21.35,82.00,21.35,21.35,3053.00,21.35,21.35
Lakhisarai,1334.00,11.56,11.56,1137.00,11.56,11.56,0.00,11.56,11.56,16.00,11.56,11.56,29.00,11.56,11.56,12.00,11.56,11.56,13.00,11.56,11.56,38.00,11.56,11.56,2579.00,11.56,11.56
Madhepura,1538.00,19.85,19.85,1348.00,19.85,19.85,0.00,19.85,19.85,15.00,19.85,19.85,36.00,19.85,19.85,12.00,19.85,19.85,12.00,19.85,19.85,47.00,19.85,19.85,3008.00,19.85,19.85
Madhubani,3109.00,16.00,16.00,3425.00,16.00,16.00,0.00,16.00,16.00,18.00,16.00,16.00,81.00,16.00,16.00,13.00,16.00,16.00,12.00,16.00,16.00,136.00,16.00,16.00,6794.00,16.00,16.00
Munger,1613.00,10.40,10.40,1805.00,10.40,10.40,0.00,10.40,10.40,16.00,10.40,10.40,45.00,10.40,10.40,12.00,10.40,10.40,12.00,10.40,10.40,82.00,10.40,10.40,3585.00,10.40,10.40
Muzaffarpur,6045.00,25.22,25.22,6029.00,25.22,25.22,0.00,25.22,25.22,38.00,25.22,25.22,127.00,25.22,25.22,14.00,25.22,25.22,18.00,25.22,25.22,239.00,25.22,25.22,12510.00,25.22,25.22
Nalanda,3247.00,20.29,20.29,3004.00,20.29,20.29,0.00,20.29,20.29,22.00,20.29,20.29,70.00,20.29,20.29,13.00,20.29,20.29,12.00,20.29,20.29,116.00,20.29,20.29,6484.00,20.29,20.29
Nawada,1857.00,17.56,17.56,1576.00,17.56,17.56,0.00,17.56,17.56,18.00,17.56,17.56,45.00,17.56,17.56,13.00,17.56,17.56,14.00,17.56,17.56,79.00,17.56,17.56,3602.00,17.56,17.56
Pashchim Champaran,2940.00,21.54,21.54,3248.00,21.54,21.54,0.00,21.54,21.54,19.00,21.54,21.54,62.00,21.54,21.54,13.00,21.54,21.54,15.00,21.54,21.54,141.00,21.54,21.54,6438.00,21.54,21.54
Patna,7415.00,43.28,43.28,21429.00,43.28,43.28,0.00,43.28,43.28,148.00,43.28,43.28,410.00,43.28,43.28,45.00,43.28,43.28,48.00,43.28,43.28,441.00,43.28,43.28,29936.00,43.28,43.28
Purbi Champaran,4443.00,22.13,22.13,4262.00,22.13,22.13,0.00,22.13,22.13,24.00,22.13,22.13,84.00,22.13,22.13,13.00,22.13,22.13,14.00,22.13,22.13,216.00,22.13,22.13,9056.00,22.13,22.13
Purnia,2436.00,38.17,38.17,4105.00,38.17,38.17,0.00,38.17,38.17,22.00,38.17,38.17,70.00,38.17,38.17,11.00,38.17,38.17,12.00,38.17,38.17,171.00,38.17,38.17,6827.00,38.17,38.17
Rohtas,3229.00,19.32,19.32,3215.00,19.32,19.32,0.00,19.32,19.32,19.00,19.32,19.32,67.00,19.32,19.32,13.00,19.32,19.32,13.00,19.32,19.32,154.00,19.32,19.32,6710.00,19.32,19.32
Saharsa,1789.00,21.86,21.86,1357.00,21.86,21.86,0.00,21.86,21.86,16.00,21.86,21.86,31.00,21.86,21.86,11.00,21.86,21.86,12.00,21.86,21.86,32.00,21.86,21.86,3248.00,21.86,21.86
Samastipur,4192.00,21.36,21.36,4101.00,21.36,21.36,0.00,21.36,21.36,19.00,21.36,21.36,83.00,21.36,21.36,12.00,21.36,21.36,13.00,21.36,21.36,198.00,21.36,21.36,8618.00,21.36,21.36
Saran,3795.00,14.25,14.25,4124.00,14.25,14.25,0.00,14.25,14.25,19.00,14.25,14.25,71.00,14.25,14.25,12.00,14.25,14.25,12.00,14.25,14.25,215.00,14.25,14.25,8248.00,14.25,14.25
Sheikhpura,729.00,12.30,12.30,835.00,12.30,12.30,0.00,12.30,12.30,15.00,12.30,12.30,20.00,12.30,12.30,6.00,12.30,12.30,11.00,12.30,12.30,18.00,12.30,12.30,1634.00,12.30,12.30
Sheohar,582.00,12.58,12.58,587.00,12.58,12.58,0.00,12.58,12.58,13.00,12.58,12.58,13.00,12.58,12.58,1.00,12.58,12.58,1.00,12.58,12.58,11.00,12.58,12.58,1208.00,12.58,12.58
Sitamarhi,2158.00,19.59,19.59,2268.00,19.59,19.59,0.00,19.59,19.59,17.00,19.59,19.59,50.00,19.59,19.59,11.00,19.59,19.59,12.00,19.59,19.59,72.00,19.59,19.59,4588.00,19.59,19.59
Siwan,3698.00,17.35,17.35,3821.00,17.35,17.35,0.00,17.35,17.35,20.00,17.35,17.35,71.00,17.35,17.35,12.00,17.35,17.35,14.00,17.35,17.35,176.00,17.35,17.35,7812.00,17.35,17.35
Supaul,1739.00,16.73,16.73,1744.00,16.73,16.73,0.00,16.73,16.73,16.00,16.73,16.73,39.00,16.73,16.73,10.00,16.73,16.73,14.00,16.73,16.73,45.00,16.73,16.73,3607.00,16.73,16.73
Vaishali,7209.00,19.61,19.61,2234.00,19.61,19.61,0.00,19.61,19.61,24.00,19.61,19.61,80.00,19.61,19.61,11.00,19.61,19.61,14.00,19.61,19.61,174.00,19.61,19.61,9746.00,19.61,19.61
