district,crop_loan_t,a,pct,term_loan_water_resources_t,a,pct,farm_mechanisation_t,a,pct,plantation_and_horticulture_t,a,pct,forestry_and_wasteland_dev_t,a,pct,allied_advance_ah_dairy_t,a,pct,ah_poultry_t,a,pct,ah_sheep_goat_piggery_t,a,pct
Ganjam,4177.40,1937.50,46.38,81.18,16.00,19.71,391.27,196.60,50.25,225.10,60.68,26.96,20.01,44.23,221.02,405.70,169.03,41.66,500.75,206.06,41.15,289.52,96.25,33.24
Jagatsinghpur,1461.58,536.62,36.71,17.56,2.27,12.95,156.76,90.04,57.44,67.18,7.73,11.50,3.01,4.16,137.95,150.94,57.46,38.07,35.59,53.21,149.53,97.51,30.93,31.72
Jajpur,2853.04,1100.31,38.57,40.20,6.11,15.20,155.09,191.99,123.79,88.98,46.69,52.47,14.13,8.03,56.82,164.65,45.77,27.80,99.84,55.89,55.98,634.20,71.88,11.33
Jharsuguda,755.15,311.79,41.29,26.90,0.80,2.99,240.31,21.26,8.84,34.62,20.92,60.41,3.20,1.73,54.06,35.00,8.25,23.57,25.00,8.07,32.30,47.02,5.55,11.81
Kalahandi,2363.00,1010.01,42.74,18.08,4.08,22.55,130.35,104.66,80.29,266.43,87.83,32.96,6.67,4.21,63.07,40.26,20.53,50.99,34.71,19.44,56.01,10.45,14.81,141.70
Kandhamal,696.02,310.88,44.67,31.44,0.80,2.55,68.37,9.34,13.66,32.89,14.23,43.27,5.64,1.35,23.88,28.09,3.11,11.06,19.67,6.43,32.69,38.18,0.62,1.62
Kendrapara,2258.54,1065.27,47.17,52.02,2.87,5.52,126.78,106.50,84.00,58.11,25.66,44.15,5.93,5.84,98.48,131.60,18.87,14.34,79.02,18.84,23.84,96.79,16.52,17.07
Keonjhar,1797.78,616.59,34.30,4.25,1.58,37.17,8.34,70.20,842.18,2.82,8.87,314.87,0.57,4.21,742.70,44.53,22.10,49.63,261.46,33.44,12.79,25.35,14.36,56.65
Khordha,3178.65,3136.69,98.68,75.16,9.41,12.52,281.38,614.07,218.23,753.02,225.68,29.97,15.46,84.66,547.77,267.69,80.92,30.23,182.43,87.40,47.91,90.21,97.60,108.19
Koraput,1257.67,667.74,53.09,47.44,2.50,5.28,116.40,56.12,48.22,206.47,20.14,9.75,6.43,7.62,118.59,78.88,10.04,12.73,119.20,14.65,12.29,13.09,5.99,45.72
Malkangiri,423.60,302.70,71.46,12.33,1.52,12.32,24.67,14.55,58.96,31.17,18.49,59.34,4.78,2.62,54.73,39.55,4.88,12.35,10.93,3.89,35.56,4.87,5.37,110.32
Mayurbhanj,1910.26,752.94,39.42,67.28,1.60,2.37,174.52,127.61,73.12,82.70,11.19,13.53,7.91,3.87,48.97,143.05,28.82,20.15,71.20,40.78,57.27,136.69,26.72,19.55
Nabarangpur,951.27,532.62,55.99,29.78,1.73,5.79,60.29,25.07,41.59,27.28,35.05,128.50,4.77,3.11,65.15,106.67,12.08,11.32,11.69,13.67,117.01,8.37,4.14,49.53
Nayagarh,1654.53,744.82,45.02,28.03,3.85,13.74,93.40,69.58,74.49,185.04,37.21,20.11,0.85,5.53,654.84,78.81,53.25,67.57,60.55,49.76,82.19,16.04,18.09,112.79
Nuapada,639.93,331.37,51.78,48.02,0.59,1.23,75.49,23.89,31.65,35.05,13.88,39.59,12.50,0.77,6.19,42.92,56.85,132.44,32.19,77.43,240.50,92.00,11.79,12.82
Puri,2971.19,909.16,30.60,107.05,9.50,8.87,182.34,82.39,45.18,289.45,40.44,13.97,0.28,10.35,3692.52,36.37,108.71,298.90,45.22,122.94,271.89,9.63,54.45,565.33
Rayagada,868.55,467.96,53.88,21.93,1.72,7.85,24.25,19.87,81.96,22.01,5.55,25.22,5.92,2.15,36.31,23.62,95.33,403.64,38.71,116.65,301.32,16.71,24.02,143.75
Sambalpur,1956.11,738.68,37.76,55.61,2.07,3.73,160.90,70.67,43.92,149.02,11.58,7.77,12.46,6.43,51.62,71.04,67.07,94.42,55.32,74.73,135.07,202.45,40.38,19.95
Subarnapur,1287.28,581.80,45.20,18.30,1.93,10.55,127.05,29.65,23.34,35.08,9.19,26.20,10.49,2.77,26.44,57.09,21.95,38.46,47.83,30.23,63.20,16.55,17.35,104.79
Sundargarh,2840.39,1061.65,37.38,107.06,0.65,0.61,476.63,58.63,12.30,133.51,85.12,63.75,49.87,7.57,15.17,92.56,28.55,30.85,81.48,31.04,38.09,29.25,21.77,74.43
