district,allied_advance_fishery_t,a,pct,farm_credit_others_t,a,pct,total_farm_credit_t,a,pct,agriculture_infrastructure_storage_facilities_t,a,pct,"land_dev,_soil_conservation,_watershed_dev_t",a,pct,others_t,a,pct,total_agri_infra_t,a,pct
Koraput,45.81,11.45,24.99,29.25,45.14,154.32,1920.64,841.38,43.81,106.00,0.67,0.64,8.93,6.98,78.17,0.00,0.62,,114.93,8.27,7.20
Malkangiri,35.87,3.42,9.54,0.64,9.38,1470.73,588.42,366.82,62.34,57.72,5.82,10.08,11.36,0.75,6.63,0.00,0.02,,69.08,6.59,9.54
Mayurbhanj,68.88,15.83,22.98,26.08,13.73,52.64,2688.56,1023.09,38.05,44.10,27.54,62.45,11.19,2.99,26.72,19.99,11.90,59.53,75.28,42.43,56.36
Nabarangpur,29.11,7.06,24.23,2.35,26.92,1143.69,1231.57,661.45,53.71,44.53,5.84,13.11,6.30,2.22,35.23,1.55,22.08,1424.53,52.39,30.14,57.53
Nayagarh,14.12,23.13,163.75,2.64,43.24,1635.95,2134.01,1048.47,49.13,12.16,32.49,267.08,10.90,10.05,92.22,1.28,0.66,52.02,24.34,43.20,177.50
Nuapada,19.28,29.95,155.33,2.95,5.25,178.28,1000.33,551.76,55.16,52.06,0.37,0.71,6.59,1.52,23.06,2.30,0.00,0.00,60.95,1.89,3.10
Puri,203.26,99.22,48.81,1.49,32.85,2200.44,3846.28,1470.00,38.22,34.92,25.63,73.42,392.63,10.76,2.74,91.17,8.37,9.18,518.71,44.76,8.63
Rayagada,19.71,48.95,248.34,5.91,17.44,295.29,1047.32,799.66,76.35,20.64,8.16,39.54,11.22,1.22,10.92,2.18,0.16,7.23,34.04,9.54,28.04
Sambalpur,56.37,33.53,59.48,165.96,18.90,11.39,2885.23,1064.04,36.88,39.97,31.98,80.01,28.96,4.87,16.83,6.05,14.30,236.38,74.98,51.15,68.22
Subarnapur,24.38,7.06,28.94,11.30,5.87,51.91,1635.35,707.81,43.28,63.75,13.35,20.95,5.66,6.64,117.30,3.96,0.02,0.51,73.37,20.01,27.28
Sundargarh,35.25,24.51,69.53,57.10,8.70,15.23,3903.10,1328.18,34.03,83.34,23.73,28.47,29.59,2.27,7.67,8.60,25.11,292.13,121.53,51.11,42.05
