district,export_credit_t,a,pct,education_t,a,pct,housing_t,a,pct,renewable_energy_t,a,pct,others_t,a,pct,social_infra_t,a,pct,total_t,a,pct
Jharsuguda,5.10,0.68,13.33,20.06,5.25,26.18,183.43,27.04,14.74,19.00,2.13,11.20,101.50,38.46,37.89,82.87,0.96,1.16,6000.59,3026.90,50.44
Kalahandi,15.30,2.26,14.76,11.39,3.51,30.81,186.07,36.72,19.74,7.57,5.38,71.04,171.50,44.90,26.18,68.85,1.13,1.64,5481.49,2682.81,48.94
Kandhamal,2.55,0.00,0.00,9.89,1.52,15.33,38.35,6.37,16.62,1.31,0.52,39.46,122.40,20.21,16.51,3.40,0.57,16.75,1796.99,660.72,36.77
Kendrapara,7.65,0.97,12.68,11.22,7.24,64.54,48.45,29.32,60.52,6.32,2.38,37.68,823.12,125.45,15.24,59.93,2.70,4.51,5399.35,2371.57,43.92
Keonjhar,2.55,19.44,762.20,13.12,8.09,61.64,107.10,29.48,27.53,2.52,4.55,180.41,571.88,217.85,38.09,35.83,4.73,13.19,6527.46,3433.43,52.60
Khordha,6757.50,1109.39,16.42,335.75,141.29,42.08,2116.50,369.05,17.44,26.86,108.85,405.25,2333.10,318.76,13.66,95.88,83.21,86.78,53088.74,27195.91,51.23
Koraput,2.17,0.04,1.94,42.53,5.77,13.56,165.91,28.38,17.11,27.81,1.28,4.62,278.26,58.77,21.12,166.66,0.01,0.00,6000.24,2542.41,42.37
Malkangiri,2.55,0.00,0.00,5.95,0.64,10.68,41.23,3.05,7.40,0.49,0.41,82.57,94.02,26.38,28.06,39.44,0.04,0.10,1136.10,638.44,56.20
Mayurbhanj,28.05,0.00,0.00,59.50,7.33,12.32,274.23,38.17,13.92,4.02,7.29,181.32,944.00,250.56,26.54,23.72,2.14,9.02,6593.24,2770.31,42.02
Nabarangpur,2.55,0.00,0.00,6.38,1.49,23.30,47.94,7.21,15.03,0.24,1.07,449.27,124.90,55.43,44.38,2.64,4.16,158.01,2243.88,1187.00,52.90
Nayagarh,0.00,0.00,,4.60,5.89,128.00,420.43,30.87,7.34,0.20,4.49,2199.62,717.03,111.69,15.58,6.87,2.16,31.41,4541.43,1866.55,41.10
Nuapada,2.55,0.00,0.00,9.01,1.47,16.32,67.95,10.93,16.08,5.26,3.83,72.87,125.00,27.88,22.30,15.30,0.22,1.41,1852.81,865.96,46.74
Puri,8.22,13.12,159.66,24.24,10.11,41.72,115.80,52.56,45.39,2.81,4.74,168.99,641.76,245.33,38.23,49.68,2.74,5.51,7828.77,3057.29,39.05
Rayagada,0.00,0.01,,22.10,4.94,22.35,97.19,23.14,23.81,12.57,2.51,19.94,187.37,30.89,16.49,20.57,0.03,0.15,3171.71,1547.09,48.78
Sambalpur,10.20,4.20,41.21,56.10,16.32,29.09,268.60,54.45,20.27,50.28,7.01,13.95,414.86,63.52,15.31,145.35,1.65,1.14,7887.72,3715.74,47.11
Subarnapur,5.10,0.00,0.00,15.73,1.43,9.10,82.11,10.37,12.63,9.48,2.83,29.87,139.20,33.87,24.34,41.74,0.06,0.15,2890.03,1193.27,41.29
Sundargarh,201.45,615.40,305.49,69.27,22.33,32.23,426.09,51.96,12.20,12.14,62.93,518.16,369.06,76.59,20.75,1139.92,1.48,0.13,24417.20,10257.72,42.01
