District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no
Kheri,694257.0,436498.0,1130755.0,1016593.0,307.79,67020.0,683717.0,941377.0,92.6
Kushi Nagar,644427.0,202966.0,847393.0,774212.0,207.7,157379.0,593831.0,615247.0,79.47
Lalitpur,331691.0,126706.0,458397.0,424693.0,87.93,47706.0,397192.0,344696.0,81.16
Lucknow,357643.0,870946.0,1228589.0,1141227.0,571.69,163657.0,982195.0,905480.0,79.34
Mahoba,114667.0,116286.0,230953.0,213685.0,105.16,6878.0,184914.0,182989.0,85.63
Mainpuri,299415.0,487482.0,786897.0,703482.0,167.0,142608.0,658888.0,556102.0,79.05
Mathura,311236.0,355105.0,666341.0,611597.0,191.38,95475.0,563006.0,485405.0,79.37
Mau,669289.0,278347.0,947636.0,833688.0,264.36,221091.0,622575.0,726776.0,87.18
Meerut,396257.0,497395.0,893652.0,820587.0,309.7,110925.0,759876.0,658470.0,80.24
Mirzapur,467898.0,242757.0,710655.0,649102.0,258.67,40009.0,505205.0,572487.0,88.2
Moradabad,323850.0,512395.0,836245.0,789958.0,272.86,86481.0,712363.0,646629.0,81.86
Muzaffarnagar,434876.0,383641.0,818517.0,761748.0,262.4,71480.0,712920.0,590750.0,77.55
Pilibhit,448061.0,278601.0,726662.0,691740.0,191.31,64075.0,657751.0,609065.0,88.05
Pratapgarh,928955.0,142524.0,1071479.0,987900.0,462.57,84666.0,764688.0,861280.0,87.18
Prayagraj,1353773.0,747760.0,2101533.0,1961361.0,734.3,190898.0,1900810.0,1631463.0,83.18
Rampur,254078.0,285770.0,539848.0,515101.0,188.41,38566.0,463841.0,419360.0,81.41
Saharanpur,576918.0,573530.0,1150448.0,1076129.0,318.17,167544.0,969086.0,859702.0,79.89
Sambhal,346976.0,207937.0,554913.0,518889.0,137.81,66180.0,455493.0,370362.0,71.38
Sant Kabeer Nagar,356403.0,109157.0,465560.0,426032.0,121.96,62931.0,363598.0,327093.0,76.78
Shahjahanpur,691356.0,499513.0,1190869.0,1131312.0,300.2,97836.0,1128285.0,968934.0,85.65
Shamli,117991.0,25886.0,143877.0,135456.0,50.38,9791.0,125607.0,95902.0,70.8
Shravasti,117413.0,74072.0,191485.0,171959.0,100.52,7022.0,122377.0,148577.0,86.4
Sitapur,590471.0,544349.0,1134820.0,1061227.0,347.41,160329.0,732433.0,895999.0,84.43
Sonbhadra,314311.0,150518.0,464829.0,415756.0,164.04,35281.0,318986.0,375051.0,90.21
Sultanpur,1003029.0,134638.0,1137667.0,1064781.0,544.45,73629.0,1041150.0,968761.0,90.98
Unnao,427737.0,260046.0,687783.0,643646.0,292.69,77502.0,603297.0,520118.0,80.81
Varanasi,662411.0,550212.0,1212623.0,1096581.0,540.94,201808.0,986414.0,905603.0,82.58
