state,name,kind,url_or_host,evidence
sikkim,Sikkim,wayback_latest,https://web.archive.org/web/20250502091613/https://onlineslbcne.nic.in/,wayback.json:latest 2025-05-02
sikkim,Sikkim,wayback_cdx_host,onlineslbcne.nic.in,snapshots=71 span=2015-09-25..2025-05-02
tamil-nadu,Tamil Nadu,live_portal,https://slbctn.com,indicator-sources.ts
tamil-nadu,Tamil Nadu,wayback_latest,https://web.archive.org/web/20260105070120/https://www.slbctn.com/,wayback.json:latest 2026-01-05
tamil-nadu,Tamil Nadu,wayback_cdx_host,slbctn.com,snapshots=0 span=None..None
telangana,Telangana,live_portal,https://telanganaslbc.com,indicator-sources.ts
telangana,Telangana,wayback_latest,https://web.archive.org/web/20251206195243/https://telanganaslbc.com/,wayback.json:latest 2025-12-06
telangana,Telangana,wayback_cdx_host,telanganaslbc.com,snapshots=0 span=None..None
tripura,Tripura,live_portal,https://slbctripura.pnb.bank.in/Back_Paper_Quarterly.asp,indicator-sources.ts
tripura,Tripura,live_alias,https://slbctripura.pnb.in,indicator-sources.ts:aliasUrls
tripura,Tripura,wayback_cdx_host,slbctripura.pnb.bank.in,snapshots=0 span=None..None
tripura,Tripura,wayback_cdx_host,slbctripura.pnb.in,snapshots=0 span=None..None
uttar-pradesh,Uttar Pradesh,live_portal,https://slbcup.com,indicator-sources.ts
uttar-pradesh,Uttar Pradesh,wayback_latest,https://web.archive.org/web/20250619113729/http://slbcup.com/,wayback.json:latest 2025-06-19
uttar-pradesh,Uttar Pradesh,wayback_cdx_host,slbcup.com,snapshots=0 span=None..None
uttarakhand,Uttarakhand,live_portal,https://slbcuttarakhand.com,indicator-sources.ts
uttarakhand,Uttarakhand,wayback_latest,https://web.archive.org/web/20250713204038/http://slbcuttarakhand.com/,wayback.json:latest 2025-07-13
uttarakhand,Uttarakhand,wayback_cdx_host,slbcuttarakhand.com,snapshots=0 span=None..None
west-bengal,West Bengal,live_portal,https://slbcwb.com,indicator-sources.ts
west-bengal,West Bengal,wayback_cdx_host,slbcwb.com,snapshots=0 span=None..None
