table_id,state,category,check,n_checked,n_fail,fail_rate,err_ub95,examples
ladakh__credit_deposit_ratio,ladakh,credit_deposit_ratio,ratio,2,0,0.0,65.8,
madhya-pradesh__credit_deposit_ratio,madhya-pradesh,credit_deposit_ratio,ratio,794,0,0.0,0.5,
maharashtra__cd_ratio_detailed,maharashtra,cd_ratio_detailed,dep_area_sum,64,0,0.0,5.7,
maharashtra__cd_ratio_detailed,maharashtra,cd_ratio_detailed,ratio,36,0,0.0,9.6,
maharashtra__credit_deposit_ratio,maharashtra,credit_deposit_ratio,ratio,108,0,0.0,3.4,
manipur__cdr_details,manipur,cdr_details,adv_area_sum,358,0,0.0,1.1,
manipur__cdr_details,manipur,cdr_details,dep_area_sum,368,0,0.0,1.0,
manipur__credit_deposit_ratio,manipur,credit_deposit_ratio,adv_area_sum,358,0,0.0,1.1,
manipur__credit_deposit_ratio,manipur,credit_deposit_ratio,dep_area_sum,368,0,0.0,1.0,
manipur__credit_deposit_ratio,manipur,credit_deposit_ratio,ratio,384,0,0.0,1.0,
meghalaya__cdr_details,meghalaya,cdr_details,adv_area_sum,268,0,0.0,1.4,
meghalaya__cdr_details,meghalaya,cdr_details,dep_area_sum,268,0,0.0,1.4,
meghalaya__credit_deposit_ratio,meghalaya,credit_deposit_ratio,adv_area_sum,268,0,0.0,1.4,
meghalaya__credit_deposit_ratio,meghalaya,credit_deposit_ratio,dep_area_sum,268,0,0.0,1.4,
meghalaya__credit_deposit_ratio,meghalaya,credit_deposit_ratio,ratio,268,0,0.0,1.4,
mizoram__cdr_details,mizoram,cdr_details,adv_area_sum,253,0,0.0,1.5,
mizoram__cdr_details,mizoram,cdr_details,dep_area_sum,253,0,0.0,1.5,
mizoram__credit_deposit_ratio,mizoram,credit_deposit_ratio,adv_area_sum,253,0,0.0,1.5,
mizoram__credit_deposit_ratio,mizoram,credit_deposit_ratio,dep_area_sum,253,0,0.0,1.5,
mizoram__credit_deposit_ratio,mizoram,credit_deposit_ratio,ratio,253,0,0.0,1.5,
nagaland__credit_deposit_ratio,nagaland,credit_deposit_ratio,adv_area_sum,16,0,0.0,19.4,
nagaland__credit_deposit_ratio,nagaland,credit_deposit_ratio,dep_area_sum,16,0,0.0,19.4,
nagaland__credit_deposit_ratio,nagaland,credit_deposit_ratio,ratio,38,0,0.0,9.2,
rajasthan__credit_deposit_ratio,rajasthan,credit_deposit_ratio,ratio,178,0,0.0,2.1,
tamil-nadu__cd_ratio,tamil-nadu,cd_ratio,ratio,76,0,0.0,4.8,
telangana__credit_deposit_ratio,telangana,credit_deposit_ratio,ratio,1092,0,0.0,0.4,
tripura__credit_deposit_ratio,tripura,credit_deposit_ratio,ratio,240,11,4.6,8.0,Unakoti June 2023: adv/dep=58.5 vs cdr=66.0 | South Tripura June 2023: adv/dep=66.5 vs cdr=61.0 | Gomati June 2023: adv/dep=66.7 vs cdr=63.0
uttar-pradesh__credit_deposit_ratio,uttar-pradesh,credit_deposit_ratio,ratio,144,10,6.9,12.3,Pilibhit September 2022: adv/dep=1.6 vs cdr=4603.2 | Fatehpur December 2022: adv/dep=0.5 vs cdr=46.3 | Mau December 2022: adv/dep=1.0 vs cdr=34.0
uttarakhand__credit_deposit_ratio,uttarakhand,credit_deposit_ratio,ratio,26,13,50.0,67.9,Dehradun March 2021: adv/dep=0.4 vs cdr=38.0 | Uttarkashi March 2021: adv/dep=0.4 vs cdr=44.0 | Haridwar March 2021: adv/dep=0.8 vs cdr=75.0
