district,allied_advance_fishery_t,a,pct,others_t,a,pct,total_farm_credit_t,a,pct,agriculture_infrastructure_storage_facilities_t,a,pct,"land_dev,_soil_conservation,_watershed_dev_t",a,pct,others_t,a,pct,total_agri_infra_t,a,pct
Kendrapara,126.20,16.95,13.43,3.22,2.34,72.61,2594.04,1359.66,52.41,14.16,3.60,25.40,10.50,21.98,209.32,3.72,0.09,2.43,28.38,25.66,90.44
Keonjhar,40.57,24.31,59.92,1.23,5.52,450.72,2083.04,850.51,40.83,133.06,35.40,26.61,6.84,4.21,61.52,1.16,0.28,23.83,141.06,39.89,28.28
Khordha,179.84,84.74,47.12,19.18,88.75,462.75,4135.78,2623.09,63.42,186.99,57.64,30.83,35.70,47.71,133.66,54.80,126.20,230.31,277.48,231.56,83.45
Koraput,147.31,5.63,3.82,0.00,8.79,,1911.04,719.23,37.64,216.07,5.13,2.38,11.30,13.35,118.08,3.24,0.00,0.00,230.62,18.48,8.01
Malkangiri,22.40,1.69,7.53,0.57,1.43,252.26,537.93,275.96,51.30,20.82,0.32,1.54,8.44,1.28,15.18,0.57,0.03,6.08,29.83,1.64,5.49
Mayurbhanj,50.96,25.27,49.59,16.68,2.98,17.88,2350.05,1059.24,45.07,33.88,15.81,46.66,8.30,1.91,23.00,14.66,0.93,6.33,56.84,18.64,32.80
Nabarangpur,19.67,5.23,26.61,2.09,3.71,177.41,1167.41,518.05,44.38,11.01,2.57,23.30,8.25,2.08,25.21,1.15,0.03,2.40,20.41,4.67,22.90
Nayagarh,13.94,46.72,335.11,1.76,9.39,532.42,1976.19,1183.41,59.88,12.93,4.71,36.43,10.84,14.26,131.54,2.48,1.62,65.51,26.24,20.59,78.45
Nuapada,7.08,33.00,466.38,1.63,1.61,98.37,715.47,486.60,68.01,14.79,1.66,11.20,4.25,2.58,60.62,1.34,0.45,33.80,20.39,4.69,23.00
Puri,124.69,142.34,114.16,4.23,4.25,100.44,2533.65,1726.46,68.14,65.65,13.57,20.67,11.77,6.88,58.42,60.02,1.25,2.08,137.44,21.69,15.78
Rayagada,28.97,52.90,182.63,8.69,2.78,31.96,1034.72,785.15,75.88,32.08,8.73,27.22,16.16,1.75,10.85,3.39,0.22,6.36,51.63,10.70,20.73
Sambalpur,52.40,41.24,78.70,1.66,23.18,1397.83,2414.89,991.59,41.06,46.47,18.78,40.41,28.38,4.44,15.63,16.30,6.24,38.25,91.15,29.45,32.31
Subarnapur,14.19,6.58,46.38,2.39,1.70,71.25,1213.23,634.66,52.31,38.98,5.02,12.88,3.29,2.60,78.85,2.55,1.74,68.47,44.82,9.36,20.89
Sundargarh,26.08,14.86,56.98,2.23,5.25,235.08,3579.68,1288.11,35.98,111.26,17.67,15.88,20.49,5.03,24.53,13.90,0.66,4.75,145.65,23.35,16.03
