district,export_credit_t,a,pct,education_t,a,pct,housing_t,a,pct,renewable_energy_t,a,pct,others_t,a,pct,social_infra_t,a,pct,total_t,a,pct
Khordha,6315.58,248.86,3.94,430.30,71.56,16.63,1510.79,190.10,12.58,34.56,34.73,100.48,3752.48,724.16,19.30,887.04,27.65,3.12,50909.60,22341.84,43.89
Koraput,1.12,0.00,0.00,39.85,4.45,11.17,169.98,43.90,25.83,31.21,0.00,0.00,226.25,49.92,22.06,131.15,0.33,0.25,5900.02,2216.88,37.57
Malkangiri,5.20,0.00,0.00,2.15,0.20,9.26,48.02,3.49,7.27,0.07,0.00,0.00,87.36,25.88,29.63,59.07,0.01,0.02,1044.21,513.68,49.19
Mayurbhanj,22.44,0.00,0.00,51.88,4.30,8.29,199.65,30.92,15.49,3.59,0.45,12.56,925.57,291.19,31.46,22.47,0.62,2.77,5788.23,2511.10,43.38
Nabarangpur,2.46,0.00,0.00,22.36,0.84,3.77,55.45,16.64,30.01,3.79,0.00,0.00,115.99,32.47,27.99,53.84,2.02,3.75,1970.39,1045.39,53.05
Nayagarh,25.00,0.00,0.00,11.63,3.01,25.85,219.56,30.27,13.79,1.21,0.00,0.00,282.67,152.50,53.95,48.12,0.88,1.82,3790.01,1945.47,51.33
Nuapada,4.25,0.00,0.00,7.65,0.86,11.28,80.20,6.45,8.04,3.23,0.00,0.00,75.85,17.42,22.96,47.50,0.39,0.83,1454.75,769.18,52.87
Puri,6.12,7.00,114.38,22.81,13.24,58.02,157.63,40.24,25.53,1.39,0.10,7.19,556.95,295.82,53.11,67.84,0.14,0.21,6270.47,3309.54,52.78
Rayagada,2.00,0.00,0.00,19.59,2.26,11.56,179.41,24.98,13.92,6.71,0.02,0.28,89.33,28.92,32.37,57.27,1.42,2.47,2639.88,1508.94,57.16
Sambalpur,27.30,0.00,0.00,77.55,11.99,15.46,219.40,32.99,15.04,3.25,0.02,0.50,187.37,108.06,57.67,192.46,5.21,2.71,6584.68,3186.35,48.39
Subarnapur,5.10,0.00,0.00,10.34,1.92,18.61,74.70,16.97,22.72,1.90,0.00,0.00,56.83,13.04,22.94,40.25,0.11,0.27,2314.90,995.75,43.01
Sundargarh,550.00,1038.96,188.90,65.52,17.07,26.05,432.73,29.05,6.71,21.48,0.00,0.00,481.62,61.17,12.70,90.33,0.11,0.12,15328.49,9773.98,63.76
