district,Lending Number of Muslim,Lending Amount of Muslim,Outstanding Number of Muslim,Outstanding Amount of Muslim,Lending Number of Christian,Lending Amount of Chriatian,Outstanding Number of Christian,Outstanding Amount of Christian,Lending Number of Sikh,Lending Amount of Sikh,Outstanding Number of Sikh,Outstanding Amount of Sikh,Lending Number of Budhist,Lending Amount of Budhist,Outstanding Number of Budhist,Outstanding Amount of Budhist,Lending Number of Zoroastrian,Lending Amount of Zoroastrian,Outstanding Number of Zoroastrian,Outstanding Amount of Zoroastrian,Lending Number of Jain,Lending Amount of Jain,Outstanding Number of Jain,Outstanding Amount of Jain,Total Lending No,Total Lending Amt,Total Outstanding No,Total Outstanding Amt
Dibrugarh,1693,1902.59,34699,76024.02,859,2407.64,5524,14964.02,90,222.4,841,8769.09,42,42.02,693,884.01,6,18.12,94,130.68,60,315.6,2376,17764.45,2750,4908.37,44227,118536.27
Dima Hasao,33,111.24,667,773.05,153,410.96,1826,3491.59,2,4,30,51.16,0,0,48,50.65,0,0,0,0,0,0,0,0,188,526.2,2571,4366.45
Goalpara,3025,3064.92,44384,29834.29,2099,1866.13,7807,5346.51,2,1.4,35,42.31,18,17.38,48,36.92,0,0,13,29.38,8,8.43,29,51.15,5152,4958.26,52316,35340.56
Golaghat,2084,1787.98,34590,40137.74,970,625.49,5797,6661.72,36,88.39,379,1060.31,78,77.33,477,375.08,1,0.7,47,92.36,10,94.92,167,9437.36,3179,2674.81,41457,57764.57
Hailakandi,1800,2300.88,53933,35335.5,75,499.81,560,670.83,13,47.21,110,180.96,7,13.73,53,91.76,0,0,15,47.16,6,0.45,29,188.68,1901,2862.08,54700,36514.89
Hojai,750,907.82,41201,29192.76,79,71.56,566,484.73,4,4.46,92,106.77,0,0,6,5.79,0,0,13,43.57,1,0,13,42,834,983.84,41891,29875.62
Jorhat,1873,2111.39,28575,59621.12,1194,3985.81,4076,8347.51,63,248.83,444,3852.14,53,68.19,377,920.02,0,0,63,108.06,135,1651.61,603,7462.86,3318,8065.83,34138,80311.71
Kamrup Metro,11562,9969.34,135217,76122.39,689,558.77,3132,2376.31,11,75.54,293,2001.3,32,24.79,157,145.7,0,0,11,19.94,6,16.43,61,817.07,12300,10644.87,138871,81482.71
Karbi Anglong,137,178.32,5213,7282.09,1683,804.4,4568,3035.31,26,16.62,111,104.36,5,9.11,71,145.85,1,42.24,1,42.14,3,21,5,41.18,1855,1071.69,9969,10650.93
Karimganj,5082,3720.13,81346,47472.8,607,499.84,1430,1244.49,6,10.84,131,319.5,6,7.51,29,20.81,0,0,18,47.16,1,0.6,24,153.11,5702,4238.92,82978,49257.87
Kokrajhar,439,619.26,13575,11476.92,81,206.84,5942,3391.71,4,21.46,68,137.74,12,43.36,59,183.14,0,0,5,4.01,2,4.8,22,163.86,538,895.72,19671,15357.38
Lakhimpur,2750,2017.52,46310,27377.57,493,371.75,2751,1939.59,33,59.54,292,1003.55,13,23.16,144,209.1,1,1.2,78,74.93,1,0,212,3263.95,3291,2473.17,49787,33868.69
Majuli,61,50.44,1290,751.66,102,59.63,70,121.13,0,0,0,0,0,0,4,7.28,0,0,3,9.02,0,0,3,9,163,110.07,1370,898.09
Morigaon,4962,4232.95,86738,41407.25,195,250.21,772,1261.22,4,8,90,142,6,15.33,44,59.23,0,0,22,54.27,1,6,19,49.5,5168,4512.49,87685,42973.47
Nagaon,19265,12719.13,208898,222601.9,380,2859.58,1791,10129.05,29,67.26,406,836.85,3,1.05,55,54.73,0,0,25,71.71,13,1822.17,101,1958,19690,17469.19,211276,235652.24
Nalbari,4656,2982.14,47195,25471.67,30,45.36,250,530.76,3,4.65,55,74.55,11,4,82,26.02,0,0,14,28.28,2,30.6,41,247.16,4702,3066.75,47637,26378.44
Sivasagar,2584,4777.97,34281,22115.09,385,355.58,1753,1423.29,21,47.28,237,338.11,91,94.69,293,335.54,0,0,55,89.49,19,65.13,264,2270.77,3100,5340.65,36883,26572.29
Sonitpur,6279,5140.5,87670,252093.81,1061,6811.39,4283,20080.31,24,137.81,253,718.04,55,4242.82,266,454.25,23,13.82,69,73.77,14,53.69,71,1064.75,7456,16400.03,92612,274484.93
South Salmara,232,224.73,4007,6628.77,61,368.58,173,760.97,8,35.3,40,98.07,14,55.41,48,97.69,0,0,1,0.22,0,0,0,0,315,684.02,4269,7585.72
Tinsukia,1179,1067.07,22553,53895.49,863,15667.56,2893,80511.02,64,317.31,394,6126.31,251,6361.36,894,1368.49,6,10.09,66,113.04,49,667.37,992,1997.59,2412,24090.76,27792,144011.94
Udalguri,285,215.41,12492,11329.7,817,614.99,7454,9153.95,3,18.98,56,69.53,0,0,12,12.06,0,0,8,4.49,1,0.35,4,0.71,1106,849.73,20026,20570.44
West Karbi Anglong,1,1.27,75,125.8,4,11.51,178,230.6,0,0,5,1.54,0,0,2,0.86,0,0,0,0,0,0,0,0,5,12.78,260,358.8
