period,district,advance,as_on_30_06_2021,as_on_30_06_2022,as_on_30_09_2019,as_on_30_09_2021,as_on_30_09_2022,as_on_31_03_2020,as_on_31_03_2021,as_on_31_03_2022,as_on_31_12_2019,as_on_31_12_2021,cd_ratio,cd_ratio_as_on_december_2022,cd_ratio_as_on_december_2023_deposit,cd_ratio_as_on_june_2023,cd_ratio_as_on_june_2024,cd_ratio_as_on_june_2024_deposit,cd_ratio_as_on_june_2025_deposit,cd_ratio_as_on_march_2023,cd_ratio_as_on_sept_2018,cd_ratio_as_on_sept_2019_deposit,fy_2020_21_no_of_flc_camps_conducted,fy_2021_22_no_of_flc_camps_conducted,fy_2022_23_upto_dec_22_no_of_flc_camps_conducted,no_of_beneficiary_attended,no_of_flcs_in_district
March 2021,Murshidabad,,,,,,,53.75,42.62,,,,,,,,,,,,,,,,,,
March 2021,Paschim Medinipur,,,,,,,47.3,43.37,,,,,,,,,,,,,,,,,,
March 2021,Purba Medinipur,,,,,,,43.62,42.65,,,,,,,,,,,,,,,,,,
March 2021,South 24 Parganas,,,,,,,45.63,44.44,,,,,,,,,,,,,,,,,,
March 2022,Alipurduar,,,,,,,,,47.64,,49.1,,,,,,,,,,,,,,,
March 2022,Bankura,,,,,,,,,49.25,,46.13,,,,,,,,,,,,,,,
March 2022,Birbhum,,,,,,,,,49.99,,44.35,,,,,,,,,,,,,,,
March 2022,Cooch Behar,,,,,,,,,79.49,,75.51,,,,,,,,,,,,,,,
March 2022,Dakshin Dinajpur,,,,,,,,,61.85,,61.29,,,,,,,,,,,,,,,
March 2022,Darjeeling,,,,,,,,,57.59,,57.26,,,,,,,,,,,,,,,
March 2022,Hooghly,,,,,,,,,36.26,,34.45,,,,,,,,,,,,,,,
March 2022,Howrah,,,,,,,,,46.26,,44.8,,,,,,,,,,,,,,,
March 2022,Jalpaiguri,,,,,,,,,63.33,,59.19,,,,,,,,,,,,,,,
March 2022,Jhargram,,,,,,,,,40.92,,40.02,,,,,,,,,,,,,,,
March 2022,Kalimpong,,,,,,,,,44.6,,40.47,,,,,,,,,,,,,,,
March 2022,Kolkata,,,,,,,,,61.61,,59.17,,,,,,,,,,,,,,,
March 2022,Malda,,,,,,,,,57.31,,56.73,,,,,,,,,,,,,,,
March 2022,Murshidabad,,,,,,,,,44.02,,42.85,,,,,,,,,,,,,,,
March 2022,Nadia,,,,,,,,,50.25,,50.16,,,,,,,,,,,,,,,
March 2022,North 24 Parganas,,,,,,,,,40.29,,40.26,,,,,,,,,,,,,,,
March 2022,Paschim Bardhaman,,,,,,,,,42.58,,42.48,,,,,,,,,,,,,,,
March 2022,Paschim Medinipur,,,,,,,,,46.95,,45.55,,,,,,,,,,,,,,,
March 2022,Purba Bardhaman,,,,,,,,,51.28,,49.31,,,,,,,,,,,,,,,
March 2022,Purba Medinipur,,,,,,,,,45.83,,45.69,,,,,,,,,,,,,,,
March 2022,Purulia,,,,,,,,,48.61,,48.02,,,,,,,,,,,,,,,
March 2022,South 24 Parganas,,,,,,,,,45.01,,44.76,,,,,,,,,,,,,,,
March 2022,Uttar Dinajpur,,,,,,,,,60.6,,59.92,,,,,,,,,,,,,,,
March 2023,Alipurduar,,,,,,,,,,,,,62.15,,,,,,63.23,,,,,,,
March 2023,Bankura,,,,,,,,,,,,,51.82,,,,,,52.4,,,,,,,
March 2023,Birbhum,,,,,,,,,,,,,48.31,,,,,,47.59,,,,,,,
March 2023,Cooch Behar,,,,,,,,,,,,,75.6,,,,,,79.37,,,,,,,
March 2023,Dakshin Dinajpur,,,,,,,,,,,,,62.67,,,,,,62.23,,,,,,,
March 2023,Darjeeling,,,,,,,,,,,,,62.08,,,,,,65.19,,,,,,,
March 2023,Hooghly,,,,,,,,,,,,,41.31,,,,,,41.9,,,,,,,
March 2023,Howrah,,,,,,,,,,,,,47.79,,,,,,49.33,,,,,,,
March 2023,Jalpaiguri,,,,,,,,,,,,,60.27,,,,,,68.7,,,,,,,
March 2023,Jhargram,,,,,,,,,,,,,41.22,,,,,,42.19,,,,,,,
March 2023,Kalimpong,,,,,,,,,,,,,46.97,,,,,,50.54,,,,,,,
March 2023,Kolkata,,,,,,,,,,,,,64.15,,,,,,64.15,,,,,,,
March 2023,Malda,,,,,,,,,,,,,59.45,,,,,,60.43,,,,,,,
March 2023,Murshidabad,,,,,,,,,,,,,49.02,,,,,,52.27,,,,,,,
March 2023,Nadia,,,,,,,,,,,,,49.8,,,,,,50.02,,,,,,,
March 2023,North 24 Parganas,,,,,,,,,,,,,41.53,,,,,,42.59,,,,,,,
March 2023,Paschim Bardhaman,,,,,,,,,,,,,41.1,,,,,,46.31,,,,,,,
March 2023,Purba Bardhaman,,,,,,,,,,,,,51.48,,,,,,51.89,,,,,,,
March 2023,Purba Medinipur,,,,,,,,,,,,,47.37,,,,,,47.39,,,,,,,
March 2023,Purulia,,,,,,,,,,,,,48.72,,,,,,48.84,,,,,,,
March 2023,South 24 Parganas,,,,,,,,,,,,,46.04,,,,,,46.26,,,,,,,
March 2023,Uttar Dinajpur,,,,,,,,,,,,,60.99,,,,,,61.17,,,,,,,
September 2019,Alipurduar,1882.89,,,,,,,,,,,40.59,,,,,,,,42.96,4638.31,,,,,
September 2019,Bankura,4364.0,,,,,,,,,,,42.55,,,,,,,,42.76,10256.0,,,,,
September 2019,Birbhum,5932.39,,,,,,,,,,,40.13,,,,,,,,42.74,14783.63,,,,,
September 2019,Cooch Behar,5240.16,,,,,,,,,,,66.93,,,,,,,,42.5,7829.57,,,,,
September 2019,Dakshin Dinajpur,2248.31,,,,,,,,,,,53.13,,,,,,,,46.72,4231.33,,,,,
September 2019,Darjeeling,8888.23,,,,,,,,,,,57.4,,,,,,,,43.28,15484.68,,,,,
September 2019,Hooghly,12685.83,,,,,,,,,,,29.69,,,,,,,,37.73,42727.08,,,,,
September 2019,Howrah,15850.55,,,,,,,,,,,43.65,,,,,,,,41.54,36313.91,,,,,
September 2019,Jalpaiguri,4981.4,,,,,,,,,,,43.06,,,,,,,,36.15,11568.93,,,,,
September 2019,Jhargram,1461.5,,,,,,,,,,,40.87,,,,,,,,43.84,3575.91,,,,,
September 2019,Kalimpong,480.81,,,,,,,,,,,32.28,,,,,,,,40.2,1489.3,,,,,
September 2019,Kolkata,263909.96,,,,,,,,,,,84.56,,,,,,,,80.35,312100.28,,,,,
September 2019,Malda,6337.96,,,,,,,,,,,54.38,,,,,,,,43.69,11654.02,,,,,
September 2019,Murshidabad,7241.17,,,,,,,,,,,55.02,,,,,,,,41.11,13160.1,,,,,
September 2019,Nadia,14530.95,,,,,,,,,,,49.13,,,,,,,,41.36,29576.63,,,,,
September 2019,North 24 Parganas,29170.62,,,,,,,,,,,24.35,,,,,,,,32.23,119807.32,,,,,
September 2019,Paschim Bardhaman,10294.2,,,,,,,,,,,26.11,,,,,,,,41.65,39420.79,,,,,
September 2019,Paschim Medinipur,8768.3,,,,,,,,,,,45.38,,,,,,,,41.0,19323.03,,,,,
September 2019,Purba Bardhaman,10323.62,,,,,,,,,,,40.55,,,,,,,,41.1,25459.53,,,,,
September 2019,Purba Medinipur,10154.66,,,,,,,,,,,42.16,,,,,,,,41.31,24088.36,,,,,
September 2019,Purulia,3482.0,,,,,,,,,,,46.53,,,,,,,,38.27,7484.0,,,,,
September 2019,South 24 Parganas,15161.29,,,,,,,,,,,45.76,,,,,,,,44.16,33130.01,,,,,
September 2019,Uttar Dinajpur,3879.0,,,,,,,,,,,55.88,,,,,,,,41.93,6942.0,,,,,
September 2021,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Kalimpong,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Malda,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Nadia,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2021,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2022,Alipurduar,,,,,46.1,52.37,,,,,,,,,,,,,,,,,,,,
September 2022,Bankura,,,,,46.13,,,,,,,,,,,,,,,,,,,,,
September 2022,Birbhum,,,,,40.41,,,,,,,,,,,,,,,,,,,,,
September 2022,Cooch Behar,,,,,72.01,,,,,,,,,,,,,,,,,,,,,
September 2022,Dakshin Dinajpur,,,,,61.02,,,,,,,,,,,,,,,,,,,,,
September 2022,Darjeeling,,,,,57.82,,,,,,,,,,,,,,,,,,,,,
September 2022,Hooghly,,,,,31.61,,,,,,,,,,,,,,,,,,,,,
September 2022,Howrah,,,,,42.12,,,,,,,,,,,,,,,,,,,,,
