period,district,amount,amt,average_disbursement_amount_in_lakh,average_disbursement_in_lakh,disbursement_no,of_achievement_no,outstanding_no,sanction_no,sanctioned_no,target_2022_23_no,target_2023_24_no,target_fy_2025_26_no,total_disbursement_no,total_outsanding_no,total_sanction_no
December 2023,Bankura,51.5,,2.0,,35694.0,104.14,56800.0,30379.0,,,34275.0,,,,
December 2023,Birbhum,58.84,,2.93,,39434.0,80.81,66582.0,33332.0,,,48800.0,,,,
December 2023,Cooch Behar,72.97,,2.28,,43389.0,164.82,54085.0,25301.0,,,26325.0,,,,
December 2023,Dakshin Dinajpur,51.84,,1.64,,19415.0,119.66,25574.0,11934.0,,,16225.0,,,,
December 2023,Darjeeling,70.5,,3.08,,6040.0,100.02,7145.0,4611.0,,,6039.0,,,,
December 2023,Hooghly,70.27,,2.37,,36857.0,118.28,48832.0,28496.0,,,31160.0,,,,
December 2023,Howrah,58.61,,2.67,,25218.0,84.38,36896.0,21998.0,,,29888.0,,,,
December 2023,Jalpaiguri,63.2,,2.31,,26394.0,128.39,36580.0,19705.0,,,20557.0,,,,
December 2023,Jhargram,50.11,,2.25,,12020.0,89.04,18526.0,11882.0,,,13500.0,,,,
December 2023,Kalimpong,83.97,,3.5,,2718.0,94.87,3295.0,2097.0,,,2865.0,,,,
December 2023,Kolkata,100.0,,1.44,,758.0,100.0,3209.0,0.0,,,0.0,,,,
December 2023,Malda,54.29,,1.69,,40231.0,125.73,58457.0,26659.0,,,31998.0,,,,
December 2023,Murshidabad,52.75,,1.77,,53540.0,150.85,82160.0,34778.0,,,35493.0,,,,
December 2023,Nadia,63.33,,1.79,,40379.0,125.07,59334.0,22109.0,,,32284.0,,,,
December 2023,North 24 Parganas,50.24,,1.79,,50434.0,105.89,71419.0,31083.0,,,47629.0,,,,
December 2023,Paschim Bardhaman,46.89,,2.72,,6016.0,52.95,10983.0,5051.0,,,11361.0,,,,
December 2023,Paschim Medinipur,62.32,,2.91,,40209.0,81.55,63319.0,36209.0,,,49304.0,,,,
December 2023,Purba Bardhaman,58.79,,3.05,,36330.0,78.13,60193.0,30734.0,,,46500.0,,,,
December 2023,Purba Medinipur,63.01,,3.75,,50991.0,95.69,77725.0,41924.0,,,53285.0,,,,
December 2023,Purulia,42.46,,1.55,,20495.0,88.34,39645.0,15818.0,,,23200.0,,,,
December 2023,South 24 Parganas,67.7,,2.15,,61926.0,129.17,81672.0,25751.0,,,47942.0,,,,
December 2023,Uttar Dinajpur,75.5,,1.81,,28113.0,155.35,38265.0,16016.0,,,18096.0,,,,
June 2025,Alipurduar,,17.04,,1.55,,33.0,,,,,,25454.0,8393.0,24477.0,
June 2025,Bankura,,15.44,,1.77,,27.0,,,,,,58226.0,15828.0,61222.0,
June 2025,Birbhum,,25.0,,3.22,,23.0,,,,,,63945.0,14882.0,68753.0,
June 2025,Cooch Behar,,15.85,,1.52,,31.0,,,,,,53915.0,16845.0,57046.0,
June 2025,Dakshin Dinajpur,,19.79,,1.26,,47.0,,,,,,23524.0,11115.0,27579.0,
June 2025,Darjeeling,,31.13,,2.3,,60.0,,,,,,5024.0,3007.0,7925.0,
June 2025,Hooghly,,23.84,,1.98,,55.0,,,,,,37582.0,20740.0,53032.0,
June 2025,Howrah,,22.87,,2.02,,34.0,,,,,,38810.0,13157.0,38960.0,5291.0
June 2025,Jalpaiguri,,17.48,,1.79,,29.0,,,,,,33523.0,9815.0,38857.0,
June 2025,Jhargram,,18.55,,2.28,,24.0,,,,,,21400.0,5233.0,19826.0,
June 2025,Kalimpong,,36.22,,2.66,,58.0,,,,,,2443.0,1411.0,3533.0,567.0
June 2025,Kolkata,,0.0,,1.17,,,,,,,,,333.0,3619.0,
June 2025,Malda,,14.82,,1.24,,36.0,,,,,,61359.0,21960.0,64187.0,8081.0
June 2025,Murshidabad,,13.66,,1.42,,32.0,,,,,,83563.0,26377.0,87116.0,8152.0
June 2025,Nadia,,14.23,,1.48,,29.0,,,,,,70285.0,20271.0,66168.0,4556.0
June 2025,North 24 Parganas,,19.65,,1.49,,39.0,,,,,,70671.0,27911.0,81862.0,9593.0
June 2025,Paschim Bardhaman,,21.15,,2.95,,22.0,,,,,,,2618.0,12485.0,2176.0
June 2025,Paschim Medinipur,,28.77,,3.32,,32.0,,,,,,51603.0,16735.0,68544.0,
June 2025,Purba Bardhaman,,22.44,,3.0,,24.0,,,,,,63180.0,15125.0,68279.0,7954.0
June 2025,Purba Medinipur,,31.99,,3.89,,25.0,,,,,,72818.0,17977.0,82603.0,9525.0
June 2025,Purulia,,12.14,,1.45,,28.0,,,,,,37509.0,10668.0,42418.0,3635.0
June 2025,South 24 Parganas,,22.54,,1.82,,46.0,,,,,,70019.0,32554.0,89485.0,6969.0
June 2025,Uttar Dinajpur,,24.3,,1.34,,73.0,,,,,,29377.0,21397.0,47775.0,4204.0
