period,district,amount,amount_in_cr,amount_in_lac,cluster_adopted_by_banks,employed,employed_persons_18000,handloom,handloom_cluster,inactive_ineligible,kvib_cluster,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_disbursed_in_msme_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sanctioned_in_msme_cluster_no,loan_sponsored_in_handloom_cluster_no,loan_sponsored_in_kvib_cluster_no,loan_sponsored_sanct_ioned_in_handloom_cluster_no,loan_sponsored_sanct_ioned_in_kvib_cluster_no,loan_sponsored_sancti_oned_in_handloom_cluster_no,loan_sponsored_sancti_oned_in_kvib_cluster_no,msme_cluster,name_of_clusters_msme,no_of_application_approved_by_banks_no,no_of_application_pending_at_bankers_end,no_of_application_rejected_by_banks,no_of_application_sent_to_banks,no_of_clusters,no_of_clusters_covered,no_of_employed,no_of_stake_holders_identified_for_loan,no_of_unit,no_such_cluster,number_of_clusters,pending,proposal_sponsored_in_msme_cluster_no,proposals_sponsored_g_enerated_in_msme_cluster_no,proposals_sponsored_generated_in_msme_cluster_no,sr_1,total,units,units_no_300,wbkvib
December 2019,Darjeeling,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,
December 2019,Hooghly,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,60.0,0.0,60.0,,2.0,,60.0,,,,,,,,,,,,
December 2019,Howrah,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,16.0,,4.0,,16.0,,,,,,,,,,,,
December 2019,Jalpaiguri,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,3.0,,10.0,,,,,,,,,,,,
December 2019,Jhargram,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,
December 2019,Kolkata,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,,,,,,,,,
December 2019,Malda,,,2.0,,,,,,,,,,,,,,,,,,,,,,29.0,213.0,0.0,242.0,,14.0,,169.0,,,,,,,,,,,,
December 2019,Murshidabad,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,4.0,,122.0,,,,,,,,,,,,
December 2019,Nadia,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,5.0,,0.0,,,,,,,,,,,,
December 2019,Paschim Bardhaman,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,0.0,5.0,,2.0,,5.0,,,,,,,,,,,,
December 2019,Paschim Medinipur,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,34.0,0.0,34.0,,5.0,,34.0,,,,,,,,,,,,
December 2019,Purba Bardhaman,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,1.0,,8.0,,,,,,,,,,,,
December 2019,Purba Medinipur,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,
December 2019,Purulia,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,25.0,0.0,25.0,,7.0,,119.0,,,,,,,,,,,,
December 2019,Uttar Dinajpur,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,9.0,,50.0,,,,,,,,,,,,
December 2020,Alipurduar,,,,,,,,44.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Bankura,,,,,,,,0.0,,110.0,,,,,,,,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Birbhum,,,,,,,,231.0,,89.0,,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Cooch Behar,,,,,,,,89.0,,0.0,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Dakshin Dinajpur,,,,,,,,0.0,,2.0,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Darjeeling,,,,,,,,0.0,,0.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Hooghly,,,,,,,,1.0,,0.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Howrah,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Jalpaiguri,,,,,,,,0.0,,110.0,,,,,,,,,,,,,2362.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Jhargram,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Kalimpong,,,,,,,,0.0,,0.0,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Kolkata,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Malda,,,,,,,,0.0,,0.0,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Murshidabad,,,,,,,,207.0,,0.0,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Nadia,,,,,,,,1163.0,,35.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
December 2020,North 24 Parganas,,,,,,,,5.0,,0.0,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Paschim Bardhaman,,,,,,,,0.0,,0.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Paschim Medinipur,,,,,,,,0.0,,41.0,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Purba Bardhaman,,,,,,,,0.0,,0.0,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Purba Medinipur,,,,,,,,0.0,,0.0,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Purulia,,,,,,,,0.0,,0.0,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,
December 2020,South 24 Parganas,,,,,,,,0.0,,5.0,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,
December 2020,Uttar Dinajpur,,,,,,,,0.0,,2.0,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,
December 2021,Alipurduar,,0.72,,,,,,,,,18.0,16.0,21.0,,27.0,,,,25.0,26.0,,,,,,,,,,,,,,,,,,,44.0,,,,,
December 2021,Bankura,,0.57,,,,,,,,,36.0,0.0,45.0,,85.0,,,,0.0,155.0,,,,,,,,,,,,,,,,,,,218.0,,,,,
December 2021,Birbhum,,0.0,,,,,,,,,17.0,13.0,0.0,,17.0,,,,13.0,0.0,,,,,,,,,,,,,,,,,,,30.0,,,,,
December 2021,Cooch Behar,,1.11,,,,,,,,,1736.0,8.0,24.0,,1889.0,,,,12.0,30.0,,,,,,,,,,,,,,,,,,,1949.0,,,,,
December 2021,Dakshin Dinajpur,,0.06,,,,,,,,,10.0,0.0,3.0,,10.0,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,29.0,,,,,
December 2021,Darjeeling,,0.42,,,,,,,,,2067.0,0.0,12.0,,2067.0,,,,0.0,12.0,,,,,,,,,,,,,,,,,,,2067.0,,,,,
December 2021,Hooghly,,0.0,,,,,,,,,0.0,1.0,0.0,,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,7.0,,,,,
December 2021,Howrah,,0.0,,,,,,,,,94.0,0.0,0.0,,94.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,94.0,,,,,
December 2021,Jalpaiguri,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,24.0,,,,,,,,,,,,,,,,,,,24.0,,,,,
December 2021,Jhargram,,0.0,,,,,,,,,0.0,0.0,0.0,,1.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,5.0,,,,,
December 2021,Kalimpong,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,39.0,,,,,
December 2021,Kolkata,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,
December 2021,Malda,,0.0,,,,,,,,,56.0,56.0,0.0,,56.0,,,,56.0,0.0,,,,,,,,,,,,,,,,,,,74.0,,,,,
December 2021,Murshidabad,,0.0,,,,,,,,,0.0,197.0,0.0,,0.0,,,,207.0,0.0,,,,,,,,,,,,,,,,,,,29.0,,,,,
December 2021,Nadia,,5.09,,,,,,,,,40.0,70.0,23.0,,55.0,,,,340.0,35.0,,,,,,,,,,,,,,,,,,,350.0,,,,,
December 2021,North 24 Parganas,,0.0,,,,,,,,,57.0,18.0,0.0,,82.0,,,,18.0,0.0,,,,,,,,,,,,,,,,,,,113.0,,,,,
December 2021,Paschim Bardhaman,,0.0,,,,,,,,,6.0,0.0,0.0,,6.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,7.0,,,,,
December 2021,Paschim Medinipur,,0.97,,,,,,,,,2776.0,14.0,21.0,,2776.0,,,,14.0,46.0,,,,,,,,,,,,,,,,,,,3387.0,,,,,
December 2021,Purba Bardhaman,,0.0,,,,,,,,,26.0,0.0,0.0,,26.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,29.0,,,,,
December 2021,Purba Medinipur,,0.0,,,,,,,,,1069.0,21.0,0.0,,1069.0,,,,21.0,0.0,,,,,,,,,,,,,,,,,,,1962.0,,,,,
December 2021,Purulia,,0.42,,,,,,,,,8.0,0.0,22.0,,11.0,,,,0.0,22.0,,,,,,,,,,,,,,,,,,,27.0,,,,,
December 2021,South 24 Parganas,,0.1,,,,,,,,,9.0,0.0,6.0,,11.0,,,,0.0,8.0,,,,,,,,,,,,,,,,,,,22.0,,,,,
December 2021,Uttar Dinajpur,,0.0,,,,,,,,,1537.0,0.0,0.0,,1548.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,1962.0,,,,,
December 2022,Alipurduar,,1.69,,,,,,,,,96.0,112.0,126.0,,121.0,,,,,,157.0,156.0,,,,,,,,,,,,,,,,179.0,,,,,,
December 2022,Bankura,,0.87,,,,,,,,,177.0,0.0,68.0,,177.0,,,,,,0.0,155.0,,,,,,,,,,,,,,,,237.0,,,,,,
December 2022,Birbhum,,1.5,,,,,,,,,410.0,91.0,175.0,,410.0,,,,,,91.0,175.0,,,,,,,,,,,,,,,,700.0,,,,,,
December 2022,Cooch Behar,,4.77,,,,,,,,,1462.0,19.0,70.0,,1859.0,,,,,,19.0,92.0,,,,,,,,,,,,,,,,1863.0,,,,,,
December 2022,Dakshin Dinajpur,,0.08,,,,,,,,,20.0,0.0,4.0,,20.0,,,,,,0.0,5.0,,,,,,,,,,,,,,,,40.0,,,,,,
December 2022,Darjeeling,,0.0,,,,,,,,,137.0,0.0,0.0,,137.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,155.0,,,,,,
December 2022,Hooghly,,0.0,,,,,,,,,87.0,127.0,0.0,,87.0,,,,,,127.0,0.0,,,,,,,,,,,,,,,,87.0,,,,,,
December 2022,Howrah,,0.0,,,,,,,,,98.0,0.0,0.0,,98.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,98.0,,,,,,
December 2022,Jalpaiguri,,0.25,,,,,,,,,23.0,0.0,1.0,,23.0,,,,,,0.0,1.0,,,,,,,,,,,,,,,,90.0,,,,,,
December 2022,Jhargram,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,14.0,,,,,,
December 2022,Kalimpong,,0.0,,,,,,,,,19.0,0.0,0.0,,19.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,44.0,,,,,,
December 2022,Kolkata,,0.0,,,,,,,,,46.0,0.0,0.0,,48.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,313.0,,,,,,
December 2022,Malda,,0.0,,,,,,,,,20.0,62.0,0.0,,20.0,,,,,,62.0,0.0,,,,,,,,,,,,,,,,95.0,,,,,,
December 2022,Murshidabad,,0.0,,,,,,,,,62.0,356.0,0.0,,63.0,,,,,,403.0,0.0,,,,,,,,,,,,,,,,79.0,,,,,,
December 2022,Nadia,,10.05,,,,,,,,,807.0,448.0,40.0,,836.0,,,,,,755.0,47.0,,,,,,,,,,,,,,,,1307.0,,,,,,
December 2022,North 24 Parganas,,9.3,,,,,,,,,128.0,23.0,47.0,,156.0,,,,,,23.0,50.0,,,,,,,,,,,,,,,,185.0,,,,,,
December 2022,Paschim Bardhaman,,0.0,,,,,,,,,24.0,0.0,0.0,,24.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,24.0,,,,,,
December 2022,Paschim Medinipur,,2.47,,,,,,,,,3491.0,18.0,63.0,,3512.0,,,,,,18.0,63.0,,,,,,,,,,,,,,,,4578.0,,,,,,
December 2022,Purba Bardhaman,,0.0,,,,,,,,,205.0,0.0,0.0,,207.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,254.0,,,,,,
December 2022,Purba Medinipur,,0.0,,,,,,,,,1069.0,21.0,0.0,,1069.0,,,,,,21.0,0.0,,,,,,,,,,,,,,,,1962.0,,,,,,
December 2022,Purulia,,2.73,,,,,,,,,114.0,0.0,142.0,,137.0,,,,,,0.0,156.0,,,,,,,,,,,,,,,,174.0,,,,,,
December 2022,South 24 Parganas,,1.01,,,,,,,,,56.0,0.0,32.0,,69.0,,,,,,0.0,38.0,,,,,,,,,,,,,,,,83.0,,,,,,
December 2022,Uttar Dinajpur,,0.55,,,,,,,,,2095.0,0.0,15.0,,2098.0,,,,,,0.0,15.0,,,,,,,,,,,,,,,,2101.0,,,,,,
December 2023,Alipurduar,,0.0,,,,,,,,,367.0,287.0,0.0,,418.0,,,,320.0,0.0,,,,,,,,,,,,,,,,,,,418.0,,,,,
December 2023,Bankura,,1.63,,,,,,,,,136.0,45.0,70.0,,136.0,,,,45.0,70.0,,,,,,,,,,,,,,,,,,,136.0,,,,,
December 2023,Birbhum,,0.0,,,,,,,,,1568.0,0.0,0.0,,1568.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,1697.0,,,,,
December 2023,Cooch Behar,,7.28,,,,,,,,,2185.0,24.0,80.0,,2362.0,,,,24.0,109.0,,,,,,,,,,,,,,,,,,,2401.0,,,,,
December 2023,Dakshin Dinajpur,,0.09,,,,,,,,,19.0,5.0,7.0,,28.0,,,,7.0,9.0,,,,,,,,,,,,,,,,,,,51.0,,,,,
December 2023,Darjeeling,,0.0,,,,,,,,,60.0,0.0,0.0,,60.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,,,,,
December 2023,Hooghly,,0.0,,,,,,,,,94.0,132.0,0.0,,94.0,,,,132.0,0.0,,,,,,,,,,,,,,,,,,,94.0,,,,,
December 2023,Howrah,,0.1,,,,,,,,,152.0,11.0,5.0,,152.0,,,,11.0,5.0,,,,,,,,,,,,,,,,,,,152.0,,,,,
December 2023,Jhargram,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,14.0,,,,,
December 2023,Kalimpong,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,44.0,,,,,
December 2023,Kolkata,,0.0,,,,,,,,,76.0,0.0,0.0,,76.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,123.0,,,,,
December 2023,Malda,,0.02,,,,,,,,,53.0,85.0,7.0,,62.0,,,,170.0,7.0,,,,,,,,,,,,,,,,,,,145.0,,,,,
December 2023,Murshidabad,,0.0,,,,,,,,,98.0,434.0,0.0,,111.0,,,,523.0,0.0,,,,,,,,,,,,,,,,,,,88.0,,,,,
December 2023,Nadia,,15.05,,,,,,,,,1020.0,920.0,68.0,,1045.0,,,,1000.0,75.0,,,,,,,,,,,,,,,,,,,1788.0,,,,,
December 2023,North 24 Parganas,,9.69,,,,,,,,,135.0,0.0,51.0,,151.0,,,,0.0,51.0,,,,,,,,,,,,,,,,,,,218.0,,,,,
December 2023,Paschim Bardhaman,,0.0,,,,,,,,,32.0,0.0,0.0,,32.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,32.0,,,,,
December 2023,Paschim Medinipur,,129.63,,,,,,,,,270.0,44.0,3804.0,,284.0,,,,44.0,3829.0,,,,,,,,,,,,,,,,,,,5389.0,,,,,
December 2023,Purba Bardhaman,,7.77,,,,,,,,,3.0,143.0,227.0,,3.0,,,,143.0,229.0,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Purba Medinipur,,0.0,,,,,,,,,92.0,977.0,0.0,,92.0,,,,977.0,0.0,,,,,,,,,,,,,,,,,,,110.0,,,,,
December 2023,Purulia,,4.19,,,,,,,,,219.0,5.0,198.0,,248.0,,,,5.0,207.0,,,,,,,,,,,,,,,,,,,289.0,,,,,
December 2023,South 24 Parganas,,1.0,,,,,,,,,12.0,0.0,10.0,,13.0,,,,0.0,12.0,,,,,,,,,,,,,,,,,,,39.0,,,,,
December 2023,Uttar Dinajpur,,0.0,,,,,,,,,2249.0,58.0,0.0,,2249.0,,,,58.0,0.0,,,,,,,,,,,,,,,,,,,2307.0,,,,,
December 2024,Alipurduar,,0.0,,,,,,,,,688.0,421.0,0.0,,771.0,,,,502.0,0.0,,,,,,,,,,,,,,,,,,,1316.0,,,,,
December 2024,Bankura,,1.63,,,,,,,,,136.0,45.0,70.0,,136.0,,,,45.0,70.0,,,,,,,,,,,,,,,,,,,136.0,,,,,
December 2024,Birbhum,,0.0,,,,,,,,,1905.0,0.0,0.0,,1905.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2450.0,,,,,
December 2024,Cooch Behar,,22.46,,,,,,,,,373.0,355.0,225.0,,405.0,,,,625.0,521.0,,,,,,,,,,,,,,,,,,,515.0,,,,,
December 2024,Dakshin Dinajpur,,0.48,,,,,,,,,42.0,36.0,29.0,,46.0,,,,41.0,38.0,,,,,,,,,,,,,,,,,,,125.0,,,,,
December 2024,Darjeeling,,0.0,,,,,,,,,60.0,0.0,0.0,,60.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,,,,,
December 2024,Hooghly,,0.0,,,,,,,,,94.0,135.0,0.0,,94.0,,,,135.0,0.0,,,,,,,,,,,,,,,,,,,94.0,,,,,
December 2024,Howrah,,0.19,,,,,,,,,187.0,18.0,9.0,,187.0,,,,18.0,9.0,,,,,,,,,,,,,,,,,,,187.0,,,,,
December 2024,Jhargram,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,14.0,,,,,
December 2024,Kalimpong,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,44.0,,,,,
December 2024,Kolkata,,0.32,,,,,,,,,28.0,0.0,56.0,,28.0,,,,0.0,56.0,,,,,,,,,,,,,,,,,,,69.0,,,,,
December 2024,Malda,,0.1,,,,,,,,,62.0,105.0,8.0,,71.0,,,,172.0,10.0,,,,,,,,,,,,,,,,,,,145.0,,,,,
December 2024,Murshidabad,,0.0,,,,,,,,,158.0,565.0,0.0,,174.0,,,,623.0,0.0,,,,,,,,,,,,,,,,,,,174.0,,,,,
December 2024,Nadia,,20.2,,,,,,,,,1355.0,995.0,96.0,,1402.0,,,,1025.0,102.0,,,,,,,,,,,,,,,,,,,2355.0,,,,,
December 2024,North 24 Parganas,,10.04,,,,,,,,,143.0,0.0,54.0,,160.0,,,,0.0,57.0,,,,,,,,,,,,,,,,,,,226.0,,,,,
December 2024,Paschim Bardhaman,,0.0,,,,,,,,,37.0,0.0,0.0,,37.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,37.0,,,,,
December 2024,Paschim Medinipur,,154.69,,,,,,,,,307.0,44.0,3906.0,,313.0,,,,44.0,3914.0,,,,,,,,,,,,,,,,,,,1949.0,,,,,
December 2024,Purba Bardhaman,,2.4,,,,,,,,,44.0,500.0,124.0,,44.0,,,,504.0,124.0,,,,,,,,,,,,,,,,,,,85.0,,,,,
December 2024,Purba Medinipur,,0.0,,,,,,,,,133.0,1013.0,0.0,,133.0,,,,1034.0,0.0,,,,,,,,,,,,,,,,,,,133.0,,,,,
December 2024,Purulia,,4.59,,,,,,,,,231.0,9.0,220.0,,259.0,,,,9.0,234.0,,,,,,,,,,,,,,,,,,,302.0,,,,,
December 2024,South 24 Parganas,,0.0,,,,,,,,,70.0,0.0,0.0,,76.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,122.0,,,,,
December 2024,Uttar Dinajpur,,0.0,,,,,,,,,2385.0,61.0,0.0,,2385.0,,,,61.0,0.0,,,,,,,,,,,,,,,,,,,2413.0,,,,,
December 2025,Alipurduar,,0.0,,,,,,,,,897.0,550.0,0.0,,1023.0,,,,667.0,0.0,,,,,,,,,,,,,,,,,,,1800.0,,,,,
December 2025,Bankura,,1.63,,,,,,,,,136.0,45.0,70.0,,136.0,,,,45.0,70.0,,,,,,,,,,,,,,,,,,,136.0,,,,,
December 2025,Birbhum,,0.0,,,,,,,,,2147.0,0.0,0.0,,2147.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2753.0,,,,,
December 2025,Cooch Behar,,22.46,,,,,,,,,381.0,355.0,225.0,,416.0,,,,625.0,521.0,,,,,,,,,,,,,,,,,,,522.0,,,,,
December 2025,Dakshin Dinajpur,,0.48,,,,,,,,,42.0,36.0,29.0,,46.0,,,,41.0,38.0,,,,,,,,,,,,,,,,,,,125.0,,,,,
December 2025,Darjeeling,,0.0,,,,,,,,,60.0,0.0,0.0,,60.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,60.0,,,,,
December 2025,Hooghly,,0.0,,,,,,,,,94.0,135.0,0.0,,94.0,,,,135.0,0.0,,,,,,,,,,,,,,,,,,,94.0,,,,,
December 2025,Howrah,,0.21,,,,,,,,,190.0,20.0,10.0,,190.0,,,,20.0,10.0,,,,,,,,,,,,,,,,,,,190.0,,,,,
December 2025,Jhargram,,0.0,,,,,,,,,14.0,0.0,0.0,,14.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,14.0,,,,,
December 2025,Kalimpong,,0.0,,,,,,,,,52.0,0.0,0.0,,52.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,52.0,,,,,
December 2025,Kolkata,,0.34,,,,,,,,,30.0,0.0,60.0,,30.0,,,,0.0,60.0,,,,,,,,,,,,,,,,,,,86.0,,,,,
December 2025,Malda,,0.07,,,,,,,,,68.0,102.0,12.0,,79.0,,,,210.0,12.0,,,,,,,,,,,,,,,,,,,160.0,,,,,
December 2025,Murshidabad,,0.0,,,,,,,,,491.0,623.0,0.0,,527.0,,,,736.0,0.0,,,,,,,,,,,,,,,,,,,714.0,,,,,
December 2025,Nadia,,22.19,,,,,,,,,1390.0,1020.0,103.0,,1451.0,,,,1128.0,108.0,,,,,,,,,,,,,,,,,,,2610.0,,,,,
December 2025,North 24 Parganas,,10.04,,,,,,,,,143.0,0.0,54.0,,160.0,,,,0.0,57.0,,,,,,,,,,,,,,,,,,,226.0,,,,,
December 2025,Paschim Bardhaman,,0.0,,,,,,,,,45.0,0.0,0.0,,45.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,45.0,,,,,
December 2025,Paschim Medinipur,,156.5,,,,,,,,,314.0,44.0,3972.0,,317.0,,,,44.0,3979.0,,,,,,,,,,,,,,,,,,,1950.0,,,,,
December 2025,Purba Bardhaman,,3.03,,,,,,,,,56.0,628.0,166.0,,56.0,,,,629.0,166.0,,,,,,,,,,,,,,,,,,,87.0,,,,,
December 2025,Purba Medinipur,,0.0,,,,,,,,,126.0,1089.0,0.0,,158.0,,,,1153.0,0.0,,,,,,,,,,,,,,,,,,,158.0,,,,,
December 2025,Purulia,,4.59,,,,,,,,,231.0,9.0,220.0,,259.0,,,,9.0,234.0,,,,,,,,,,,,,,,,,,,302.0,,,,,
