period,district,advance,cd_ratio,cd_ratio_as_on_dec_2021,cd_ratio_as_on_december_2022,cd_ratio_as_on_december_2022_deposit,cd_ratio_as_on_december_2023,cd_ratio_as_on_june_2023,cd_ratio_as_on_june_2024,cd_ratio_as_on_june_2025
December 2023,Dakshin Dinajpur,,,,62.67,,61.85,,,
December 2023,Darjeeling,,,,62.08,,66.35,,,
December 2023,Hooghly,,,,41.31,,45.31,,,
December 2023,Howrah,,,,47.79,,48.38,,,
December 2023,Jalpaiguri,,,,60.27,,80.1,,,
December 2023,Jhargram,,,,41.22,,46.93,,,
December 2023,Kalimpong,,,,46.97,,50.74,,,
December 2023,Kolkata,,,,64.15,,96.29,,,
December 2023,Malda,,,,59.45,,57.81,,,
December 2023,Murshidabad,,,,49.02,,56.59,,,
December 2023,Nadia,,,,49.8,,50.28,,,
December 2023,North 24 Parganas,,,,41.53,,42.89,,,
December 2023,Paschim Bardhaman,,,,41.1,,51.04,,,
December 2023,Paschim Medinipur,,,,47.47,,50.18,,,
December 2023,Purba Bardhaman,,,,51.48,,53.09,,,
December 2023,Purba Medinipur,,,,47.37,,49.07,,,
December 2023,Purulia,,,,48.72,,49.28,,,
December 2023,South 24 Parganas,,,,46.04,,46.57,,,
December 2023,Uttar Dinajpur,,,,60.99,,65.23,,,
June 2024,Alipurduar,,,,,,,64.59,61.62,
June 2024,Bankura,,,,,,,53.7,55.01,
June 2024,Birbhum,,,,,,,47.54,50.37,
June 2024,Cooch Behar,,,,,,,80.41,78.64,
June 2024,Dakshin Dinajpur,,,,,,,63.74,62.71,
June 2024,Darjeeling,,,,,,,62.03,67.58,
June 2024,Hooghly,,,,,,,41.95,44.0,
June 2024,Howrah,,,,,,,47.2,49.43,
June 2024,Jalpaiguri,,,,,,,67.49,75.52,
June 2024,Jhargram,,,,,,,43.03,45.57,
June 2024,Kalimpong,,,,,,,49.17,60.81,
June 2024,Kolkata,,,,,,,64.72,103.17,
June 2024,Malda,,,,,,,60.78,59.06,
June 2024,Murshidabad,,,,,,,55.77,57.33,
June 2024,Nadia,,,,,,,50.11,50.97,
June 2024,North 24 Parganas,,,,,,,40.66,45.28,
June 2024,Paschim Bardhaman,,,,,,,46.96,52.83,
June 2024,Paschim Medinipur,,,,,,,48.4,48.47,
June 2024,Purba Bardhaman,,,,,,,55.17,56.04,
June 2024,Purba Medinipur,,,,,,,45.91,52.76,
June 2024,Purulia,,,,,,,48.88,50.26,
June 2024,South 24 Parganas,,,,,,,45.06,45.54,
June 2024,Uttar Dinajpur,,,,,,,64.38,68.85,
June 2025,Alipurduar,,,,,,,,61.62,63.82
June 2025,Bankura,,,,,,,,55.01,57.0
June 2025,Birbhum,,,,,,,,50.37,45.73
June 2025,Cooch Behar,,,,,,,,78.64,105.04
June 2025,Dakshin Dinajpur,,,,,,,,62.71,69.17
June 2025,Darjeeling,,,,,,,,67.58,68.73
June 2025,Hooghly,,,,,,,,44.0,47.18
June 2025,Howrah,,,,,,,,49.43,50.22
June 2025,Jalpaiguri,,,,,,,,75.52,77.25
June 2025,Jhargram,,,,,,,,45.57,46.18
June 2025,Kalimpong,,,,,,,,60.81,51.01
June 2025,Kolkata,,,,,,,,103.17,92.54
June 2025,Malda,,,,,,,,59.06,60.36
June 2025,Murshidabad,,,,,,,,57.33,59.32
June 2025,Nadia,,,,,,,,50.97,51.15
June 2025,North 24 Parganas,,,,,,,,45.28,47.1
June 2025,Paschim Bardhaman,,,,,,,,52.83,58.51
June 2025,Paschim Medinipur,,,,,,,,48.47,50.73
June 2025,Purba Bardhaman,,,,,,,,56.04,55.15
June 2025,Purba Medinipur,,,,,,,,52.76,57.56
June 2025,Purulia,,,,,,,,50.26,49.24
June 2025,South 24 Parganas,,,,,,,,45.54,44.75
June 2025,Uttar Dinajpur,,,,,,,,68.85,71.0
