period,district,1858_744,210_245,2448_3559,4308_4343,5426_6555,79_66,aap_target_for_fy_2022_23_no_of_programs,achievement_no_of_programs,credit_linkage,no_of_candidates_trained,no_of_programs,no_of_training_cond,no_of_training_conducted,of_settlement,own,self_employed_bank,settlement,total,total_4544,total_settled,total_settled_with_wage,total_settled_without_wage,total_settlement,total_trained,wage_employe,wage_employed
December 2019,Purba Medinipur,,,,,,,,,51.96,,216.0,,,,2211.0,2391.0,74.46,,,,4648.0,4602.0,,6242.0,,46.0
December 2019,Purulia,,,,,,,,,64.72,,174.0,,,,820.0,1504.0,51.71,,,,2324.0,2324.0,,4494.0,,0.0
December 2019,South 24 Parganas,,,,,,,,,82.47,,296.0,,,,831.0,3909.0,60.98,,,,4789.0,4740.0,,7853.0,,49.0
December 2019,Uttar Dinajpur,,,,,,,,,53.39,,203.0,,,,1595.0,1827.0,68.5,,,,3493.0,3422.0,,5099.0,,71.0
December 2020,Bankura,,,,,,,,,53.45,,301.0,,,,2103.0,2415.0,71.78,,4518.0,,,,5125.0,7140.0,,607.0
December 2020,Birbhum,,,,,,,,,73.68,,227.0,,,,1196.0,3348.0,68.11,,,,,,4552.0,6683.0,,8.0
December 2020,Cooch Behar,,,,,,,,,51.51,,136.0,,,,1138.0,1209.0,73.97,,2347.0,,,,2381.0,3219.0,,34.0
December 2020,Darjeeling,,,,,,,,,65.26,,109.0,,,,741.0,1392.0,77.24,,2133.0,,,,2175.0,2816.0,,42.0
December 2020,Hooghly,,,,,,,,,85.25,,265.0,,,,681.0,3935.0,68.56,,4616.0,,,,4616.0,6733.0,,0.0
December 2020,Howrah,,,,,,,,,25.05,,617.0,,,,9477.0,3167.0,85.13,,12644.0,,,,13278.0,15597.0,,634.0
December 2020,Jalpaiguri,,,,,,,,,77.72,,255.0,,,,922.0,3216.0,81.86,,4138.0,,,,4359.0,5325.0,,221.0
December 2020,Malda,,,,,,,,,54.25,,226.0,,,,2045.0,2425.0,75.68,,4470.0,,,,5064.0,6691.0,,594.0
December 2020,Nadia,,,,,,,,,44.24,,208.0,,,,2023.0,1605.0,68.28,,3628.0,,,,3701.0,5420.0,,73.0
December 2020,North 24 Parganas,,,,,,,,,57.19,,264.0,,,,2245.0,2999.0,79.34,,5244.0,,,,5368.0,6766.0,,124.0
December 2020,Purba Bardhaman,,,,,,,,,58.33,,245.0,,,,1803.0,2524.0,68.74,,4327.0,,,,4327.0,6295.0,,0.0
December 2020,Purba Medinipur,,,,,,,,,52.3,,227.0,,,,2221.0,2435.0,71.74,,4656.0,,,,4704.0,6557.0,,48.0
December 2020,Purulia,,,,,,,,,64.62,,180.0,,,,889.0,1624.0,54.04,,2513.0,,,,2513.0,4650.0,,0.0
December 2020,South 24 Parganas,,,,,,,,,79.43,,302.0,,,,1037.0,4005.0,64.43,,5042.0,,,,5160.0,8009.0,,118.0
December 2020,Uttar Dinajpur,,,,,,,,,51.47,,211.0,,,,1880.0,1994.0,74.99,,3874.0,,,,3946.0,5262.0,,72.0
December 2021,Bankura,,,,,,,,,62.55,,326.0,,,,1596.0,2666.0,63.72,4262.0,,,,,4869.0,7641.0,,607.0
December 2021,Birbhum,,,,,,,,,73.5,,240.0,,,,1275.0,3536.0,68.24,4811.0,,,,,4819.0,7062.0,,8.0
December 2021,Cooch Behar,,,,,,,,,53.73,,149.0,,,,1118.0,1298.0,69.07,2416.0,,,,,2450.0,3547.0,,34.0
December 2021,Darjeeling,,,,,,,,,66.49,,119.0,,,,778.0,1544.0,76.18,2322.0,,,,,2366.0,3106.0,,44.0
December 2021,Hooghly,,,,,,,,,86.56,,283.0,,,,663.0,4269.0,69.14,4932.0,,,,,4932.0,7133.0,,0.0
December 2021,Howrah,,,,,,,,,27.3,,645.0,,,,9180.0,3448.0,81.4,12628.0,,,,,13281.0,16315.0,,653.0
December 2021,Jalpaiguri,,,,,,,,,81.84,,269.0,,,,733.0,3304.0,77.04,4037.0,,,,,4301.0,5583.0,,264.0
December 2021,Malda,,,,,,,,,63.44,,244.0,,,,1528.0,2652.0,67.02,4180.0,,,,,4774.0,7123.0,,594.0
December 2021,Nadia,,,,,,,,,47.08,,231.0,,,,2069.0,1841.0,68.5,3910.0,,,,,3984.0,5816.0,,74.0
December 2021,North 24 Parganas,,,,,,,,,61.5,,291.0,,,,2202.0,3517.0,78.14,5719.0,,,,,5843.0,7478.0,,124.0
December 2021,Purba Bardhaman,,,,,,,,,60.39,,264.0,,,,1817.0,2770.0,68.35,4587.0,,,,,4587.0,6711.0,,0.0
December 2021,Purba Medinipur,,,,,,,,,53.5,,249.0,,,,2371.0,2728.0,71.41,5099.0,,,,,5148.0,7209.0,,49.0
December 2021,Purulia,,,,,,,,,65.08,,194.0,,,,910.0,1696.0,52.61,2606.0,,,,,2606.0,4953.0,,0.0
December 2021,South 24 Parganas,,,,,,,,,78.32,,327.0,,,,1127.0,4072.0,61.85,5199.0,,,,,5320.0,8601.0,,121.0
December 2021,Uttar Dinajpur,,,,,,,,,55.71,,228.0,,,,1792.0,2254.0,72.06,4046.0,,,,,4126.0,5726.0,,80.0
December 2022,Bankura,,,,,,,26.0,80.77,,,,,,,,,,,,,,,,81.28,,
December 2022,Birbhum,,,,,,,18.0,77.78,,,,,,,,,,,,,,,,72.22,,
December 2022,Cooch Behar,,,,,,,16.0,75.0,,,,,,,,,,,,,,,,75.25,,
December 2022,Darjeeling,,,,,,,14.0,64.29,,,,,,,,,,,,,,,,72.29,,
December 2022,Hooghly,,,,,,,24.0,83.33,,,,,,,,,,,,,,,,72.22,,
December 2022,Howrah,,,,,,,29.0,82.76,,,,,,,,,,,,,,,,83.09,,
December 2022,Jalpaiguri,,,,,,,18.0,77.78,,,,,,,,,,,,,,,,94.0,,
December 2022,Malda,,,,,,,24.0,66.67,,,,,,,,,,,,,,,,78.0,,
December 2022,Nadia,,,,,,,25.0,64.0,,,,,,,,,,,,,,,,79.8,,
December 2022,North 24 Parganas,,,,,,,28.0,71.43,,,,,,,,,,,,,,,,98.17,,
December 2022,Purba Bardhaman,,,,,,,26.0,76.92,,,,,,,,,,,,,,,,76.6,,
December 2022,Purba Medinipur,,,,,,,25.0,88.0,,,,,,,,,,,,,,,,81.84,,
December 2022,Purulia,,,,,,,21.0,61.9,,,,,,,,,,,,,,,,65.74,,
December 2022,South 24 Parganas,,,,,,,25.0,84.0,,,,,,,,,,,,,,,,78.72,,
December 2022,Uttar Dinajpur,,,,,,,27.0,66.67,,,,,,,,,,,,,,,,75.81,,
June 2018,Dakshin Dinajpur,1190.0,158.0,1815.0,3211.0,4362.0,74.0,,,,,,,,,,,,,,,,,,,,
June 2018,Purulia,605.0,141.0,1152.0,1757.0,3578.0,49.0,,,,,,,,,,,,,,,,,,,,
June 2019,Bankura,,,,,,,,,53.69,,272.0,,,,1801.0,2088.0,70.49,,,3889.0,4487.0,,,6365.0,598.0,
June 2019,Birbhum,,,,,,,,,73.78,,212.0,,,,1106.0,3112.0,67.87,,,4218.0,4225.0,,,6225.0,7.0,
June 2019,Cooch Behar,,,,,,,,,46.37,,118.0,,,,1004.0,868.0,67.47,,,1872.0,1906.0,,,2825.0,34.0,
June 2019,Darjeeling,,,,,,,,,53.83,,91.0,,,,729.0,850.0,68.0,,,1579.0,1619.0,,,2381.0,40.0,
June 2019,Hooghly,,,,,,,,,85.07,,240.0,,,,639.0,3641.0,69.44,,,4280.0,4280.0,,,6164.0,0.0,
June 2019,Howrah,,,,,,,,,24.35,,576.0,,,,9001.0,2897.0,86.27,,,11898.0,12509.0,,,14500.0,611.0,
June 2019,Jalpaiguri,,,,,,,,,78.28,,237.0,,,,854.0,3078.0,84.43,,,3932.0,4153.0,,,4919.0,221.0,
June 2019,Malda,,,,,,,,,55.32,,196.0,,,,1677.0,2076.0,73.27,,,3753.0,4347.0,,,5933.0,594.0,
June 2019,Nadia,,,,,,,,,39.91,,183.0,,,,1763.0,1171.0,63.33,,,2934.0,3007.0,,,4748.0,73.0,
June 2019,North 24 Parganas,,,,,,,,,59.52,,239.0,,,,1970.0,2897.0,80.7,,,4867.0,4964.0,,,6151.0,97.0,
June 2019,Purba Bardhaman,,,,,,,,,55.76,,218.0,,,,1679.0,2116.0,68.59,,,3795.0,3795.0,,,5533.0,0.0,
June 2019,Purba Medinipur,,,,,,,,,49.77,,204.0,,,,2165.0,2145.0,73.96,,,4310.0,4356.0,,,5890.0,46.0,
June 2019,Purulia,,,,,,,,,62.9,,163.0,,,,755.0,1280.0,48.56,,,2035.0,2035.0,,,4191.0,0.0,
June 2019,South 24 Parganas,,,,,,,,,82.4,,274.0,,,,809.0,3787.0,63.33,,,4596.0,4640.0,,,7327.0,44.0,
June 2019,Uttar Dinajpur,,,,,,,,,54.49,,190.0,,,,1469.0,1759.0,69.55,,,3228.0,3298.0,,,4742.0,70.0,
June 2021,Bankura,,,,,,,,,53.82,,314.0,,,,2167.0,2526.0,63.18,4693.0,,,,,4693.0,7428.0,,607.0
June 2021,Birbhum,,,,,,,,,73.64,,233.0,,,,1241.0,3466.0,68.77,4707.0,,,,,4707.0,6845.0,,8.0
June 2021,Cooch Behar,,,,,,,,,52.51,,144.0,,,,1143.0,1264.0,70.79,2407.0,,,,,2407.0,3400.0,,34.0
June 2021,Darjeeling,,,,,,,,,66.02,,115.0,,,,755.0,1467.0,74.31,2222.0,,,,,2222.0,2990.0,,44.0
June 2021,Hooghly,,,,,,,,,86.38,,274.0,,,,663.0,4206.0,70.49,4869.0,,,,,4869.0,6907.0,,0.0
June 2021,Howrah,,,,,,,,,25.55,,636.0,,,,9719.0,3335.0,81.21,13054.0,,,,,13054.0,16075.0,,644.0
June 2021,Jalpaiguri,,,,,,,,,77.4,,264.0,,,,965.0,3304.0,77.73,4269.0,,,,,4269.0,5492.0,,264.0
June 2021,Malda,,,,,,,,,54.83,,235.0,,,,2083.0,2528.0,66.7,4611.0,,,,,4611.0,6913.0,,594.0
June 2021,Nadia,,,,,,,,,44.65,,222.0,,,,2078.0,1676.0,66.36,3754.0,,,,,3754.0,5657.0,,74.0
June 2021,North 24 Parganas,,,,,,,,,58.56,,280.0,,,,2326.0,3287.0,78.91,5613.0,,,,,5613.0,7113.0,,124.0
June 2021,Purba Bardhaman,,,,,,,,,59.55,,254.0,,,,1815.0,2672.0,69.6,4487.0,,,,,4487.0,6447.0,,0.0
June 2021,Purba Medinipur,,,,,,,,,52.79,,239.0,,,,2239.0,2504.0,69.02,4743.0,,,,,4743.0,6872.0,,49.0
June 2021,Purulia,,,,,,,,,64.6,,187.0,,,,890.0,1624.0,52.24,2514.0,,,,,2514.0,4812.0,,0.0
June 2021,South 24 Parganas,,,,,,,,,77.75,,315.0,,,,1163.0,4065.0,63.34,5228.0,,,,,5228.0,8254.0,,121.0
June 2021,Uttar Dinajpur,,,,,,,,,54.19,,220.0,,,,1851.0,2190.0,73.53,4041.0,,,,,4041.0,5496.0,,80.0
June 2022,Bankura,,,,,,,,,54.26,,339.0,,,,2303.0,2732.0,70.15,5035.0,,,,,5642.0,8043.0,,607.0
June 2022,Birbhum,,,,,,,,,72.69,,250.0,,,,1385.0,3686.0,68.61,5071.0,,,,,5079.0,7403.0,,8.0
June 2022,Cooch Behar,,,,,,,,,53.06,,158.0,,,,1235.0,1396.0,70.34,2631.0,,,,,2665.0,3789.0,,34.0
June 2022,Dakshin Dinajpur,,,,,,,,,64.59,,233.0,,,,1616.0,2948.0,73.91,4564.0,,,,,4770.0,6454.0,,206.0
June 2022,Darjeeling,,,,,,,,,65.8,,125.0,,,,829.0,1595.0,74.56,2424.0,,,,,2468.0,3310.0,,44.0
June 2022,Hooghly,,,,,,,,,86.83,,299.0,,,,701.0,4621.0,70.8,5322.0,,,,,5322.0,7517.0,,0.0
June 2022,Howrah,,,,,,,,,26.55,,668.0,,,,10031.0,3626.0,84.24,13657.0,,,,,14313.0,16991.0,,656.0
June 2022,Jalpaiguri,,,,,,,,,76.41,,283.0,,,,1048.0,3395.0,79.73,4443.0,,,,,4707.0,5904.0,,264.0
June 2022,Malda,,,,,,,,,56.62,,255.0,,,,2155.0,2813.0,75.49,4968.0,,,,,5562.0,7368.0,,594.0
June 2022,Nadia,,,,,,,,,46.82,,243.0,,,,2164.0,1905.0,67.98,4069.0,,,,,4143.0,6094.0,,74.0
June 2022,North 24 Parganas,,,,,,,,,63.04,,308.0,,,,2326.0,3967.0,79.88,6293.0,,,,,6417.0,8033.0,,124.0
June 2022,Purba Bardhaman,,,,,,,,,61.62,,281.0,,,,1852.0,2974.0,67.0,4826.0,,,,,4826.0,7203.0,,0.0
June 2022,Purba Medinipur,,,,,,,,,56.01,,266.0,,,,2369.0,3016.0,70.75,5385.0,,,,,5434.0,7681.0,,49.0
June 2022,Purulia,,,,,,,,,64.31,,207.0,,,,964.0,1737.0,51.0,2701.0,,,,,2701.0,5296.0,,0.0
June 2022,South 24 Parganas,,,,,,,,,76.02,,340.0,,,,1370.0,4343.0,65.56,5713.0,,,,,5841.0,8909.0,,128.0
June 2022,Uttar Dinajpur,,,,,,,,,54.19,,240.0,,,,1985.0,2348.0,72.83,4333.0,,,,,4413.0,6059.0,,80.0
March 2018,Bankura,,,,,,,,,,736.0,,,33.0,44.0,224.0,96.0,,,,320.0,,,,,,
March 2018,Birbhum,,,,,,,,,,533.0,,,22.0,44.0,121.0,111.0,,,,232.0,,,,,,
March 2018,Cooch Behar,,,,,,,,,,490.0,,,25.0,49.0,165.0,76.0,,,,241.0,,,,,,
March 2018,Dakshin Dinajpur,,,,,,,,,,753.0,,,26.0,49.0,67.0,300.0,,,,367.0,,,,,,
March 2018,Darjeeling,,,,,,,,,,600.0,,,23.0,72.0,413.0,18.0,,,,431.0,,,,,,
March 2018,Hooghly,,,,,,,,,,892.0,,,37.0,51.0,87.0,367.0,,,,454.0,,,,,,
March 2018,Howrah,,,,,,,,,,1667.0,,,62.0,68.0,866.0,267.0,,,,1133.0,,,,,,
March 2018,Jalpaiguri,,,,,,,,,,566.0,,,22.0,68.0,319.0,68.0,,,,387.0,,,,,,
March 2018,Malda,,,,,,,,,,847.0,,,29.0,28.0,209.0,26.0,,,,235.0,,,,,,
March 2018,Murshidabad,,,,,,,,,,974.0,,,36.0,65.0,324.0,313.0,,,,637.0,,,,,,
March 2018,Nadia,,,,,,,,,,673.0,,,24.0,59.0,210.0,184.0,,,,394.0,,,,,,
March 2018,Paschim Medinipur,,,,,,,,,,621.0,,,24.0,83.0,500.0,18.0,,,,518.0,,,,,,
March 2018,Purba Bardhaman,,,,,,,,,,608.0,,,27.0,31.0,167.0,21.0,,,,188.0,,,,,,
March 2018,Purba Medinipur,,,,,,,,,,837.0,,,30.0,44.0,348.0,22.0,,,,370.0,,,,,,
March 2018,Purulia,,,,,,,,,,602.0,,,25.0,33.0,48.0,150.0,,,,198.0,,,,,,
March 2018,Uttar Dinajpur,,,,,,,,,,640.0,,,24.0,45.0,291.0,0.0,,,,291.0,,,,,,
March 2019,Bankura,,,,,,,,,54.39,,267.0,,,,1730.0,2063.0,69.59,,,,4341.0,3793.0,,6238.0,,548.0
March 2019,Birbhum,,,,,,,,,74.0,,206.0,,,,1053.0,2997.0,67.26,,,,4056.0,4050.0,,6030.0,,6.0
March 2019,Cooch Behar,,,,,,,,,46.2,,114.0,,,,1004.0,862.0,69.09,,,,1900.0,1866.0,,2750.0,,34.0
March 2019,Darjeeling,,,,,,,,,53.83,,86.0,,,,729.0,850.0,72.34,,,,1619.0,1579.0,,2238.0,,40.0
March 2019,Hooghly,,,,,,,,,84.91,,235.0,,,,639.0,3595.0,70.2,,,,4234.0,4234.0,,6031.0,,0.0
March 2019,Howrah,,,,,,,,,24.33,,570.0,,,,8978.0,2887.0,87.06,,,,12475.0,11865.0,,14330.0,,610.0
March 2019,Jalpaiguri,,,,,,,,,78.28,,233.0,,,,854.0,3078.0,86.81,,,,4153.0,3932.0,,4784.0,,221.0
March 2019,Malda,,,,,,,,,55.65,,192.0,,,,1634.0,2050.0,73.75,,,,4278.0,3684.0,,5801.0,,594.0
March 2019,Nadia,,,,,,,,,39.85,,180.0,,,,1731.0,1147.0,63.15,,,,2951.0,2878.0,,4673.0,,73.0
March 2019,North 24 Parganas,,,,,,,,,59.18,,232.0,,,,1937.0,2808.0,80.51,,,,4809.0,4745.0,,5973.0,,64.0
March 2019,Purba Bardhaman,,,,,,,,,56.55,,212.0,,,,1575.0,2050.0,67.29,,,,3625.0,3625.0,,5387.0,,0.0
March 2019,Purba Medinipur,,,,,,,,,49.27,,198.0,,,,2153.0,2091.0,74.93,,,,4290.0,4244.0,,5725.0,,46.0
March 2019,Purulia,,,,,,,,,62.41,,158.0,,,,748.0,1242.0,49.14,,,,1990.0,1990.0,,4050.0,,0.0
March 2019,South 24 Parganas,,,,,,,,,82.64,,270.0,,,,789.0,3755.0,63.44,,,,4587.0,4544.0,,7230.0,,43.0
March 2019,Uttar Dinajpur,,,,,,,,,55.07,,186.0,,,,1435.0,1759.0,69.94,,,,3264.0,3194.0,,4667.0,,70.0
March 2020,Bankura,,,,,,,,,53.14,,295.0,,,,2094.0,2375.0,72.47,,,,5076.0,4469.0,,7004.0,607.0,
March 2020,Birbhum,,,,,,,,,74.26,,224.0,,,,1157.0,3338.0,68.3,,,,4503.0,4495.0,,6593.0,8.0,
March 2020,Cooch Behar,,,,,,,,,49.95,,132.0,,,,1084.0,1082.0,70.09,,,,2200.0,2166.0,,3139.0,34.0,
March 2020,Darjeeling,,,,,,,,,59.96,,106.0,,,,736.0,1102.0,67.75,,,,1878.0,1838.0,,2772.0,40.0,
March 2020,Hooghly,,,,,,,,,85.01,,261.0,,,,669.0,3793.0,67.03,,,,4462.0,4462.0,,6657.0,0.0,
March 2020,Howrah,,,,,,,,,24.98,,604.0,,,,9465.0,3152.0,86.83,,,,13250.0,12617.0,,15260.0,633.0,
March 2020,Jalpaiguri,,,,,,,,,77.72,,254.0,,,,922.0,3216.0,82.07,,,,4359.0,4138.0,,5311.0,221.0,
March 2020,Malda,,,,,,,,,54.81,,219.0,,,,1970.0,2389.0,75.25,,,,4953.0,4359.0,,6582.0,594.0,
March 2020,Nadia,,,,,,,,,43.4,,207.0,,,,2006.0,1538.0,66.92,,,,3617.0,3544.0,,5405.0,73.0,
March 2020,North 24 Parganas,,,,,,,,,57.19,,260.0,,,,2245.0,2999.0,80.11,,,,5368.0,5244.0,,6701.0,124.0,
March 2020,Purba Bardhaman,,,,,,,,,57.49,,237.0,,,,1778.0,2405.0,68.52,,,,4183.0,4183.0,,6105.0,0.0,
March 2020,Purba Medinipur,,,,,,,,,52.11,,224.0,,,,2216.0,2411.0,71.98,,,,4673.0,4627.0,,6492.0,46.0,
March 2020,Purulia,,,,,,,,,64.72,,178.0,,,,820.0,1504.0,50.49,,,,2324.0,2324.0,,4603.0,0.0,
March 2020,South 24 Parganas,,,,,,,,,82.05,,302.0,,,,873.0,3991.0,61.48,,,,4924.0,4864.0,,8009.0,60.0,
March 2020,Uttar Dinajpur,,,,,,,,,52.94,,208.0,,,,1699.0,1911.0,70.59,,,,3682.0,3610.0,,5216.0,72.0,
March 2022,Bankura,,,,,,,,,54.51,,337.0,,,,2236.0,2679.0,69.14,4915.0,,,,,5522.0,7987.0,,607.0
March 2022,Birbhum,,,,,,,,,72.7,,247.0,,,,1373.0,3656.0,68.97,5029.0,,,,,5037.0,7303.0,,8.0
March 2022,Cooch Behar,,,,,,,,,52.32,,153.0,,,,1244.0,1365.0,71.92,2609.0,,,,,2643.0,3675.0,,34.0
March 2022,Dakshin Dinajpur,,,,,,,,,64.67,,228.0,,,,1600.0,2929.0,74.84,4529.0,,,,,4735.0,6327.0,,206.0
March 2022,Darjeeling,,,,,,,,,65.46,,123.0,,,,829.0,1571.0,75.41,2400.0,,,,,2444.0,3241.0,,44.0
March 2022,Hooghly,,,,,,,,,86.8,,292.0,,,,701.0,4608.0,72.15,5309.0,,,,,5309.0,7358.0,,0.0
March 2022,Howrah,,,,,,,,,26.61,,665.0,,,,9983.0,3619.0,84.33,13602.0,,,,,14258.0,16907.0,,656.0
March 2022,Jalpaiguri,,,,,,,,,76.79,,282.0,,,,1026.0,3395.0,79.77,4421.0,,,,,4685.0,5873.0,,264.0
March 2022,Malda,,,,,,,,,56.4,,249.0,,,,2161.0,2795.0,76.59,4956.0,,,,,5550.0,7246.0,,594.0
March 2022,Nadia,,,,,,,,,46.82,,237.0,,,,2146.0,1889.0,69.07,4035.0,,,,,4109.0,5949.0,,74.0
March 2022,North 24 Parganas,,,,,,,,,62.2,,296.0,,,,2326.0,3827.0,82.16,6153.0,,,,,6277.0,7640.0,,124.0
March 2022,Purba Bardhaman,,,,,,,,,61.34,,274.0,,,,1852.0,2938.0,68.42,4790.0,,,,,4790.0,7001.0,,0.0
March 2022,Purba Medinipur,,,,,,,,,55.85,,258.0,,,,2368.0,2995.0,72.33,5363.0,,,,,5412.0,7482.0,,49.0
March 2022,Purulia,,,,,,,,,64.31,,205.0,,,,964.0,1737.0,51.67,2701.0,,,,,2701.0,5227.0,,0.0
March 2022,South 24 Parganas,,,,,,,,,74.75,,334.0,,,,1435.0,4249.0,66.25,5684.0,,,,,5812.0,8773.0,,128.0
March 2022,Uttar Dinajpur,,,,,,,,,54.62,,236.0,,,,1926.0,2318.0,72.81,4244.0,,,,,4324.0,5939.0,,80.0
March 2023,Bankura,,,,,,,,,54.54,,363.0,,,,2579.0,3094.0,71.58,5673.0,,,,,6281.0,8775.0,,608.0
March 2023,Birbhum,,,,,,,,,71.67,,267.0,,,,1574.0,3981.0,70.08,5555.0,,,,,5563.0,7938.0,,8.0
March 2023,Cooch Behar,,,,,,,,,54.17,,170.0,,,,1367.0,1616.0,73.96,2983.0,,,,,3017.0,4079.0,,34.0
March 2023,Dakshin Dinajpur,,,,,,,,,64.41,,248.0,,,,1802.0,3261.0,76.1,5063.0,,,,,5269.0,6924.0,,206.0
March 2023,Darjeeling,,,,,,,,,64.76,,136.0,,,,941.0,1729.0,74.93,2670.0,,,,,2714.0,3622.0,,44.0
