period,district,31_03_2022,31_03_2023,31_03_2024,31_03_2025,aapb_achieved_in_current_fy,aapb_achieved_in_current_fy_2024_25,aapb_achieved_in_current_fy_2025_26,aapb_target,achivement,annual_target,annual_target_achievement_in_current_fy,annual_target_achievement_in_current_fy_2024_25,annual_target_achievement_in_current_fy_2025_26,apy_accounts_opened_in_current_fy,apy_accounts_opened_in_current_fy_2024_25,apy_accounts_opened_in_current_fy_2025_26,cumulative_apy_accounts_opened_since_inception,district_wise_enrolment_under_apy_31_03_2022,fy_2021_22_target,fy_2022_23_target,no_of_branch_es,no_of_branches,of_achivement
December 2022,Uttar Dinajpur,,,,,,,,,20572.0,,,,,,,,,,8160.0,9520.0,,,216.0
December 2023,Alipurduar,,48834.0,,,,,,,,,,,,,,,,40149.0,,,,,
December 2023,Bankura,,130915.0,,,,,,,,,,,,,,,,90775.0,,,,,
December 2023,Birbhum,,188288.0,,,,,,,,,,,,,,,,144188.0,,,,,
December 2023,Cooch Behar,,149868.0,,,,,,,,,,,,,,,,119415.0,,,,,
December 2023,Dakshin Dinajpur,,72246.0,,,,,,,,,,,,,,,,56908.0,,,,,
December 2023,Hooghly,,235879.0,,,,,,,,,,,,,,,,176041.0,,,,,
December 2023,Howrah,,186445.0,,,,,,,,,,,,,,,,143667.0,,,,,
December 2023,Jalpaiguri,,142300.0,,,,,,,,,,,,,,,,113528.0,,,,,
December 2023,Kolkata,,173616.0,,,,,,,,,,,,,,,,136176.0,,,,,
December 2023,Malda,,220904.0,,,,,,,,,,,,,,,,174857.0,,,,,
December 2023,Murshidabad,,369928.0,,,,,,,,,,,,,,,,284148.0,,,,,
December 2023,Nadia,,221897.0,,,,,,,,,,,,,,,,177673.0,,,,,
December 2023,North 24 Parganas,,350799.0,,,,,,,,,,,,,,,,276179.0,,,,,
December 2023,Paschim Medinipur,,245250.0,,,,,,,,,,,,,,,,187585.0,,,,,
December 2023,Purba Bardhaman,,284981.0,,,,,,,,,,,,,,,,209877.0,,,,,
December 2023,Purba Medinipur,,285537.0,,,,,,,,,,,,,,,,215230.0,,,,,
December 2023,Purulia,,100117.0,,,,,,,,,,,,,,,,68998.0,,,,,
December 2023,South 24 Parganas,,279780.0,,,,,,,,,,,,,,,,203582.0,,,,,
December 2023,Uttar Dinajpur,,126833.0,,,,,,,,,,,,,,,,102335.0,,,,,
December 2024,Alipurduar,,,,,,118.0,,390.0,,5580.0,,156.0,,,8695.0,,68929.0,,,,,74.0,
December 2024,Bankura,,,,,,137.0,,350.0,,22230.0,,157.0,,,34813.0,,214336.0,,,,,255.0,
December 2024,Birbhum,,,,,,104.0,,350.0,,23440.0,,122.0,,,28571.0,,260368.0,,,,,276.0,
December 2024,Cooch Behar,,,,,,122.0,,390.0,,17150.0,,153.0,,,26231.0,,211204.0,,,,,215.0,
December 2024,Dakshin Dinajpur,,,,,,141.0,,350.0,,9060.0,,169.0,,,15322.0,,110394.0,,,,,109.0,
December 2024,Darjeeling,,,,,,43.0,,390.0,,20070.0,,54.0,,,10818.0,,115685.0,,,,,249.0,
December 2024,Hooghly,,,,,,90.0,,350.0,,40915.0,,108.0,,,44330.0,,341632.0,,,,,493.0,
December 2024,Howrah,,,,,,59.0,,350.0,,34760.0,,71.0,,,24706.0,,252357.0,,,,,422.0,
December 2024,Jalpaiguri,,,,,,100.0,,370.0,,18930.0,,123.0,,,23203.0,,201562.0,,,,,233.0,
December 2024,Jhargram,,,,,,108.0,,350.0,,5430.0,,123.0,,,6689.0,,44590.0,,,,,62.0,
December 2024,Kalimpong,,,,,,29.0,,285.0,,1865.0,,34.0,,,636.0,,6826.0,,,,,22.0,
December 2024,Kolkata,,,,,,16.0,,280.0,,103445.0,,21.0,,,21339.0,,223597.0,,,,,1341.0,
December 2024,Malda,,,,,,178.0,,350.0,,19055.0,,209.0,,,39902.0,,316334.0,,,,,224.0,
December 2024,Murshidabad,,,,,,156.0,,350.0,,33765.0,,185.0,,,62377.0,,529420.0,,,,,399.0,
December 2024,Nadia,,,,,,108.0,,350.0,,30735.0,,133.0,,,40939.0,,319487.0,,,,,378.0,
December 2024,North 24 Parganas,,,,,,64.0,,370.0,,74515.0,,79.0,,,58730.0,,490267.0,,,,,916.0,
December 2024,Paschim Bardhaman,,,,,,41.0,,280.0,,17785.0,,54.0,,,9544.0,,74419.0,,,,,234.0,
December 2024,Paschim Medinipur,,,,,,92.0,,370.0,,32380.0,,110.0,,,35712.0,,304345.0,,,,,388.0,
December 2024,Purba Bardhaman,,,,,,71.0,,370.0,,44975.0,,89.0,,,39842.0,,334313.0,,,,,558.0,
December 2024,Purba Medinipur,,,,,,135.0,,370.0,,28500.0,,168.0,,,47828.0,,399433.0,,,,,354.0,
December 2024,Purulia,,,,,,128.0,,350.0,,14705.0,,150.0,,,21995.0,,155598.0,,,,,172.0,
December 2024,South 24 Parganas,,,,,,95.0,,370.0,,49005.0,,116.0,,,56689.0,,414213.0,,,,,596.0,
December 2024,Uttar Dinajpur,,,,,,151.0,,350.0,,12590.0,,185.0,,,23354.0,,182731.0,,,,,155.0,
December 2025,Alipurduar,,,,,,,123.0,83.0,,6230.0,,,148.0,,,9249.0,80788.0,,,,75.0,,
December 2025,Bankura,,,,,,,134.0,96.0,,24880.0,,,140.0,,,34947.0,262801.0,,,,260.0,,
December 2025,Birbhum,,,,,,,114.0,94.0,,26140.0,,,122.0,,,31762.0,304535.0,,,,279.0,,
December 2025,Cooch Behar,,,,,,,132.0,88.0,,19060.0,,,149.0,,,28457.0,249620.0,,,,216.0,,
December 2025,Dakshin Dinajpur,,,,,,,170.0,91.0,,10065.0,,,188.0,,,18881.0,134688.0,,,,111.0,,
December 2025,Darjeeling,,,,,,,45.0,88.0,,22495.0,,,50.0,,,11349.0,130829.0,,,,255.0,,
December 2025,Hooghly,,,,,,,97.0,90.0,,45985.0,,,107.0,,,49430.0,411348.0,,,,509.0,,
December 2025,Howrah,,,,,,,70.0,90.0,,38730.0,,,78.0,,,30221.0,295328.0,,,,431.0,,
December 2025,Jalpaiguri,,,,,,,115.0,89.0,,21180.0,,,129.0,,,27415.0,238324.0,,,,238.0,,
December 2025,Jhargram,,,,,,,112.0,97.0,,6105.0,,,116.0,,,7059.0,54672.0,,,,63.0,,
December 2025,Kalimpong,,,,,,,22.0,93.0,,2150.0,,,24.0,,,513.0,7767.0,,,,23.0,,
December 2025,Kolkata,,,,,,,22.0,83.0,,114700.0,,,26.0,,,30033.0,262872.0,,,,1374.0,,
December 2025,Malda,,,,,,,193.0,94.0,,21175.0,,,206.0,,,43712.0,374441.0,,,,226.0,,
December 2025,Murshidabad,,,,,,,168.0,93.0,,37830.0,,,181.0,,,68555.0,626270.0,,,,407.0,,
December 2025,Nadia,,,,,,,136.0,89.0,,34470.0,,,153.0,,,52765.0,393026.0,,,,387.0,,
December 2025,North 24 Parganas,,,,,,,76.0,88.0,,83350.0,,,87.0,,,72212.0,590364.0,,,,944.0,,
December 2025,Paschim Bardhaman,,,,,,,45.0,83.0,,20095.0,,,55.0,,,11037.0,90333.0,,,,243.0,,
December 2025,Paschim Medinipur,,,,,,,119.0,91.0,,36290.0,,,130.0,,,47326.0,367778.0,,,,397.0,,
December 2025,Purba Bardhaman,,,,,,,75.0,88.0,,49995.0,,,84.0,,,42223.0,394129.0,,,,565.0,,
December 2025,Purba Medinipur,,,,,,,147.0,88.0,,31680.0,,,166.0,,,52501.0,472718.0,,,,358.0,,
December 2025,Purulia,,,,,,,152.0,95.0,,16465.0,,,160.0,,,26421.0,191570.0,,,,174.0,,
December 2025,South 24 Parganas,,,,,,,119.0,90.0,,55140.0,,,131.0,,,72500.0,515224.0,,,,610.0,,
December 2025,Uttar Dinajpur,,,,,,,185.0,90.0,,14070.0,,,206.0,,,29042.0,220042.0,,,,157.0,,
June 2024,Alipurduar,40149.0,48834.0,59976.0,,,,,,,,,,,,,,,,,,,,
June 2024,Bankura,90775.0,130915.0,179499.0,,,,,,,,,,,,,,,,,,,,
June 2024,Birbhum,144188.0,188288.0,231682.0,,,,,,,,,,,,,,,,,,,,
June 2024,Cooch Behar,119415.0,149868.0,184833.0,,,,,,,,,,,,,,,,,,,,
June 2024,Dakshin Dinajpur,56908.0,72246.0,95059.0,,,,,,,,,,,,,,,,,,,,
June 2024,Hooghly,176041.0,235879.0,297183.0,,,,,,,,,,,,,,,,,,,,
June 2024,Howrah,143667.0,186445.0,227583.0,,,,,,,,,,,,,,,,,,,,
June 2024,Jalpaiguri,113528.0,142300.0,178125.0,,,,,,,,,,,,,,,,,,,,
June 2024,Kolkata,136176.0,173616.0,201304.0,,,,,,,,,,,,,,,,,,,,
June 2024,Malda,174857.0,220904.0,275257.0,,,,,,,,,,,,,,,,,,,,
June 2024,Murshidabad,284148.0,369928.0,466780.0,,,,,,,,,,,,,,,,,,,,
June 2024,Nadia,177673.0,221897.0,278356.0,,,,,,,,,,,,,,,,,,,,
June 2024,North 24 Parganas,276179.0,350799.0,431310.0,,,,,,,,,,,,,,,,,,,,
June 2024,Paschim Medinipur,187585.0,245250.0,306302.0,,,,,,,,,,,,,,,,,,,,
June 2024,Purba Bardhaman,209877.0,284981.0,359146.0,,,,,,,,,,,,,,,,,,,,
June 2024,Purba Medinipur,215230.0,285537.0,351421.0,,,,,,,,,,,,,,,,,,,,
June 2024,Purulia,68998.0,100117.0,133570.0,,,,,,,,,,,,,,,,,,,,
June 2024,South 24 Parganas,203582.0,279780.0,357477.0,,,,,,,,,,,,,,,,,,,,
June 2024,Uttar Dinajpur,102335.0,126833.0,159353.0,,,,,,,,,,,,,,,,,,,,
June 2025,Alipurduar,,48834.0,59976.0,71535.0,,,,,,,,,,,,,,,,,,,
June 2025,Bankura,,130915.0,179499.0,227780.0,,,,,,,,,,,,,,,,,,,
June 2025,Birbhum,,188288.0,231682.0,272667.0,,,,,,,,,,,,,,,,,,,
June 2025,Cooch Behar,,149868.0,184833.0,221164.0,,,,,,,,,,,,,,,,,,,
June 2025,Dakshin Dinajpur,,72246.0,95059.0,115740.0,,,,,,,,,,,,,,,,,,,
June 2025,Hooghly,,235879.0,297183.0,361389.0,,,,,,,,,,,,,,,,,,,
June 2025,Howrah,,186445.0,227583.0,264565.0,,,,,,,,,,,,,,,,,,,
June 2025,Jalpaiguri,,142300.0,178125.0,210807.0,,,,,,,,,,,,,,,,,,,
June 2025,Kolkata,,173616.0,201304.0,231733.0,,,,,,,,,,,,,,,,,,,
June 2025,Malda,,220904.0,275257.0,330689.0,,,,,,,,,,,,,,,,,,,
June 2025,Murshidabad,,369928.0,466780.0,557410.0,,,,,,,,,,,,,,,,,,,
June 2025,Nadia,,221897.0,278356.0,340086.0,,,,,,,,,,,,,,,,,,,
June 2025,North 24 Parganas,,350799.0,431310.0,517805.0,,,,,,,,,,,,,,,,,,,
June 2025,Paschim Medinipur,,245250.0,306302.0,368226.0,,,,,,,,,,,,,,,,,,,
June 2025,Purba Bardhaman,,284981.0,359146.0,430480.0,,,,,,,,,,,,,,,,,,,
June 2025,Purba Medinipur,,285537.0,351421.0,420110.0,,,,,,,,,,,,,,,,,,,
June 2025,Purulia,,100117.0,133570.0,164867.0,,,,,,,,,,,,,,,,,,,
June 2025,South 24 Parganas,,279780.0,357477.0,442484.0,,,,,,,,,,,,,,,,,,,
June 2025,Uttar Dinajpur,,126833.0,159353.0,190992.0,,,,,,,,,,,,,,,,,,,
March 2024,Alipurduar,,,,,169.0,,,100.0,,5550.0,201.0,,,11161.0,,,59976.0,,,,,66.0,
March 2024,Bankura,,,,,193.0,,,100.0,,24270.0,200.0,,,48606.0,,,179499.0,,,,,252.0,
March 2024,Birbhum,,,,,160.0,,,100.0,,25450.0,171.0,,,43443.0,,,231682.0,,,,,272.0,
March 2024,Cooch Behar,,,,,167.0,,,100.0,,18350.0,189.0,,,34622.0,,,184833.0,,,,,207.0,
March 2024,Dakshin Dinajpur,,,,,215.0,,,100.0,,9700.0,235.0,,,22826.0,,,95059.0,,,,,106.0,
March 2024,Darjeeling,,,,,65.0,,,100.0,,21410.0,74.0,,,15745.0,,,104835.0,,,,,241.0,
March 2024,Hooghly,,,,,128.0,,,100.0,,43630.0,141.0,,,61337.0,,,297183.0,,,,,479.0,
March 2024,Howrah,,,,,101.0,,,100.0,,36930.0,111.0,,,41165.0,,,227583.0,,,,,409.0,
March 2024,Jalpaiguri,,,,,166.0,,,100.0,,20080.0,178.0,,,35840.0,,,178125.0,,,,,216.0,
March 2024,Jhargram,,,,,147.0,,,100.0,,5700.0,150.0,,,8523.0,,,36920.0,,,,,58.0,
March 2024,Kalimpong,,,,,48.0,,,100.0,,1770.0,52.0,,,919.0,,,6115.0,,,,,19.0,
March 2024,Kolkata,,,,,21.0,,,100.0,,109150.0,25.0,,,27604.0,,,201304.0,,,,,1302.0,
March 2024,Malda,,,,,247.0,,,100.0,,20630.0,264.0,,,54428.0,,,275257.0,,,,,220.0,
March 2024,Murshidabad,,,,,247.0,,,100.0,,36530.0,265.0,,,96965.0,,,466780.0,,,,,392.0,
March 2024,Nadia,,,,,153.0,,,100.0,,32690.0,173.0,,,56484.0,,,278356.0,,,,,368.0,
March 2024,North 24 Parganas,,,,,91.0,,,100.0,,79140.0,101.0,,,80176.0,,,431310.0,,,,,881.0,
March 2024,Paschim Bardhaman,,,,,58.0,,,100.0,,18260.0,69.0,,,12554.0,,,64783.0,,,,,217.0,
March 2024,Paschim Medinipur,,,,,141.0,,,100.0,,34630.0,151.0,,,52319.0,,,269382.0,,,,,370.0,
March 2024,Purba Bardhaman,,,,,110.0,,,100.0,,48890.0,125.0,,,61262.0,,,294363.0,,,,,559.0,
March 2024,Purba Medinipur,,,,,209.0,,,100.0,,29900.0,221.0,,,65935.0,,,351421.0,,,,,316.0,
March 2024,Purulia,,,,,199.0,,,100.0,,15800.0,212.0,,,33464.0,,,133570.0,,,,,168.0,
March 2024,South 24 Parganas,,,,,134.0,,,100.0,,53040.0,147.0,,,77767.0,,,357477.0,,,,,582.0,
March 2024,Uttar Dinajpur,,,,,214.0,,,100.0,,13460.0,242.0,,,32533.0,,,159353.0,,,,,152.0,
March 2025,Alipurduar,,,,,,,153.0,390.0,,5580.0,,,203.0,,,11301.0,71535.0,,,,,74.0,
March 2025,Bankura,,,,,,,189.0,350.0,,22230.0,,,217.0,,,48257.0,227780.0,,,,,255.0,
March 2025,Birbhum,,,,,,,148.0,350.0,,23440.0,,,174.0,,,40871.0,272667.0,,,,,276.0,
March 2025,Cooch Behar,,,,,,,168.0,390.0,,17150.0,,,211.0,,,36191.0,221164.0,,,,,215.0,
March 2025,Dakshin Dinajpur,,,,,,,190.0,350.0,,9060.0,,,228.0,,,20668.0,115740.0,,,,,109.0,
March 2025,Darjeeling,,,,,,,58.0,390.0,,20070.0,,,72.0,,,14499.0,119366.0,,,,,249.0,
March 2025,Hooghly,,,,,,,130.0,350.0,,40915.0,,,157.0,,,64088.0,361389.0,,,,,493.0,
March 2025,Howrah,,,,,,,87.0,350.0,,34760.0,,,106.0,,,36914.0,264565.0,,,,,422.0,
March 2025,Jalpaiguri,,,,,,,139.0,370.0,,18930.0,,,171.0,,,32448.0,210807.0,,,,,233.0,
March 2025,Jhargram,,,,,,,157.0,350.0,,5430.0,,,179.0,,,9707.0,47608.0,,,,,62.0,
March 2025,Kalimpong,,,,,,,48.0,285.0,,1865.0,,,57.0,,,1064.0,7254.0,,,,,22.0,
March 2025,Kolkata,,,,,,,22.0,280.0,,103445.0,,,28.0,,,29481.0,231733.0,,,,,1341.0,
March 2025,Malda,,,,,,,242.0,350.0,,19055.0,,,285.0,,,54257.0,330689.0,,,,,224.0,
March 2025,Murshidabad,,,,,,,226.0,350.0,,33765.0,,,268.0,,,90367.0,557410.0,,,,,399.0,
March 2025,Nadia,,,,,,,163.0,350.0,,30735.0,,,200.0,,,61538.0,340086.0,,,,,378.0,
March 2025,North 24 Parganas,,,,,,,94.0,370.0,,74515.0,,,116.0,,,86269.0,517805.0,,,,,916.0,
March 2025,Paschim Bardhaman,,,,,,,60.0,280.0,,17785.0,,,79.0,,,13969.0,78844.0,,,,,234.0,
March 2025,Paschim Medinipur,,,,,,,134.0,370.0,,32380.0,,,161.0,,,51985.0,320618.0,,,,,388.0,
March 2025,Purba Bardhaman,,,,,,,102.0,370.0,,44975.0,,,127.0,,,57165.0,351636.0,,,,,558.0,
March 2025,Purba Medinipur,,,,,,,194.0,370.0,,28500.0,,,240.0,,,68505.0,420110.0,,,,,354.0,
March 2025,Purulia,,,,,,,182.0,350.0,,14705.0,,,213.0,,,31264.0,164867.0,,,,,172.0,
March 2025,South 24 Parganas,,,,,,,143.0,370.0,,49005.0,,,173.0,,,84960.0,442484.0,,,,,596.0,
March 2025,Uttar Dinajpur,,,,,,,204.0,350.0,,12590.0,,,251.0,,,31615.0,190992.0,,,,,155.0,
September 2025,Alipurduar,,,,,,,86.0,83.0,,6230.0,,,103.0,,,6429.0,77968.0,,,,,75.0,
September 2025,Bankura,,,,,,,85.0,96.0,,24880.0,,,89.0,,,22157.0,250011.0,,,,,260.0,
September 2025,Birbhum,,,,,,,76.0,94.0,,26140.0,,,81.0,,,21216.0,293989.0,,,,,279.0,
September 2025,Cooch Behar,,,,,,,94.0,88.0,,19060.0,,,106.0,,,20207.0,241370.0,,,,,216.0,
September 2025,Dakshin Dinajpur,,,,,,,107.0,91.0,,10065.0,,,118.0,,,11834.0,127642.0,,,,,111.0,
September 2025,Darjeeling,,,,,,,29.0,88.0,,22495.0,,,32.0,,,7290.0,126770.0,,,,,255.0,
September 2025,Hooghly,,,,,,,65.0,90.0,,45985.0,,,72.0,,,32935.0,394855.0,,,,,509.0,
September 2025,Howrah,,,,,,,46.0,90.0,,38730.0,,,51.0,,,19775.0,284882.0,,,,,431.0,
September 2025,Jalpaiguri,,,,,,,81.0,89.0,,21180.0,,,91.0,,,19302.0,230211.0,,,,,238.0,
September 2025,Jhargram,,,,,,,76.0,97.0,,6105.0,,,79.0,,,4812.0,52425.0,,,,,63.0,
September 2025,Kalimpong,,,,,,,12.0,93.0,,2150.0,,,13.0,,,286.0,7540.0,,,,,23.0,
September 2025,Kolkata,,,,,,,14.0,83.0,,114700.0,,,16.0,,,18741.0,251582.0,,,,,1374.0,
September 2025,Malda,,,,,,,128.0,94.0,,21175.0,,,136.0,,,28857.0,359587.0,,,,,226.0,
September 2025,Murshidabad,,,,,,,112.0,93.0,,37830.0,,,120.0,,,45570.0,603286.0,,,,,407.0,
September 2025,Nadia,,,,,,,88.0,89.0,,34470.0,,,99.0,,,34176.0,374437.0,,,,,387.0,
September 2025,North 24 Parganas,,,,,,,49.0,88.0,,83350.0,,,56.0,,,46673.0,564827.0,,,,,944.0,
September 2025,Paschim Bardhaman,,,,,,,33.0,83.0,,20095.0,,,40.0,,,8013.0,87309.0,,,,,243.0,
September 2025,Paschim Medinipur,,,,,,,80.0,91.0,,36290.0,,,88.0,,,31822.0,352275.0,,,,,397.0,
September 2025,Purba Bardhaman,,,,,,,53.0,88.0,,49995.0,,,59.0,,,29730.0,381636.0,,,,,565.0,
September 2025,Purba Medinipur,,,,,,,96.0,88.0,,31680.0,,,108.0,,,34313.0,454531.0,,,,,358.0,
September 2025,Purulia,,,,,,,103.0,95.0,,16465.0,,,109.0,,,17877.0,183026.0,,,,,174.0,
September 2025,South 24 Parganas,,,,,,,77.0,90.0,,55140.0,,,85.0,,,46687.0,489412.0,,,,,610.0,
September 2025,Uttar Dinajpur,,,,,,,118.0,90.0,,14070.0,,,132.0,,,18552.0,209552.0,,,,,157.0,
