period,district,achievement_mm_disbursed_no,achievement_no_wise,amoun,amount,amount_wise,app_pending_no,disbursement_made_by_nodal_branches_no_of,disbursement_no,forwarded_no,forwarded_to_bank_no,forwarded_to_bank_no_of_prj,forwarded_to_banks_no,margin_money_claimed_no_of,margin_money_involve,mm,mm_claimed,mm_claimed_no,mm_disb_pending_no,mm_disbursed_no,mm_disbursement_no,mm_involve,of_achievement_mm_disbursed_no,pending_at_bank_no,pending_for_mm_disb_no,pending_for_mm_no,pending_mm_disb_no,pending_no,rejected_by_bank_no,rejected_no,returned_by_bank_no,returned_no,returned_t_no,row,sanctioned_by_bank_no,sanctioned_by_bank_no_of,sanctioned_no,sponsored_in_fy_2022_23_no,sponsored_in_fy_2023_24_no,sponsored_in_fy_2025_26_no,sponsored_no,target_2020_21_no,target_2021_22_no,target_for_2022_23_no,target_for_2023_24_no,target_for_fy_2025_26_no
December 2017,Malda,,,,,,,7.0,,,,302.0,,7.0,,7.09,,,,,,45.32,,,,,,,,,,,,,,43.0,,,,,,,,,,
December 2017,Murshidabad,,,,,,,25.0,,,,883.0,,27.0,,58.2,,,,,,91.19,,,,,,,,,,,,,,38.0,,,,,,,,,,
December 2017,Nadia,,,,,,,31.0,,,,222.0,,36.0,,131.83,,,,,,160.0,,,,,,,,,,,,,,47.0,,,,,,,,,,
December 2017,Paschim Medinipur,,,,,,,7.0,,,,886.0,,10.0,,14.94,,,,,,82.68,,,,,,,,,,,,,,43.0,,,,,,,,,,
December 2017,Purba Medinipur,,,,,,,98.0,,,,3822.0,,118.0,,304.16,,,,,,1029.36,,,,,,,,,,,,,,368.0,,,,,,,,,,
December 2017,Purulia,,,,,,,3.0,,,,104.0,,3.0,,16.27,,,,,,42.3,,,,,,,,,,,,,,20.0,,,,,,,,,,
December 2017,Uttar Dinajpur,,,,,,,7.0,,,,65.0,,6.0,,33.29,,,,,,14.47,,,,,,,,,,,,,,5.0,,,,,,,,,,
December 2019,Alipurduar,,,,,,,,,,,,,,,0.0,,14.0,0.0,14.0,,,,143.0,,,,,,370.0,,,,,,,22.0,,,,539.0,,,,,
December 2019,Bankura,,,,,,,,,,,,,,,0.0,,38.0,0.0,36.0,,,,62.0,,,,,,80.0,,,,,,,38.0,,,,171.0,,,,,
December 2019,Birbhum,,,,,,,,,,,,,,,0.0,,39.0,0.0,41.0,,,,50.0,,,,,,98.0,,,,,,,44.0,,,,183.0,,,,,
December 2019,Cooch Behar,,,,,,,,,,,,,,,10.32,,53.0,4.0,48.0,,,,94.0,,,,,,379.0,,,,,,,31.0,,,,498.0,,,,,
December 2019,Dakshin Dinajpur,,,,,,,,,,,,,,,0.0,,26.0,0.0,27.0,,,,39.0,,,,,,29.0,,,,,,,18.0,,,,80.0,,,,,
December 2019,Darjeeling,,,,,,,,,,,,,,,0.0,,37.0,0.0,37.0,,,,135.0,,,,,,92.0,,,,,,,29.0,,,,240.0,,,,,
December 2019,Hooghly,,,,,,,,,,,,,,,1.4,,28.0,1.0,29.0,,,,11.0,,,,,,32.0,,,,,,,15.0,,,,51.0,,,,,
December 2019,Howrah,,,,,,,,,,,,,,,0.0,,37.0,0.0,38.0,,,,68.0,,,,,,63.0,,,,,,,37.0,,,,155.0,,,,,
December 2019,Jalpaiguri,,,,,,,,,,,,,,,0.0,,7.0,0.0,7.0,,,,56.0,,,,,,71.0,,,,,,,12.0,,,,130.0,,,,,
December 2019,Jhargram,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,8.0,,,,,,5.0,,,,,,,0.0,,,,13.0,,,,,
December 2019,Kalimpong,,,,,,,,,,,,,,,0.0,,7.0,0.0,8.0,,,,3.0,,,,,,4.0,,,,,,,8.0,,,,7.0,,,,,
December 2019,Kolkata,,,,,,,,,,,,,,,0.0,,10.0,0.0,10.0,,,,59.0,,,,,,88.0,,,,,,,5.0,,,,154.0,,,,,
December 2019,Malda,,,,,,,,,,,,,,,1.4,,20.0,1.0,18.0,,,,42.0,,,,,,66.0,,,,,,,18.0,,,,122.0,,,,,
December 2019,Murshidabad,,,,,,,,,,,,,,,0.0,,98.0,0.0,93.0,,,,387.0,,,,,,411.0,,,,,,,90.0,,,,875.0,,,,,
December 2019,Nadia,,,,,,,,,,,,,,,6.97,,68.0,2.0,65.0,,,,115.0,,,,,,182.0,,,,,,,81.0,,,,387.0,,,,,
December 2019,Paschim Bardhaman,,,,,,,,,,,,,,,0.0,,3.0,0.0,3.0,,,,13.0,,,,,,41.0,,,,,,,5.0,,,,59.0,,,,,
December 2019,Paschim Medinipur,,,,,,,,,,,,,,,1.75,,38.0,1.0,30.0,,,,175.0,,,,,,198.0,,,,,,,47.0,,,,421.0,,,,,
December 2019,Purba Bardhaman,,,,,,,,,,,,,,,0.0,,44.0,0.0,44.0,,,,37.0,,,,,,116.0,,,,,,,47.0,,,,174.0,,,,,
December 2019,Purba Medinipur,,,,,,,,,,,,,,,1.75,,322.0,1.0,331.0,,,,1308.0,,,,,,758.0,,,,,,,358.0,,,,2350.0,,,,,
December 2019,Purulia,,,,,,,,,,,,,,,0.0,,22.0,0.0,24.0,,,,89.0,,,,,,46.0,,,,,,,24.0,,,,149.0,,,,,
December 2019,Uttar Dinajpur,,,,,,,,,,,,,,,0.0,,2.0,0.0,2.0,,,,6.0,,,,,,16.0,,,,,,,0.0,,,,23.0,,,,,
December 2020,Alipurduar,,,,,,,,,,382.0,,,,,0.25,,58.0,,,44.0,,,117.0,9.0,,,,,,181.0,,,,93.0,,,,,,,,,,,
December 2020,Bankura,,,,,,,,,,171.0,,,,,0.0,,27.0,,,27.0,,,70.0,0.0,,,,,,87.0,,,,20.0,,,,,,,,,,,
December 2020,Birbhum,,,,,,,,,,239.0,,,,,0.01,,51.0,,,45.0,,,72.0,1.0,,,,,,119.0,,,,66.0,,,,,,,,,,,
December 2020,Cooch Behar,,,,,,,,,,437.0,,,,,0.0,,42.0,,,43.0,,,139.0,0.0,,,,,,251.0,,,,64.0,,,,,,,,,,,
December 2020,Dakshin Dinajpur,,,,,,,,,,135.0,,,,,0.03,,19.0,,,18.0,,,35.0,1.0,,,,,,75.0,,,,26.0,,,,,,,,,,,
December 2020,Darjeeling,,,,,,,,,,191.0,,,,,0.0,,36.0,,,35.0,,,99.0,0.0,,,,,,60.0,,,,50.0,,,,,,,,,,,
December 2020,Hooghly,,,,,,,,,,116.0,,,,,0.0,,16.0,,,16.0,,,38.0,0.0,,,,,,56.0,,,,22.0,,,,,,,,,,,
December 2020,Howrah,,,,,,,,,,160.0,,,,,0.0,,17.0,,,17.0,,,81.0,0.0,,,,,,69.0,,,,14.0,,,,,,,,,,,
December 2020,Jalpaiguri,,,,,,,,,,401.0,,,,,0.0,,17.0,,,15.0,,,132.0,0.0,,,,,,237.0,,,,33.0,,,,,,,,,,,
December 2020,Jhargram,,,,,,,,,,11.0,,,,,0.01,,6.0,,,5.0,,,5.0,1.0,,,,,,5.0,,,,5.0,,,,,,,,,,,
December 2020,Kalimpong,,,,,,,,,,38.0,,,,,0.02,,2.0,,,0.0,,,20.0,2.0,,,,,,16.0,,,,4.0,,,,,,,,,,,
December 2020,Kolkata,,,,,,,,,,106.0,,,,,0.01,,3.0,,,2.0,,,47.0,1.0,,,,,,40.0,,,,22.0,,,,,,,,,,,
December 2020,Malda,,,,,,,,,,183.0,,,,,0.01,,26.0,,,25.0,,,59.0,1.0,,,,,,96.0,,,,33.0,,,,,,,,,,,
December 2020,Murshidabad,,,,,,,,,,633.0,,,,,0.09,,96.0,,,90.0,,,215.0,6.0,,,,,,325.0,,,,105.0,,,,,,,,,,,
December 2020,Nadia,,,,,,,,,,257.0,,,,,0.06,,69.0,,,68.0,,,124.0,1.0,,,,,,86.0,,,,69.0,,,,,,,,,,,
December 2020,North 24 Parganas,,,,,,,,,,1240.0,,,,,0.18,,102.0,,,98.0,,,348.0,6.0,,,,,,788.0,,,,107.0,,,,,,,,,,,
December 2020,Paschim Bardhaman,,,,,,,,,,23.0,,,,,0.0,,4.0,,,4.0,,,8.0,0.0,,,,,,13.0,,,,3.0,,,,,,,,,,,
December 2020,Paschim Medinipur,,,,,,,,,,237.0,,,,,0.0,,36.0,,,35.0,,,110.0,0.0,,,,,,87.0,,,,51.0,,,,,,,,,,,
December 2020,Purba Medinipur,,,,,,,,,,1372.0,,,,,0.0,,294.0,,,292.0,,,559.0,0.0,,,,,,603.0,,,,277.0,,,,,,,,,,,
December 2020,Purulia,,,,,,,,,,187.0,,,,,0.06,,12.0,,,11.0,,,70.0,1.0,,,,,,101.0,,,,26.0,,,,,,,,,,,
December 2020,South 24 Parganas,,,,,,,,,,820.0,,,,,0.12,,70.0,,,65.0,,,244.0,2.0,,,,,,520.0,,,,83.0,,,,,,,,,,,
December 2020,Uttar Dinajpur,,,,,,,,,,61.0,,,,,0.0,,2.0,,,2.0,,,38.0,0.0,,,,,,20.0,,,,7.0,,,,,,,,,,,
December 2021,Alipurduar,,23.85,1.01,2.39,25.95,,,,,212.0,,,,,,,28.0,,31.0,,,,,,,,,,,,,86.0,,,,54.0,,,,,,130.0,,,
December 2021,Bankura,,6.92,0.27,2.21,6.84,,,,,204.0,,,,,,,9.0,,9.0,,,,,,,,,,,,,67.0,,,,61.0,,,,,,130.0,,,
December 2021,Birbhum,,33.08,1.45,2.07,37.2,,,,,217.0,,,,,,,41.0,,43.0,,,,,,,,,,,,,76.0,,,,55.0,,,,,,130.0,,,
December 2021,Cooch Behar,,20.0,0.55,5.07,14.18,,,,,339.0,,,,,,,25.0,,26.0,,,,,,,,,,,,,181.0,,,,53.0,,,,,,130.0,,,
December 2021,Dakshin Dinajpur,,31.67,2.07,4.16,57.61,,,,,195.0,,,,,,,35.0,,38.0,,,,,,,,,,,,,79.0,,,,38.0,,,,,,120.0,,,
December 2021,Darjeeling,,33.33,1.24,2.0,34.39,,,,,166.0,,,,,,,33.0,,40.0,,,,,,,,,,,,,62.0,,,,55.0,,,,,,120.0,,,
December 2021,Hooghly,,20.83,0.76,3.81,21.02,,,,,250.0,,,,,,,27.0,,25.0,,,,,,,,,,,,,127.0,,,,44.0,,,,,,120.0,,,
December 2021,Howrah,,18.33,0.56,2.35,15.52,,,,,220.0,,,,,,,15.0,,22.0,,,,,,,,,,,,,82.0,,,,43.0,,,,,,120.0,,,
December 2021,Jalpaiguri,,47.5,1.82,2.29,50.48,,,,,437.0,,,,,,,61.0,,57.0,,,,,,,,,,,,,125.0,,,,90.0,,,,,,120.0,,,
December 2021,Jhargram,,3.33,0.19,0.23,5.32,,,,,34.0,,,,,,,4.0,,4.0,,,,,,,,,,,,,8.0,,,,13.0,,,,,,120.0,,,
December 2021,Kalimpong,,5.0,0.2,0.34,5.5,,,,,39.0,,,,,,,8.0,,6.0,,,,,,,,,,,,,10.0,,,,14.0,,,,,,120.0,,,
December 2021,Kolkata,,3.33,0.04,0.59,1.13,,,,,88.0,,,,,,,4.0,,4.0,,,,,,,,,,,,,29.0,,,,12.0,,,,,,120.0,,,
December 2021,Malda,,15.83,0.54,3.22,15.12,,,,,283.0,,,,,,,17.0,,19.0,,,,,,,,,,,,,99.0,,,,45.0,,,,,,120.0,,,
December 2021,Murshidabad,,33.6,3.13,9.66,41.29,,,,,526.0,,,,,,,87.0,,85.0,,,,,,,,,,,,,239.0,,,,142.0,,,,,,253.0,,,
December 2021,Nadia,,11.67,0.68,4.42,18.85,,,,,516.0,,,,,,,11.0,,14.0,,,,,,,,,,,,,113.0,,,,32.0,,,,,,120.0,,,
December 2021,North 24 Parganas,,59.0,4.39,13.21,73.12,,,,,933.0,,,,,,,124.0,,118.0,,,,,,,,,,,,,371.0,,,,177.0,,,,,,200.0,,,
December 2021,Paschim Bardhaman,,3.33,0.23,0.12,6.36,,,,,22.0,,,,,,,3.0,,4.0,,,,,,,,,,,,,6.0,,,,8.0,,,,,,120.0,,,
December 2021,Paschim Medinipur,,17.06,1.19,4.05,23.39,,,,,341.0,,,,,,,30.0,,29.0,,,,,,,,,,,,,137.0,,,,52.0,,,,,,170.0,,,
December 2021,Purba Medinipur,,60.0,12.82,12.41,95.15,,,,,1203.0,,,,,,,263.0,,270.0,,,,,,,,,,,,,344.0,,,,304.0,,,,,,450.0,,,
December 2021,Purulia,,10.83,0.39,1.57,10.83,,,,,139.0,,,,,,,13.0,,13.0,,,,,,,,,,,,,50.0,,,,20.0,,,,,,120.0,,,
December 2021,South 24 Parganas,,31.0,3.22,11.16,35.79,,,,,656.0,,,,,,,93.0,,93.0,,,,,,,,,,,,,290.0,,,,153.0,,,,,,300.0,,,
December 2021,Uttar Dinajpur,,30.83,1.05,0.58,29.1,,,,,82.0,,,,,,,37.0,,37.0,,,,,,,,,,,,,14.0,,,,61.0,,,,,,120.0,,,
December 2022,Alipurduar,,,,364.23,,,,,,,,,,,,,59.0,,52.0,,,,,,,,,,,,112.0,,,,,85.0,232.0,,,,,,145.0,,
December 2022,Bankura,,,,270.18,,,,,,,,,,,,,33.0,,29.0,,,,,,,,,,,,83.0,,,,,46.0,163.0,,,,,,138.0,,
December 2022,Birbhum,,,,431.0,,,,,,,,,,,,,52.0,,41.0,,,,,,,,,,,,164.0,,,,,108.0,314.0,,,,,,168.0,,
December 2022,Cooch Behar,,,,1069.31,,,,,,,,,,,,,87.0,,75.0,,,,,,,,,,,,369.0,,,,,118.0,592.0,,,,,,167.0,,
December 2022,Dakshin Dinajpur,,,,168.5,,,,,,,,,,,,,16.0,,20.0,,,,,,,,,,,,44.0,,,,,26.0,99.0,,,,,,137.0,,
December 2022,Darjeeling,,,,456.39,,,,,,,,,,,,,35.0,,26.0,,,,,,,,,,,,122.0,,,,,71.0,234.0,,,,,,120.0,,
December 2022,Hooghly,,,,653.97,,,,,,,,,,,,,53.0,,32.0,,,,,,,,,,,,194.0,,,,,77.0,350.0,,,,,,133.0,,
December 2022,Howrah,,,,758.98,,,,,,,,,,,,,87.0,,63.0,,,,,,,,,,,,271.0,,,,,127.0,461.0,,,,,,120.0,,
December 2022,Jalpaiguri,,,,420.32,,,,,,,,,,,,,45.0,,34.0,,,,,,,,,,,,130.0,,,,,81.0,260.0,,,,,,125.0,,
December 2022,Kalimpong,,,,99.99,,,,,,,,,,,,,9.0,,14.0,,,,,,,,,,,,33.0,,,,,15.0,62.0,,,,,,100.0,,
December 2022,Kolkata,,,,131.07,,,,,,,,,,,,,7.0,,15.0,,,,,,,,,,,,69.0,,,,,8.0,113.0,,,,,,105.0,,
December 2022,Malda,,,,668.21,,,,,,,,,,,,,48.0,,30.0,,,,,,,,,,,,180.0,,,,,65.0,376.0,,,,,,112.0,,
December 2022,Murshidabad,,,,1217.81,,,,,,,,,,,,,158.0,,120.0,,,,,,,,,,,,318.0,,,,,245.0,697.0,,,,,,289.0,,
December 2022,Nadia,,,,461.42,,,,,,,,,,,,,46.0,,44.0,,,,,,,,,,,,102.0,,,,,80.0,250.0,,,,,,134.0,,
December 2022,Paschim Bardhaman,,,,26.77,,,,,,,,,,,,,10.0,,8.0,,,,,,,,,,,,8.0,,,,,11.0,23.0,,,,,,121.0,,
December 2022,Paschim Medinipur,,,,362.25,,,,,,,,,,,,,46.0,,31.0,,,,,,,,,,,,116.0,,,,,71.0,247.0,,,,,,205.0,,
December 2022,Purba Medinipur,,,,852.63,,,,,,,,,,,,,286.0,,238.0,,,,,,,,,,,,252.0,,,,,383.0,1217.0,,,,,,530.0,,
December 2022,Purulia,,,,253.99,,,,,,,,,,,,,23.0,,11.0,,,,,,,,,,,,84.0,,,,,59.0,210.0,,,,,,113.0,,
December 2022,Uttar Dinajpur,,,,130.78,,,,,,,,,,,,,16.0,,16.0,,,,,,,,,,,,57.0,,,,,39.0,122.0,,,,,,132.0,,
December 2025,Alipurduar,200.0,,,,,,,,,,,,,171.02,,,59.0,,36.0,,,,79.0,,42.0,,,,,,21.0,,,,,24.0,,,120.0,,,,,,18.0
December 2025,Bankura,25.64,,,,,,,,,,,,,46.86,,,27.0,,10.0,,,,51.0,,20.0,,,,,,25.0,,,,,21.0,,,96.0,,,,,,39.0
December 2025,Birbhum,70.0,,,,,,,,,,,,,65.55,,,48.0,,21.0,,,,66.0,,44.0,,,,,,30.0,,,,,23.0,,,114.0,,,,,,30.0
December 2025,Cooch Behar,200.0,,,,,,,,,,,,,150.81,,,58.0,,36.0,,,,63.0,,48.0,,,,,,9.0,,,,,15.0,,,86.0,,,,,,18.0
December 2025,Dakshin Dinajpur,16.47,,,,,,,,,,,,,25.86,,,19.0,,14.0,,,,39.0,,14.0,,,,,,3.0,,,,,5.0,,,48.0,,,,,,85.0
December 2025,Darjeeling,88.89,,,,,,,,,,,,,78.68,,,46.0,,16.0,,,,45.0,,40.0,,,,,,15.0,,,,,11.0,,,66.0,,,,,,18.0
December 2025,Hooghly,39.66,,,,,,,,,,,,,46.66,,,54.0,,23.0,,,,91.0,,44.0,,,,,,29.0,,,,,22.0,,,136.0,,,,,,58.0
December 2025,Howrah,54.9,,,,,,,,,,,,,52.47,,,93.0,,28.0,,,,64.0,,78.0,,,,,,59.0,,,,,19.0,,,138.0,,,,,,51.0
December 2025,Jalpaiguri,45.24,,,,,,,,,,,,,67.65,,,37.0,,19.0,,,,39.0,,19.0,,,,,,7.0,,,,,14.0,,,58.0,,,,,,42.0
December 2025,Kalimpong,66.67,,,,,,,,,,,,,45.6,,,16.0,,8.0,,,,11.0,,11.0,,,,,,2.0,,,,,6.0,,,14.0,,,,,,12.0
December 2025,Kolkata,8.33,,,,,,,,,,,,,4.27,,,13.0,,4.0,,,,46.0,,11.0,,,,,,10.0,,,,,1.0,,,57.0,,,,,,48.0
December 2025,Malda,38.1,,,,,,,,,,,,,37.65,,,25.0,,16.0,,,,44.0,,21.0,,,,,,17.0,,,,,18.0,,,70.0,,,,,,42.0
December 2025,Murshidabad,42.59,,,,,,,,,,,,,50.24,,,61.0,,23.0,,,,53.0,,56.0,,,,,,13.0,,,,,15.0,,,78.0,,,,,,54.0
December 2025,Nadia,16.04,,,,,,,,,,,,,25.8,,,57.0,,17.0,,,,52.0,,46.0,,,,,,12.0,,,,,12.0,,,69.0,,,,,,106.0
December 2025,North 24 Parganas,129.51,,,,,,,,,,,,,136.56,,,124.0,,79.0,,,,278.0,,91.0,,,,,,90.0,,,,,77.0,,,437.0,,,,,,61.0
December 2025,Paschim Bardhaman,2.53,,,,,,,,,,,,,2.98,,,8.0,,2.0,,,,12.0,,7.0,,,,,,1.0,,,,,6.0,,,15.0,,,,,,79.0
December 2025,Paschim Medinipur,50.0,,,,,,,,,,,,,63.69,,,86.0,,23.0,,,,107.0,,75.0,,,,,,21.0,,,,,45.0,,,156.0,,,,,,46.0
December 2025,Purba Bardhaman,18.92,,,,,,,,,,,,,14.08,,,30.0,,7.0,,,,93.0,,29.0,,,,,,13.0,,,,,14.0,,,116.0,,,,,,37.0
December 2025,Purba Medinipur,398.68,,,,,,,,,,,,,476.87,,,459.0,,303.0,,,,208.0,,385.0,,,,,,85.0,,,,,201.0,,,459.0,,,,,,76.0
December 2025,Purulia,38.71,,,,,,,,,,,,,33.89,,,30.0,,12.0,,,,33.0,,24.0,,,,,,10.0,,,,,5.0,,,45.0,,,,,,31.0
December 2025,South 24 Parganas,157.58,,,,,,,,,,,,,167.69,,,98.0,,52.0,,,,222.0,,79.0,,,,,,55.0,,,,,63.0,,,331.0,,,,,,33.0
December 2025,Uttar Dinajpur,44.44,,,,,,,,,,,,,103.32,,,7.0,,4.0,,,,44.0,,4.0,,,,,,8.0,,,,,2.0,,,53.0,,,,,,9.0
June 2019,Alipurduar,,,,,,,,,,,,308.0,,,3.5,,4.0,,2.0,,,,,1.0,,,130.0,,176.0,,,,,,,3.0,,,,,,,,,
June 2019,Bankura,,,,,,,,,,,,6.0,,,0.0,,14.0,,14.0,,,,,0.0,,,3.0,,1.0,,,,,,,10.0,,,,,,,,,
June 2019,Birbhum,,,,,,,,,,,,0.0,,,0.0,,7.0,,7.0,,,,,0.0,,,0.0,,0.0,,,,,,,5.0,,,,,,,,,
June 2019,Cooch Behar,,,,,,,,,,,,463.0,,,6.87,,15.0,,7.0,,,,,5.0,,,293.0,,163.0,,,,,,,2.0,,,,,,,,,
June 2019,Darjeeling,,,,,,,,,,,,4.0,,,0.0,,4.0,,3.0,,,,,0.0,,,3.0,,1.0,,,,,,,17.0,,,,,,,,,
June 2019,Hooghly,,,,,,,,,,,,1.0,,,13.96,,6.0,,4.0,,,,,2.0,,,0.0,,0.0,,,,,,,4.0,,,,,,,,,
June 2019,Howrah,,,,,,,,,,,,19.0,,,0.0,,6.0,,6.0,,,,,0.0,,,13.0,,2.0,,,,,,,13.0,,,,,,,,,
June 2019,Jalpaiguri,,,,,,,,,,,,56.0,,,0.0,,2.0,,1.0,,,,,0.0,,,41.0,,15.0,,,,,,,3.0,,,,,,,,,
June 2019,Kalimpong,,,,,,,,,,,,2.0,,,0.0,,1.0,,0.0,,,,,0.0,,,2.0,,0.0,,,,,,,1.0,,,,,,,,,
June 2019,Kolkata,,,,,,,,,,,,122.0,,,2.83,,1.0,,0.0,,,,,1.0,,,91.0,,29.0,,,,,,,1.0,,,,,,,,,
June 2019,Malda,,,,,,,,,,,,3.0,,,0.0,,1.0,,1.0,,,,,0.0,,,2.0,,1.0,,,,,,,2.0,,,,,,,,,
June 2019,Murshidabad,,,,,,,,,,,,7.0,,,11.7,,30.0,,23.0,,,,,6.0,,,4.0,,1.0,,,,,,,14.0,,,,,,,,,
June 2019,Nadia,,,,,,,,,,,,0.0,,,0.0,,12.0,,6.0,,,,,0.0,,,0.0,,0.0,,,,,,,10.0,,,,,,,,,
June 2019,North 24 Parganas,,,,,,,,,,,,510.0,,,0.7,,22.0,,17.0,,,,,1.0,,,333.0,,160.0,,,,,,,18.0,,,,,,,,,
June 2019,Paschim Medinipur,,,,,,,,,,,,,,,0.74,,6.0,,4.0,,,,,1.0,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,
June 2019,Purulia,,,,,,,,,,,,0.0,,,0.0,,5.0,,5.0,,,,,0.0,,,0.0,,0.0,,,,,,,7.0,,,,,,,,,
June 2019,South 24 Parganas,,,,,,,,,,,,9.0,,,9.45,,33.0,,26.0,,,,,2.0,,,6.0,,2.0,,,,,,,33.0,,,,,,,,,
June 2021,Alipurduar,,,,1.1,,36.0,,,,66.0,,,,,,,5.0,,11.0,,,,,,,,,,,,21.0,,,,,12.0,,,,,,,,,
June 2021,Bankura,,,,0.1,,3.0,,,,15.0,,,,,,,0.0,,1.0,,,,,,,,,,,,12.0,,,,,4.0,,,,,,,,,
June 2021,Birbhum,,,,0.18,,6.0,,,,15.0,,,,,,,10.0,,11.0,,,,,,,,,,,,5.0,,,,,17.0,,,,,,,,,
June 2021,Cooch Behar,,,,0.27,,10.0,,,,15.0,,,,,,,2.0,,4.0,,,,,,,,,,,,4.0,,,,,12.0,,,,,,,,,
June 2021,Darjeeling,,,,0.61,,18.0,,,,24.0,,,,,,,4.0,,11.0,,,,,,,,,,,,6.0,,,,,5.0,,,,,,,,,
June 2021,Hooghly,,,,0.89,,36.0,,,,76.0,,,,,,,3.0,,5.0,,,,,,,,,,,,18.0,,,,,9.0,,,,,,,,,
June 2021,Howrah,,,,0.65,,26.0,,,,44.0,,,,,,,0.0,,7.0,,,,,,,,,,,,9.0,,,,,6.0,,,,,,,,,
June 2021,Jalpaiguri,,,,1.54,,88.0,,,,144.0,,,,,,,5.0,,6.0,,,,,,,,,,,,18.0,,,,,20.0,,,,,,,,,
June 2021,Jhargram,,,,0.18,,3.0,,,,4.0,,,,,,,0.0,,0.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,
June 2021,Kalimpong,,,,0.07,,3.0,,,,7.0,,,,,,,0.0,,0.0,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,
June 2021,Kolkata,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,1.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,
June 2021,Malda,,,,1.04,,31.0,,,,67.0,,,,,,,4.0,,6.0,,,,,,,,,,,,17.0,,,,,6.0,,,,,,,,,
June 2021,Murshidabad,,,,1.2,,36.0,,,,90.0,,,,,,,18.0,,22.0,,,,,,,,,,,,16.0,,,,,45.0,,,,,,,,,
June 2021,Nadia,,,,1.01,,17.0,,,,25.0,,,,,,,2.0,,6.0,,,,,,,,,,,,8.0,,,,,2.0,,,,,,,,,
June 2021,North 24 Parganas,,,,2.57,,76.0,,,,130.0,,,,,,,22.0,,27.0,,,,,,,,,,,,17.0,,,,,37.0,,,,,,,,,
June 2021,Paschim Bardhaman,,,,0.12,,2.0,,,,2.0,,,,,,,0.0,,1.0,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,
June 2021,Paschim Medinipur,,,,1.77,,46.0,,,,75.0,,,,,,,7.0,,9.0,,,,,,,,,,,,17.0,,,,,6.0,,,,,,,,,
June 2021,Purba Medinipur,,,,11.46,,204.0,,,,290.0,,,,,,,72.0,,81.0,,,,,,,,,,,,47.0,,,,,67.0,,,,,,,,,
June 2021,Purulia,,,,0.15,,6.0,,,,7.0,,,,,,,3.0,,1.0,,,,,,,,,,,,0.0,,,,,3.0,,,,,,,,,
June 2021,South 24 Parganas,,,,1.35,,31.0,,,,65.0,,,,,,,20.0,,21.0,,,,,,,,,,,,15.0,,,,,38.0,,,,,,,,,
