period,district,aapb_achieved_in_current_fy,aapb_achieved_in_current_fy_2024_25_34,aapb_achieved_in_current_fy_2025_26,aapb_target,aapb_target_370,annual_target,annual_target_74515,annual_target_achievement_in_current_fy,annual_target_achievement_in_current_fy_2024_25_20,annual_target_achievement_in_current_fy_2025_26,apy_accounts_opened_in_current_fy,apy_accounts_opened_in_current_fy_2024_25_14884,apy_accounts_opened_in_current_fy_2025_26,cumulative_apy_accounts_opened_since_inception,no_of_branches,no_of_branches_916
June 2025,Malda,,,119.0,375.0,,21175.0,,,,133.0,,,12288.0,343019.0,226.0,
June 2025,Murshidabad,,,115.0,375.0,,37830.0,,,,142.0,,,18671.0,576387.0,407.0,
June 2025,Nadia,,,66.0,375.0,,34470.0,,,,74.0,,,11872.0,352133.0,387.0,
June 2025,North 24 Parganas,,,49.0,395.0,,83350.0,,,,63.0,,,17273.0,535428.0,944.0,
June 2025,Paschim Bardhaman,,,37.0,295.0,,20095.0,,,,57.0,,,3187.0,82485.0,243.0,
June 2025,Paschim Medinipur,,,79.0,395.0,,36290.0,,,,101.0,,,10968.0,331421.0,397.0,
June 2025,Purba Bardhaman,,,57.0,395.0,,49995.0,,,,77.0,,,11090.0,362995.0,565.0,
June 2025,Purba Medinipur,,,102.0,395.0,,31680.0,,,,134.0,,,13409.0,433630.0,358.0,
June 2025,Purulia,,,97.0,375.0,,16465.0,,,,117.0,,,6791.0,171940.0,174.0,
June 2025,South 24 Parganas,,,83.0,395.0,,55140.0,,,,111.0,,,16702.0,459427.0,610.0,
June 2025,Uttar Dinajpur,,,120.0,375.0,,14070.0,,,,139.0,,,7312.0,198312.0,157.0,
