period,district,10_km_to_20_km_2000,1km,1km_3km,2000_5000,3km_5km,5000,5_km_7_5_km_2000,7_5_km_10_km_2000,above_20_km_2000,achievement_as_on_30_09_2018_no,achievement_as_on_no,amount,amount_rs_cr,amt,amt_in_lac,amt_lac,average_rs_lac,block_affected,disbursement_pending_no,education_no,export_credit_no,grand_total_no,housing_no,loan_amount_disbursed,loan_amount_rs_crore,mm_claimed_no,mm_disbursed_no,mouza_affected,no_of_affected_blocks,no_of_block_affected,no_of_mouza_affected,no_of_shg,nos,number_of_applications_pending_with_banks_as_on_31_03_2015,number_of_applications_rejected_by_the_bank_in_2015_16,number_of_applications_sent_to_bank_in_2015_16,number_of_wccs_issued_by_banks_in_2015_16,of_achievement_mm_disbursed_no,of_achievement_no,others_sector_activities_not_classified_elsewhere_no,out_of_a_approved_by_bank_b_no,out_of_a_rejected_d,out_of_b_disbursed_by_bank_c_no,pending_at_bank_level_verified_by_pmu_stcb_no,project_cost_rs_crore,renewable_energy_no,returned_no,rs_in_lakh_number_of_number_of_number_of_number_of_total_number_loan_loan_applications_applications_wccs_issued_applications_of_applications_amount_amount_sent_to_bank_pending_with_by_banks_in_rejected_by_pending_with_sanctioned_disbursed_remarks_in_2015_16_banks_as_on_2015_16_the_bank_in_bank_31_03_2015_2015_16_3_4_5_6,sanction_amount_rs_in_lac,sanctioned_no,sn,social_infrastructure_no,sponsored_in_fy_2024_25_no,target_for_2017_18_no,target_for_2018_19_no,target_for_2024_25_no,total,total_application_submitted_to_bank_a,total_gp,total_number_of_applications_pending_with_bank_3_4_5_6,total_of_gp_hqs_above_5_km_2000
December 2017,Kalimpong,,,,,,,,,,,194.0,,,23.52,369.77,,1.91,,,,,,,,,,,,,,,,,,,,,,21.6,,,,,,,,,,,,,,,898.0,,,,,,,
December 2017,Malda,,,,,,,,,,,15161.0,,,52.7,25115.12,,1.66,,,,,,,,,,,,,,,,,,,,,,65.53,,,,,,,,,,,,,,,23135.0,,,,,,,
December 2017,Murshidabad,,,,,,,,,,,24285.0,,,72.39,45620.85,,1.88,,,,,,,,,,,,,,,,,,,,,,77.07,,,,,,,,,,,,,,,31512.0,,,,,,,
December 2017,Nadia,,,,,,,,,,,26930.0,,,60.62,24307.78,,0.9,,,,,,,,,,,,,,,,,,,,,,114.84,,,,,,,,,,,,,,,23450.0,,,,,,,
December 2017,North 24 Parganas,,,,,,,,,,,15987.0,,,63.26,29744.06,,1.86,,,,,,,,,,,,,,,,,,,,,,66.64,,,,,,,,,,,,,,,23990.0,,,,,,,
December 2017,Paschim Bardhaman,,,,,,,,,,,956.0,,,19.23,1841.31,,1.93,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,4157.0,,,,,,,
December 2017,Paschim Medinipur,,,,,,,,,,,22363.0,,,80.64,34964.64,,1.56,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,22588.0,,,,,,,
December 2017,Purba Bardhaman,,,,,,,,,,,10996.0,,,40.91,23071.62,,2.1,,,,,,,,,,,,,,,,,,,,,,44.38,,,,,,,,,,,,,,,24779.0,,,,,,,
December 2017,Purba Medinipur,,,,,,,,,,,24605.0,,,63.84,48959.71,,1.99,,,,,,,,,,,,,,,,,,,,,,70.58,,,,,,,,,,,,,,,34862.0,,,,,,,
December 2017,Purulia,,,,,,,,,,,7178.0,,,44.19,13368.0,,1.86,,,,,,,,,,,,,,,,,,,,,,42.47,,,,,,,,,,,,,,,16901.0,,,,,,,
December 2017,South 24 Parganas,,,,,,,,,,,20125.0,,,76.04,33490.23,,1.66,,,,,,,,,,,,,,,,,,,,,,79.97,,,,,,,,,,,,,,,25166.0,,,,,,,
December 2017,Uttar Dinajpur,,,,,,,,,,,6481.0,,,37.82,11306.77,,1.74,,,,,,,,,,,,,,,,,,,,,,39.24,,,,,,,,,,,,,,,16517.0,,,,,,,
December 2018,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6816.0,,,,,,,,,,,,,,,,,14320.09,,,,,,,,,,,,
December 2018,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17460.0,,,,,,,,,,,,,,,,,36298.22,,,,,,,,,,,,
December 2018,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20489.0,,,,,,,,,,,,,,,,,46834.07,,,,,,,,,,,,
December 2018,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19497.0,,,,,,,,,,,,,,,,,43441.16,,,,,,,,,,,,
December 2018,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5491.0,,,,,,,,,,,,,,,,,12203.9,,,,,,,,,,,,
December 2018,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.0,,,,,,,,,,,,,,,,,1886.25,,,,,,,,,,,,
December 2018,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15705.0,,,,,,,,,,,,,,,,,40221.6,,,,,,,,,,,,
December 2018,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12565.0,,,,,,,,,,,,,,,,,33396.25,,,,,,,,,,,,
December 2018,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21072.0,,,,,,,,,,,,,,,,,48409.86,,,,,,,,,,,,
December 2018,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5351.0,,,,,,,,,,,,,,,,,11537.3,,,,,,,,,,,,
December 2018,Kalimpong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,,,,,,,,,,,,,,,,,832.95,,,,,,,,,,,,
December 2018,Malda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24778.0,,,,,,,,,,,,,,,,,56257.5,,,,,,,,,,,,
December 2018,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31710.0,,,,,,,,,,,,,,,,,66016.8,,,,,,,,,,,,
December 2018,Nadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21700.0,,,,,,,,,,,,,,,,,29782.15,,,,,,,,,,,,
December 2018,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24117.0,,,,,,,,,,,,,,,,,53641.18,,,,,,,,,,,,
December 2018,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2698.0,,,,,,,,,,,,,,,,,5457.63,,,,,,,,,,,,
December 2018,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22718.0,,,,,,,,,,,,,,,,,49903.78,,,,,,,,,,,,
December 2018,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15773.0,,,,,,,,,,,,,,,,,37452.0,,,,,,,,,,,,
December 2018,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27260.0,,,,,,,,,,,,,,,,,65824.93,,,,,,,,,,,,
December 2018,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27410.0,,,,,,,,,,,,,,,,,52531.33,,,,,,,,,,,,
December 2018,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10152.0,,,,,,,,,,,,,,,,,18562.06,,,,,,,,,,,,
December 2019,Alipurduar,,3.0,2.0,,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,17.0,,
December 2019,Bankura,4.0,1.0,2.0,17.0,14.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,46.0,,10.0
December 2019,Birbhum,,5.0,6.0,,4.0,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,22.0,,7.0
December 2019,Cooch Behar,,8.0,13.0,,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,34.0,,
December 2019,Dakshin Dinajpur,,,1.0,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,8.0,,
December 2019,Darjeeling,,1.0,8.0,8.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,37.0,,
December 2019,Hooghly,,4.0,4.0,7.0,6.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,26.0,,1.0
December 2019,Howrah,,2.0,18.0,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,30.0,,
December 2019,Jalpaiguri,,9.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,18.0,,1.0
December 2019,Kalimpong,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
December 2019,Malda,,3.0,5.0,,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,23.0,,
December 2019,Murshidabad,,,4.0,,17.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,27.0,,
December 2019,Nadia,,5.0,18.0,,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,37.0,,
December 2019,Paschim Bardhaman,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,
December 2019,Paschim Medinipur,,,19.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,
December 2019,Purba Bardhaman,,,9.0,3.0,13.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,29.0,,3.0
December 2019,Purba Medinipur,,3.0,30.0,3.0,13.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,57.0,,5.0
December 2019,Purulia,,,19.0,,16.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,79.0,,
December 2019,Uttar Dinajpur,,,4.0,,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,32.0,,
June 2016,Malda,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,140.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,140.0,
June 2016,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,164.0,200.0,460.0,50.0,,,,,,,,,,,,,,,,,,,,,,,374.0,
June 2019,Alipurduar,,3.0,2.0,,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,17.0,,
June 2019,Bankura,4.0,1.0,2.0,17.0,14.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,46.0,,10.0
June 2019,Birbhum,,5.0,6.0,,4.0,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,22.0,,7.0
June 2019,Cooch Behar,,8.0,13.0,,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,34.0,,
June 2019,Dakshin Dinajpur,,,1.0,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,8.0,,
June 2019,Darjeeling,,1.0,8.0,8.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,37.0,,
June 2019,Hooghly,,4.0,4.0,7.0,6.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,26.0,,1.0
June 2019,Howrah,,2.0,18.0,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,30.0,,
June 2019,Jalpaiguri,,9.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,18.0,,1.0
June 2019,Kalimpong,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
June 2019,Malda,,3.0,5.0,,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,23.0,,
June 2019,Murshidabad,,,4.0,,17.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,27.0,,
June 2019,Nadia,,5.0,18.0,,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,37.0,,
June 2019,Paschim Bardhaman,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,
June 2019,Paschim Medinipur,,,19.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,
June 2019,Purba Bardhaman,,,9.0,3.0,13.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,29.0,,3.0
June 2019,Purba Medinipur,,3.0,30.0,3.0,13.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,57.0,,5.0
June 2019,Purulia,,,19.0,,16.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,79.0,,
June 2019,Uttar Dinajpur,,,4.0,,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,32.0,,
June 2021,Hooghly,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Howrah,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Malda,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,North 24 Parganas,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Paschim Medinipur,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,5593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Purba Bardhaman,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Purba Medinipur,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,South 24 Parganas,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Alipurduar,,,,,,,,,,,,0.0,,,,,,,,,,,,,,18.0,0.0,,,,,,,,,,,0.0,,,,,,,,,1.0,,,18.0,,,32.0,,,95.0,,,,,
June 2024,Bankura,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,0.0,,,,,,,,,14.0,,,12.0,,,29.0,,,82.0,,,,,
June 2024,Birbhum,,,,,,,,,,,,2.23,,,,,,,,,,,,,,34.0,2.0,,,,,,,,,,,1.83,,,,,,,,,8.0,,,26.0,,,69.0,,,109.0,,,,,
June 2024,Cooch Behar,,,,,,,,,,,,0.74,,,,,,,,,,,,,,32.0,1.0,,,,,,,,,,,0.97,,,,,,,,,10.0,,,14.0,,,53.0,,,103.0,,,,,
June 2024,Dakshin Dinajpur,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,,0.0,,,,,,,,,1.0,,,6.0,,,11.0,,,86.0,,,,,
June 2024,Darjeeling,,,,,,,,,,,,0.0,,,,,,,,,,,,,,20.0,0.0,,,,,,,,,,,0.0,,,,,,,,,1.0,,,9.0,,,31.0,,,82.0,,,,,
June 2024,Hooghly,,,,,,,,,,,,0.41,,,,,,,,,,,,,,22.0,1.0,,,,,,,,,,,1.28,,,,,,,,,10.0,,,13.0,,,44.0,,,78.0,,,,,
June 2024,Howrah,,,,,,,,,,,,0.0,,,,,,,,,,,,,,35.0,0.0,,,,,,,,,,,0.0,,,,,,,,,3.0,,,17.0,,,42.0,,,102.0,,,,,
June 2024,Jalpaiguri,,,,,,,,,,,,0.92,,,,,,,,,,,,,,17.0,1.0,,,,,,,,,,,1.05,,,,,,,,,4.0,,,20.0,,,44.0,,,95.0,,,,,
June 2024,Kalimpong,,,,,,,,,,,,1.49,,,,,,,,,,,,,,7.0,1.0,,,,,,,,,,,1.16,,,,,,,,,2.0,,,4.0,,,12.0,,,86.0,,,,,
June 2024,Kolkata,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,0.0,,,,,,,,,14.0,,,1.0,,,38.0,,,82.0,,,,,
June 2024,Malda,,,,,,,,,,,,1.49,,,,,,,,,,,,,,30.0,1.0,,,,,,,,,,,1.19,,,,,,,,,6.0,,,3.0,,,62.0,,,84.0,,,,,
June 2024,Murshidabad,,,,,,,,,,,,4.19,,,,,,,,,,,,,,38.0,6.0,,,,,,,,,,,5.77,,,,,,,,,32.0,,,37.0,,,93.0,,,104.0,,,,,
June 2024,Nadia,,,,,,,,,,,,2.64,,,,,,,,,,,,,,9.0,2.0,,,,,,,,,,,2.44,,,,,,,,,9.0,,,20.0,,,46.0,,,82.0,,,,,
June 2024,Paschim Bardhaman,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,3.0,,,0.0,,,8.0,,,88.0,,,,,
June 2024,Paschim Medinipur,,,,,,,,,,,,0.0,,,,,,,,,,,,,,15.0,0.0,,,,,,,,,,,0.0,,,,,,,,,2.0,,,5.0,,,35.0,,,82.0,,,,,
June 2024,Purba Medinipur,,,,,,,,,,,,0.46,,,,,,,,,,,,,,113.0,1.0,,,,,,,,,,,0.45,,,,,,,,,28.0,,,97.0,,,164.0,,,220.0,,,,,
June 2024,Purulia,,,,,,,,,,,,0.0,,,,,,,,,,,,,,13.0,0.0,,,,,,,,,,,0.0,,,,,,,,,1.0,,,3.0,,,11.0,,,82.0,,,,,
June 2024,Uttar Dinajpur,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,1.0,,,6.0,,,80.0,,,,,
June 2025,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,3.0,,,,,,,,,,,,10.95,,,,,,7.0,,,,,,,,,,
June 2025,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,1.0,,,,,,,,,,,,21.82,,,,,,13.0,,,,,,,,,,
June 2025,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,1.0,,,,,,,,,,,,4.83,,,,,,14.0,,,,,,,,,,
June 2025,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,,18.34,,,,,,,,2.0,,,,,,,,,,,,37.6,,,,,,8.0,,,,,,,,,,
June 2025,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,1.0,,,,,,,,,,,,0.59,,,,,,15.0,,,,,,,,,,
June 2025,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,1.0,,,,,,,,,,,,57.31,,,,,,12.0,,,,,,,,,,
June 2025,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,1.0,,,,,,,,,,,,94.6,,,,,,11.0,,,,,,,,,,
June 2025,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,1.0,,,,,,,,,,,,2.05,,,,,,10.0,,,,,,,,,,
June 2025,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,34.6,,,,,,,,5.0,,,,,,,,,,,,56.16,,,,,,2.0,,,,,,,,,,
March 2016,Malda,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
March 2016,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,460.0,,,,,,,,,,,,,
March 2019,Alipurduar,,,,,,,,,,,,166142.0,,,,,,,,810.0,6.0,197698.0,316.0,,,,,,,,,,,,,,,,,16500.0,,,,,,160.0,,,,,,41.0,,,,,,,,,
March 2019,Bankura,,,,,,,,,,,,696000.04,,,,,,,,843.0,0.0,420160.0,695.0,,,,,,,,,,,,,,,,,30248.0,,,,,,1834.0,,,,,,47.0,,,,,,,,,
March 2019,Birbhum,,,,,,,,,,,,877839.9,,,,,,,,700.0,22.0,616670.0,2750.0,,,,,,,,,,,,,,,,,52357.0,,,,,,3940.0,,,,,,80.0,,,,,,,,,
March 2019,Cooch Behar,,,,,,,,,,,,536500.0,,,,,,,,0.0,2.0,287242.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,
March 2019,Dakshin Dinajpur,,,,,,,,,,,,556054.73,,,,,,,,842.0,9.0,379248.0,2420.0,,,,,,,,,,,,,,,,,15389.0,,,,,,1333.0,,,,,,25.0,,,,,,,,,
March 2019,Darjeeling,,,,,,,,,,,,234000.0,,,,,,,,170.0,35.0,31869.0,570.0,,,,,,,,,,,,,,,,,400.0,,,,,,104.0,,,,,,50.0,,,,,,,,,
March 2019,Hooghly,,,,,,,,,,,,859546.25,,,,,,,,1690.0,120.0,505132.0,3000.0,,,,,,,,,,,,,,,,,28383.0,,,,,,549.0,,,,,,50.0,,,,,,,,,
March 2019,Howrah,,,,,,,,,,,,1016913.26,,,,,,,,1416.0,0.0,656310.0,4012.0,,,,,,,,,,,,,,,,,8706.0,,,,,,382.0,,,,,,322.0,,,,,,,,,
March 2019,Jalpaiguri,,,,,,,,,,,,287689.0,,,,,,,,141.0,23.0,177644.0,935.0,,,,,,,,,,,,,,,,,24876.0,,,,,,2093.0,,,,,,440.0,,,,,,,,,
March 2019,Jhargram,,,,,,,,,,,,255532.0,,,,,,,,175.0,2.0,190693.0,400.0,,,,,,,,,,,,,,,,,12200.0,,,,,,1735.0,,,,,,14.0,,,,,,,,,
March 2019,Kalimpong,,,,,,,,,,,,46040.3,,,,,,,,110.0,172.0,23790.0,155.0,,,,,,,,,,,,,,,,,3500.0,,,,,,403.0,,,,,,269.0,,,,,,,,,
March 2019,Kolkata,,,,,,,,,,,,1626755.36,,,,,,,,1413.0,1413.0,15891.0,1413.0,,,,,,,,,,,,,,,,,0.0,,,,,,1413.0,,,,,,1413.0,,,,,,,,,
March 2019,Malda,,,,,,,,,,,,778839.89,,,,,,,,6008.0,41.0,342735.0,1677.0,,,,,,,,,,,,,,,,,26666.0,,,,,,46.0,,,,,,2690.0,,,,,,,,,
March 2019,Murshidabad,,,,,,,,,,,,1050426.59,,,,,,,,1776.0,0.0,489118.0,3620.0,,,,,,,,,,,,,,,,,42157.0,,,,,,1878.0,,,,,,698.0,,,,,,,,,
