period,district,10_km_to_20_km_2000,1km,1km_3km,2000_5000,3km_5km,5000,5_km_7_5_km_2000,7_5_km_10_km_2000,above_20_km_2000,amount,no_of_general_camps_conducted_during_the_quarter,no_of_participants,no_of_rural_branches_in_district,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,sanction_no,target_group_addressed,total,total_gp,total_no_of_camps,total_no_of_participants,total_of_gp_hqs_above_5_km_2000
March 2021,Hooghly,,,,,,,,,,,,0.0,237.0,47.0,0.0,,12345.0,,,,,
March 2021,Howrah,,,,,,,,,,,,1072.0,115.0,5.0,30.0,,24.0,,,,,
March 2021,Jalpaiguri,,,,,,,,,,,,280.0,79.0,24.0,10.0,,1.0,,,,,
March 2021,Jhargram,,,,,,,,,,,,76.0,82.0,3.0,3.0,,4.0,,,,,
March 2021,Kalimpong,,,,,,,,,,,,0.0,14.0,4.0,0.0,,1234.0,,,,,
March 2021,Kolkata,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
March 2021,Malda,,,,,,,,,,,,0.0,184.0,7.0,0.0,,124.0,,,,,
March 2021,Murshidabad,,,,,,,,,,,,0.0,334.0,128.0,0.0,,123456.0,,,,,
March 2021,Nadia,,,,,,,,,,,,415.0,230.0,5.0,5.0,,124.0,,,,,
March 2021,North 24 Parganas,,,,,,,,,,,,0.0,255.0,0.0,0.0,,,,,,,
March 2021,Paschim Bardhaman,,,,,,,,,,,,425.0,101.0,10.0,10.0,,245.0,,,,,
March 2021,Paschim Medinipur,,,,,,,,,,,,240.0,248.0,3.0,3.0,,124.0,,,,,
March 2021,Purba Bardhaman,,,,,,,,,,,,36.0,203.0,38.0,1.0,,36.0,,,,,
March 2021,Purba Medinipur,,,,,,,,,,,,0.0,177.0,8.0,0.0,,1234.0,,,,,
March 2021,Purulia,,,,,,,,,,,,168.0,158.0,4.0,4.0,,4.0,,,,,
March 2021,South 24 Parganas,,,,,,,,,,,,400.0,304.0,3.0,11.0,,12456.0,,,,,
March 2021,Uttar Dinajpur,,,,,,,,,,,,623.0,97.0,0.0,32.0,,1246.0,,,,,
September 2019,Alipurduar,,3.0,2.0,,2.0,10.0,,,,,,,,,,,,10.0,17.0,,,
September 2019,Bankura,4.0,1.0,2.0,17.0,14.0,2.0,2.0,4.0,,,,,,,,,,29.0,46.0,,,10.0
September 2019,Birbhum,,5.0,6.0,,4.0,,5.0,2.0,,,,,,,,,,7.0,22.0,,,7.0
September 2019,Cooch Behar,,8.0,13.0,,8.0,4.0,,,,,,,,,,,,4.0,34.0,,,
September 2019,Dakshin Dinajpur,,,1.0,,5.0,2.0,,,,,,,,,,,,2.0,8.0,,,
September 2019,Darjeeling,,1.0,8.0,8.0,8.0,12.0,,,,,,,,,,,,20.0,37.0,,,
September 2019,Hooghly,,4.0,4.0,7.0,6.0,4.0,1.0,,,,,,,,,,,12.0,26.0,,,1.0
September 2019,Howrah,,2.0,18.0,,9.0,1.0,,,,,,,,,,,,1.0,30.0,,,
September 2019,Jalpaiguri,,9.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,3.0,18.0,,,1.0
September 2019,Kalimpong,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,
September 2019,Malda,,3.0,5.0,,6.0,9.0,,,,,,,,,,,,9.0,23.0,,,
September 2019,Murshidabad,,,4.0,,17.0,6.0,,,,,,,,,,,,6.0,27.0,,,
September 2019,Nadia,,5.0,18.0,,9.0,5.0,,,,,,,,,,,,5.0,37.0,,,
September 2019,Paschim Bardhaman,,,8.0,,2.0,,,,,,,,,,,,,,10.0,,,
September 2019,Paschim Medinipur,,,19.0,,21.0,,,,,,,,,,,,,,40.0,,,
September 2019,Purba Bardhaman,,,9.0,3.0,13.0,1.0,2.0,,1.0,,,,,,,,,7.0,29.0,,,3.0
September 2019,Purba Medinipur,,3.0,30.0,3.0,13.0,3.0,2.0,3.0,,,,,,,,,,11.0,57.0,,,5.0
September 2019,Purulia,,,19.0,,16.0,44.0,,,,,,,,,,,,44.0,79.0,,,
September 2019,Uttar Dinajpur,,,4.0,,8.0,20.0,,,,,,,,,,,,20.0,32.0,,,
