period,district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_flcs,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi_101,no_of_participants_attended,no_of_persons_participated,no_of_persons_participated_1256,no_of_rural_branches_in_the_district,no_of_rural_branches_in_the_district_234,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi_in_the_quarter,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_litewracy_material_of_rbi_in_the_quarter,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_litewracy_material_of_rbi_in_the_quarter_82,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp_950,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_280,sl_no_1,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
December 2016,Hooghly,,,,137.0,,,5239.0,,171.0,,126.0,,,2288.0,,984.0,,,,,
December 2016,Howrah,,,,128.0,,,3484.0,,188.0,,102.0,,,1856.0,,954.0,,,,,
December 2016,Jalpaiguri,,,,18.0,,,1253.0,,79.0,,16.0,,,844.0,,202.0,,,,,
December 2016,Malda,,,,84.0,,,1124.0,,178.0,,42.0,,,942.0,,124.0,,,,,
December 2016,Murshidabad,,,,145.0,,,9562.0,,231.0,,136.0,,,7235.0,,724.0,,,,,
December 2016,Nadia,,,,104.0,,,1247.0,,192.0,,62.0,,,613.0,,321.0,,,,,
December 2016,Paschim Medinipur,,,,204.0,,,8451.0,,319.0,,144.0,,,5217.0,,1126.0,,,,,
December 2016,Purba Bardhaman,,,,184.0,,,6237.0,,367.0,,94.0,,,4381.0,,846.0,,,,,
December 2016,Purba Medinipur,,,,76.0,,,11756.0,,293.0,,42.0,,,8124.0,,1457.0,,,,,
December 2016,Purulia,,,,74.0,,,2484.0,,124.0,,51.0,,,1749.0,,447.0,,,,,
December 2016,Uttar Dinajpur,,,,49.0,,,641.0,,93.0,,31.0,,,513.0,,81.0,,,,,
December 2017,Alipurduar,,,,64.0,,,1622.0,,72.0,,32.0,,,1474.0,,141.0,,,,,
December 2017,Bankura,,,,121.0,,,840.0,,228.0,,64.0,,,608.0,,172.0,,,,,
December 2017,Birbhum,,,,105.0,,,460.0,,211.0,,92.0,,,310.0,,64.0,,,,,
December 2017,Cooch Behar,,,,120.0,,,3401.0,,150.0,,90.0,,,2114.0,,656.0,,,,,
December 2017,Dakshin Dinajpur,,,,72.0,,,722.0,,70.0,,50.0,,,505.0,,90.0,,,,,
December 2017,Darjeeling,,,,40.0,,,1806.0,,75.0,,24.0,,,1504.0,,270.0,,,,,
December 2017,Hooghly,,,,151.0,,,3854.0,,242.0,,116.0,,,2861.0,,648.0,,,,,
December 2017,Howrah,,,,144.0,,,2714.0,,194.0,,90.0,,,2361.0,,315.0,,,,,
December 2017,Jalpaiguri,,,,46.0,,,951.0,,79.0,,32.0,,,628.0,,126.0,,,,,
December 2017,Malda,,,,81.0,,,1024.0,,185.0,,67.0,,,734.0,,105.0,,,,,
December 2017,Murshidabad,,,,178.0,,,4587.0,,268.0,,148.0,,,3025.0,,896.0,,,,,
December 2017,Nadia,,,,121.0,,,896.0,,129.0,,60.0,,,462.0,,310.0,,,,,
December 2017,Paschim Medinipur,,,,216.0,,,9185.0,,328.0,,162.0,,,6165.0,,1408.0,,,,,
December 2017,Purba Bardhaman,,,,163.0,,,3790.0,,376.0,,146.0,,,3290.0,,410.0,,,,,
December 2017,Purba Medinipur,,,,68.0,,,862.0,,301.0,,60.0,,,485.0,,232.0,,,,,
December 2017,Purulia,,,,78.0,,,1199.0,,131.0,,72.0,,,825.0,,195.0,,,,,
December 2017,Uttar Dinajpur,,,,52.0,,,647.0,,94.0,,34.0,,,420.0,,86.0,,,,,
December 2023,Alipurduar,51.0,129.0,0.0,,,0.0,,,,,,,,,,,,,0.0,153.0,0.0
December 2023,Bankura,168.0,475.0,1.0,,,6680.0,,,,,,,,,,,,,6.0,504.0,15.0
December 2023,Birbhum,212.0,789.0,1.0,,,1631.0,,,,,,,,,,,,,6.0,636.0,15.0
December 2023,Cooch Behar,136.0,150.0,2.0,,,726.0,,,,,,,,,,,,,12.0,408.0,30.0
December 2023,Dakshin Dinajpur,79.0,22.0,2.0,,,850.0,,,,,,,,,,,,,12.0,237.0,30.0
December 2023,Darjeeling,72.0,187.0,2.0,,,1132.0,,,,,,,,,,,,,12.0,216.0,30.0
December 2023,Hooghly,237.0,323.0,1.0,,,0.0,,,,,,,,,,,,,6.0,711.0,15.0
December 2023,Howrah,115.0,45.0,2.0,,,55.0,,,,,,,,,,,,,12.0,345.0,30.0
December 2023,Jalpaiguri,79.0,300.0,1.0,,,365.0,,,,,,,,,,,,,6.0,237.0,15.0
December 2023,Jhargram,83.0,107.0,1.0,,,189.0,,,,,,,,,,,,,6.0,249.0,15.0
December 2023,Kalimpong,12.0,60.0,1.0,,,1002.0,,,,,,,,,,,,,6.0,36.0,15.0
December 2023,Kolkata,7.0,24.0,1.0,,,230.0,,,,,,,,,,,,,6.0,21.0,15.0
December 2023,Malda,189.0,252.0,2.0,,,525.0,,,,,,,,,,,,,12.0,567.0,30.0
December 2023,Murshidabad,339.0,872.0,2.0,,,421.0,,,,,,,,,,,,,12.0,1017.0,30.0
December 2023,Nadia,176.0,244.0,1.0,,,0.0,,,,,,,,,,,,,6.0,528.0,15.0
December 2023,North 24 Parganas,310.0,776.0,1.0,,,1554.0,,,,,,,,,,,,,6.0,930.0,15.0
December 2023,Paschim Bardhaman,102.0,119.0,1.0,,,287.0,,,,,,,,,,,,,6.0,306.0,15.0
December 2023,Paschim Medinipur,248.0,308.0,1.0,,,312.0,,,,,,,,,,,,,6.0,744.0,15.0
December 2023,Purba Bardhaman,314.0,893.0,1.0,,,267.0,,,,,,,,,,,,,6.0,942.0,15.0
December 2023,Purba Medinipur,285.0,348.0,2.0,,,301.0,,,,,,,,,,,,,12.0,855.0,30.0
December 2023,Purulia,152.0,353.0,1.0,,,473.0,,,,,,,,,,,,,6.0,456.0,15.0
December 2023,South 24 Parganas,304.0,627.0,1.0,,,547.0,,,,,,,,,,,,,6.0,912.0,15.0
December 2023,Uttar Dinajpur,81.0,156.0,1.0,,,4800.0,,,,,,,,,,,,,6.0,243.0,15.0
June 2016,Alipurduar,,,,26.0,,,1134.0,,49.0,,,31.0,,644.0,,274.0,,,,,
June 2016,Bankura,,,,121.0,,,1314.0,,263.0,,,86.0,,944.0,,324.0,,,,,
June 2016,Birbhum,,,,38.0,,,2041.0,,210.0,,,58.0,,1684.0,,261.0,,,,,
June 2016,Cooch Behar,,,,222.0,,,9046.0,,141.0,,,128.0,,7214.0,,870.0,,,,,
June 2016,Dakshin Dinajpur,,,,77.0,,,1121.0,,79.0,,,68.0,,846.0,,248.0,,,,,
June 2016,Darjeeling,,,,84.0,,,2546.0,,70.0,,,38.0,,1684.0,,848.0,,,,,
June 2016,Hooghly,,,,94.0,,,3464.0,,198.0,,,97.0,,2264.0,,746.0,,,,,
June 2016,Howrah,,,,124.0,,,5347.0,,192.0,,,136.0,,4121.0,,448.0,,,,,
June 2016,Jalpaiguri,,,,12.0,,,1844.0,,23.0,,,16.0,,1212.0,,488.0,,,,,
June 2016,Malda,,,,35.0,,,1646.0,,178.0,,,26.0,,1064.0,,467.0,,,,,
June 2016,Murshidabad,,,,541.0,,,16456.0,,254.0,,,244.0,,11653.0,,1512.0,,,,,
June 2016,Nadia,,,,84.0,,,1384.0,,204.0,,,134.0,,844.0,,446.0,,,,,
June 2016,Paschim Medinipur,,,,394.0,,,11324.0,,319.0,,,274.0,,9241.0,,2066.0,,,,,
June 2016,Purba Bardhaman,,,,7.0,,,1046.0,,349.0,,,18.0,,988.0,,54.0,,,,,
June 2016,Purba Medinipur,,,,139.0,,,16746.0,,291.0,,,96.0,,1968.0,,846.0,,,,,
June 2016,Purulia,,,,118.0,,,4212.0,,121.0,,,84.0,,2946.0,,1024.0,,,,,
June 2016,Uttar Dinajpur,,,,52.0,,,876.0,,93.0,,,46.0,,620.0,,234.0,,,,,
June 2017,Alipurduar,,,,36.0,,,1804.0,,72.0,,30.0,,,1056.0,,348.0,,,,,
June 2017,Bankura,,,,124.0,,,1016.0,,227.0,,56.0,,,624.0,,144.0,,,,,
June 2017,Birbhum,,,,104.0,,,402.0,,210.0,,78.0,,,352.0,,41.0,,,,,
June 2017,Cooch Behar,,,,116.0,,,3622.0,,149.0,,95.0,,,2087.0,,710.0,,,,,
June 2017,Dakshin Dinajpur,,,,68.0,,,620.0,,70.0,,47.0,,,512.0,,42.0,,,,,
June 2017,Darjeeling,,,,38.0,,,1815.0,,75.0,,26.0,,,1455.0,,305.0,,,,,
June 2017,Hooghly,,,,158.0,,,4022.0,,241.0,,116.0,,,3286.0,,602.0,,,,,
June 2017,Howrah,,,,151.0,,,2874.0,,193.0,,98.0,,,2246.0,,412.0,,,,,
June 2017,Jalpaiguri,,,,39.0,,,830.0,,79.0,,31.0,,,636.0,,156.0,,,,,
June 2017,Malda,,,,74.0,,,964.0,,184.0,,48.0,,,738.0,,92.0,,,,,
June 2017,Murshidabad,,,,168.0,,,4602.0,,266.0,,140.0,,,3248.0,,526.0,,,,,
June 2017,Nadia,,,,118.0,,,908.0,,129.0,,66.0,,,508.0,,302.0,,,,,
June 2017,Paschim Medinipur,,,,221.0,,,9422.0,,326.0,,149.0,,,5266.0,,1230.0,,,,,
June 2017,Purba Bardhaman,,,,164.0,,,3836.0,,373.0,,110.0,,,3086.0,,711.0,,,,,
June 2017,Purba Medinipur,,,,69.0,,,1451.0,,299.0,,52.0,,,1045.0,,204.0,,,,,
June 2017,Purulia,,,,86.0,,,986.0,,129.0,,65.0,,,704.0,,212.0,,,,,
June 2017,Uttar Dinajpur,,,,56.0,,,415.0,,94.0,,35.0,,,302.0,,60.0,,,,,
June 2024,Alipurduar,51.0,108.0,0.0,,,0.0,,,,,,,,,,,,,0.0,153.0,0.0
June 2024,Bankura,168.0,612.0,1.0,,,4445.0,,,,,,,,,,,,,6.0,504.0,15.0
June 2024,Birbhum,212.0,689.0,1.0,,,946.0,,,,,,,,,,,,,6.0,636.0,15.0
June 2024,Cooch Behar,136.0,440.0,2.0,,,1426.0,,,,,,,,,,,,,12.0,408.0,30.0
June 2024,Dakshin Dinajpur,79.0,90.0,2.0,,,5314.0,,,,,,,,,,,,,12.0,237.0,30.0
June 2024,Darjeeling,72.0,224.0,2.0,,,163.0,,,,,,,,,,,,,12.0,216.0,30.0
June 2024,Hooghly,237.0,16.0,1.0,,,0.0,,,,,,,,,,,,,6.0,711.0,15.0
June 2024,Howrah,115.0,31.0,2.0,,,1996.0,,,,,,,,,,,,,12.0,345.0,30.0
June 2024,Jalpaiguri,79.0,137.0,1.0,,,197.0,,,,,,,,,,,,,6.0,237.0,15.0
June 2024,Jhargram,83.0,168.0,1.0,,,120.0,,,,,,,,,,,,,6.0,249.0,15.0
June 2024,Kalimpong,12.0,35.0,1.0,,,552.0,,,,,,,,,,,,,6.0,36.0,15.0
June 2024,Kolkata,7.0,21.0,1.0,,,223.0,,,,,,,,,,,,,6.0,21.0,15.0
June 2024,Malda,189.0,264.0,2.0,,,80.0,,,,,,,,,,,,,12.0,567.0,30.0
June 2024,Murshidabad,339.0,1089.0,2.0,,,510.0,,,,,,,,,,,,,12.0,1017.0,30.0
June 2024,Nadia,176.0,530.0,1.0,,,975.0,,,,,,,,,,,,,6.0,528.0,15.0
June 2024,North 24 Parganas,316.0,787.0,1.0,,,1050.0,,,,,,,,,,,,,6.0,948.0,15.0
June 2024,Paschim Bardhaman,102.0,98.0,1.0,,,267.0,,,,,,,,,,,,,6.0,306.0,15.0
June 2024,Paschim Medinipur,250.0,492.0,1.0,,,186.0,,,,,,,,,,,,,6.0,750.0,15.0
June 2024,Purba Bardhaman,328.0,1155.0,1.0,,,2039.0,,,,,,,,,,,,,6.0,984.0,15.0
June 2024,Purba Medinipur,252.0,15.0,2.0,,,3842.0,,,,,,,,,,,,,12.0,756.0,30.0
June 2024,Purulia,151.0,327.0,1.0,,,479.0,,,,,,,,,,,,,6.0,453.0,15.0
June 2024,South 24 Parganas,304.0,658.0,1.0,,,645.0,,,,,,,,,,,,,6.0,912.0,15.0
June 2024,Uttar Dinajpur,89.0,310.0,1.0,,,14880.0,,,,,,,,,,,,,6.0,267.0,15.0
June 2025,Alipurduar,51.0,159.0,0.0,,,0.0,,,,,,,,,,,,,0.0,153.0,0.0
June 2025,Bankura,168.0,618.0,1.0,,,4496.0,,,,,,,,,,,,,6.0,504.0,15.0
June 2025,Birbhum,212.0,716.0,1.0,,,709.0,,,,,,,,,,,,,6.0,636.0,15.0
June 2025,Cooch Behar,136.0,436.0,2.0,,,3313.0,,,,,,,,,,,,,12.0,408.0,30.0
June 2025,Dakshin Dinajpur,73.0,134.0,2.0,,,14511.0,,,,,,,,,,,,,12.0,219.0,30.0
June 2025,Darjeeling,78.0,328.0,2.0,,,57.0,,,,,,,,,,,,,12.0,234.0,30.0
June 2025,Hooghly,237.0,850.0,1.0,,,450.0,,,,,,,,,,,,,6.0,711.0,15.0
June 2025,Howrah,115.0,45.0,2.0,,,1865.0,,,,,,,,,,,,,12.0,345.0,30.0
June 2025,Jalpaiguri,79.0,244.0,1.0,,,347.0,,,,,,,,,,,,,6.0,237.0,15.0
June 2025,Jhargram,83.0,270.0,1.0,,,437.0,,,,,,,,,,,,,6.0,249.0,15.0
June 2025,Kalimpong,13.0,44.0,1.0,,,422.0,,,,,,,,,,,,,6.0,39.0,15.0
June 2025,Kolkata,0.0,0.0,1.0,,,82.0,,,,,,,,,,,,,6.0,0.0,15.0
June 2025,Malda,189.0,210.0,2.0,,,70.0,,,,,,,,,,,,,12.0,567.0,30.0
June 2025,Murshidabad,339.0,3876.0,2.0,,,3803.0,,,,,,,,,,,,,12.0,1017.0,30.0
June 2025,Nadia,195.0,719.0,1.0,,,18888.0,,,,,,,,,,,,,6.0,585.0,15.0
June 2025,North 24 Parganas,324.0,809.0,1.0,,,207.0,,,,,,,,,,,,,6.0,972.0,15.0
June 2025,Paschim Bardhaman,102.0,248.0,1.0,,,3713.0,,,,,,,,,,,,,6.0,306.0,15.0
June 2025,Paschim Medinipur,250.0,261.0,1.0,,,202.0,,,,,,,,,,,,,6.0,750.0,15.0
June 2025,Purba Bardhaman,329.0,1089.0,1.0,,,1382.0,,,,,,,,,,,,,6.0,987.0,15.0
June 2025,Purba Medinipur,252.0,634.0,2.0,,,16379.0,,,,,,,,,,,,,12.0,756.0,30.0
June 2025,Purulia,129.0,275.0,1.0,,,284.0,,,,,,,,,,,,,6.0,387.0,15.0
June 2025,South 24 Parganas,312.0,1021.0,1.0,,,424.0,,,,,,,,,,,,,6.0,936.0,15.0
June 2025,Uttar Dinajpur,103.0,456.0,1.0,,,25151.0,,,,,,,,,,,,,6.0,309.0,15.0
March 2016,Alipurduar,,,,28.0,,,1234.0,,49.0,,,27.0,,718.0,,269.0,,,,,
March 2016,Bankura,,,,123.0,,,1347.0,,237.0,,,94.0,,968.0,,341.0,,,,,
March 2016,Birbhum,,,,37.0,,,2254.0,,210.0,,,56.0,,1784.0,,244.0,,,,,
March 2016,Cooch Behar,,,,224.0,,,9264.0,,141.0,,,127.0,,7229.0,,869.0,,,,,
March 2016,Dakshin Dinajpur,,,,76.0,,,1265.0,,79.0,,,67.0,,876.0,,256.0,,,,,
March 2016,Darjeeling,,,,86.0,,,2647.0,,65.0,,,36.0,,1687.0,,867.0,,,,,
March 2016,Hooghly,,,,96.0,,,3651.0,,198.0,,,94.0,,2674.0,,731.0,,,,,
March 2016,Howrah,,,,127.0,,,5411.0,,189.0,,,129.0,,4381.0,,467.0,,,,,
March 2016,Jalpaiguri,,,,13.0,,,1952.0,,18.0,,,14.0,,1259.0,,481.0,,,,,
March 2016,Malda,,,,34.0,,,1647.0,,178.0,,,24.0,,1164.0,,424.0,,,,,
March 2016,Murshidabad,,,,538.0,,,16983.0,,264.0,,,254.0,,12986.0,,1462.0,,,,,
March 2016,Nadia,,,,82.0,,,1847.0,,214.0,,,126.0,,1067.0,,487.0,,,,,
March 2016,Paschim Medinipur,,,,388.0,,,12451.0,,283.0,,,278.0,,9684.0,,2164.0,,,,,
March 2016,Purba Bardhaman,,,,8.0,,,1106.0,,364.0,,,17.0,,1011.0,,57.0,,,,,
March 2016,Purba Medinipur,,,,138.0,,,17484.0,,293.0,,,94.0,,2064.0,,586.0,,,,,
March 2016,Purulia,,,,117.0,,,4256.0,,121.0,,,86.0,,3045.0,,1014.0,,,,,
March 2016,Uttar Dinajpur,,,,49.0,,,874.0,,103.0,,,48.0,,623.0,,205.0,,,,,
September 2016,Alipurduar,,,,46.0,,,1133.0,,49.0,,,32.0,,746.0,,198.0,,,,,
September 2016,Bankura,,,,112.0,,,1124.0,,263.0,,,81.0,,832.0,,167.0,,,,,
September 2016,Birbhum,,,,36.0,,,744.0,,210.0,,,55.0,,482.0,,138.0,,,,,
September 2016,Cooch Behar,,,,238.0,,,8166.0,,141.0,,,132.0,,5317.0,,1318.0,,,,,
September 2016,Dakshin Dinajpur,,,,74.0,,,1013.0,,79.0,,,52.0,,842.0,,106.0,,,,,
September 2016,Darjeeling,,,,82.0,,,2544.0,,70.0,,,22.0,,1487.0,,567.0,,,,,
September 2016,Hooghly,,,,108.0,,,6743.0,,198.0,,,201.0,,2867.0,,1867.0,,,,,
September 2016,Howrah,,,,118.0,,,4687.0,,192.0,,,132.0,,2286.0,,1011.0,,,,,
September 2016,Jalpaiguri,,,,32.0,,,1882.0,,23.0,,,24.0,,1002.0,,411.0,,,,,
September 2016,Malda,,,,46.0,,,1623.0,,178.0,,,61.0,,1088.0,,241.0,,,,,
September 2016,Murshidabad,,,,531.0,,,14162.0,,254.0,,,206.0,,10502.0,,1864.0,,,,,
September 2016,Nadia,,,,86.0,,,1674.0,,204.0,,,87.0,,812.0,,536.0,,,,,
September 2016,Paschim Medinipur,,,,116.0,,,10974.0,,319.0,,,280.0,,7117.0,,1821.0,,,,,
September 2016,Purba Bardhaman,,,,106.0,,,9034.0,,349.0,,,108.0,,5274.0,,1784.0,,,,,
September 2016,Purba Medinipur,,,,134.0,,,15746.0,,291.0,,,58.0,,10134.0,,2284.0,,,,,
September 2016,Purulia,,,,107.0,,,4228.0,,121.0,,,76.0,,2435.0,,846.0,,,,,
September 2016,Uttar Dinajpur,,,,43.0,,,882.0,,93.0,,,48.0,,612.0,,186.0,,,,,
September 2017,Alipurduar,,,,56.0,,,1744.0,,72.0,,38.0,,,1421.0,,220.0,,,,,
September 2017,Bankura,,,,132.0,,,988.0,,228.0,,62.0,,,641.0,,186.0,,,,,
September 2017,Birbhum,,,,117.0,,,408.0,,211.0,,81.0,,,338.0,,42.0,,,,,
September 2017,Cooch Behar,,,,122.0,,,3587.0,,150.0,,98.0,,,2251.0,,712.0,,,,,
September 2017,Dakshin Dinajpur,,,,74.0,,,741.0,,70.0,,49.0,,,522.0,,52.0,,,,,
September 2017,Darjeeling,,,,42.0,,,1822.0,,75.0,,30.0,,,1512.0,,274.0,,,,,
September 2017,Hooghly,,,,162.0,,,3926.0,,242.0,,124.0,,,3142.0,,622.0,,,,,
September 2017,Howrah,,,,154.0,,,2744.0,,194.0,,100.0,,,2285.0,,377.0,,,,,
September 2017,Jalpaiguri,,,,51.0,,,965.0,,79.0,,34.0,,,644.0,,122.0,,,,,
September 2017,Malda,,,,88.0,,,1174.0,,185.0,,72.0,,,756.0,,96.0,,,,,
September 2017,Murshidabad,,,,170.0,,,4528.0,,268.0,,143.0,,,3044.0,,855.0,,,,,
September 2017,Nadia,,,,126.0,,,889.0,,129.0,,68.0,,,478.0,,322.0,,,,,
September 2017,Paschim Medinipur,,,,228.0,,,9214.0,,328.0,,152.0,,,6235.0,,1421.0,,,,,
September 2017,Purba Bardhaman,,,,168.0,,,3768.0,,376.0,,114.0,,,3274.0,,388.0,,,,,
September 2017,Purba Medinipur,,,,80.0,,,855.0,,301.0,,54.0,,,566.0,,202.0,,,,,
September 2017,Purulia,,,,91.0,,,1056.0,,131.0,,66.0,,,825.0,,204.0,,,,,
September 2017,Uttar Dinajpur,,,,60.0,,,622.0,,94.0,,36.0,,,415.0,,71.0,,,,,
