period,district,a03m_1t_8_rs_in_lac,achievement_as_on_30_06_2018_no,achievement_as_on_june_2016_no,achievement_as_on_june_2017_no,achievement_as_on_march_2016_no,achievement_as_on_march_2017_no,achievement_as_on_no_31,achievement_as_on_sept_2016_no,achievement_as_on_september_2017_no,achievement_no,achievement_no_wise,amount,amount_crore,amount_wise,amt,amt_crore,amt_in_lac,amt_in_lakh,amt_rs_in_lac,applications_disbursed_no,applications_pending_till_date_no,applications_sanctioned_no,applications_submitted_no,average_rs_lac,block_affected,disbursed_no,disbursed_nos,forwarded_to_bank_no,khadi_village_industries_no,loan_amount_rs_crore,loanee,medium_enterprise_mfg_ser_upto_rs_10_cr_no,micro_enterprise_mfg_ser_upto_rs_0_25_cr_no,mm_claimed_no,mm_disbursed_no,mouza_affected,no_of_applicantion_uploaded_62298,no_of_farmers_members_of_fpo,no_of_fpc,no_of_fpos,non_loanee,nos,number_of_claims_settled_for_claim_amounts_less_than_rs_1_00_000,number_of_claims_settled_for_claim_amounts_of_rs_1_00_000_or_more,of_achievement_mm_disbursed_no,of_achievement_no,others_sector_activities_not_classified_elsewhere_no,pending_no,pending_shg_no,project_cost_rs_crore,rejected_no,returned_no,s_no_1,sanctioned_no,sanctioned_nos,settled_amount_for_claim_amounts_less_than_rs_1_00_000,settled_amount_for_claim_amounts_of_rs_1_00_000_or_more,small_enterprise_mfg_ser_upto_rs_5_cr_no,sn,sponsored_in_fy_2023_24_no,sum_of_cummul_ative_not_a_member_of_pacs,sum_of_cummul_ative_wrong_incomple_te_informati_on_furnishe_d,sum_of_cummula_tive_already_availed_loan_for_same_purpose_from_other_banks,sum_of_cummula_tive_already_having_kcc_with_some_other_bank,sum_of_cummula_tive_any_other_reason,sum_of_cummula_tive_applicant_in_default_npa,sum_of_cummula_tive_applicati_on_for_purpose_of_cattle,sum_of_cummula_tive_milch_animal_in_possesio_n_no_space_available_for_cattle_shed,sum_of_cummula_tive_no_of_applicati_ons_accepted,sum_of_cummula_tive_no_of_applicati_ons_received,sum_of_cummula_tive_no_of_applicati_ons_sanction_ed,sum_of_cummula_tive_tpa_not_furnished_collection_account_is_in_other_bank,sum_of_cummulat_ive_members_of_the_family_applying_for_kcc_against_same_milch_animal,sum_of_cummulativ_e_appplicant_i_not_tracable_ii_unwilling_to_avail_iii_unaware_about_the_submission_of_application,sum_of_cummulativ_e_second_application_submitted_for_same_other_reasons,sum_of_pendency_more_than_15_days,target_2021_22_no,target_for_2015_16_no,target_for_2016_17_no,target_for_2017_18_no,target_for_2018_19_no,target_for_2023_24_no,target_no,target_no_fy_2024_25,target_nos,total,total_appl_submit_no,total_msme_no,total_no
December 2016,Paschim Medinipur,,,,,,,,,,,,,,,,,,,36496.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125665.0
December 2016,Purba Bardhaman,,,,,,,,,,,,,,,,,,,57096.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170159.0
December 2016,Purba Medinipur,,,,,,,,,,,,,,,,,,,77302.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208927.0
December 2016,Purulia,,,,,,,,,,,,,,,,,,,3840.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17568.0
December 2016,South 24 Parganas,,,,,,,,,,,,,,,,,,,13531.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47698.0
December 2016,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,5381.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16213.0
December 2017,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60940.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113069.0,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Malda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11414.0,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5550.0,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Nadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14343.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Malda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Nadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Kalimpong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Malda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Nadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Alipurduar,,,,,,,,,,,,23.26,,,,,,,,,,,,,,,,,,,,,,52.0,36.0,,,,,,,,,,18.0,,,,,,,37.0,,73.0,,,,,,164.0,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,
December 2023,Bankura,,,,,,,,,,,,15.46,,,,,,,,,,,,,,,,,,,,,,35.0,22.0,,,,,,,,,,12.94,,,,,,,40.0,,55.0,,,,,,135.0,,,,,,,,,,,,,,,,,,,,,,170.0,,,,,,,
December 2023,Birbhum,,,,,,,,,,,,21.32,,,,,,,,,,,,,,,,,,,,,,108.0,68.0,,,,,,,,,,27.2,,,,,,,138.0,,121.0,,,,,,352.0,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,
December 2023,Cooch Behar,,,,,,,,,,,,21.29,,,,,,,,,,,,,,,,,,,,,,90.0,60.0,,,,,,,,,,24.0,,,,,,,127.0,,137.0,,,,,,389.0,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,
December 2023,Dakshin Dinajpur,,,,,,,,,,,,7.96,,,,,,,,,,,,,,,,,,,,,,23.0,12.0,,,,,,,,,,9.6,,,,,,,20.0,,27.0,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,
December 2023,Darjeeling,,,,,,,,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,44.0,25.0,,,,,,,,,,14.71,,,,,,,58.0,,68.0,,,,,,154.0,,,,,,,,,,,,,,,,,,,,,,170.0,,,,,,,
December 2023,Hooghly,,,,,,,,,,,,18.96,,,,,,,,,,,,,,,,,,,,,,53.0,27.0,,,,,,,,,,18.0,,,,,,,66.0,,73.0,,,,,,237.0,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,
December 2023,Howrah,,,,,,,,,,,,13.62,,,,,,,,,,,,,,,,,,,,,,94.0,48.0,,,,,,,,,,19.2,,,,,,,106.0,,128.0,,,,,,370.0,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,
December 2023,Jalpaiguri,,,,,,,,,,,,13.85,,,,,,,,,,,,,,,,,,,,,,45.0,25.0,,,,,,,,,,12.5,,,,,,,51.0,,60.0,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,
December 2023,Kalimpong,,,,,,,,,,,,8.14,,,,,,,,,,,,,,,,,,,,,,19.0,11.0,,,,,,,,,,11.0,,,,,,,27.0,,28.0,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,
December 2023,Kolkata,,,,,,,,,,,,6.73,,,,,,,,,,,,,,,,,,,,,,11.0,5.0,,,,,,,,,,5.0,,,,,,,25.0,,11.0,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,
December 2023,Malda,,,,,,,,,,,,21.45,,,,,,,,,,,,,,,,,,,,,,62.0,28.0,,,,,,,,,,16.0,,,,,,,78.0,,142.0,,,,,,303.0,,,,,,,,,,,,,,,,,,,,,,175.0,,,,,,,
December 2023,Murshidabad,,,,,,,,,,,,47.29,,,,,,,,,,,,,,,,,,,,,,205.0,120.0,,,,,,,,,,36.92,,,,,,,155.0,,181.0,,,,,,420.0,,,,,,,,,,,,,,,,,,,,,,325.0,,,,,,,
December 2023,Nadia,,,,,,,,,,,,33.89,,,,,,,,,,,,,,,,,,,,,,64.0,43.0,,,,,,,,,,25.29,,,,,,,124.0,,76.0,,,,,,260.0,,,,,,,,,,,,,,,,,,,,,,170.0,,,,,,,
December 2023,Paschim Bardhaman,,,,,,,,,,,,2.13,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,,,,,,,,,,2.0,,,,,,,9.0,,10.0,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,
December 2023,Paschim Medinipur,,,,,,,,,,,,18.63,,,,,,,,,,,,,,,,,,,,,,60.0,34.0,,,,,,,,,,20.0,,,,,,,59.0,,73.0,,,,,,277.0,,,,,,,,,,,,,,,,,,,,,,170.0,,,,,,,
December 2023,Purba Medinipur,,,,,,,,,,,,68.05,,,,,,,,,,,,,,,,,,,,,,380.0,287.0,,,,,,,,,,48.48,,,,,,,118.0,,436.0,,,,,,1045.0,,,,,,,,,,,,,,,,,,,,,,592.0,,,,,,,
December 2023,Purulia,,,,,,,,,,,,15.43,,,,,,,,,,,,,,,,,,,,,,53.0,28.0,,,,,,,,,,16.47,,,,,,,60.0,,48.0,,,,,,159.0,,,,,,,,,,,,,,,,,,,,,,170.0,,,,,,,
December 2023,Uttar Dinajpur,,,,,,,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,,,,,,,,,,3.2,,,,,,,37.0,,12.0,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,
December 2025,Bankura,,,,,,,,,,,,,,,,,,3962.0,,629.0,1684.0,680.0,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Birbhum,,,,,,,,,,,,,,,,,,5685.0,,1196.0,3307.0,1226.0,4248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Cooch Behar,,,,,,,,,,,,,,,,,,1423.0,,461.0,792.0,581.0,1403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,593.0,,401.0,429.0,405.0,829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Darjeeling,,,,,,,,,,,,,,,,,,489.0,,372.0,276.0,375.0,635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Hooghly,,,,,,,,,,,,,,,,,,1023.0,,1057.0,500.0,1103.0,1628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Howrah,,,,,,,,,,,,,,,,,,8546.0,,1582.0,2778.0,1854.0,4192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Jalpaiguri,,,,,,,,,,,,,,,,,,1453.0,,298.0,855.0,313.0,1105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Jhargram,,,,,,,,,,,,,,,,,,910.0,,148.0,462.0,155.0,591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Kalimpong,,,,,,,,,,,,,,,,,,213.0,,128.0,116.0,132.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Malda,,,,,,,,,,,,,,,,,,6490.0,,526.0,5945.0,533.0,4225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Murshidabad,,,,,,,,,,,,,,,,,,4477.0,,2364.0,2485.0,2529.0,5357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Nadia,,,,,,,,,,,,,,,,,,4139.0,,669.0,2089.0,702.0,2611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,North 24 Parganas,,,,,,,,,,,,,,,,,,4426.0,,1663.0,2811.0,1775.0,4852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Paschim Bardhaman,,,,,,,,,,,,,,,,,,1059.0,,114.0,378.0,132.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Paschim Medinipur,,,,,,,,,,,,,,,,,,10287.0,,3406.0,6456.0,3509.0,8611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Purba Bardhaman,,,,,,,,,,,,,,,,,,3979.0,,1111.0,1937.0,1219.0,2789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Purba Medinipur,,,,,,,,,,,,,,,,,,5763.0,,1214.0,3081.0,1251.0,4313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Purulia,,,,,,,,,,,,,,,,,,685.0,,595.0,302.0,621.0,962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
