period,district,aap_target_for_fy_2022_23_no_of_programs,aap_target_for_fy_2023_24_no_of_programs,aap_target_for_fy_2024_25_no_of_programs,aap_target_for_fy_2025_26,achievement,achievement_no_of_programs,credit_linkage,cumulative_credit_linkage,cumulative_settlement,in_process,no_of_candidate_trained,no_of_candidates_trained,no_of_programs,no_of_rsetis,no_of_training_cond,no_of_training_conducted,not_settled,of_settelment,of_settlement,own,rseti_no,rseti_wise_achievement_under_aap_2025_26_01_04_2025_to_30_09_2025_sr_no,self_employd,self_employed_bank,settled,settlement,total,total_settled,total_settlement,total_to_be_trained,total_trained,under_process,wage_employd,wage_employed
March 2020,Hooghly,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
March 2020,Malda,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
March 2020,Murshidabad,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
March 2020,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
March 2020,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
March 2021,Bankura,,,,,,,0.0,,,,,,13.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,287.0,,,0.0
March 2021,Birbhum,,,,,,,0.0,,,,,,6.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,179.0,,,0.0
March 2021,Cooch Behar,,,,,,,61.54,,,,,,10.0,,,,,,,20.0,,,,32.0,,24.41,52.0,,52.0,,213.0,,,0.0
March 2021,Darjeeling,,,,,,,0.0,,,,,,6.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,128.0,,,0.0
March 2021,Hooghly,,,,,,,0.0,,,,,,6.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,98.0,,,0.0
March 2021,Howrah,,,,,,,28.77,,,,,,28.0,,,,,,,52.0,,,,21.0,,10.61,73.0,,77.0,,726.0,,,4.0
March 2021,Jalpaiguri,,,,,,,0.0,,,,,,6.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,90.0,,,0.0
March 2021,Malda,,,,,,,25.0,,,,,,14.0,,,,,,,27.0,,,,9.0,,13.38,36.0,,36.0,,269.0,,,0.0
March 2021,Nadia,,,,,,,0.0,,,,,,8.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,119.0,,,0.0
March 2021,North 24 Parganas,,,,,,,47.37,,,,,,14.0,,,,,,,10.0,,,,9.0,,7.06,19.0,,19.0,,269.0,,,0.0
March 2021,Purba Bardhaman,,,,,,,0.0,,,,,,15.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,329.0,,,0.0
March 2021,Purba Medinipur,,,,,,,53.33,,,,,,11.0,,,,,,,7.0,,,,8.0,,5.75,15.0,,15.0,,261.0,,,0.0
March 2021,Purulia,,,,,,,0.0,,,,,,5.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,117.0,,,0.0
March 2021,South 24 Parganas,,,,,,,0.0,,,,,,7.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,138.0,,,0.0
March 2021,Uttar Dinajpur,,,,,,,78.95,,,,,,8.0,,,,,,,4.0,,,,15.0,,11.11,19.0,,19.0,,171.0,,,0.0
March 2022,Birbhum,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
March 2022,Darjeeling,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
March 2022,Hooghly,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
March 2022,Malda,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
March 2022,Murshidabad,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
March 2022,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
March 2023,Bankura,26.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,101.03,,,
March 2023,Birbhum,18.0,,,,,111.11,,,,,,,,,,,,,,,,,,,,,,,,,100.79,,,
March 2023,Cooch Behar,16.0,,,,,106.25,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,
March 2023,Darjeeling,14.0,,,,,92.86,,,,,,,,,,,,,,,,,,,,,,,,,108.86,,,
March 2023,Hooghly,24.0,,,,,108.33,,,,,,,,,,,,,,,,,,,,,,,,,100.42,,,
March 2023,Howrah,29.0,,,,,110.34,,,,,,,,,,,,,,,,,,,,,,,,,110.49,,,
March 2023,Jalpaiguri,18.0,,,,,88.89,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,
March 2023,Malda,24.0,,,,,91.67,,,,,,,,,,,,,,,,,,,,,,,,,101.4,,,
March 2023,Nadia,25.0,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,106.8,,,
March 2023,North 24 Parganas,28.0,,,,,85.71,,,,,,,,,,,,,,,,,,,,,,,,,114.0,,,
March 2023,Purba Bardhaman,26.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,100.25,,,
March 2023,Purba Medinipur,25.0,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,,,,101.32,,,
March 2023,Purulia,21.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,101.8,,,
March 2023,South 24 Parganas,25.0,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,,,,101.28,,,
March 2023,Uttar Dinajpur,27.0,,,,,88.89,,,,,,,,,,,,,,,,,,,,,,,,,100.16,,,
March 2024,Bankura,,30.0,,,,93.33,,,,,,,,,,,,,,,,,,,,,,,,,100.51,,,
March 2024,Birbhum,,20.0,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,
March 2024,Cooch Behar,,16.0,,,,112.5,,,,,,,,,,,,,,,,,,,,,,,,,105.5,,,
March 2024,Darjeeling,,13.0,,,,123.08,,,,,,,,,,,,,,,,,,,,,,,,,101.89,,,
March 2024,Hooghly,,26.0,,,,130.77,,,,,,,,,,,,,,,,,,,,,,,,,101.14,,,
March 2024,Howrah,,29.0,,,,110.34,,,,,,,,,,,,,,,,,,,,,,,,,103.95,,,
March 2024,Jalpaiguri,,19.0,,,,89.47,,,,,,,,,,,,,,,,,,,,,,,,,100.68,,,
March 2024,Malda,,24.0,,,,104.17,,,,,,,,,,,,,,,,,,,,,,,,,100.83,,,
March 2024,Nadia,,24.0,,,,112.5,,,,,,,,,,,,,,,,,,,,,,,,,103.93,,,
March 2024,North 24 Parganas,,26.0,,,,96.15,,,,,,,,,,,,,,,,,,,,,,,,,104.39,,,
March 2024,Purba Bardhaman,,24.0,,,,116.67,,,,,,,,,,,,,,,,,,,,,,,,,100.88,,,
March 2024,Purba Medinipur,,25.0,,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,100.79,,,
March 2024,Purulia,,23.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,100.44,,,
March 2024,South 24 Parganas,,29.0,,,,131.03,,,,,,,,,,,,,,,,,,,,,,,,,115.77,,,
March 2024,Uttar Dinajpur,,32.0,,,,87.5,,,,,,,,,,,,,,,,,,,,,,,,,101.18,,,
March 2025,Bankura,,,33.0,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,101.0,,,
March 2025,Birbhum,,,33.0,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,102.0,,,
March 2025,Cooch Behar,,,33.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,103.0,,,
March 2025,Darjeeling,,,33.0,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,103.0,,,
March 2025,Hooghly,,,33.0,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,103.0,,,
March 2025,Howrah,,,33.0,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,101.0,,,
March 2025,Jalpaiguri,,,33.0,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,100.0,,,
March 2025,Malda,,,33.0,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,100.0,,,
March 2025,Nadia,,,33.0,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,103.0,,,
March 2025,North 24 Parganas,,,33.0,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,116.0,,,
March 2025,Purba Bardhaman,,,33.0,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,101.0,,,
March 2025,Purba Medinipur,,,33.0,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,103.0,,,
March 2025,Purulia,,,33.0,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,100.0,,,
March 2025,South 24 Parganas,,,33.0,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,107.0,,,
March 2025,Uttar Dinajpur,,,33.0,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,1000.0,102.0,,,
September 2016,Bankura,,,,,,,,,,1797.0,,4373.0,,,,192.0,,56.0,,987.0,,,,1478.0,,,,2465.0,,,,,,517.0
September 2016,Birbhum,,,,,,,,,,3551.0,,8582.0,,,,205.0,,59.0,,1422.0,,,,3609.0,,,,5031.0,,,,,,6.0
September 2016,Cooch Behar,,,,,,,,,,468.0,,1729.0,,,,66.0,,73.0,,652.0,,,,609.0,,,,1261.0,,,,,,
September 2016,Darjeeling,,,,,,,,,,354.0,,1037.0,,,,41.0,,66.0,,196.0,,,,487.0,,,,683.0,,,,,,
September 2016,Hooghly,,,,,,,,,,661.0,,4124.0,,,,156.0,,71.0,,443.0,,,,2472.0,,,,2915.0,,,,,,
September 2016,Howrah,,,,,,,,,,2169.0,,10809.0,,,,438.0,,78.0,,6861.0,,,,1540.0,,,,8395.0,,,,,,524.0
September 2016,Jalpaiguri,,,,,,,,,,777.0,,3521.0,,,,183.0,,78.0,,168.0,,,,2576.0,,,,2744.0,,,,,,9.0
September 2016,Malda,,,,,,,,,,1639.0,,4019.0,,,,131.0,,59.0,,809.0,,,,1571.0,,,,2380.0,,,,,,200.0
September 2016,Murshidabad,,,,,,,,,,1942.0,,5745.0,,,,193.0,,66.0,,1790.0,,,,2013.0,,,,3803.0,,,,,,
September 2016,Nadia,,,,,,,,,,1096.0,,3009.0,,,,119.0,,64.0,,1219.0,,,,694.0,,,,1913.0,,,,,,
September 2016,North 24 Parganas,,,,,,,,,,418.0,,4053.0,,,,151.0,,90.0,,1602.0,,,,2032.0,,,,3634.0,,,,,,
September 2016,Paschim Medinipur,,,,,,,,,,1152.0,,4015.0,,,,114.0,,71.0,,645.0,,,,2211.0,,,,2856.0,,,,,,121.0
September 2016,Purba Bardhaman,,,,,,,,,,1067.0,,3723.0,,,,145.0,,71.0,,1289.0,,,,1367.0,,,,2656.0,,,,,,
September 2016,Purba Medinipur,,,,,,,,,,926.0,,3656.0,,,,126.0,,75.0,,1438.0,,,,1291.0,,,,2729.0,,,,,,26.0
September 2016,Purulia,,,,,,,,,,1159.0,,2457.0,,,,98.0,,50.0,,339.0,,,,893.0,,,,1232.0,,,,,,
September 2016,South 24 Parganas,,,,,,,,,,1589.0,,5118.0,,,,193.0,,69.0,,473.0,,,,3036.0,,,,3509.0,,,,,,33.0
September 2016,Uttar Dinajpur,,,,,,,,,,1058.0,,3063.0,,,,126.0,,65.0,,542.0,,,,1462.0,,,,2004.0,,,,,,7.0
September 2017,Bankura,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
September 2017,Birbhum,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
September 2017,Darjeeling,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
September 2017,Hooghly,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
September 2017,Malda,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
September 2017,Murshidabad,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
September 2017,North 24 Parganas,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
September 2017,Purba Medinipur,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
September 2018,Bankura,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
September 2018,Birbhum,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
September 2018,Darjeeling,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
September 2018,Hooghly,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
September 2018,Malda,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
September 2018,Murshidabad,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
September 2018,North 24 Parganas,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
September 2018,Purba Medinipur,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
September 2019,Bankura,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
September 2019,Birbhum,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
September 2019,Darjeeling,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
September 2019,Hooghly,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
September 2019,Malda,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
September 2019,Murshidabad,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
September 2019,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
September 2019,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
September 2020,Bankura,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
September 2020,Birbhum,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
September 2020,Darjeeling,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
September 2020,Hooghly,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
September 2020,Malda,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
September 2020,Murshidabad,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
September 2020,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
September 2021,Birbhum,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
September 2021,Darjeeling,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
September 2021,Hooghly,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
September 2021,Malda,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
September 2021,Murshidabad,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
September 2021,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
September 2022,Bankura,26.0,,,,,42.31,,,,,,,,,,,,,,,,,,,,,,,,,40.77,,,
September 2022,Birbhum,18.0,,,,,44.44,,,,,,,,,,,,,,,,,,,,,,,,,39.37,,,
September 2022,Cooch Behar,16.0,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,,,,62.75,,,
September 2022,Darjeeling,14.0,,,,,28.57,,,,,,,,,,,,,,,,,,,,,,,,,35.43,,,
September 2022,Hooghly,24.0,,,,,58.33,,,,,,,,,,,,,,,,,,,,,,,,,48.19,,,
September 2022,Howrah,29.0,,,,,58.62,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,
September 2022,Jalpaiguri,18.0,,,,,38.89,,,,,,,,,,,,,,,,,,,,,,,,,47.5,,,
September 2022,Malda,24.0,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,55.2,,,
September 2022,Nadia,25.0,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,60.6,,,
September 2022,North 24 Parganas,28.0,,,,,53.57,,,,,,,,,,,,,,,,,,,,,,,,,76.67,,,
September 2022,Purba Bardhaman,26.0,,,,,57.69,,,,,,,,,,,,,,,,,,,,,,,,,55.85,,,
September 2022,Purba Medinipur,25.0,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,56.05,,,
September 2022,Purulia,21.0,,,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,,33.93,,,
September 2022,South 24 Parganas,25.0,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,54.56,,,
September 2022,Uttar Dinajpur,27.0,,,,,40.74,,,,,,,,,,,,,,,,,,,,,,,,,49.19,,,
September 2025,Bankura,,,,38.0,45.0,,,57.0,33.0,,,,,,,,,,,,,14.0,,,,,,,,,,,,
September 2025,Birbhum,,,,38.0,39.0,,,29.0,38.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
September 2025,Cooch Behar,,,,38.0,58.0,,,99.0,49.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,
September 2025,Darjeeling,,,,38.0,45.0,,,82.0,107.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,
September 2025,Hooghly,,,,38.0,39.0,,,50.0,52.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,
September 2025,Howrah,,,,38.0,29.0,,,58.0,34.0,,,,,,,,,,,,,16.0,,,,,,,,,,,,
September 2025,Jalpaiguri,,,,38.0,61.0,,,72.0,65.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,
September 2025,Malda,,,,38.0,58.0,,,26.0,46.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,
September 2025,Nadia,,,,38.0,45.0,,,71.0,102.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,
September 2025,North 24 Parganas,,,,38.0,45.0,,,54.0,71.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,
September 2025,Purba Bardhaman,,,,38.0,45.0,,,53.0,71.0,,,,,,,,,,,,,11.0,,,,,,,,,,,,
September 2025,Purba Medinipur,,,,38.0,29.0,,,92.0,89.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,
September 2025,Purulia,,,,38.0,45.0,,,15.0,31.0,,,,,,,,,,,,,17.0,,,,,,,,,,,,
September 2025,South 24 Parganas,,,,38.0,55.0,,,64.0,51.0,,,,,,,,,,,,,18.0,,,,,,,,,,,,
September 2025,Uttar Dinajpur,,,,38.0,13.0,,,29.0,95.0,,,,,,,,,,,,,19.0,,,,,,,,,,,,
